business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-03-23,AHL,298.8,328.6,298.8,328.6,3220.0,1055530.8
2023-03-26,AHL,335.0,361.4,335.0,361.4,980.0,353522.0
2023-03-27,AHL,368.6,397.5,368.6,397.5,6410.0,2547264.0
2023-03-28,AHL,405.4,437.2,405.4,437.2,5420.0,2368772.0
2023-03-29,AHL,445.9,480.9,445.0,448.0,52292.0,23775403.1
2023-03-30,AHL,440.1,450.0,430.4,437.6,23220.0,10186483.0
2023-04-02,AHL,437.6,440.0,404.0,419.1,19656.0,8296047.0
2023-04-03,AHL,411.0,412.0,390.2,398.0,16906.0,6727166.8
2023-04-04,AHL,399.0,407.9,388.0,393.6,5547.0,2197591.3
2023-04-05,AHL,390.0,408.9,388.2,408.9,7492.0,2996571.0
2023-04-06,AHL,403.0,411.0,401.0,407.0,5440.0,2205475.5
2023-04-09,AHL,400.1,402.0,390.1,392.0,5680.0,2242547.0
2023-04-10,AHL,385.1,406.0,382.7,398.9,5370.0,2089464.1
2023-04-11,AHL,391.0,399.0,390.0,398.0,3836.0,1513311.0
2023-04-12,AHL,405.0,417.9,391.1,417.9,6880.0,2818297.2
2023-04-13,AHL,415.0,434.0,402.2,434.0,7351.0,3023348.5
2023-04-16,AHL,425.4,430.0,400.0,400.0,19740.0,8082087.0
2023-04-17,AHL,398.0,400.0,392.3,400.0,3120.0,1234922.0
2023-04-18,AHL,392.0,398.0,386.0,396.5,2600.0,1024715.0
2023-04-20,AHL,404.9,404.9,385.0,394.0,6555.0,2555631.0
2023-04-23,AHL,386.2,390.0,375.1,376.0,4040.0,1536140.3
2023-04-24,AHL,370.0,380.0,367.1,378.0,3151.0,1176905.8
2023-04-25,AHL,370.6,382.0,360.9,379.0,7262.0,2696263.6
2023-04-26,AHL,383.0,385.0,371.5,376.0,3490.0,1305532.0
2023-04-27,AHL,380.0,380.0,365.2,374.0,6634.0,2439882.0
2023-04-30,AHL,366.8,375.0,352.0,359.0,10243.0,3694226.0
2023-05-02,AHL,366.0,369.0,347.1,369.0,3222.0,1135850.2
2023-05-03,AHL,369.0,369.0,348.0,358.0,3370.0,1201804.0
2023-05-04,AHL,351.1,361.0,346.0,358.0,1720.0,604667.0
2023-05-07,AHL,350.9,350.9,341.0,347.8,1800.0,620222.0
2023-05-08,AHL,341.0,343.3,330.1,337.0,1890.0,634057.0
2023-05-09,AHL,335.0,349.0,330.1,343.0,2590.0,884419.0
2023-05-10,AHL,340.5,351.9,335.1,351.9,1122.0,385158.0
2023-05-11,AHL,354.0,354.0,335.6,335.6,1992.0,677154.0
2023-05-14,AHL,335.6,342.3,330.3,334.0,1902.0,635775.0
2023-05-15,AHL,327.4,337.0,323.0,328.0,1090.0,358092.0
2023-05-16,AHL,325.0,335.0,323.0,330.1,3350.0,1101873.0
2023-05-17,AHL,325.0,336.0,325.0,335.9,1570.0,523170.0
2023-05-18,AHL,330.4,351.0,330.4,350.0,7120.0,2459646.0
2023-05-21,AHL,350.0,364.0,338.0,345.0,6066.0,2084798.6
2023-05-22,AHL,351.0,351.9,332.2,343.5,2604.0,888462.0
2023-05-23,AHL,340.0,365.0,340.0,365.0,20052.0,7087406.2
2023-05-24,AHL,365.0,371.9,359.0,368.4,5575.0,2041772.0
2023-05-28,AHL,361.6,377.4,353.0,377.4,15729.0,5716649.5
2023-05-30,AHL,369.9,369.9,348.7,362.9,13364.0,4735298.3
2023-05-31,AHL,356.0,356.0,327.5,327.5,13708.0,4672128.3
2023-06-01,AHL,327.5,350.0,323.6,344.1,5851.0,1971283.5
2023-06-04,AHL,344.0,362.0,338.1,361.9,5460.0,1928995.0
2023-06-05,AHL,367.0,367.0,338.0,349.9,10704.0,3738716.7
2023-06-06,AHL,343.0,351.8,337.0,346.8,16854.0,5773063.9
2023-06-07,AHL,350.0,357.0,338.0,346.0,8067.0,2786656.7
2023-06-08,AHL,352.9,354.0,339.0,346.0,6162.0,2140912.0
2023-06-11,AHL,341.5,360.7,341.5,357.3,18836.0,6682482.6
2023-06-12,AHL,357.2,363.0,351.2,353.0,6223.0,2207327.0
2023-06-13,AHL,350.0,367.0,348.1,360.0,8622.0,3124515.5
2023-06-14,AHL,360.0,379.0,358.0,366.0,14791.0,5443973.6
2023-06-15,AHL,358.7,366.0,355.1,355.2,6210.0,2231552.6
2023-06-18,AHL,355.2,379.0,355.2,376.6,12019.0,4468333.3
2023-06-19,AHL,376.0,406.0,370.0,397.0,16499.0,6468637.0
