business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2020-08-02,AIL,0.0,320.0,291.0,320.0,460.0,142790.0
2020-08-03,AIL,0.0,352.0,326.0,352.0,530.0,185860.0
2020-08-05,AIL,0.0,387.0,359.0,387.0,1050.0,405650.0
2020-08-06,AIL,0.0,425.0,394.0,425.0,47242.0,20077060.0
2020-08-09,AIL,0.0,467.0,435.0,467.0,199382.0,92141116.0
2020-08-10,AIL,0.0,513.0,490.0,513.0,105025.0,53039445.0
2020-08-11,AIL,0.0,564.0,528.0,564.0,82667.0,45463058.0
2020-08-12,AIL,0.0,580.0,540.0,543.0,59385.0,32756319.0
2020-08-13,AIL,0.0,543.0,503.0,517.0,78683.0,40828157.0
2020-08-16,AIL,0.0,509.0,480.0,492.0,61448.0,30335482.0
2020-08-17,AIL,0.0,493.0,475.0,492.0,24137.0,11756022.0
2020-08-18,AIL,0.0,500.0,483.0,486.0,34107.0,16673580.0
2020-08-19,AIL,0.0,510.0,477.0,479.0,17845.0,8576370.0
2020-08-20,AIL,0.0,481.0,474.0,480.0,10821.0,5169714.0
2020-08-23,AIL,0.0,482.0,471.0,482.0,16824.0,8029014.0
2020-08-24,AIL,0.0,504.0,482.0,503.0,40762.0,20278463.0
2020-08-25,AIL,0.0,521.0,500.0,519.0,54317.0,27948082.0
2020-08-26,AIL,0.0,532.0,513.0,525.0,47088.0,24811209.0
2020-08-27,AIL,0.0,535.0,512.0,515.0,32244.0,16710005.0
2020-08-30,AIL,0.0,515.0,506.0,513.0,17340.0,8842115.0
2020-08-31,AIL,0.0,535.0,513.0,528.0,69684.0,36671875.0
2020-09-02,AIL,0.0,537.0,508.0,519.0,58298.0,30742207.0
2020-09-03,AIL,0.0,518.0,507.0,515.0,24019.0,12297908.0
2020-09-06,AIL,0.0,540.0,508.0,515.0,28580.0,14848145.0
2020-09-07,AIL,0.0,512.0,502.0,511.0,20247.0,10284250.0
2020-09-08,AIL,0.0,530.0,500.0,512.0,15173.0,7714239.0
2020-09-09,AIL,0.0,518.0,505.0,517.0,19878.0,10205076.0
2020-09-10,AIL,0.0,540.0,516.0,525.0,23875.0,12531772.0
2020-09-13,AIL,0.0,540.0,516.0,533.0,44569.0,23594787.0
2020-09-14,AIL,0.0,559.0,524.0,528.0,33659.0,17918056.0
2020-09-15,AIL,0.0,528.0,520.0,523.0,16206.0,8474356.0
2020-09-16,AIL,0.0,549.0,515.0,524.0,15416.0,8092878.0
2020-09-17,AIL,0.0,534.0,520.0,524.0,18783.0,9861115.0
2020-09-20,AIL,0.0,530.0,516.0,518.0,16959.0,8839484.0
2020-09-21,AIL,0.0,530.0,509.0,520.0,20615.0,10686325.0
2020-09-22,AIL,0.0,520.0,513.0,514.0,25916.0,13400306.0
2020-09-23,AIL,0.0,520.0,508.0,516.0,10739.0,5527558.0
2020-09-24,AIL,0.0,518.0,511.0,517.0,10790.0,5554140.0
2020-09-27,AIL,0.0,517.0,510.0,510.0,17625.0,9042955.0
2020-09-28,AIL,0.0,514.0,508.0,511.0,10435.0,5321965.0
2020-09-29,AIL,0.0,513.0,507.0,509.0,9262.0,4714810.0
2020-09-30,AIL,0.0,512.0,505.0,507.0,13257.0,6722770.0
2020-10-01,AIL,0.0,522.0,502.0,518.0,19929.0,10265273.0
2020-10-04,AIL,0.0,532.0,517.0,520.0,26122.0,13674693.0
2020-10-05,AIL,0.0,521.0,515.0,518.0,18525.0,9567986.0
2020-10-06,AIL,0.0,519.0,511.0,514.0,10665.0,5468065.0
2020-10-07,AIL,0.0,518.0,511.0,515.0,15547.0,7973354.0
2020-10-08,AIL,0.0,520.0,513.0,513.0,11418.0,5880832.0
2020-10-11,AIL,0.0,513.0,507.0,508.0,9868.0,5025415.0
2020-10-12,AIL,0.0,511.0,503.0,506.0,9407.0,4773238.0
2020-10-13,AIL,0.0,509.0,505.0,506.0,8654.0,4384889.0
2020-10-14,AIL,0.0,505.0,501.0,502.0,7213.0,3626665.0
2020-10-15,AIL,0.0,510.0,500.0,503.0,8098.0,4087704.0
2020-10-18,AIL,0.0,509.0,500.0,501.0,5029.0,2525673.0
2020-10-19,AIL,0.0,508.0,501.0,505.0,4965.0,2498945.0
2020-10-20,AIL,0.0,513.0,502.0,508.0,6590.0,3347560.0
2020-10-21,AIL,0.0,518.0,504.0,513.0,6324.0,3243257.0
2020-10-22,AIL,0.0,515.0,505.0,508.0,3850.0,1964050.0
2020-10-28,AIL,0.0,516.0,507.0,514.0,14532.0,7445195.0
2020-10-29,AIL,0.0,516.0,509.0,510.0,9566.0,4886130.0
2020-11-01,AIL,0.0,515.0,510.0,511.0,8815.0,4506065.0
2020-11-02,AIL,0.0,514.0,501.0,511.0,13304.0,6810130.0
2020-11-03,AIL,0.0,515.0,505.0,512.0,12989.0,6660511.0
2020-11-04,AIL,0.0,516.0,510.0,511.0,8030.0,4104616.0
2020-11-05,AIL,0.0,513.0,507.0,508.0,10940.0,5565810.0
2020-11-08,AIL,0.0,518.0,506.0,509.0,7860.0,4007990.0
2020-11-09,AIL,0.0,515.0,504.0,511.0,16007.0,8193222.0
2020-11-10,AIL,0.0,536.0,510.0,517.0,9831.0,5058510.0
2020-11-11,AIL,0.0,542.0,517.0,523.0,25958.0,13540792.0
2020-11-12,AIL,0.0,549.0,521.0,526.0,24637.0,12972593.0
2020-11-18,AIL,0.0,529.0,519.0,526.0,18169.0,9546292.0
2020-11-19,AIL,0.0,574.0,527.0,563.0,75950.0,41735965.0
2020-11-22,AIL,0.0,606.0,566.0,590.0,120790.0,70735559.0
2020-11-23,AIL,0.0,603.0,578.0,588.0,46009.0,27127054.0
2020-11-24,AIL,0.0,646.0,588.0,646.0,133491.0,82895632.0
2020-11-25,AIL,0.0,710.0,665.0,710.0,91902.0,63936391.0
2020-11-26,AIL,0.0,748.0,677.0,700.0,75790.0,54505150.0
2020-11-29,AIL,0.0,701.0,650.0,680.0,96368.0,65188413.0
2020-11-30,AIL,0.0,710.0,663.0,691.0,69790.0,48084725.0
2020-12-01,AIL,0.0,704.0,680.0,685.0,39130.0,26953730.0
2020-12-02,AIL,0.0,708.0,682.0,700.0,33827.0,23563157.0
2020-12-03,AIL,0.0,730.0,677.0,680.0,39541.0,27227759.0
2020-12-06,AIL,0.0,680.0,627.0,627.0,31525.0,20562420.0
2020-12-07,AIL,0.0,672.0,620.0,670.0,48836.0,31925153.0
2020-12-08,AIL,0.0,687.0,653.0,661.0,20271.0,13463638.0
2020-12-09,AIL,0.0,661.0,637.0,641.0,22354.0,14446823.0
2020-12-10,AIL,0.0,665.0,628.0,649.0,15717.0,10139469.0
2020-12-13,AIL,0.0,663.0,637.0,662.0,9506.0,6218716.0
2020-12-14,AIL,0.0,683.0,661.0,670.0,21177.0,14163085.0
2020-12-15,AIL,0.0,685.0,640.0,678.0,31327.0,21223354.0
2020-12-16,AIL,0.0,691.0,653.0,691.0,37434.0,25537309.0
2020-12-17,AIL,0.0,697.0,671.0,683.0,24255.0,16506667.0
2020-12-20,AIL,0.0,723.0,635.0,650.0,25396.0,16717407.0
2020-12-21,AIL,0.0,665.0,600.0,646.0,32986.0,20756064.0
2020-12-22,AIL,0.0,667.0,637.0,664.0,16561.0,10784616.0
2020-12-23,AIL,0.0,683.0,647.0,654.0,13841.0,9108043.0
2020-12-24,AIL,0.0,654.0,631.0,640.0,10753.0,6896497.0
2020-12-27,AIL,0.0,644.0,627.0,630.0,11123.0,7042929.0
2020-12-28,AIL,0.0,639.0,625.0,634.0,13770.0,8674075.0
2020-12-29,AIL,0.0,645.0,625.0,635.0,13915.0,8851615.0
2020-12-30,AIL,0.0,638.0,628.0,634.0,11211.0,7077793.0
2020-12-31,AIL,0.0,641.0,628.0,631.0,12545.0,7960960.0
2021-01-03,AIL,0.0,648.0,630.0,646.0,12960.0,8286973.0
2021-01-04,AIL,0.0,658.0,630.0,630.0,20102.0,12846577.0
2021-01-05,AIL,0.0,644.0,626.0,639.0,9472.0,6019788.0
2021-01-06,AIL,0.0,650.0,635.0,640.0,15380.0,9803265.0
2021-01-07,AIL,0.0,671.0,632.0,660.0,42912.0,28160192.0
2021-01-10,AIL,0.0,685.0,665.0,673.0,31593.0,21388225.0
2021-01-11,AIL,0.0,685.0,650.0,673.0,18918.0,12809405.0
2021-01-12,AIL,0.0,678.0,664.0,677.0,26812.0,17996439.0
2021-01-13,AIL,0.0,688.0,671.0,674.0,38009.0,25793765.0
2021-01-17,AIL,0.0,692.0,671.0,682.0,17302.0,11775411.0
2021-01-18,AIL,0.0,691.0,682.0,690.0,25324.0,17412967.0
2021-01-19,AIL,0.0,695.0,673.0,680.0,21386.0,14566304.0
2021-01-20,AIL,0.0,690.0,668.0,683.0,29452.0,20070453.0
2021-01-21,AIL,0.0,695.0,673.0,688.0,37046.0,25458459.0
2021-01-24,AIL,0.0,713.0,681.0,702.0,58910.0,40995626.0
2021-01-25,AIL,0.0,714.0,690.0,694.0,33055.0,23210553.0
2021-01-26,AIL,0.0,701.0,686.0,689.0,24705.0,17139289.0
2021-01-27,AIL,0.0,712.0,689.0,702.0,44390.0,31148550.0
2021-01-28,AIL,0.0,723.0,702.0,714.0,51985.0,37217171.0
2021-01-31,AIL,0.0,720.0,695.0,695.0,33823.0,23791491.0
2021-02-01,AIL,0.0,729.0,696.0,707.0,21701.0,15296607.0
2021-02-02,AIL,0.0,777.0,710.0,777.0,92857.0,70607951.0
2021-02-03,AIL,0.0,854.0,760.0,795.0,106126.0,85804598.0
2021-02-04,AIL,0.0,810.0,773.0,801.0,45513.0,36436820.0
2021-02-07,AIL,0.0,825.0,796.0,815.0,45577.0,36798427.0
2021-02-08,AIL,0.0,830.0,809.0,809.0,42106.0,34398644.0
2021-02-09,AIL,0.0,810.0,782.0,793.0,38884.0,30807238.0
2021-02-10,AIL,0.0,800.0,774.0,781.0,31410.0,24699075.0
2021-02-11,AIL,0.0,795.0,758.0,764.0,38842.0,29983311.0
2021-02-14,AIL,0.0,774.0,736.0,749.0,27572.0,20641577.0
2021-02-15,AIL,0.0,795.0,751.0,785.0,25784.0,20185229.0
2021-02-16,AIL,0.0,796.0,767.0,774.0,23828.0,18470622.0
2021-02-17,AIL,0.0,780.0,750.0,759.0,16037.0,12150464.0
