business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2019-08-26,AKBSL,0.0,273.0,263.0,273.0,30.0,8040.0
2019-08-27,AKBSL,0.0,300.0,278.0,300.0,70.0,20400.0
2019-08-28,AKBSL,0.0,312.0,306.0,312.0,20.0,6180.0
2019-08-29,AKBSL,0.0,318.0,318.0,318.0,10.0,3180.0
2019-09-01,AKBSL,0.0,330.0,324.0,330.0,20.0,6540.0
2019-09-02,AKBSL,0.0,342.0,336.0,342.0,20.0,6780.0
2019-09-03,AKBSL,0.0,368.0,348.0,368.0,140.0,49780.0
2019-09-05,AKBSL,0.0,404.0,375.0,404.0,60.0,23490.0
2019-09-08,AKBSL,0.0,444.0,412.0,444.0,460.0,203440.0
2019-09-09,AKBSL,0.0,488.0,455.0,467.0,22021.0,10351198.0
2019-09-10,AKBSL,0.0,472.0,458.0,466.0,8765.0,4060301.0
2019-09-11,AKBSL,0.0,475.0,451.0,452.0,3300.0,1503040.0
2019-09-12,AKBSL,0.0,461.0,435.0,442.0,4610.0,2030950.0
2019-09-15,AKBSL,0.0,437.0,419.0,419.0,2430.0,1028060.0
2019-09-16,AKBSL,0.0,427.0,409.0,419.0,2020.0,835890.0
2019-09-17,AKBSL,0.0,435.0,411.0,427.0,2675.0,1130565.0
2019-09-18,AKBSL,0.0,442.0,423.0,430.0,1270.0,546330.0
2019-09-19,AKBSL,0.0,438.0,421.0,428.0,2192.0,933322.0
2019-09-22,AKBSL,0.0,428.0,410.0,414.0,1730.0,720510.0
2019-09-23,AKBSL,0.0,422.0,410.0,410.0,1080.0,446350.0
2019-09-24,AKBSL,0.0,415.0,410.0,412.0,830.0,341940.0
2019-09-25,AKBSL,0.0,417.0,408.0,412.0,1150.0,474150.0
2019-09-26,AKBSL,0.0,414.0,407.0,407.0,1040.0,426090.0
2019-09-29,AKBSL,0.0,414.0,401.0,408.0,490.0,200490.0
2019-09-30,AKBSL,0.0,425.0,401.0,411.0,570.0,234560.0
2019-10-01,AKBSL,0.0,423.0,409.0,415.0,490.0,204080.0
2019-10-02,AKBSL,0.0,416.0,409.0,413.0,190.0,78460.0
2019-10-03,AKBSL,0.0,416.0,408.0,415.0,430.0,178090.0
2019-10-10,AKBSL,0.0,415.0,410.0,410.0,50.0,20570.0
2019-10-14,AKBSL,0.0,410.0,405.0,407.0,420.0,171200.0
2019-10-15,AKBSL,0.0,410.0,402.0,408.0,160.0,65220.0
2019-10-16,AKBSL,0.0,416.0,405.0,414.0,860.0,349750.0
2019-10-17,AKBSL,0.0,416.0,406.0,416.0,370.0,152740.0
2019-10-20,AKBSL,0.0,414.0,405.0,414.0,250.0,102590.0
2019-10-21,AKBSL,0.0,419.0,408.0,415.0,440.0,181150.0
2019-10-22,AKBSL,0.0,412.0,408.0,408.0,440.0,179890.0
2019-10-23,AKBSL,0.0,411.0,397.0,411.0,450.0,182260.0
2019-10-24,AKBSL,0.0,414.0,406.0,408.0,920.0,375085.0
2019-10-31,AKBSL,0.0,413.0,405.0,407.0,350.0,142540.0
2019-11-03,AKBSL,0.0,420.0,408.0,411.0,590.0,242130.0
2019-11-04,AKBSL,0.0,415.0,408.0,408.0,360.0,147140.0
2019-11-05,AKBSL,0.0,419.0,407.0,419.0,558.0,229706.0
2019-11-06,AKBSL,0.0,418.0,407.0,418.0,2197.0,900509.0
2019-11-07,AKBSL,0.0,418.0,406.0,418.0,310.0,127120.0
2019-11-10,AKBSL,0.0,413.0,403.0,413.0,2010.0,817052.0
2019-11-11,AKBSL,0.0,438.0,407.0,433.0,1160.0,492280.0
2019-11-12,AKBSL,0.0,438.0,407.0,420.0,742.0,311580.0
2019-11-13,AKBSL,0.0,450.0,418.0,444.0,3337.0,1472733.0
2019-11-14,AKBSL,0.0,445.0,436.0,440.0,1899.0,834724.0
2019-11-17,AKBSL,0.0,448.0,424.0,432.0,910.0,394130.0
2019-11-18,AKBSL,0.0,448.0,425.0,435.0,360.0,156480.0
2019-11-19,AKBSL,0.0,434.0,425.0,433.0,860.0,370000.0
2019-11-20,AKBSL,0.0,439.0,431.0,435.0,890.0,385770.0
2019-11-21,AKBSL,0.0,430.0,422.0,429.0,1220.0,517480.0
2019-11-24,AKBSL,0.0,429.0,421.0,425.0,930.0,393150.0
2019-11-25,AKBSL,0.0,433.0,416.0,424.0,350.0,146860.0
2019-11-26,AKBSL,0.0,432.0,418.0,432.0,642.0,271966.0
2019-11-27,AKBSL,0.0,430.0,423.0,430.0,360.0,153120.0
2019-11-28,AKBSL,0.0,429.0,423.0,425.0,730.0,311450.0
2019-12-01,AKBSL,0.0,430.0,421.0,430.0,660.0,281930.0
2019-12-02,AKBSL,0.0,434.0,425.0,431.0,1030.0,442230.0
2019-12-03,AKBSL,0.0,437.0,425.0,429.0,1140.0,492380.0
2019-12-04,AKBSL,0.0,459.0,429.0,449.0,3590.0,1578630.0
2019-12-05,AKBSL,0.0,453.0,435.0,448.0,1682.0,746505.0
2019-12-08,AKBSL,0.0,448.0,434.0,448.0,1420.0,628230.0
2019-12-09,AKBSL,0.0,487.0,450.0,487.0,6245.0,2905900.0
2019-12-10,AKBSL,0.0,496.0,460.0,470.0,3988.0,1870656.0
2019-12-11,AKBSL,0.0,497.0,461.0,488.0,7560.0,3665800.0
2019-12-12,AKBSL,0.0,497.0,472.0,473.0,3090.0,1489430.0
2019-12-15,AKBSL,0.0,467.0,451.0,467.0,1230.0,563160.0
2019-12-16,AKBSL,0.0,465.0,440.0,448.0,3850.0,1755020.0
2019-12-17,AKBSL,0.0,480.0,440.0,479.0,4071.0,1920300.0
2019-12-18,AKBSL,0.0,486.0,467.0,474.0,1610.0,758680.0
2019-12-19,AKBSL,0.0,465.0,465.0,465.0,30.0,13950.0
2022-06-10,AKBSL,390.76,398.5,390.76,398.5,30.0,11818.0
2022-06-13,AKBSL,391.5,414.5,391.5,414.5,70.0,28168.1
2022-06-14,AKBSL,422.7,448.4,422.7,448.4,650.0,771569.0
2022-06-15,AKBSL,457.3,493.2,457.3,493.2,150.0,70226.0
2022-06-16,AKBSL,503.0,542.5,503.0,542.5,70.0,36964.9
2022-06-17,AKBSL,553.3,596.7,553.3,596.7,60.0,34735.0
2022-06-19,AKBSL,596.7,656.3,596.7,656.3,130.0,83311.3
2022-06-20,AKBSL,669.4,721.9,669.4,721.9,100.0,70900.0
2022-06-21,AKBSL,736.3,794.0,736.3,794.0,140.0,108592.0
2022-06-22,AKBSL,809.8,873.4,809.8,873.4,630.0,548679.0
2022-06-23,AKBSL,890.8,960.7,890.8,960.7,2415.0,2316050.5
2022-06-24,AKBSL,979.9,1056.7,869.1,885.0,15418.0,14316341.6
2022-06-26,AKBSL,902.7,921.0,886.9,910.0,7057.0,6393800.5
2022-06-27,AKBSL,928.0,946.7,890.0,919.9,6726.0,6203156.8
2022-06-28,AKBSL,902.6,927.9,886.0,919.0,4770.0,4343348.1
2022-06-29,AKBSL,936.9,1010.9,902.0,1010.9,9460.0,9186525.4
2022-06-30,AKBSL,1031.0,1111.9,1031.0,1111.9,6242.0,6922104.8
2022-07-01,AKBSL,1134.0,1223.0,1134.0,1223.0,1209.0,1451190.0
2022-07-03,AKBSL,1247.4,1345.3,1244.0,1268.0,17224.0,22100018.5
2022-07-04,AKBSL,1293.0,1295.0,1216.3,1217.0,13173.0,16620630.3
2022-07-05,AKBSL,1220.0,1334.1,1200.0,1334.0,9683.0,12341769.0
2022-07-06,AKBSL,1360.6,1407.6,1294.0,1370.0,9107.0,12587105.4
2022-12-20,AKBSL,1397.4,1507.0,1397.4,1507.0,3035.0,4470334.5
2022-12-21,AKBSL,1537.1,1657.7,1537.1,1657.7,8290.0,13739375.0
2022-12-22,AKBSL,1690.8,1790.0,1492.0,1530.0,20110.0,30730877.2
2022-12-26,AKBSL,1560.6,1683.0,1560.6,1632.0,15739.0,25268628.7
2022-12-27,AKBSL,1664.6,1664.6,1580.0,1589.0,11667.0,18721069.9
2022-12-28,AKBSL,1565.2,1586.1,1535.0,1555.0,6943.0,10830081.4
2022-12-29,AKBSL,1523.9,1575.0,1523.9,1555.1,5000.0,7803750.3
2023-01-01,AKBSL,1555.0,1585.0,1538.0,1548.0,4999.0,7778749.0
2023-01-02,AKBSL,1548.0,1610.0,1539.0,1575.0,5594.0,8792408.3
2023-01-03,AKBSL,1595.0,1620.0,1585.0,1609.0,7218.0,11589476.5
2023-01-04,AKBSL,1640.0,1646.0,1586.0,1641.0,4217.0,6845547.0
2023-01-05,AKBSL,1673.0,1681.0,1630.0,1681.0,8011.0,13254777.9
2023-01-08,AKBSL,1710.0,1837.0,1710.0,1823.0,16542.0,29783049.6
2023-01-09,AKBSL,1820.0,1881.0,1820.0,1870.0,8127.0,15080931.0
2023-01-10,AKBSL,1889.0,1907.0,1760.0,1810.0,7830.0,14474980.5
2023-01-12,AKBSL,1825.1,1866.0,1775.5,1775.5,6373.0,11580650.1
2023-01-17,AKBSL,1393.0,1430.0,1376.0,1377.0,5678.0,7886888.9
2023-01-18,AKBSL,1403.0,1403.0,1275.0,1309.9,4017.0,5362128.0
2023-01-19,AKBSL,1286.0,1299.4,1260.3,1273.5,4323.0,5512213.7
2023-01-23,AKBSL,1249.3,1306.1,1249.3,1280.2,2444.0,3160112.8
