business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-02,BFC,0.0,503.0,503.0,503.0,22.0,11066.0
2012-01-18,BFC,0.0,493.0,475.0,475.0,1815.0,878460.0
2012-02-08,BFC,0.0,466.0,448.0,448.0,978.0,442680.0
2012-02-09,BFC,0.0,440.0,424.0,424.0,340.0,146176.0
2012-02-29,BFC,0.0,432.0,432.0,432.0,22.0,9504.0
2012-03-14,BFC,0.0,311.0,294.0,294.0,4356.0,1329306.0
2012-03-19,BFC,0.0,309.0,303.0,309.0,46.0,14034.0
2012-03-20,BFC,0.0,319.0,309.0,319.0,91.0,28605.0
2012-03-21,BFC,0.0,331.0,325.0,331.0,48.0,15756.0
2012-03-26,BFC,0.0,337.0,337.0,337.0,20.0,6740.0
2012-04-15,BFC,0.0,343.0,343.0,343.0,10.0,3430.0
2012-04-17,BFC,0.0,355.0,349.0,355.0,50.0,17570.0
2012-04-18,BFC,0.0,374.0,360.0,374.0,80.0,29260.0
2012-04-19,BFC,0.0,402.0,381.0,402.0,85.0,33120.0
2012-05-09,BFC,0.0,410.0,410.0,410.0,95.0,38950.0
2012-05-10,BFC,0.0,418.0,418.0,418.0,26.0,10868.0
2012-05-14,BFC,0.0,426.0,426.0,426.0,10.0,4260.0
2012-05-31,BFC,0.0,418.0,418.0,418.0,10.0,4180.0
2012-09-06,BFC,0.0,430.0,426.0,430.0,36.0,15376.0
2012-09-12,BFC,0.0,430.0,422.0,430.0,548.0,235408.0
2017-07-31,BFC,0.0,430.0,430.0,430.0,60.0,25800.0
2017-08-02,BFC,0.0,422.0,422.0,422.0,22746.0,1990680.0
2017-08-03,BFC,0.0,414.0,380.0,380.0,1250.0,486860.0
2017-08-06,BFC,0.0,373.0,345.0,345.0,445.0,160665.0
2017-08-07,BFC,0.0,339.0,339.0,339.0,150.0,50850.0
2017-08-09,BFC,0.0,339.0,309.0,309.0,2080.0,671160.0
2017-08-10,BFC,0.0,190.0,190.0,190.0,120.0,22800.0
2017-08-13,BFC,0.0,189.0,189.0,189.0,50.0,9450.0
2017-08-20,BFC,0.0,186.0,183.0,183.0,18101.0,3366186.0
2017-08-24,BFC,0.0,180.0,165.0,165.0,30940.0,5424410.0
2017-08-27,BFC,0.0,162.0,149.0,149.0,1900.0,284850.0
2017-08-28,BFC,0.0,147.0,135.0,135.0,6614.0,893790.0
2017-08-30,BFC,0.0,134.0,122.0,134.0,17372.0,2166954.0
2017-08-31,BFC,0.0,140.0,136.0,140.0,4940.0,672140.0
2017-09-04,BFC,0.0,140.0,138.0,140.0,500.0,69800.0
2017-09-06,BFC,0.0,142.0,136.0,138.0,1660.0,229240.0
2017-09-07,BFC,0.0,140.0,136.0,136.0,3320.0,461720.0
2017-09-10,BFC,0.0,134.0,123.0,125.0,2960.0,369100.0
2017-09-11,BFC,0.0,123.0,119.0,119.0,166.0,19854.0
2017-09-12,BFC,0.0,117.0,115.0,115.0,40.0,4660.0
2017-09-13,BFC,0.0,118.0,110.0,118.0,5350.0,611910.0
2017-09-14,BFC,0.0,126.0,120.0,123.0,1000.0,123100.0
2017-09-17,BFC,0.0,126.0,124.0,126.0,146.0,18304.0
2017-09-18,BFC,0.0,132.0,128.0,130.0,2160.0,280800.0
2017-09-20,BFC,0.0,134.0,132.0,134.0,154.0,20348.0
2017-09-24,BFC,0.0,137.0,132.0,137.0,1890.0,253080.0
2017-09-25,BFC,0.0,136.0,135.0,135.0,950.0,128290.0
2017-09-26,BFC,0.0,138.0,135.0,138.0,670.0,92050.0
2017-10-03,BFC,0.0,138.0,138.0,138.0,50.0,6900.0
2017-10-04,BFC,0.0,136.0,134.0,134.0,1150.0,155600.0
2017-10-08,BFC,0.0,133.0,131.0,133.0,780.0,103310.0
2017-10-09,BFC,0.0,131.0,127.0,127.0,810.0,104790.0
2017-10-11,BFC,0.0,127.0,120.0,122.0,6000.0,738800.0
2017-10-12,BFC,0.0,127.0,123.0,127.0,1728.0,213470.0
2017-10-15,BFC,0.0,139.0,129.0,139.0,2700.0,372240.0
2017-10-16,BFC,0.0,152.0,141.0,152.0,5075.0,766200.0
