business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-07-28,BHDC,334.0,367.4,334.0,367.4,13720.0,5036712.0
2022-07-29,BHDC,374.7,404.1,363.0,378.0,55635.0,20842346.1
2022-07-31,BHDC,385.5,395.8,370.0,395.8,22370.0,8461266.4
2022-08-01,BHDC,395.8,410.1,375.1,406.5,21390.0,8558967.0
2022-08-02,BHDC,399.0,447.1,398.0,447.1,41189.0,17660563.0
2022-08-03,BHDC,450.0,482.6,435.0,466.1,30777.0,14198570.2
2022-08-04,BHDC,466.0,495.5,448.0,487.0,33555.0,16129705.5
2022-08-05,BHDC,477.5,482.4,459.0,472.1,26010.0,12336119.7
2022-08-07,BHDC,470.0,504.0,465.1,482.0,27273.0,13109018.2
2022-08-08,BHDC,491.5,520.0,480.0,497.0,27790.0,13860900.0
2022-08-09,BHDC,488.0,515.0,480.0,487.0,19469.0,9474064.0
2022-08-10,BHDC,477.3,484.5,470.0,477.0,14665.0,6969095.0
2022-08-11,BHDC,468.0,499.0,468.0,468.0,18162.0,8653948.5
2022-08-14,BHDC,463.6,486.0,458.7,459.2,15793.0,7290647.9
2022-08-15,BHDC,459.0,475.2,450.0,475.0,12940.0,6051166.6
2022-08-16,BHDC,469.9,493.0,458.0,467.0,23137.0,10775743.5
2022-08-17,BHDC,460.0,480.0,453.0,475.0,26513.0,12493178.5
2022-08-18,BHDC,484.0,499.5,466.1,489.0,21993.0,10776042.1
2022-08-21,BHDC,498.7,505.0,475.0,476.0,15918.0,7703424.7
2022-08-22,BHDC,466.5,495.0,465.2,481.4,10150.0,4786722.0
2022-08-23,BHDC,471.8,480.0,467.0,479.0,5090.0,2414028.0
2022-08-24,BHDC,469.5,480.0,461.1,472.0,9780.0,4621758.0
2022-08-25,BHDC,472.0,480.0,460.1,461.0,13306.0,6197379.5
2022-08-26,BHDC,457.0,457.0,449.0,454.9,5720.0,2585807.0
2022-08-28,BHDC,445.9,455.9,428.5,445.0,16573.0,7315287.6
2022-08-29,BHDC,437.0,452.0,423.3,440.0,10911.0,4750252.4
2022-08-30,BHDC,432.0,456.0,432.0,434.0,3151.0,1374277.0
2022-08-31,BHDC,430.0,450.0,412.0,414.0,8330.0,3510895.3
2022-09-01,BHDC,406.1,433.0,400.7,429.0,5130.0,2141765.0
2022-09-02,BHDC,420.6,444.7,420.1,421.0,1210.0,513124.0
2022-09-04,BHDC,415.0,444.0,415.0,429.0,5245.0,2235917.0
2022-09-05,BHDC,423.6,437.5,423.6,425.4,3360.0,1438730.0
2022-09-06,BHDC,418.0,433.0,412.0,426.0,4421.0,1854474.2
2022-09-07,BHDC,417.6,430.0,411.0,421.4,1750.0,732858.0
2022-09-08,BHDC,421.0,437.0,416.7,437.0,3940.0,1675343.0
2022-09-11,BHDC,431.0,439.0,422.6,427.0,3400.0,1451418.0
2022-09-12,BHDC,418.7,421.0,416.0,420.0,3030.0,1266798.0
2022-09-13,BHDC,415.0,436.5,415.0,421.0,3790.0,1595917.0
2022-09-14,BHDC,415.0,440.0,415.0,437.0,13157.0,5643859.8
2022-09-15,BHDC,429.0,430.0,403.1,411.0,10060.0,4172264.5
2022-09-16,BHDC,402.8,423.3,389.0,423.0,5390.0,2165341.0
2022-09-18,BHDC,414.6,414.6,394.0,409.0,5110.0,2048021.0
2022-09-20,BHDC,405.0,405.0,380.0,388.0,4161.0,1614934.0
2022-09-21,BHDC,395.0,395.0,380.0,380.0,2750.0,1054751.0
2022-09-22,BHDC,375.0,394.0,353.0,360.0,16182.0,5896886.8
2022-09-25,BHDC,360.0,360.0,345.0,354.9,2217.0,774577.1
2022-09-27,BHDC,360.0,367.2,340.0,363.0,4395.0,1544084.0
2022-09-28,BHDC,355.8,360.0,345.0,345.0,1439.0,502062.0
2022-09-29,BHDC,338.1,361.0,338.1,358.0,725.0,252600.0
2022-10-09,BHDC,358.0,367.0,348.0,367.0,870.0,309679.0
2022-10-10,BHDC,368.0,368.0,343.6,367.9,6495.0,2243502.0
2022-10-11,BHDC,360.6,360.6,336.3,341.5,4460.0,1525515.2
2022-10-12,BHDC,335.1,356.0,331.0,353.6,1356.0,460161.0
2022-10-13,BHDC,347.0,353.0,341.2,343.0,3730.0,1283493.0
2022-10-16,BHDC,336.2,349.8,330.0,349.8,4250.0,1426945.0
2022-10-17,BHDC,342.9,342.9,332.0,335.0,1020.0,342484.0
2022-10-19,BHDC,333.0,335.0,322.5,322.5,1845.0,602818.0
2022-10-20,BHDC,316.1,336.6,310.5,336.6,2581.0,816667.0
2022-10-23,BHDC,329.9,330.3,317.0,327.0,770.0,248493.0
2022-10-31,BHDC,320.5,330.0,310.1,326.0,1239.0,396620.5
2022-11-01,BHDC,320.0,338.1,310.0,328.2,2085.0,683663.0
2022-11-02,BHDC,334.0,342.0,316.0,333.4,8536.0,2820104.1
2022-11-03,BHDC,327.1,340.0,327.1,334.0,7223.0,2396903.0
2022-11-06,BHDC,334.0,343.7,330.0,340.0,2099.0,712077.4
2022-11-07,BHDC,333.4,370.0,331.0,350.0,10455.0,3623692.0
2022-11-08,BHDC,343.0,350.0,337.5,350.0,1170.0,403064.0
2022-11-09,BHDC,343.0,343.0,327.0,332.9,4835.0,1610566.0
2022-11-10,BHDC,328.0,330.0,321.5,327.9,4309.0,1403280.6
2022-11-13,BHDC,321.6,326.0,319.0,319.0,3550.0,1145327.0
2022-11-14,BHDC,317.5,338.0,317.0,327.4,810.0,262408.0
2022-11-15,BHDC,321.0,328.0,320.0,320.0,1660.0,537191.8
2022-11-16,BHDC,316.8,337.6,316.8,330.0,4547.0,1487349.2
2022-11-17,BHDC,330.0,341.5,322.0,339.0,2926.0,991286.4
2022-11-22,BHDC,340.0,350.0,321.1,325.9,7559.0,2533744.9
2022-11-23,BHDC,332.0,332.0,318.8,328.4,1730.0,558220.8
2022-11-24,BHDC,325.0,335.0,325.0,335.0,930.0,306286.0
2022-11-27,BHDC,330.0,343.0,323.5,343.0,3210.0,1082496.2
2022-11-28,BHDC,338.2,341.0,333.0,336.1,3947.0,1331814.0
2022-11-29,BHDC,329.4,345.0,327.2,339.9,1921.0,649524.2
2022-11-30,BHDC,336.1,350.5,336.1,342.1,5406.0,1856735.7
2022-12-01,BHDC,336.1,353.0,336.1,344.8,2760.0,951360.0
2022-12-04,BHDC,344.8,351.0,340.0,351.0,4805.0,1667171.0
2022-12-05,BHDC,346.0,358.0,339.3,340.0,10339.0,3537968.4
2022-12-06,BHDC,338.0,345.0,338.0,343.1,4664.0,1597911.0
2022-12-07,BHDC,340.1,346.5,337.1,343.5,3370.0,1155410.0
2022-12-11,BHDC,337.0,342.0,331.0,341.0,3250.0,1099958.0
2022-12-12,BHDC,334.2,344.9,330.0,344.9,1535.0,514102.5
2022-12-13,BHDC,338.3,348.0,338.3,348.0,1640.0,565507.0
2022-12-14,BHDC,343.0,354.5,343.0,350.0,6181.0,2165538.0
2022-12-15,BHDC,344.0,350.8,340.0,344.0,3759.0,1306671.0
2022-12-18,BHDC,338.0,340.0,330.0,340.0,8570.0,2856339.0
2022-12-19,BHDC,333.2,340.0,332.0,340.0,3001.0,1010297.0
2022-12-20,BHDC,336.0,343.0,336.0,342.0,934.0,318238.9
2022-12-21,BHDC,336.0,344.7,336.0,340.7,2000.0,681844.0
2022-12-22,BHDC,340.0,342.0,333.9,336.1,2870.0,974315.1
2022-12-26,BHDC,342.8,369.0,342.8,369.0,9565.0,3418093.0
2022-12-27,BHDC,375.0,384.0,358.0,384.0,14907.0,5608621.2
2022-12-28,BHDC,369.8,369.8,351.0,360.0,4027.0,1441654.0
2022-12-29,BHDC,353.0,373.0,351.6,372.0,6700.0,2438803.0
2023-01-01,BHDC,365.0,377.0,359.0,362.0,6737.0,2476372.5
2023-01-02,BHDC,365.0,366.9,358.0,363.0,22880.0,8222517.0
2023-01-03,BHDC,356.1,370.0,356.1,368.9,3480.0,1271989.5
2023-01-04,BHDC,361.7,405.7,361.7,405.7,7155.0,2748867.5
2023-01-05,BHDC,397.6,405.0,390.0,400.0,5634.0,2238135.0
2023-01-08,BHDC,392.0,417.0,384.2,417.0,17474.0,7108410.5
2023-01-09,BHDC,412.0,448.9,408.7,440.0,8210.0,3521648.5
2023-01-10,BHDC,440.0,457.7,403.0,414.9,13654.0,5769877.3
2023-01-12,BHDC,413.0,423.0,393.0,415.3,25449.0,10243952.0
2023-01-17,BHDC,409.0,431.0,398.0,415.0,4633.0,1911017.9
2023-01-18,BHDC,415.0,444.9,413.0,427.5,10574.0,4475808.5
2023-01-19,BHDC,420.0,422.0,410.0,421.0,4140.0,1730371.0
2023-01-23,BHDC,415.0,427.0,402.1,405.0,7480.0,3072063.0
2023-01-24,BHDC,401.0,413.1,392.2,407.0,13400.0,5368567.2
2023-01-25,BHDC,400.0,423.4,394.4,411.0,15645.0,6422829.0
2023-01-26,BHDC,403.1,418.0,403.1,407.0,8905.0,3686521.0
2023-01-29,BHDC,407.0,426.0,398.9,415.2,12097.0,5048006.6
2023-01-30,BHDC,416.0,424.0,402.0,402.0,3020.0,1235079.0
2023-01-31,BHDC,402.0,418.0,395.0,403.0,7265.0,2917065.0
2023-02-01,BHDC,395.0,411.0,395.0,400.5,5491.0,2210396.0
2023-02-02,BHDC,394.1,408.0,394.1,394.1,4850.0,1924239.0
2023-02-05,BHDC,394.1,408.9,392.1,400.0,10490.0,4203349.0
2023-02-06,BHDC,398.0,402.1,393.1,396.1,4328.0,1727101.9
2023-02-07,BHDC,396.0,419.0,395.4,418.0,9453.0,3882130.0
2023-02-08,BHDC,420.0,423.0,412.0,414.0,12963.0,5409493.8
2023-02-09,BHDC,407.0,416.0,407.0,412.0,7076.0,2909062.0
2023-02-12,BHDC,406.0,428.5,400.0,403.0,11008.0,4477773.6
2023-02-14,BHDC,397.1,420.2,397.1,417.0,11504.0,4753576.5
2023-02-15,BHDC,409.0,420.0,409.0,413.0,5059.0,2095605.0
2023-02-16,BHDC,410.0,421.1,410.0,410.0,9496.0,3946929.9
2023-02-20,BHDC,408.0,415.0,403.2,415.0,2861.0,1172519.9
2023-02-22,BHDC,410.0,446.0,408.1,433.5,12533.0,5394308.4
2023-02-23,BHDC,424.9,433.5,417.0,422.0,16773.0,7110280.2
2023-02-26,BHDC,413.7,424.0,407.0,424.0,10659.0,4436562.0
2023-02-27,BHDC,419.0,426.6,408.0,418.0,10820.0,4479844.0
2023-02-28,BHDC,409.8,428.0,409.8,422.0,2420.0,1022111.5
2023-03-01,BHDC,420.0,420.0,414.0,415.1,6937.0,2892343.0
2023-03-02,BHDC,409.2,417.0,409.2,412.1,6480.0,2674941.0
2023-03-05,BHDC,412.0,412.0,400.1,400.1,5414.0,2185448.0
2023-03-07,BHDC,407.0,409.5,395.0,405.0,3747.0,1505420.5
2023-03-09,BHDC,397.2,419.0,397.2,417.0,11593.0,4764153.1
2023-03-12,BHDC,409.0,415.0,403.9,404.5,3617.0,1480117.0
2023-03-13,BHDC,404.0,405.0,400.0,402.0,1170.0,470909.0
2023-03-14,BHDC,402.0,431.3,395.4,431.3,5285.0,2215528.0
2023-03-15,BHDC,422.7,460.0,413.2,459.0,19610.0,8683446.5
2023-03-16,BHDC,450.0,468.1,433.5,452.8,18989.0,8487903.3
2023-03-19,BHDC,443.8,451.0,437.0,440.0,8785.0,3900451.5
2023-03-20,BHDC,432.0,463.0,432.0,461.0,15070.0,6839389.6
2023-03-22,BHDC,455.0,468.9,445.0,453.9,9310.0,4222847.1
2023-03-23,BHDC,445.0,446.0,431.1,433.4,3620.0,1586661.7
2023-03-26,BHDC,425.1,430.0,417.1,426.0,7173.0,3040534.0
2023-03-27,BHDC,418.1,431.0,418.0,430.1,3336.0,1419077.0
2023-03-28,BHDC,423.1,441.1,423.1,436.0,3517.0,1525148.3
2023-03-29,BHDC,428.0,434.9,421.0,434.9,4879.0,2106876.5
2023-03-30,BHDC,434.9,448.8,423.1,427.0,4829.0,2070056.2
2023-04-02,BHDC,427.0,430.0,419.0,421.5,5593.0,2365785.6
2023-04-03,BHDC,415.0,424.0,415.0,424.0,3693.0,1541441.6
2023-04-04,BHDC,416.1,427.3,412.1,426.9,7017.0,2944321.5
2023-04-05,BHDC,420.0,427.0,411.4,427.0,3616.0,1510380.4
2023-04-06,BHDC,435.5,435.5,418.5,430.0,3276.0,1386330.0
2023-04-09,BHDC,421.4,421.4,407.8,418.9,4642.0,1908513.9
2023-04-10,BHDC,411.1,418.9,411.0,418.9,2121.0,875772.6
2023-04-11,BHDC,415.0,436.0,411.0,436.0,2435.0,1018655.0
2023-04-12,BHDC,444.0,446.0,419.2,444.8,11748.0,5154597.1
2023-04-13,BHDC,436.0,444.0,422.1,437.0,6906.0,3010284.2
2023-04-16,BHDC,437.0,437.0,420.0,420.0,2343.0,995434.0
2023-04-17,BHDC,420.0,421.8,412.6,414.1,2757.0,1144334.0
2023-04-18,BHDC,410.0,437.0,408.0,437.0,2126.0,890956.0
2023-04-20,BHDC,423.4,426.1,413.0,423.9,4667.0,1946715.9
2023-04-23,BHDC,415.5,432.1,408.5,415.0,4715.0,1958329.0
2023-04-24,BHDC,407.0,415.1,407.0,415.1,4377.0,1798136.0
2023-04-25,BHDC,407.1,417.2,407.1,417.0,4266.0,1763506.5
2023-04-26,BHDC,409.2,415.0,409.2,410.1,1632.0,670224.2
2023-04-27,BHDC,410.0,417.0,404.1,417.0,2643.0,1082236.6
2023-04-30,BHDC,408.9,409.0,401.0,404.2,4490.0,1820201.3
2023-05-02,BHDC,405.0,407.0,394.0,404.9,6785.0,2714730.2
2023-05-03,BHDC,397.3,411.9,391.0,411.9,2275.0,900991.8
2023-05-04,BHDC,403.8,404.4,390.2,404.0,940.0,376890.0
2023-05-07,BHDC,398.0,402.0,390.4,402.0,1930.0,768152.0
2023-05-08,BHDC,394.0,401.6,391.0,391.3,1580.0,619204.3
2023-05-09,BHDC,383.7,399.8,383.7,396.0,715.0,282446.0
2023-05-10,BHDC,388.2,400.0,382.3,387.1,1640.0,638288.0
2023-05-11,BHDC,383.0,399.0,382.4,399.0,895.0,346519.0
2023-05-14,BHDC,405.9,406.0,380.0,397.9,1732.0,668587.2
2023-05-15,BHDC,390.0,392.0,377.5,392.0,598.0,230246.4
2023-05-16,BHDC,384.2,392.0,377.0,387.0,450.0,173622.0
2023-05-17,BHDC,381.0,394.0,381.0,394.0,1691.0,662741.0
2023-05-18,BHDC,387.0,408.0,380.1,407.9,2377.0,956114.0
2023-05-21,BHDC,401.0,407.0,390.0,400.0,2682.0,1059336.0
2023-05-22,BHDC,408.0,432.8,392.1,404.9,5010.0,2068584.8
2023-05-23,BHDC,412.9,420.9,397.0,415.0,4639.0,1921115.0
2023-05-24,BHDC,407.1,420.0,403.1,403.1,3988.0,1630153.0
2023-05-28,BHDC,395.4,408.0,395.4,402.0,2499.0,1002060.8
2023-05-30,BHDC,401.0,401.0,380.0,400.0,3346.0,1289736.9
2023-05-31,BHDC,392.0,397.9,370.1,379.7,8366.0,3194819.5
2023-06-01,BHDC,387.2,387.2,370.1,375.8,2763.0,1045076.9
2023-06-04,BHDC,376.0,397.8,376.0,397.8,3532.0,1381761.6
2023-06-05,BHDC,390.0,400.0,387.1,400.0,2351.0,926101.9
2023-06-06,BHDC,392.0,412.9,386.0,404.0,3817.0,1550472.1
2023-06-07,BHDC,400.0,419.0,397.0,405.0,2985.0,1206578.4
2023-06-08,BHDC,398.0,405.0,393.0,396.0,7084.0,2815336.9
2023-06-11,BHDC,396.0,411.0,389.5,408.0,10200.0,4093709.5
2023-06-12,BHDC,399.9,415.0,395.1,406.0,6738.0,2685003.5
2023-06-13,BHDC,406.0,422.0,391.0,415.0,19027.0,7777184.1
2023-06-14,BHDC,406.7,415.0,401.0,415.0,7312.0,2984613.3
2023-06-15,BHDC,406.7,410.0,402.0,409.0,5086.0,2052994.0
2023-06-18,BHDC,402.0,413.0,402.0,413.0,4326.0,1769680.5
