business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-01-04,BHPL,194.3,213.7,194.3,213.7,370.0,78066.7
2023-01-05,BHPL,217.9,235.0,217.9,235.0,370.0,86528.0
2023-01-08,BHPL,239.7,258.5,239.7,258.5,430.0,110689.0
2023-01-09,BHPL,263.6,284.3,263.6,284.3,340.0,96150.0
2023-01-10,BHPL,289.9,312.7,289.9,312.7,1140.0,355915.0
2023-01-12,BHPL,318.9,343.9,318.9,343.9,2890.0,993256.0
2023-01-17,BHPL,350.7,378.2,350.7,378.2,4980.0,1880773.0
2023-01-18,BHPL,385.7,416.0,385.7,416.0,16324.0,6779761.0
2023-01-19,BHPL,424.3,439.6,401.2,419.1,21229.0,8857146.3
2023-01-23,BHPL,410.8,420.0,405.0,412.0,11120.0,4583428.0
2023-01-24,BHPL,412.0,412.0,400.0,408.0,6710.0,2725917.0
2023-01-25,BHPL,402.1,448.8,402.1,442.0,13179.0,5613533.4
2023-01-26,BHPL,450.8,486.2,442.1,486.2,10923.0,5121572.3
2023-01-29,BHPL,495.9,534.8,487.0,534.8,21198.0,11070296.2
2023-01-30,BHPL,545.4,588.2,545.4,569.9,38326.0,21904852.5
2023-01-31,BHPL,559.0,611.9,539.0,611.9,15594.0,8887087.0
2023-02-01,BHPL,599.7,611.9,571.0,596.0,15763.0,9300593.5
2023-02-02,BHPL,600.0,600.0,560.6,573.0,18237.0,10521047.3
2023-02-05,BHPL,561.6,573.9,540.8,567.0,16040.0,8913865.5
2023-02-06,BHPL,555.7,555.7,537.0,540.5,5651.0,3085572.5
2023-02-07,BHPL,536.4,572.0,536.2,558.9,8910.0,4905884.0
2023-02-08,BHPL,570.0,600.0,538.0,570.0,9113.0,5079178.2
2023-02-09,BHPL,558.6,627.0,548.0,627.0,38364.0,22831293.0
2023-02-12,BHPL,614.5,653.0,592.0,641.5,33770.0,21324847.4
2023-02-14,BHPL,630.0,630.0,600.0,609.0,22781.0,14009635.7
2023-02-15,BHPL,597.0,654.7,590.0,654.7,11799.0,7163455.9
2023-02-16,BHPL,641.7,647.0,600.1,640.0,21239.0,13154589.0
2023-02-20,BHPL,627.2,677.2,603.1,610.0,14501.0,9022807.3
2023-02-22,BHPL,610.0,640.0,600.2,629.0,14040.0,8705003.0
2023-02-23,BHPL,617.0,617.0,598.0,598.0,7752.0,4680497.8
2023-02-26,BHPL,586.1,601.8,552.8,601.8,6556.0,3812573.0
2023-02-27,BHPL,590.0,610.0,570.0,584.0,8772.0,5101242.5
2023-02-28,BHPL,573.1,579.0,562.0,568.0,2920.0,1657967.0
2023-03-01,BHPL,560.0,594.0,550.0,594.0,5891.0,3333441.5
2023-03-02,BHPL,605.8,605.8,547.0,565.9,5055.0,2804012.5
2023-03-05,BHPL,577.0,577.0,535.0,539.0,870.0,469487.0
2023-03-07,BHPL,531.0,549.0,528.3,528.3,1197.0,639669.1
2023-03-09,BHPL,538.8,549.5,510.0,544.9,5017.0,2647553.6
2023-03-12,BHPL,555.0,561.0,529.4,543.0,7145.0,3853194.0
2023-03-13,BHPL,532.3,538.9,517.7,535.0,1255.0,662018.0
2023-03-14,BHPL,524.3,555.0,515.1,554.0,1097.0,588865.0
2023-03-15,BHPL,550.0,572.0,525.1,525.1,1629.0,875302.7
2023-03-16,BHPL,535.0,535.0,516.2,522.0,7001.0,3687913.0
2023-03-19,BHPL,512.0,550.0,512.0,521.2,2811.0,1479374.0
2023-03-20,BHPL,521.2,541.9,521.2,525.0,2650.0,1400086.0
2023-03-22,BHPL,520.0,540.0,520.0,530.0,3761.0,1990530.0
2023-03-23,BHPL,525.0,526.0,514.9,525.0,3050.0,1583351.5
2023-03-26,BHPL,515.2,521.0,505.0,505.3,4475.0,2288270.2
2023-03-27,BHPL,515.4,515.4,496.2,514.0,4281.0,2157404.6
2023-03-28,BHPL,514.0,524.2,504.0,504.0,3040.0,1559678.9
2023-03-29,BHPL,500.0,510.0,490.1,496.0,2171.0,1078149.0
2023-03-30,BHPL,502.0,510.0,498.1,500.0,1801.0,903301.0
2023-04-02,BHPL,500.0,530.0,495.2,495.2,7517.0,3758986.0
2023-04-03,BHPL,485.4,497.8,485.4,497.8,546.0,268138.8
2023-04-04,BHPL,488.1,497.0,473.0,494.7,2230.0,1071836.0
2023-04-05,BHPL,490.0,513.9,480.0,510.0,4043.0,2003135.2
2023-04-06,BHPL,499.8,507.9,490.2,492.6,2252.0,1119435.0
2023-04-09,BHPL,482.8,485.0,475.4,476.0,3012.0,1438935.0
2023-04-10,BHPL,476.0,504.0,467.2,504.0,1610.0,765273.0
2023-04-11,BHPL,494.0,509.9,484.1,509.9,1447.0,720156.0
2023-04-12,BHPL,500.0,520.2,485.0,518.6,10477.0,5371296.4
2023-04-13,BHPL,524.8,524.8,493.2,509.0,5005.0,2525420.4
2023-04-16,BHPL,500.0,505.0,490.0,503.0,1560.0,774402.0
2023-04-17,BHPL,493.1,502.8,486.0,500.0,1430.0,697919.0
