business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-05,CBBL,0.0,340.0,340.0,340.0,20.0,6800.0
2012-01-11,CBBL,0.0,334.0,328.0,328.0,30.0,9900.0
2012-01-19,CBBL,0.0,322.0,322.0,322.0,21.0,6762.0
2012-01-25,CBBL,0.0,323.0,323.0,323.0,977.0,315571.0
2012-02-06,CBBL,0.0,320.0,320.0,320.0,20.0,6400.0
2012-02-08,CBBL,0.0,326.0,326.0,326.0,158.0,51508.0
2012-02-16,CBBL,0.0,320.0,314.0,314.0,138.0,43932.0
2012-02-23,CBBL,0.0,309.0,297.0,297.0,50.0,15210.0
2012-02-28,CBBL,0.0,292.0,277.0,277.0,178.0,51106.0
2012-02-29,CBBL,0.0,282.0,282.0,282.0,82.0,23124.0
2012-03-01,CBBL,0.0,277.0,254.0,254.0,1795.0,464919.0
2012-03-04,CBBL,0.0,249.0,249.0,249.0,126.0,31374.0
2012-03-05,CBBL,0.0,246.0,242.0,242.0,31.0,7586.0
2012-03-20,CBBL,0.0,246.0,246.0,246.0,158.0,38868.0
2012-03-25,CBBL,0.0,250.0,250.0,250.0,157.0,39250.0
2012-03-28,CBBL,0.0,251.0,251.0,251.0,84.0,21084.0
2012-04-08,CBBL,0.0,256.0,256.0,256.0,110.0,28160.0
2012-04-12,CBBL,0.0,253.0,253.0,253.0,476.0,120428.0
2012-04-26,CBBL,0.0,258.0,258.0,258.0,2175.0,561150.0
2012-05-14,CBBL,0.0,273.0,263.0,273.0,1927.0,516776.0
2012-05-17,CBBL,0.0,293.0,278.0,293.0,288.0,82849.0
2012-05-24,CBBL,0.0,288.0,288.0,288.0,319.0,91872.0
2012-06-07,CBBL,0.0,293.0,293.0,293.0,472.0,138296.0
2012-06-12,CBBL,0.0,288.0,283.0,283.0,658.0,188714.0
2012-06-17,CBBL,0.0,288.0,288.0,288.0,420.0,120960.0
2012-07-01,CBBL,0.0,286.0,286.0,286.0,157.0,44902.0
2012-07-11,CBBL,0.0,314.0,291.0,314.0,1141.0,348574.0
2012-07-17,CBBL,0.0,345.0,320.0,345.0,160.0,54500.0
2012-07-18,CBBL,0.0,379.0,351.0,379.0,443.0,163515.0
2012-07-19,CBBL,0.0,400.0,379.0,379.0,906.0,349567.0
2012-07-23,CBBL,0.0,375.0,374.0,374.0,58.0,21734.0
2012-07-24,CBBL,0.0,395.0,381.0,395.0,644.0,249172.0
2012-07-26,CBBL,0.0,388.0,388.0,388.0,16.0,6208.0
2012-07-31,CBBL,0.0,388.0,381.0,388.0,1437.0,551859.0
2012-08-01,CBBL,0.0,402.0,395.0,396.0,64.0,25394.0
2012-08-06,CBBL,0.0,389.0,389.0,389.0,100.0,38900.0
2012-08-13,CBBL,0.0,390.0,390.0,390.0,525.0,204750.0
2012-08-16,CBBL,0.0,396.0,385.0,385.0,210.0,81758.0
2012-08-19,CBBL,0.0,378.0,371.0,371.0,380.0,142450.0
2012-08-28,CBBL,0.0,364.0,364.0,364.0,10.0,3640.0
2012-08-29,CBBL,0.0,373.0,340.0,373.0,435.0,150770.0
2012-08-30,CBBL,0.0,376.0,369.0,375.0,1755.0,654645.0
2012-09-02,CBBL,0.0,382.0,382.0,382.0,21.0,8022.0
2012-09-03,CBBL,0.0,376.0,376.0,376.0,796.0,299296.0
2012-09-04,CBBL,0.0,384.0,377.0,377.0,344.0,131500.0
2012-09-05,CBBL,0.0,384.0,384.0,384.0,42.0,16128.0
2012-09-06,CBBL,0.0,384.0,377.0,377.0,880.0,331830.0
2012-09-09,CBBL,0.0,375.0,375.0,375.0,420.0,157500.0
2012-09-10,CBBL,0.0,373.0,368.0,373.0,2000.0,741000.0
2012-09-11,CBBL,0.0,372.0,372.0,372.0,1000.0,372000.0
2012-09-12,CBBL,0.0,380.0,374.0,380.0,230.0,87220.0
2012-09-16,CBBL,0.0,418.0,380.0,418.0,2184.0,857209.0
2012-09-17,CBBL,0.0,450.0,426.0,440.0,891.0,390147.0
2012-09-18,CBBL,0.0,433.0,415.0,422.0,1457.0,612409.0
2012-09-19,CBBL,0.0,430.0,422.0,422.0,50.0,21180.0
2012-09-20,CBBL,0.0,430.0,422.0,424.0,563.0,238744.0
2012-09-23,CBBL,0.0,416.0,416.0,416.0,261.0,108576.0
2012-09-24,CBBL,0.0,408.0,402.0,402.0,618.0,251886.0
2012-09-25,CBBL,0.0,405.0,405.0,405.0,50.0,20250.0
2012-09-26,CBBL,0.0,413.0,412.0,413.0,370.0,152710.0
2012-09-27,CBBL,0.0,416.0,411.0,416.0,107.0,44262.0
2012-09-30,CBBL,0.0,420.0,420.0,420.0,100.0,42000.0
2012-10-03,CBBL,0.0,428.0,428.0,428.0,26.0,11128.0
2012-10-08,CBBL,0.0,425.0,417.0,417.0,377.0,159330.0
2012-10-09,CBBL,0.0,425.0,425.0,425.0,21.0,8925.0
2012-10-10,CBBL,0.0,441.0,432.0,441.0,304.0,131708.0
2012-10-30,CBBL,0.0,474.0,449.0,474.0,69.0,31923.0
2012-11-01,CBBL,0.0,471.0,452.0,452.0,1494.0,696238.0
2012-11-04,CBBL,0.0,456.0,451.0,456.0,1002.0,455320.0
2012-11-05,CBBL,0.0,465.0,460.0,460.0,730.0,336073.0
2012-11-06,CBBL,0.0,487.0,469.0,478.0,288.0,137925.0
2012-11-07,CBBL,0.0,472.0,471.0,472.0,155.0,73110.0
2012-11-08,CBBL,0.0,479.0,470.0,475.0,1779.0,842129.0
2012-11-11,CBBL,0.0,474.0,470.0,474.0,494.0,233356.0
2012-11-12,CBBL,0.0,475.0,470.0,470.0,184.0,86980.0
2012-11-20,CBBL,0.0,478.0,475.0,476.0,780.0,371114.0
2012-11-21,CBBL,0.0,485.0,484.0,485.0,140.0,67800.0
2012-11-22,CBBL,0.0,499.0,476.0,497.0,1027.0,505881.0
2012-11-25,CBBL,0.0,493.0,493.0,493.0,20.0,9860.0
2012-12-11,CBBL,0.0,391.0,391.0,391.0,100.0,39100.0
2012-12-13,CBBL,0.0,405.0,398.0,405.0,100.0,40150.0
2012-12-16,CBBL,0.0,421.0,405.0,421.0,255.0,103755.0
2012-12-17,CBBL,0.0,421.0,421.0,421.0,53.0,22313.0
2012-12-20,CBBL,0.0,437.0,429.0,437.0,40.0,17320.0
2012-12-24,CBBL,0.0,430.0,430.0,430.0,48.0,20640.0
2013-01-13,CBBL,0.0,443.0,425.0,425.0,4934.0,2146370.0
2013-01-17,CBBL,0.0,417.0,401.0,401.0,30.0,12270.0
2013-01-21,CBBL,0.0,400.0,393.0,400.0,77.0,30611.0
2013-01-22,CBBL,0.0,400.0,400.0,400.0,10.0,4000.0
2013-01-23,CBBL,0.0,407.0,407.0,407.0,12.0,4884.0
2013-01-24,CBBL,0.0,400.0,393.0,393.0,760.0,303930.0
2013-01-27,CBBL,0.0,391.0,383.0,383.0,112.0,43652.0
2013-01-28,CBBL,0.0,396.0,389.0,390.0,158.0,61776.0
2013-01-30,CBBL,0.0,383.0,376.0,383.0,41.0,15633.0
2013-01-31,CBBL,0.0,380.0,375.0,375.0,133.0,50295.0
2013-02-03,CBBL,0.0,387.0,380.0,387.0,531.0,202760.0
2013-02-05,CBBL,0.0,388.0,381.0,388.0,265.0,102400.0
2013-02-07,CBBL,0.0,390.0,390.0,390.0,150.0,58500.0
2013-02-13,CBBL,0.0,397.0,396.0,397.0,136.0,53898.0
2013-02-14,CBBL,0.0,400.0,395.0,400.0,84.0,33390.0
2013-02-17,CBBL,0.0,408.0,408.0,408.0,52.0,21216.0
2013-02-21,CBBL,0.0,423.0,407.0,407.0,94.0,39266.0
2013-02-24,CBBL,0.0,399.0,390.0,390.0,41.0,16100.0
2013-02-25,CBBL,0.0,383.0,380.0,380.0,110.0,41830.0
2013-02-26,CBBL,0.0,387.0,387.0,387.0,273.0,105651.0
2013-02-27,CBBL,0.0,394.0,394.0,394.0,42.0,16548.0
2013-03-05,CBBL,0.0,390.0,390.0,390.0,95.0,37050.0
2013-03-07,CBBL,0.0,400.0,393.0,400.0,186.0,73874.0
2013-03-11,CBBL,0.0,400.0,400.0,400.0,392.0,156800.0
2013-03-13,CBBL,0.0,392.0,392.0,392.0,10.0,3920.0
2013-03-18,CBBL,0.0,399.0,399.0,399.0,94.0,37506.0
2013-03-19,CBBL,0.0,392.0,378.0,378.0,30.0,11550.0
2013-03-20,CBBL,378.0,371.0,371.0,371.0,10.0,3710.0
2013-03-21,CBBL,0.0,365.0,365.0,365.0,10.0,3650.0
2013-03-24,CBBL,0.0,358.0,358.0,358.0,10.0,3580.0
2013-03-27,CBBL,0.0,367.0,345.0,367.0,4799.0,1691182.0
2013-03-31,CBBL,0.0,360.0,360.0,360.0,1850.0,666000.0
2013-04-01,CBBL,0.0,353.0,353.0,353.0,2504.0,883912.0
2013-04-02,CBBL,0.0,346.0,345.0,345.0,3301.0,1141516.0
2013-04-03,CBBL,0.0,351.0,351.0,351.0,2029.0,712179.0
2013-04-04,CBBL,0.0,358.0,358.0,358.0,2000.0,716000.0
2013-04-07,CBBL,0.0,360.0,360.0,360.0,2000.0,720000.0
2013-04-08,CBBL,0.0,375.0,355.0,375.0,2168.0,784931.0
2013-04-09,CBBL,0.0,382.0,382.0,382.0,2000.0,764000.0
2013-04-11,CBBL,0.0,387.0,380.0,387.0,1615.0,616458.0
2013-04-15,CBBL,0.0,401.0,380.0,401.0,614.0,239316.0
2013-04-16,CBBL,0.0,393.0,386.0,386.0,20.0,7790.0
2013-04-18,CBBL,0.0,380.0,380.0,380.0,119.0,45220.0
2013-04-21,CBBL,0.0,387.0,387.0,387.0,94.0,36378.0
2013-04-22,CBBL,0.0,400.0,394.0,400.0,195.0,77430.0
