business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-07-18,CBLD88,1000.0,1000.0,1000.0,1000.0,25.0,25000.0
2022-07-19,CBLD88,980.1,980.1,922.5,922.5,50.0,47842.0
2022-07-20,CBLD88,905.0,905.0,874.6,890.0,235.0,207609.5
2022-07-21,CBLD88,873.0,880.2,873.0,880.2,100.0,87835.0
2022-07-24,CBLD88,870.0,897.6,865.4,897.6,200.0,175814.5
2022-07-25,CBLD88,879.9,885.0,877.0,878.0,125.0,109997.5
2022-07-26,CBLD88,895.5,899.9,882.0,882.0,75.0,66935.0
2022-07-27,CBLD88,869.6,878.0,869.6,878.0,50.0,43690.0
2022-07-31,CBLD88,875.0,892.5,875.0,892.5,40.0,35262.5
2022-08-01,CBLD88,886.0,886.0,884.0,884.0,50.0,44250.0
2022-08-02,CBLD88,870.0,881.0,870.0,881.0,150.0,130905.0
2022-08-03,CBLD88,885.0,885.0,885.0,885.0,50.0,44250.0
2022-08-04,CBLD88,885.0,885.0,884.1,884.1,20.0,17691.0
2022-08-07,CBLD88,880.0,880.0,876.1,876.1,55.0,48302.5
2022-08-09,CBLD88,877.1,890.0,877.1,890.0,50.0,44177.5
2022-08-10,CBLD88,880.0,880.0,880.0,880.0,25.0,22000.0
2022-08-11,CBLD88,880.2,881.0,880.2,881.0,55.0,48431.0
2022-08-14,CBLD88,881.0,881.0,881.0,881.0,30.0,26430.0
2022-08-16,CBLD88,895.0,895.0,881.3,881.3,50.0,44407.5
2022-08-17,CBLD88,866.0,883.3,866.0,883.3,50.0,43732.5
2022-08-21,CBLD88,880.1,885.0,880.1,885.0,50.0,44127.5
2022-08-22,CBLD88,868.6,892.7,868.6,892.7,50.0,43770.0
2022-08-23,CBLD88,876.0,890.0,874.9,880.0,160.0,140638.5
2022-08-24,CBLD88,870.0,870.0,866.0,868.3,95.0,82431.0
2022-08-25,CBLD88,871.5,871.5,871.5,871.5,25.0,21787.5
2022-08-28,CBLD88,870.1,870.1,870.0,870.0,235.0,204471.0
2022-08-30,CBLD88,870.6,871.2,870.6,871.2,75.0,65322.5
2022-08-31,CBLD88,873.1,873.1,871.4,871.4,75.0,65440.5
2022-09-04,CBLD88,866.0,880.0,866.0,873.0,205.0,179175.0
2022-09-07,CBLD88,870.0,870.0,870.0,870.0,25.0,21750.0
2022-09-11,CBLD88,870.0,870.0,870.0,870.0,25.0,21750.0
2022-09-18,CBLD88,853.1,854.1,853.1,854.1,50.0,42680.0
2022-09-20,CBLD88,849.0,849.0,849.0,849.0,25.0,21225.0
2022-09-22,CBLD88,843.2,847.4,843.2,847.4,75.0,63345.0
2022-09-25,CBLD88,864.3,864.3,864.3,864.3,190.0,164217.0
2022-09-28,CBLD88,880.0,880.0,863.0,863.0,75.0,65405.0
2022-09-29,CBLD88,848.1,848.1,848.0,848.0,50.0,42402.5
2022-10-09,CBLD88,850.1,850.1,850.1,850.1,95.0,80759.5
2022-10-11,CBLD88,867.1,884.0,867.1,884.0,95.0,83055.0
2022-10-13,CBLD88,866.4,866.4,866.4,866.4,25.0,21660.0
2022-10-20,CBLD88,855.0,855.0,855.0,855.0,25.0,21375.0
2022-10-23,CBLD88,855.0,855.0,845.0,845.0,100.0,85250.0
2022-11-01,CBLD88,849.9,849.9,849.9,849.9,25.0,21247.5
2022-11-02,CBLD88,850.0,850.0,850.0,850.0,50.0,42500.0
2022-11-06,CBLD88,834.3,834.3,834.3,834.3,25.0,20857.5
2022-11-07,CBLD88,840.1,856.9,840.1,856.9,50.0,42425.0
2022-11-10,CBLD88,845.1,845.1,845.1,845.1,50.0,42255.0
2022-11-13,CBLD88,842.5,842.5,842.5,842.5,25.0,21062.5
2022-11-14,CBLD88,842.5,842.5,842.5,842.5,25.0,21062.5
2022-11-15,CBLD88,859.3,859.3,859.3,859.3,25.0,21482.5
2022-11-23,CBLD88,850.0,850.0,850.0,850.0,25.0,21250.0
2022-11-24,CBLD88,850.0,855.0,850.0,855.0,60.0,51175.0
2022-11-28,CBLD88,850.0,858.0,850.0,858.0,50.0,42700.0
2022-11-29,CBLD88,858.0,858.0,858.0,858.0,500.0,429000.0
2022-11-30,CBLD88,845.0,845.0,842.0,842.0,95.0,80140.0
2022-12-01,CBLD88,842.0,850.1,842.0,850.1,50.0,42302.5
2022-12-04,CBLD88,850.0,850.0,850.0,850.0,60.0,51000.0
2022-12-05,CBLD88,850.0,850.0,850.0,850.0,25.0,21250.0
2022-12-12,CBLD88,840.0,840.0,840.0,840.0,25.0,21000.0
2022-12-13,CBLD88,836.0,836.0,836.0,836.0,25.0,20900.0
2022-12-14,CBLD88,838.0,838.0,838.0,838.0,25.0,20950.0
2022-12-18,CBLD88,838.0,838.0,838.0,838.0,25.0,20950.0
