business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2020-11-22,CMF2,0.0,9.9,9.0,9.9,8000.0,77953.0
2020-11-23,CMF2,0.0,9.99,9.82,9.85,15820.0,156161.7
2020-11-24,CMF2,0.0,10.0,9.81,9.81,4010.0,39527.2
2020-11-25,CMF2,0.0,10.15,9.7,10.15,14100.0,140197.0
2020-11-26,CMF2,0.0,10.09,9.76,10.02,8060.0,80630.7
2020-11-29,CMF2,0.0,10.21,9.87,10.1,43400.0,434733.0
2020-11-30,CMF2,0.0,10.1,9.9,10.0,6830.0,68178.0
2020-12-01,CMF2,0.0,10.1,9.95,10.05,14850.0,148511.0
2020-12-02,CMF2,0.0,10.0,9.9,9.9,27100.0,270578.5
2020-12-03,CMF2,0.0,9.8,9.66,9.7,6750.0,65407.0
2020-12-06,CMF2,0.0,9.6,9.39,9.56,4280.0,40752.0
2020-12-07,CMF2,0.0,9.9,9.4,9.9,7050.0,67350.5
2020-12-08,CMF2,0.0,9.9,9.52,9.71,10100.0,98659.0
2020-12-09,CMF2,0.0,9.55,9.49,9.49,1750.0,16676.0
2020-12-10,CMF2,0.0,9.57,9.35,9.57,4500.0,42920.0
2020-12-13,CMF2,0.0,10.0,9.55,10.0,17300.0,167216.0
2020-12-14,CMF2,0.0,9.9,9.71,9.89,3450.0,33911.5
2020-12-15,CMF2,0.0,10.05,9.76,10.05,5500.0,54305.0
2020-12-16,CMF2,0.0,10.0,9.85,9.85,4000.0,39558.0
2020-12-17,CMF2,0.0,9.85,9.67,9.85,6900.0,67658.0
2020-12-20,CMF2,0.0,9.75,9.62,9.62,4200.0,40550.0
2020-12-21,CMF2,0.0,9.61,9.43,9.61,2700.0,25755.0
2020-12-22,CMF2,0.0,9.98,9.42,9.98,3220.0,31377.4
2020-12-23,CMF2,0.0,10.17,9.61,9.61,6200.0,60459.0
2020-12-24,CMF2,0.0,9.79,9.46,9.79,4500.0,42813.0
2020-12-27,CMF2,0.0,9.7,9.7,9.7,1650.0,16005.0
2020-12-28,CMF2,0.0,9.73,9.54,9.54,2700.0,25900.0
2020-12-29,CMF2,0.0,9.64,9.35,9.46,4500.0,42876.0
2020-12-30,CMF2,0.0,9.64,9.45,9.5,15850.0,152450.0
2020-12-31,CMF2,0.0,10.06,9.46,9.8,4900.0,47396.0
2021-01-03,CMF2,0.0,10.0,9.8,9.85,25700.0,255541.0
2021-01-04,CMF2,0.0,9.9,9.8,9.9,6000.0,59103.0
2021-01-05,CMF2,0.0,9.99,9.86,9.95,10100.0,100164.0
2021-01-06,CMF2,0.0,10.0,9.86,10.0,20900.0,207752.0
2021-01-07,CMF2,0.0,10.0,9.76,10.0,9200.0,90880.0
2021-01-10,CMF2,0.0,10.0,9.85,10.0,64000.0,635533.0
2021-01-11,CMF2,0.0,10.05,9.85,10.05,10050.0,100126.5
2021-01-12,CMF2,0.0,10.25,10.0,10.2,52000.0,522605.0
2021-01-13,CMF2,0.0,10.25,10.0,10.2,15540.0,157663.0
2021-01-17,CMF2,0.0,10.25,10.1,10.1,97300.0,990124.5
2021-01-18,CMF2,0.0,10.3,10.13,10.2,13700.0,139301.5
2021-01-19,CMF2,0.0,10.35,10.0,10.33,14550.0,149158.5
2021-01-20,CMF2,0.0,10.35,9.93,10.35,4500.0,45257.0
2021-01-21,CMF2,0.0,10.55,10.15,10.55,10900.0,113640.0
2021-01-24,CMF2,0.0,10.4,10.0,10.34,122750.0,1247393.0
2021-01-25,CMF2,0.0,10.3,10.05,10.3,108150.0,1092596.0
2021-01-26,CMF2,0.0,10.6,10.0,10.6,15900.0,161174.0
2021-01-27,CMF2,0.0,10.39,10.06,10.1,15100.0,154092.0
2021-01-28,CMF2,0.0,10.1,10.02,10.04,15800.0,158877.0
2021-01-31,CMF2,0.0,10.14,10.05,10.14,5300.0,53355.0
2021-02-01,CMF2,0.0,10.1,9.96,10.0,8680.0,87280.0
2021-02-02,CMF2,0.0,10.0,9.8,9.97,6490.0,64646.8
2021-02-03,CMF2,0.0,10.36,9.83,10.0,6800.0,67772.5
2021-02-04,CMF2,0.0,10.16,9.82,10.16,6250.0,62583.0
2021-02-07,CMF2,0.0,10.01,9.99,10.01,5100.0,51003.0
2021-02-08,CMF2,0.0,10.15,9.82,10.15,7950.0,79412.5
2021-02-09,CMF2,0.0,10.1,9.95,9.95,45300.0,451727.0
2021-02-10,CMF2,0.0,10.12,9.97,9.97,41750.0,417129.5
2021-02-11,CMF2,0.0,10.1,9.95,9.95,4100.0,40839.0
2021-02-14,CMF2,0.0,10.14,9.97,9.97,4950.0,49762.0
2021-02-15,CMF2,0.0,10.16,9.79,10.16,18850.0,189051.0
2021-02-16,CMF2,0.0,10.1,9.92,10.1,9800.0,98086.0
2021-02-17,CMF2,0.0,10.22,10.0,10.22,30200.0,307972.0
2021-02-18,CMF2,0.0,10.39,10.02,10.34,114080.0,1177239.2
2021-02-21,CMF2,0.0,11.37,10.32,10.8,85250.0,914228.4
2021-02-22,CMF2,0.0,11.0,10.39,10.48,420050.0,4423115.5
2021-02-23,CMF2,0.0,10.5,10.31,10.5,71100.0,738813.0
2021-02-24,CMF2,0.0,10.97,10.4,10.85,360130.0,3836528.3
2021-02-25,CMF2,0.0,10.96,10.29,10.55,381610.0,4091571.9
2021-02-28,CMF2,0.0,11.07,10.6,10.85,620234.0,6699122.1
2021-03-01,CMF2,0.0,10.66,10.46,10.65,227249.0,2392992.36
2021-03-02,CMF2,0.0,10.7,10.56,10.62,115800.0,1231151.6
2021-03-03,CMF2,0.0,10.5,10.44,10.5,1920.0,20108.6
2021-03-04,CMF2,0.0,10.6,10.45,10.52,118699.0,1247043.48
2021-03-07,CMF2,0.0,10.6,10.42,10.6,13410.0,140745.3
2021-03-09,CMF2,0.0,10.6,10.43,10.6,10600.0,111411.0
2021-03-10,CMF2,0.0,10.6,10.45,10.6,15900.0,167727.0
2021-03-14,CMF2,0.0,10.65,10.31,10.44,26300.0,273460.0
2021-03-15,CMF2,0.0,10.76,10.26,10.76,2200.0,22852.0
2021-03-16,CMF2,0.0,10.55,10.34,10.5,113100.0,1188346.0
2021-03-17,CMF2,0.0,10.44,10.32,10.44,3330.0,34608.0
2021-03-18,CMF2,0.0,10.52,10.43,10.51,30300.0,318306.0
2021-03-21,CMF2,0.0,11.02,10.42,10.6,3790.0,40335.9
2021-03-22,CMF2,0.0,10.71,10.42,10.52,9020.0,94577.0
2021-03-23,CMF2,0.0,10.6,10.4,10.5,56400.0,594906.5
2021-03-24,CMF2,0.0,10.65,10.45,10.6,57700.0,611773.0
2021-03-25,CMF2,0.0,10.71,10.55,10.64,92650.0,986523.0
2021-03-29,CMF2,0.0,10.9,10.66,10.74,307300.0,3340739.23
2021-03-30,CMF2,0.0,11.16,10.76,11.11,124747.0,1384713.6
