business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,DDBL,0.0,240.0,240.0,240.0,89.0,21360.0
2012-01-03,DDBL,0.0,236.0,236.0,236.0,200.0,47200.0
2012-01-05,DDBL,0.0,236.0,236.0,236.0,20.0,4720.0
2012-01-08,DDBL,0.0,237.0,237.0,237.0,167.0,39579.0
2012-01-09,DDBL,0.0,238.0,237.0,238.0,187.0,44339.0
2012-01-10,DDBL,0.0,234.0,234.0,234.0,2400.0,561600.0
2012-01-18,DDBL,0.0,230.0,226.0,226.0,270.0,61452.0
2012-01-19,DDBL,0.0,222.0,218.0,218.0,552.0,121220.0
2012-02-01,DDBL,0.0,214.0,210.0,214.0,377.0,80010.0
2012-02-02,DDBL,0.0,222.0,218.0,222.0,285.0,62574.0
2012-02-05,DDBL,0.0,222.0,222.0,222.0,221.0,49062.0
2012-02-12,DDBL,0.0,226.0,226.0,226.0,7423.0,1677598.0
2012-02-23,DDBL,0.0,230.0,230.0,230.0,274.0,63020.0
2012-03-01,DDBL,0.0,232.0,232.0,232.0,220.0,51040.0
2012-03-11,DDBL,0.0,240.0,236.0,236.0,209.0,49484.0
2012-03-20,DDBL,0.0,250.0,240.0,241.0,1086.0,265340.0
2012-04-01,DDBL,0.0,237.0,229.0,229.0,40.0,9360.0
2012-04-04,DDBL,0.0,225.0,225.0,225.0,10.0,2250.0
2012-04-05,DDBL,0.0,229.0,227.0,229.0,987.0,224561.0
2012-04-08,DDBL,0.0,229.0,229.0,229.0,110.0,25190.0
2012-04-09,DDBL,0.0,231.0,230.0,231.0,220.0,50710.0
2012-04-12,DDBL,0.0,235.0,235.0,235.0,20.0,4700.0
2012-04-15,DDBL,0.0,243.0,239.0,243.0,40.0,9640.0
2012-04-17,DDBL,0.0,247.0,247.0,247.0,10.0,2470.0
2012-04-18,DDBL,0.0,256.0,251.0,256.0,1040.0,266140.0
2012-04-19,DDBL,0.0,271.0,261.0,271.0,50.0,13300.0
2012-04-22,DDBL,0.0,281.0,276.0,281.0,240.0,67340.0
2012-04-24,DDBL,0.0,291.0,286.0,291.0,30.0,8680.0
2012-04-26,DDBL,0.0,296.0,296.0,296.0,309.0,91464.0
2012-04-29,DDBL,0.0,301.0,301.0,301.0,500.0,150500.0
2012-04-30,DDBL,0.0,295.0,295.0,295.0,54.0,15930.0
2012-05-09,DDBL,0.0,300.0,300.0,300.0,20.0,6000.0
2012-05-10,DDBL,0.0,299.0,294.0,299.0,600.0,177532.0
