business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-06-08,DOLTI,261.0,287.1,250.0,287.1,78315.0,21767098.6
2023-06-11,DOLTI,292.8,311.0,279.3,292.0,41826.0,12200268.8
2023-06-12,DOLTI,287.0,289.6,274.9,283.5,33479.0,9513832.6
2023-06-13,DOLTI,283.0,305.5,278.0,295.0,32792.0,9405001.1
2023-06-14,DOLTI,290.0,303.7,285.0,290.0,20048.0,5916557.3
2023-06-15,DOLTI,285.0,291.0,283.1,288.9,13645.0,3895484.4
2023-06-18,DOLTI,283.2,294.0,280.0,288.0,23489.0,6789217.2
2023-06-19,DOLTI,288.0,292.0,282.3,289.0,22744.0,6522096.6
2023-06-20,DOLTI,292.0,292.0,280.0,285.0,8314.0,2360428.1
2023-06-21,DOLTI,290.0,290.0,270.9,279.0,17871.0,4927253.7
2023-06-22,DOLTI,273.5,276.0,266.0,270.0,10461.0,2824246.7
2023-06-25,DOLTI,264.6,277.0,261.6,277.0,9820.0,2627202.2
2023-06-26,DOLTI,282.0,282.0,264.0,267.0,9980.0,2698694.7
2023-06-27,DOLTI,262.7,278.4,262.0,275.0,15335.0,4094627.0
2023-06-28,DOLTI,269.5,269.5,260.0,263.0,16091.0,4246524.5
2023-07-02,DOLTI,262.0,262.0,249.1,252.2,11395.0,2887180.0
2023-07-03,DOLTI,247.5,257.0,242.0,247.0,16563.0,4073333.2
2023-07-04,DOLTI,242.1,251.0,240.2,245.0,5390.0,1306615.5
2023-07-05,DOLTI,240.4,243.0,232.7,234.9,10875.0,2579096.0
2023-07-06,DOLTI,230.5,246.0,226.1,239.7,9178.0,2122011.0
2023-07-09,DOLTI,235.0,239.7,235.0,235.0,8040.0,1898235.0
2023-07-10,DOLTI,232.0,236.6,223.5,227.3,16880.0,3873859.4
2023-07-11,DOLTI,224.8,229.0,222.0,227.5,4049.0,910081.0
2023-07-12,DOLTI,225.0,244.0,223.0,241.0,11827.0,2800668.5
2023-07-13,DOLTI,237.1,246.6,231.4,231.4,8899.0,2103939.2
2023-07-16,DOLTI,228.0,234.0,223.6,228.0,4465.0,1014962.0
2023-07-17,DOLTI,232.5,233.0,221.8,231.0,8295.0,1892788.5
2023-07-18,DOLTI,227.0,239.0,226.7,232.0,5435.0,1249719.6
2023-07-19,DOLTI,233.0,233.0,224.0,228.3,3135.0,718112.0
2023-07-20,DOLTI,225.0,242.7,225.0,242.7,15045.0,3507026.0
2023-07-23,DOLTI,242.0,255.0,238.0,249.0,14804.0,3612062.6
2023-07-24,DOLTI,249.0,258.0,239.2,243.0,11654.0,2847604.1
2023-07-25,DOLTI,239.0,246.5,237.0,238.0,3315.0,792868.4
2023-07-26,DOLTI,242.0,242.0,234.0,239.9,4720.0,1125181.0
2023-07-27,DOLTI,235.2,243.7,231.5,239.6,5101.0,1207708.0
2023-07-30,DOLTI,235.0,235.0,226.4,231.0,9818.0,2269376.5
2023-07-31,DOLTI,228.1,234.1,228.0,230.0,4848.0,1116318.2
2023-08-01,DOLTI,230.0,234.0,226.1,228.0,4186.0,951139.0
