business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-07-14,DORDI,307.1,337.8,295.0,315.0,127582.0,40778668.7
2022-07-15,DORDI,320.0,320.0,294.0,309.2,27911.0,8516335.8
2022-07-17,DORDI,309.0,309.0,292.1,300.0,18500.0,5555379.0
2022-07-18,DORDI,294.0,308.0,290.2,303.0,14521.0,4393702.5
2022-07-19,DORDI,302.0,312.0,297.5,299.1,13090.0,3969883.0
2022-07-20,DORDI,300.0,302.0,291.0,292.0,18846.0,5549284.1
2022-07-21,DORDI,286.4,301.0,286.4,287.2,12830.0,3731447.6
2022-07-22,DORDI,292.0,292.0,276.5,279.0,14372.0,4040101.6
2022-07-24,DORDI,278.0,287.0,271.5,287.0,20599.0,5714167.4
2022-07-25,DORDI,287.0,306.0,286.0,306.0,24559.0,7228448.1
2022-07-26,DORDI,303.0,309.0,290.2,299.0,17923.0,5360889.6
2022-07-27,DORDI,293.1,303.5,287.5,301.9,18914.0,5577972.4
2022-07-28,DORDI,300.0,319.0,295.9,303.5,42405.0,13014834.0
2022-07-29,DORDI,304.0,313.0,300.1,313.0,16053.0,4955943.3
2022-07-31,DORDI,313.0,319.0,308.1,316.0,33804.0,10643191.2
2022-08-01,DORDI,309.7,341.0,309.7,333.6,45225.0,14801237.4
2022-08-02,DORDI,340.2,353.9,322.0,344.0,30061.0,10057269.2
2022-08-03,DORDI,337.2,377.0,337.2,355.0,29262.0,10280657.6
2022-08-04,DORDI,355.0,367.2,341.0,365.0,49183.0,17407226.2
2022-08-05,DORDI,365.1,365.1,344.0,350.0,23881.0,8403761.6
2022-08-07,DORDI,350.0,358.0,342.1,349.0,21386.0,7468563.9
2022-08-08,DORDI,343.0,357.0,343.0,349.0,43357.0,15221245.3
2022-08-09,DORDI,342.1,357.0,338.5,338.5,30664.0,10721972.9
2022-08-10,DORDI,331.9,345.2,330.0,340.0,16076.0,5426708.1
2022-08-11,DORDI,334.0,374.0,334.0,353.0,37128.0,13250829.5
2022-08-14,DORDI,346.0,365.0,340.0,349.5,20929.0,7372409.4
2022-08-15,DORDI,343.0,384.0,336.4,381.0,42081.0,15184581.3
2022-08-16,DORDI,388.6,390.0,360.0,360.0,61854.0,23377481.0
2022-08-17,DORDI,360.0,396.0,360.0,393.0,66316.0,25693177.2
2022-08-18,DORDI,385.2,398.0,385.0,385.2,31702.0,12361625.1
2022-08-21,DORDI,392.9,408.0,362.6,380.0,60990.0,22619762.9
2022-08-22,DORDI,373.0,373.0,356.1,360.1,50918.0,18398711.5
2022-08-23,DORDI,355.8,363.0,349.5,350.0,22540.0,8005237.2
2022-08-24,DORDI,355.0,361.0,342.0,351.0,32709.0,11332951.2
2022-08-25,DORDI,345.0,362.0,337.4,337.4,19963.0,6874818.4
2022-08-26,DORDI,340.0,341.0,324.0,329.0,21817.0,7219005.2
2022-08-28,DORDI,325.0,329.8,310.0,315.0,27141.0,8635924.2
2022-08-29,DORDI,310.2,321.3,310.2,319.8,17176.0,5413827.6
2022-08-30,DORDI,318.0,325.3,313.7,319.0,12520.0,4001314.0
2022-08-31,DORDI,325.3,338.4,310.9,323.0,10052.0,3171286.7
2022-09-01,DORDI,320.1,327.0,311.0,326.0,18943.0,6026068.0
2022-09-02,DORDI,332.0,336.0,316.1,316.1,7385.0,2385584.0
2022-09-04,DORDI,322.4,335.0,315.6,320.0,11104.0,3544690.9
2022-09-05,DORDI,320.0,332.0,313.0,313.0,10741.0,3414057.5
2022-09-06,DORDI,310.0,318.0,309.2,311.0,7908.0,2462937.0
2022-09-07,DORDI,305.3,313.0,305.0,313.0,10545.0,3241393.9
2022-09-08,DORDI,319.2,319.2,300.0,312.0,10115.0,3128492.2
2022-09-11,DORDI,318.0,324.6,305.8,319.2,11999.0,3721034.6
2022-09-12,DORDI,313.1,313.1,306.0,306.0,10451.0,3222221.9
2022-09-13,DORDI,306.0,314.9,302.0,310.0,7158.0,2216599.6
2022-09-14,DORDI,305.0,323.0,304.0,318.0,16315.0,5162527.0
2022-09-15,DORDI,312.0,319.9,301.0,305.0,10617.0,3246764.4
2022-09-16,DORDI,299.0,301.0,288.5,297.5,13481.0,3948640.8
2022-09-18,DORDI,294.0,294.0,275.6,276.0,13875.0,3899698.6
2022-09-20,DORDI,270.5,281.0,255.5,262.1,10268.0,2695979.1
2022-09-21,DORDI,256.9,272.6,256.5,261.9,7503.0,1975562.0
2022-09-22,DORDI,260.0,264.0,255.0,255.0,19280.0,4997422.0
2022-09-25,DORDI,255.0,255.0,246.0,247.0,3508.0,872581.0
2022-09-27,DORDI,251.0,258.0,240.0,250.0,4525.0,1119907.0
2022-09-28,DORDI,245.0,250.6,245.0,248.0,2338.0,575694.0
2022-09-29,DORDI,250.0,252.9,245.0,248.9,3864.0,963077.0
2022-10-09,DORDI,250.0,258.0,246.0,253.0,1210.0,307435.0
2022-10-10,DORDI,250.0,255.0,244.0,244.0,4153.0,1021599.3
2022-10-11,DORDI,239.2,242.0,235.0,242.0,2808.0,663440.7
2022-10-12,DORDI,243.0,249.0,234.1,245.0,4860.0,1176010.0
2022-10-13,DORDI,246.0,255.9,242.2,253.7,5286.0,1304795.5
2022-10-16,DORDI,248.7,250.0,242.0,245.0,2143.0,524457.0
2022-10-17,DORDI,241.0,244.0,237.2,244.0,2581.0,623485.6
