business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-29,EIC,0.0,315.0,315.0,315.0,23.0,7245.0
2012-01-31,EIC,0.0,310.0,310.0,310.0,1350.0,418500.0
2012-02-09,EIC,0.0,315.0,315.0,315.0,15.0,4725.0
2012-03-20,EIC,0.0,309.0,292.0,292.0,112.0,33793.0
2012-03-28,EIC,0.0,287.0,282.0,282.0,66.0,18777.0
2012-04-05,EIC,0.0,277.0,272.0,272.0,93.0,25461.0
2012-05-20,EIC,0.0,267.0,267.0,267.0,33.0,8811.0
2012-05-21,EIC,0.0,262.0,262.0,262.0,33.0,8646.0
2012-07-03,EIC,0.0,267.0,267.0,267.0,30.0,8010.0
2012-07-11,EIC,0.0,272.0,268.0,268.0,66.0,17820.0
2012-07-30,EIC,0.0,273.0,273.0,273.0,33.0,9009.0
2012-08-01,EIC,0.0,274.0,274.0,274.0,16.0,4384.0
2012-08-07,EIC,0.0,274.0,273.0,274.0,100.0,27333.0
2012-08-26,EIC,0.0,289.0,279.0,289.0,133.0,37772.0
2012-08-27,EIC,0.0,299.0,294.0,299.0,99.0,29436.0
2012-09-02,EIC,0.0,322.0,304.0,322.0,165.0,51942.0
2012-09-06,EIC,0.0,316.0,316.0,316.0,33.0,10428.0
2012-09-09,EIC,0.0,328.0,322.0,328.0,100.0,32398.0
2012-09-10,EIC,0.0,334.0,334.0,334.0,60.0,20040.0
2012-09-11,EIC,0.0,328.0,325.0,325.0,10000.0,3251500.0
2012-10-03,EIC,0.0,357.0,331.0,357.0,229.0,79231.0
2012-10-04,EIC,0.0,364.0,364.0,364.0,30.0,10920.0
2012-10-07,EIC,0.0,385.0,371.0,385.0,99.0,37422.0
2012-10-08,EIC,0.0,422.0,392.0,406.0,217.0,88141.0
2012-10-09,EIC,0.0,405.0,398.0,405.0,159.0,64325.0
2013-01-06,EIC,405.0,397.0,390.0,390.0,189.0,74844.0
2013-02-13,EIC,0.0,383.0,383.0,383.0,16.0,6128.0
2013-03-11,EIC,0.0,376.0,355.0,355.0,186.0,67794.0
2013-03-13,EIC,0.0,348.0,348.0,348.0,30.0,10440.0
2013-06-10,EIC,0.0,342.0,336.0,336.0,26.0,8832.0
2013-06-11,EIC,0.0,330.0,318.0,318.0,43.0,13872.0
2013-06-13,EIC,0.0,312.0,289.0,289.0,122.0,36255.0
2013-06-16,EIC,0.0,284.0,279.0,279.0,40.0,11260.0
2013-06-17,EIC,0.0,274.0,274.0,274.0,20.0,5480.0
2013-06-18,EIC,0.0,269.0,264.0,264.0,33.0,8777.0
2013-06-20,EIC,0.0,259.0,245.0,245.0,116.0,28914.0
2013-06-26,EIC,0.0,241.0,237.0,237.0,33.0,7901.0
2013-07-15,EIC,0.0,258.0,233.0,258.0,182.0,43754.0
2013-07-16,EIC,0.0,253.0,248.0,248.0,66.0,16533.0
