business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,GBBL,0.0,114.0,111.0,114.0,230.0,25810.0
2012-01-02,GBBL,0.0,119.0,112.0,118.0,1060.0,123840.0
2012-01-03,GBBL,0.0,120.0,117.0,117.0,640.0,75820.0
2012-01-04,GBBL,0.0,118.0,113.0,117.0,1100.0,125010.0
2012-01-05,GBBL,0.0,119.0,116.0,118.0,510.0,60190.0
2012-01-09,GBBL,0.0,117.0,114.0,116.0,280.0,32440.0
2012-01-10,GBBL,0.0,116.0,116.0,116.0,120.0,13920.0
2012-01-11,GBBL,0.0,117.0,117.0,117.0,900.0,105300.0
2012-01-12,GBBL,0.0,115.0,111.0,111.0,280.0,31920.0
2012-01-16,GBBL,0.0,114.0,112.0,114.0,110.0,12440.0
2012-01-17,GBBL,0.0,118.0,112.0,118.0,1100.0,126740.0
2012-01-18,GBBL,0.0,121.0,118.0,121.0,380.0,45440.0
2012-01-19,GBBL,0.0,122.0,120.0,121.0,420.0,50740.0
2012-01-22,GBBL,0.0,122.0,116.0,116.0,1550.0,183010.0
2012-01-23,GBBL,0.0,120.0,118.0,120.0,160.0,18920.0
2012-01-25,GBBL,0.0,124.0,122.0,122.0,150.0,18440.0
2012-01-26,GBBL,0.0,121.0,115.0,115.0,100.0,11740.0
2012-01-29,GBBL,0.0,115.0,115.0,115.0,80.0,9200.0
2012-01-31,GBBL,0.0,120.0,116.0,120.0,360.0,42150.0
2012-02-01,GBBL,0.0,122.0,119.0,119.0,620.0,74240.0
2012-02-02,GBBL,0.0,119.0,113.0,113.0,600.0,70800.0
2012-02-05,GBBL,0.0,117.0,115.0,117.0,620.0,71970.0
2012-02-06,GBBL,0.0,121.0,116.0,119.0,1230.0,147670.0
2012-02-07,GBBL,0.0,120.0,117.0,117.0,550.0,65570.0
2012-02-08,GBBL,0.0,119.0,117.0,117.0,1230.0,144570.0
2012-02-09,GBBL,0.0,117.0,115.0,115.0,380.0,44100.0
2012-02-12,GBBL,0.0,119.0,117.0,119.0,250.0,29650.0
2012-02-13,GBBL,0.0,117.0,113.0,116.0,730.0,83990.0
2012-02-14,GBBL,0.0,120.0,116.0,116.0,480.0,56720.0
2012-02-15,GBBL,0.0,116.0,116.0,116.0,60.0,6960.0
2012-02-16,GBBL,0.0,118.0,117.0,118.0,120.0,14120.0
2012-02-21,GBBL,0.0,120.0,119.0,120.0,970.0,116160.0
2012-02-23,GBBL,0.0,118.0,117.0,117.0,220.0,25800.0
2012-02-26,GBBL,0.0,119.0,116.0,118.0,530.0,62650.0
2012-02-27,GBBL,0.0,118.0,117.0,118.0,180.0,21200.0
2012-02-28,GBBL,0.0,120.0,116.0,118.0,900.0,106980.0
2012-02-29,GBBL,0.0,120.0,120.0,120.0,20.0,2400.0
2012-03-01,GBBL,0.0,120.0,116.0,118.0,490.0,57680.0
2012-03-04,GBBL,0.0,120.0,116.0,119.0,370.0,43930.0
2012-03-05,GBBL,0.0,119.0,117.0,117.0,360.0,42510.0
2012-03-06,GBBL,0.0,118.0,116.0,116.0,470.0,54920.0
2012-03-11,GBBL,0.0,116.0,115.0,116.0,1000.0,115800.0
2012-03-12,GBBL,0.0,118.0,116.0,116.0,180.0,20920.0
2012-03-13,GBBL,0.0,120.0,118.0,120.0,70.0,8360.0
2012-03-14,GBBL,0.0,122.0,118.0,118.0,970.0,117600.0
2012-03-15,GBBL,0.0,118.0,117.0,117.0,50.0,5880.0
2012-03-18,GBBL,117.0,116.0,116.0,116.0,620.0,71920.0
2012-03-19,GBBL,0.0,119.0,117.0,119.0,130.0,15370.0
2012-03-20,GBBL,0.0,118.0,115.0,118.0,400.0,46920.0
2012-03-21,GBBL,0.0,118.0,116.0,118.0,80.0,9380.0
2012-03-25,GBBL,0.0,120.0,115.0,117.0,700.0,82050.0
2012-03-26,GBBL,0.0,118.0,118.0,118.0,100.0,11800.0
2012-03-27,GBBL,0.0,119.0,117.0,118.0,2800.0,330840.0
2012-03-28,GBBL,0.0,119.0,118.0,118.0,2160.0,256180.0
2012-03-29,GBBL,0.0,120.0,115.0,118.0,620.0,73130.0
2012-04-01,GBBL,0.0,118.0,117.0,118.0,920.0,108440.0
2012-04-02,GBBL,0.0,116.0,114.0,114.0,40.0,4600.0
2012-04-03,GBBL,0.0,120.0,116.0,119.0,220.0,26080.0
2012-04-04,GBBL,0.0,122.0,119.0,122.0,700.0,85070.0
2012-04-05,GBBL,0.0,120.0,119.0,120.0,160.0,19100.0
2012-04-08,GBBL,0.0,120.0,120.0,120.0,150.0,18000.0
2012-04-10,GBBL,0.0,118.0,118.0,118.0,30.0,3540.0
2012-04-12,GBBL,0.0,128.0,120.0,128.0,1520.0,187360.0
2012-04-15,GBBL,0.0,132.0,130.0,132.0,230.0,30320.0
2012-04-18,GBBL,0.0,132.0,128.0,132.0,1930.0,251420.0
2012-04-19,GBBL,0.0,140.0,134.0,140.0,1150.0,157530.0
2012-04-22,GBBL,0.0,152.0,142.0,152.0,630.0,94980.0
2012-04-24,GBBL,0.0,161.0,155.0,161.0,80.0,12580.0
2012-04-26,GBBL,0.0,177.0,164.0,177.0,1270.0,212220.0
2012-04-29,GBBL,0.0,188.0,175.0,185.0,3570.0,643100.0
2012-04-30,GBBL,0.0,190.0,179.0,179.0,1340.0,249310.0
2012-05-07,GBBL,0.0,182.0,182.0,182.0,50.0,9100.0
2012-05-08,GBBL,0.0,179.0,173.0,173.0,320.0,56230.0
2012-05-09,GBBL,0.0,173.0,166.0,166.0,1120.0,190780.0
2012-05-10,GBBL,0.0,168.0,162.0,165.0,810.0,132360.0
2012-05-13,GBBL,0.0,160.0,149.0,149.0,3880.0,607760.0
2012-05-14,GBBL,0.0,147.0,142.0,142.0,290.0,41520.0
2012-05-15,GBBL,0.0,148.0,142.0,148.0,800.0,114920.0
2012-05-17,GBBL,0.0,162.0,150.0,158.0,740.0,115650.0
2012-05-20,GBBL,0.0,157.0,154.0,156.0,280.0,43490.0
2012-05-21,GBBL,0.0,163.0,159.0,163.0,440.0,71190.0
2012-05-22,GBBL,0.0,160.0,157.0,159.0,890.0,141980.0
2012-05-24,GBBL,0.0,162.0,162.0,162.0,70.0,11340.0
2012-05-27,GBBL,0.0,168.0,159.0,168.0,430.0,71640.0
2012-06-03,GBBL,0.0,165.0,159.0,159.0,160.0,25870.0
2012-06-04,GBBL,0.0,156.0,144.0,146.0,1700.0,253680.0
2012-06-05,GBBL,0.0,145.0,141.0,141.0,1110.0,158540.0
2012-06-06,GBBL,0.0,139.0,135.0,138.0,950.0,129470.0
2012-06-07,GBBL,0.0,142.0,140.0,140.0,550.0,77600.0
2012-06-10,GBBL,0.0,140.0,136.0,137.0,280.0,38540.0
2012-06-11,GBBL,0.0,143.0,136.0,143.0,290.0,40200.0
2012-06-12,GBBL,0.0,143.0,141.0,142.0,520.0,73900.0
2012-06-13,GBBL,0.0,146.0,142.0,142.0,770.0,109740.0
2012-06-14,GBBL,0.0,144.0,139.0,142.0,560.0,78780.0
2012-06-17,GBBL,0.0,143.0,142.0,143.0,210.0,29920.0
2012-06-18,GBBL,0.0,142.0,137.0,138.0,1230.0,172260.0
2012-06-19,GBBL,0.0,137.0,136.0,137.0,420.0,57260.0
2012-06-20,GBBL,0.0,140.0,138.0,138.0,780.0,109040.0
2012-06-21,GBBL,0.0,140.0,138.0,140.0,370.0,51560.0
2012-06-25,GBBL,0.0,143.0,138.0,143.0,1510.0,209740.0
2012-06-26,GBBL,0.0,142.0,140.0,140.0,290.0,40860.0
2012-06-27,GBBL,0.0,140.0,138.0,140.0,280.0,38930.0
2012-06-28,GBBL,0.0,144.0,140.0,142.0,400.0,56740.0
2012-07-01,GBBL,0.0,144.0,142.0,142.0,350.0,50190.0
2012-07-02,GBBL,0.0,142.0,140.0,140.0,670.0,93920.0
2012-07-03,GBBL,0.0,140.0,138.0,140.0,80.0,11080.0
2012-07-04,GBBL,0.0,138.0,136.0,137.0,150.0,20530.0
2012-07-05,GBBL,0.0,139.0,139.0,139.0,130.0,18070.0
2012-07-08,GBBL,0.0,137.0,136.0,136.0,70.0,9550.0
2012-07-09,GBBL,0.0,140.0,134.0,139.0,770.0,105210.0
2012-07-10,GBBL,0.0,141.0,137.0,138.0,710.0,98670.0
2012-07-11,GBBL,0.0,140.0,138.0,140.0,220.0,30600.0
2012-07-12,GBBL,0.0,140.0,138.0,138.0,210.0,29220.0
2012-07-15,GBBL,0.0,140.0,138.0,138.0,300.0,41960.0
2012-07-16,GBBL,0.0,140.0,140.0,140.0,230.0,32200.0
2012-07-17,GBBL,0.0,150.0,142.0,150.0,4320.0,642260.0
2012-07-18,GBBL,0.0,155.0,149.0,155.0,1420.0,216100.0
2012-07-19,GBBL,0.0,161.0,155.0,161.0,1490.0,233850.0
2012-07-22,GBBL,0.0,164.0,157.0,157.0,1120.0,181790.0
2012-07-23,GBBL,0.0,172.0,157.0,163.0,3100.0,515730.0
2012-07-24,GBBL,0.0,162.0,160.0,161.0,1000.0,160900.0
2012-07-25,GBBL,0.0,172.0,155.0,169.0,2630.0,436430.0
2012-07-26,GBBL,0.0,166.0,160.0,163.0,570.0,92790.0
2012-07-29,GBBL,0.0,168.0,162.0,162.0,840.0,138930.0
2012-07-30,GBBL,0.0,163.0,158.0,158.0,1430.0,231220.0
2012-07-31,GBBL,0.0,163.0,158.0,162.0,2020.0,325930.0
2012-08-01,GBBL,0.0,162.0,160.0,161.0,410.0,66120.0
2012-08-05,GBBL,0.0,163.0,161.0,161.0,630.0,102200.0
2012-08-06,GBBL,0.0,165.0,162.0,162.0,2620.0,429020.0
2012-08-07,GBBL,0.0,165.0,160.0,165.0,1450.0,237940.0
2012-08-08,GBBL,0.0,165.0,163.0,163.0,780.0,127580.0
2012-08-12,GBBL,0.0,160.0,160.0,160.0,1300.0,208000.0
2012-08-13,GBBL,0.0,160.0,157.0,157.0,480.0,76380.0
2012-08-14,GBBL,0.0,160.0,155.0,160.0,260.0,40690.0
