business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2020-10-14,GIC,0.0,335.0,305.0,335.0,150.0,48990.0
2020-10-15,GIC,0.0,368.0,341.0,368.0,132.0,47582.0
2020-10-18,GIC,0.0,404.0,368.0,404.0,232.0,92920.0
2020-10-19,GIC,0.0,444.0,412.0,444.0,180.0,79120.0
2020-10-20,GIC,0.0,488.0,452.0,488.0,200.0,96700.0
2020-10-21,GIC,0.0,536.0,512.0,536.0,45741.0,24516276.0
2020-10-22,GIC,0.0,589.0,562.0,589.0,81626.0,48055634.0
2020-10-28,GIC,0.0,647.0,570.0,578.0,102532.0,60059036.0
2020-10-29,GIC,0.0,578.0,560.0,563.0,46660.0,26228800.0
2020-11-01,GIC,0.0,560.0,531.0,542.0,60151.0,32651796.0
2020-11-02,GIC,0.0,539.0,524.0,525.0,54819.0,28959360.0
2020-11-03,GIC,0.0,549.0,518.0,540.0,36209.0,19091803.0
2020-11-04,GIC,0.0,548.0,535.0,536.0,17530.0,9456870.0
2020-11-05,GIC,0.0,542.0,525.0,530.0,12350.0,6577885.0
2020-11-08,GIC,0.0,559.0,526.0,530.0,17793.0,9410236.0
2020-11-09,GIC,0.0,535.0,525.0,531.0,15005.0,7971742.0
2020-11-10,GIC,0.0,541.0,529.0,540.0,21930.0,11726870.0
2020-11-11,GIC,0.0,545.0,533.0,538.0,11323.0,6104048.0
2020-11-12,GIC,0.0,536.0,530.0,534.0,15523.0,8279542.0
2020-11-18,GIC,0.0,534.0,523.0,531.0,13542.0,7158412.0
2020-11-19,GIC,0.0,568.0,530.0,560.0,43613.0,24103776.0
2020-11-22,GIC,0.0,571.0,540.0,543.0,28724.0,15922835.0
2020-11-23,GIC,0.0,550.0,535.0,544.0,22570.0,12261140.0
2020-11-24,GIC,0.0,581.0,535.0,580.0,50967.0,28855783.0
2020-11-25,GIC,0.0,621.0,579.0,599.0,42517.0,25315455.0
2020-11-26,GIC,0.0,605.0,580.0,583.0,33154.0,19562348.0
2020-11-29,GIC,0.0,635.0,593.0,604.0,70299.0,42646747.0
2020-11-30,GIC,0.0,619.0,594.0,606.0,37901.0,22857760.0
2020-12-01,GIC,0.0,604.0,590.0,598.0,29489.0,17638928.0
2020-12-02,GIC,0.0,610.0,588.0,608.0,33507.0,20245075.0
2020-12-03,GIC,0.0,622.0,595.0,601.0,19431.0,11804624.0
2020-12-06,GIC,0.0,600.0,580.0,580.0,13322.0,7833851.0
2020-12-07,GIC,0.0,601.0,568.0,588.0,25850.0,15080477.0
2020-12-08,GIC,0.0,600.0,581.0,584.0,9965.0,5839275.0
2020-12-09,GIC,0.0,590.0,568.0,570.0,13857.0,7922745.0
2020-12-10,GIC,0.0,575.0,559.0,572.0,7915.0,4509990.0
2020-12-13,GIC,0.0,574.0,562.0,572.0,8180.0,4660145.0
2020-12-14,GIC,0.0,586.0,570.0,586.0,12621.0,7315362.0
2020-12-15,GIC,0.0,600.0,557.0,581.0,9325.0,5461514.0
2020-12-16,GIC,0.0,581.0,572.0,577.0,6455.0,3722440.0
2020-12-17,GIC,0.0,576.0,554.0,571.0,13272.0,7580180.0
2020-12-20,GIC,0.0,575.0,550.0,550.0,17254.0,9658288.0
2020-12-21,GIC,0.0,571.0,510.0,553.0,12035.0,6445085.0
2020-12-22,GIC,0.0,571.0,552.0,558.0,12852.0,7183929.0
2020-12-23,GIC,0.0,569.0,550.0,554.0,7225.0,4029185.0
2020-12-24,GIC,0.0,554.0,549.0,552.0,7385.0,4065410.0
2020-12-27,GIC,0.0,555.0,546.0,546.0,7030.0,3856990.0
2020-12-28,GIC,0.0,549.0,540.0,542.0,7186.0,3906662.0
2020-12-29,GIC,0.0,540.0,535.0,535.0,9510.0,5105490.0
2020-12-30,GIC,0.0,540.0,533.0,534.0,8895.0,4752690.0
2020-12-31,GIC,0.0,540.0,530.0,532.0,12215.0,6521110.0
2021-01-03,GIC,0.0,545.0,532.0,545.0,9457.0,5118585.0
2021-01-04,GIC,0.0,563.0,545.0,554.0,8715.0,4853295.0
2021-01-05,GIC,0.0,551.0,545.0,545.0,7180.0,3930850.0
2021-01-06,GIC,0.0,555.0,542.0,552.0,8260.0,4547510.0
2021-01-07,GIC,0.0,573.0,550.0,570.0,23524.0,13374169.0
2021-01-10,GIC,0.0,584.0,570.0,578.0,18768.0,10872606.0
2021-01-11,GIC,0.0,583.0,572.0,577.0,8063.0,4649629.0
2021-01-12,GIC,0.0,592.0,568.0,590.0,25854.0,15062678.0
2021-01-13,GIC,0.0,600.0,579.0,597.0,24281.0,14456227.0
2021-01-17,GIC,0.0,600.0,586.0,590.0,12586.0,7435000.0
2021-01-18,GIC,0.0,630.0,585.0,623.0,61336.0,37863494.0
2021-01-19,GIC,0.0,630.0,613.0,620.0,25951.0,16076649.0
2021-01-20,GIC,0.0,621.0,612.0,614.0,17316.0,10667425.0
2021-01-21,GIC,0.0,635.0,602.0,616.0,32345.0,20093775.0
2021-01-24,GIC,0.0,642.0,617.0,637.0,41211.0,26124630.0
2021-01-25,GIC,0.0,651.0,635.0,636.0,35956.0,23206052.0
2021-01-26,GIC,0.0,644.0,625.0,627.0,24217.0,15329395.0
2021-01-27,GIC,0.0,632.0,620.0,632.0,24050.0,15119947.0
2021-01-28,GIC,0.0,647.0,625.0,636.0,34025.0,21768029.0
2021-01-31,GIC,0.0,650.0,605.0,626.0,16936.0,10694924.0
2021-02-01,GIC,0.0,639.0,625.0,629.0,18287.0,11520894.0
2021-02-02,GIC,0.0,691.0,629.0,691.0,72737.0,49787991.0
2021-02-03,GIC,0.0,760.0,719.0,726.0,92503.0,67578141.0
2021-02-04,GIC,0.0,744.0,710.0,726.0,37611.0,27375502.0
2021-02-07,GIC,0.0,739.0,718.0,736.0,44063.0,32041913.0
2021-02-08,GIC,0.0,750.0,725.0,730.0,31615.0,23335197.0
2021-02-09,GIC,0.0,740.0,711.0,717.0,18299.0,13165050.0
2021-02-10,GIC,0.0,715.0,703.0,711.0,22127.0,15688244.0
2021-02-11,GIC,0.0,740.0,702.0,708.0,15399.0,10935140.0
2021-02-14,GIC,0.0,721.0,695.0,700.0,17055.0,11982455.0
2021-02-15,GIC,0.0,720.0,709.0,715.0,16612.0,11878509.0
2021-02-16,GIC,0.0,737.0,705.0,710.0,17270.0,12344790.0
2021-02-17,GIC,0.0,709.0,690.0,700.0,14726.0,10276110.0
2021-02-18,GIC,0.0,710.0,684.0,688.0,17696.0,12177466.0
2021-02-21,GIC,0.0,699.0,670.0,676.0,18099.0,12237774.0
2021-02-22,GIC,0.0,673.0,653.0,663.0,12551.0,8347114.0
2021-02-23,GIC,0.0,663.0,640.0,656.0,18984.0,12291172.0
2021-02-24,GIC,0.0,678.0,660.0,670.0,14571.0,9780007.0
2021-02-25,GIC,0.0,683.0,651.0,658.0,9630.0,6355955.0
2021-02-28,GIC,0.0,658.0,625.0,634.0,20241.0,12837826.0
2021-03-01,GIC,0.0,652.0,620.0,643.0,10500.0,6693304.0
2021-03-02,GIC,0.0,652.0,620.0,625.0,16239.0,10297212.0
2021-03-03,GIC,0.0,622.0,603.0,612.0,11904.0,7259458.0
2021-03-04,GIC,0.0,637.0,600.0,635.0,7096.0,4475912.0
2021-03-07,GIC,0.0,645.0,624.0,632.0,5997.0,3780881.0
2021-03-09,GIC,0.0,632.0,610.0,623.0,5770.0,3574610.0
2021-03-10,GIC,0.0,622.0,611.0,619.0,5870.0,3627520.0
2021-03-14,GIC,0.0,645.0,602.0,611.0,10752.0,6534700.0
2021-03-15,GIC,0.0,611.0,600.0,602.0,5904.0,3571879.0
2021-03-16,GIC,0.0,610.0,595.0,597.0,8680.0,5216955.0
2021-03-17,GIC,0.0,610.0,595.0,605.0,5442.0,3290007.0
2021-03-18,GIC,0.0,620.0,600.0,619.0,7755.0,4789065.0
2021-03-21,GIC,0.0,647.0,619.0,647.0,9262.0,5869872.0
2021-03-22,GIC,0.0,655.0,629.0,630.0,9075.0,5745990.0
2021-03-23,GIC,0.0,630.0,618.0,627.0,14561.0,9048347.0
2021-03-24,GIC,0.0,639.0,615.0,635.0,9619.0,6048752.0
2021-03-25,GIC,0.0,636.0,630.0,631.0,8646.0,5467252.0
2021-03-29,GIC,0.0,638.0,624.0,634.0,8633.0,5463499.0
2021-03-30,GIC,0.0,697.0,642.0,697.0,52972.0,36722881.0
2021-03-31,GIC,0.0,750.0,695.0,738.0,61585.0,45001673.0
2021-04-01,GIC,0.0,755.0,718.0,721.0,43754.0,31916799.0
2021-04-04,GIC,0.0,793.0,730.0,793.0,98130.0,76342824.0
2021-04-05,GIC,0.0,860.0,761.0,780.0,73065.0,58663812.0
2021-04-06,GIC,0.0,800.0,711.0,740.0,44018.0,32710023.0
2021-04-07,GIC,0.0,777.0,713.0,720.0,46680.0,33573401.0
2021-04-08,GIC,0.0,735.0,710.0,733.0,19543.0,14224913.0
2021-04-12,GIC,0.0,780.0,720.0,752.0,37773.0,28080491.0
2021-04-13,GIC,0.0,789.0,740.0,741.0,17777.0,13276466.0
2021-04-15,GIC,0.0,749.0,731.0,733.0,12116.0,8928073.0
2021-04-18,GIC,0.0,735.0,720.0,726.0,11802.0,8584190.0
2021-04-19,GIC,0.0,724.0,710.0,711.0,20845.0,14889142.0
2021-04-20,GIC,0.0,729.0,700.0,720.0,11732.0,8443998.0
2021-04-21,GIC,0.0,724.0,709.0,711.0,13480.0,9606213.0
2021-04-22,GIC,0.0,715.0,702.0,713.0,13076.0,9281327.0
2021-04-25,GIC,0.0,708.0,682.0,700.0,26562.0,18290424.0
2021-04-26,GIC,0.0,702.0,662.0,662.0,21869.0,14741021.0
2021-04-27,GIC,0.0,699.0,651.0,693.0,11148.0,7626454.0
2021-04-28,GIC,0.0,705.0,682.0,682.0,7378.0,5106451.0
2021-04-29,GIC,0.0,705.0,672.0,694.0,8860.0,6160421.0
2021-05-02,GIC,0.0,718.0,681.0,718.0,19957.0,14137720.0
2021-05-03,GIC,0.0,734.0,710.0,715.0,19428.0,13993826.0
2021-05-04,GIC,0.0,715.0,705.0,711.0,12030.0,8554950.0
2021-05-05,GIC,0.0,715.0,702.0,712.0,7629.0,5422115.0
2021-05-06,GIC,0.0,720.0,693.0,700.0,12027.0,8424756.0
2021-05-09,GIC,0.0,735.0,689.0,690.0,8004.0,5584028.0
2021-05-10,GIC,0.0,707.0,680.0,706.0,7494.0,5229995.0
2021-05-11,GIC,0.0,710.0,700.0,708.0,6964.0,4925397.0
2021-05-12,GIC,0.0,715.0,705.0,710.0,7215.0,5118265.0
2021-05-13,GIC,0.0,710.0,697.0,709.0,9822.0,6932787.0
2021-05-16,GIC,0.0,732.0,710.0,726.0,23689.0,17175526.0
2021-05-17,GIC,0.0,750.0,721.0,722.0,18914.0,13830031.0
2021-05-18,GIC,0.0,730.0,710.0,727.0,13402.0,9731587.0
2021-05-19,GIC,0.0,740.0,718.0,720.0,12523.0,9089909.0
2021-05-20,GIC,0.0,725.0,713.0,714.0,10444.0,7482151.0
2021-05-23,GIC,0.0,725.0,699.0,715.0,11900.0,8473147.0
2021-05-24,GIC,0.0,721.0,710.0,713.0,17748.0,12677671.0
2021-05-25,GIC,0.0,744.0,710.0,738.0,46033.0,33775160.0
2021-05-27,GIC,0.0,749.0,724.0,742.0,34579.0,25633976.0
2021-05-30,GIC,0.0,779.0,750.0,763.0,77080.0,58958385.0
2021-05-31,GIC,0.0,792.0,751.0,754.0,61264.0,47650411.0
2021-06-01,GIC,0.0,759.0,735.0,741.0,20275.0,15062685.0
2021-06-02,GIC,0.0,759.0,735.0,746.0,14119.0,10518364.0
2021-06-03,GIC,0.0,760.0,737.0,740.0,19150.0,14280360.0
2021-06-06,GIC,731.0,739.0,731.0,737.0,20825.0,15292247.0
2021-06-07,GIC,740.0,750.0,730.0,734.0,17718.0,13054018.0
2021-06-08,GIC,734.0,804.0,731.0,786.0,54980.0,41940467.0
2021-06-09,GIC,815.0,820.0,770.0,789.0,65139.0,51943177.0
2021-06-10,GIC,780.0,802.0,773.0,777.0,35672.0,27909003.0
2021-06-13,GIC,800.0,800.0,762.0,765.0,27191.0,20854669.0
2021-06-14,GIC,765.0,780.0,750.0,779.0,28068.0,21669214.0
2021-06-15,GIC,800.0,800.0,765.0,768.0,29580.0,22986898.0
2021-06-16,GIC,753.0,765.0,739.0,747.0,18352.0,13745130.0
2021-06-17,GIC,747.0,764.0,743.0,751.0,14051.0,10549399.0
2021-06-20,GIC,756.0,756.0,724.0,727.0,18702.0,13771731.0
2021-06-21,GIC,727.0,736.0,695.0,702.0,24407.0,17293515.0
2021-06-22,GIC,705.0,729.0,701.0,727.0,8827.0,6336333.0
2021-06-23,GIC,715.0,729.0,707.0,712.0,8296.0,5922442.0
2021-06-24,GIC,700.0,709.0,700.0,702.0,10440.0,7345042.0
2021-06-27,GIC,691.0,716.0,691.0,703.0,13442.0,9435489.0
2021-06-28,GIC,705.0,712.0,700.0,707.0,6633.0,4682024.0
2021-06-29,GIC,707.0,712.0,693.0,694.0,8893.0,6214485.0
2021-06-30,GIC,690.0,690.0,671.0,686.0,9170.0,6230493.0
2021-07-01,GIC,680.0,702.0,680.0,696.0,5638.0,3935732.0
2021-07-04,GIC,700.0,700.0,690.0,698.0,7685.0,5342660.0
2021-07-05,GIC,686.0,694.0,686.0,687.0,4300.0,2961710.0
2021-07-06,GIC,687.0,688.0,680.0,682.0,5238.0,3572504.0
2021-07-07,GIC,675.0,686.0,675.0,685.0,3832.0,2602964.0
2021-07-08,GIC,677.0,695.0,673.0,682.0,6830.0,4648936.0
2021-07-11,GIC,690.0,702.0,689.0,702.0,7209.0,5025366.0
2021-07-12,GIC,703.0,718.0,698.0,699.0,7735.0,5428556.0
2021-07-13,GIC,705.0,705.0,698.0,700.0,3755.0,2633155.0
2021-07-14,GIC,690.0,699.0,690.0,693.0,5661.0,3914425.0
2021-07-15,GIC,690.0,696.0,690.0,693.0,4723.0,3273231.0
2021-07-18,GIC,700.0,712.0,693.0,712.0,10463.0,7375406.0
2021-07-19,GIC,725.0,725.0,703.0,724.0,7997.0,5761295.0
2021-07-20,GIC,724.0,724.0,712.0,714.0,4143.0,2963831.9
2021-07-22,GIC,705.0,715.0,699.8,710.0,6644.0,4715483.5
2021-07-25,GIC,700.0,709.0,700.0,704.0,13480.0,9493838.5
2021-07-26,GIC,703.0,711.8,703.0,709.1,9335.0,6616117.0
2021-07-27,GIC,700.0,715.0,700.0,712.0,8943.0,6354587.9
2021-07-28,GIC,709.0,739.0,709.0,736.0,17661.0,12962752.7
2021-07-29,GIC,745.0,770.0,734.0,736.0,28627.0,21550273.6
2021-08-01,GIC,740.0,740.0,725.0,730.1,10005.0,7283300.2
2021-08-02,GIC,732.0,735.0,722.0,722.6,9134.0,6608635.3
2021-08-03,GIC,719.8,734.4,719.8,728.0,10632.0,7723152.5
2021-08-04,GIC,728.0,744.0,725.0,738.0,20733.0,15280534.3
2021-08-05,GIC,742.0,750.0,736.0,737.0,22089.0,16437785.8
2021-08-08,GIC,730.0,732.0,715.6,724.0,13584.0,9818448.0
2021-08-09,GIC,716.0,738.0,715.5,727.0,11803.0,8568024.8
2021-08-10,GIC,727.0,740.0,722.0,734.1,17233.0,12577278.0
2021-08-11,GIC,740.0,747.0,731.0,733.0,12654.0,9319152.3
2021-08-12,GIC,733.0,745.0,726.0,734.0,18080.0,13323726.7
2021-08-15,GIC,730.0,735.0,718.0,724.0,12943.0,9381623.3
2021-08-16,GIC,713.0,724.0,713.0,714.0,11429.0,8185887.0
2021-08-17,GIC,712.0,716.0,704.0,705.0,19221.0,13615156.6
2021-08-18,GIC,702.0,715.0,690.0,714.0,18199.0,12815002.1
2021-08-19,GIC,714.0,775.0,714.0,755.0,63317.0,47672037.6
2021-08-24,GIC,770.0,809.0,770.0,788.9,104396.0,82781220.3
2021-08-25,GIC,788.9,799.0,740.2,744.0,37550.0,28624620.0
2021-08-26,GIC,744.0,751.0,735.0,740.0,17104.0,12719766.0
