business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2019-06-06,GMFBS,0.0,237.0,237.0,237.0,10.0,2370.0
2019-06-10,GMFBS,0.0,248.0,248.0,248.0,10.0,2480.0
2019-06-11,GMFBS,0.0,260.0,260.0,260.0,10.0,2600.0
2019-06-12,GMFBS,0.0,273.0,273.0,273.0,10.0,2730.0
2019-06-16,GMFBS,0.0,291.0,286.0,291.0,20.0,5770.0
2019-06-18,GMFBS,0.0,311.0,305.0,311.0,20.0,6160.0
2019-06-19,GMFBS,0.0,326.0,326.0,326.0,10.0,3260.0
2019-06-23,GMFBS,0.0,358.0,342.0,358.0,550.0,196600.0
2019-06-24,GMFBS,0.0,393.0,375.0,393.0,90.0,35040.0
2019-06-25,GMFBS,0.0,432.0,412.0,432.0,890.0,384000.0
2019-06-26,GMFBS,0.0,462.0,424.0,434.0,21479.0,9349630.0
2019-06-27,GMFBS,0.0,438.0,430.0,436.0,6495.0,2820340.0
2019-06-30,GMFBS,0.0,443.0,422.0,432.0,7780.0,3358900.0
2019-07-01,GMFBS,0.0,434.0,424.0,426.0,2960.0,1268740.0
2019-07-02,GMFBS,0.0,437.0,422.0,434.0,2060.0,883270.0
2019-07-03,GMFBS,0.0,476.0,426.0,460.0,5670.0,2543590.0
2019-07-04,GMFBS,0.0,469.0,450.0,464.0,3691.0,1697654.0
2019-07-07,GMFBS,0.0,460.0,446.0,450.0,1590.0,723450.0
2019-07-08,GMFBS,0.0,452.0,440.0,445.0,1928.0,857240.0
2019-07-09,GMFBS,0.0,453.0,429.0,438.0,830.0,365360.0
2019-07-10,GMFBS,0.0,441.0,430.0,441.0,576.0,252096.0
2019-07-11,GMFBS,0.0,445.0,437.0,445.0,2205.0,971975.0
2019-07-14,GMFBS,0.0,450.0,432.0,440.0,790.0,347110.0
2019-07-15,GMFBS,0.0,448.0,433.0,448.0,1450.0,647740.0
2019-07-16,GMFBS,0.0,450.0,441.0,446.0,1300.0,579460.0
2019-07-17,GMFBS,0.0,459.0,441.0,454.0,1380.0,627100.0
2019-07-18,GMFBS,0.0,461.0,452.0,454.0,560.0,256050.0
2019-07-21,GMFBS,0.0,465.0,452.0,465.0,1705.0,786185.0
2019-07-22,GMFBS,0.0,475.0,460.0,474.0,2250.0,1059640.0
2019-07-23,GMFBS,0.0,494.0,469.0,493.0,1954.0,941796.0
2019-07-24,GMFBS,0.0,538.0,495.0,538.0,3695.0,1921035.0
2019-07-25,GMFBS,0.0,538.0,512.0,518.0,6768.0,3524482.0
2019-07-28,GMFBS,0.0,527.0,486.0,521.0,5185.0,2691478.0
2019-07-29,GMFBS,0.0,540.0,508.0,532.0,7930.0,4153950.0
2019-07-30,GMFBS,0.0,570.0,530.0,554.0,7035.0,3810040.0
2019-07-31,GMFBS,0.0,609.0,538.0,609.0,9471.0,5368394.0
2019-08-01,GMFBS,0.0,669.0,587.0,633.0,12138.0,7585498.0
2019-08-04,GMFBS,0.0,654.0,613.0,613.0,6605.0,4153975.0
2019-08-05,GMFBS,0.0,625.0,577.0,582.0,7514.0,4494614.0
2019-08-06,GMFBS,0.0,571.0,531.0,554.0,2950.0,1632350.0
2019-08-07,GMFBS,0.0,601.0,536.0,591.0,3728.0,2126225.0
2019-08-08,GMFBS,0.0,590.0,570.0,578.0,2070.0,1199364.0
2019-08-11,GMFBS,0.0,598.0,560.0,567.0,1150.0,658335.0
2019-08-12,GMFBS,0.0,585.0,556.0,582.0,1160.0,667635.0
2019-08-13,GMFBS,0.0,592.0,573.0,581.0,2038.0,1191798.0
2019-08-14,GMFBS,0.0,585.0,573.0,580.0,1170.0,679100.0
2019-08-15,GMFBS,0.0,574.0,564.0,564.0,965.0,551600.0
2019-08-18,GMFBS,0.0,570.0,562.0,564.0,1300.0,733880.0
2019-08-19,GMFBS,0.0,592.0,557.0,581.0,570.0,323910.0
2019-08-20,GMFBS,0.0,588.0,562.0,569.0,1550.0,885110.0
2019-08-21,GMFBS,0.0,570.0,525.0,538.0,4726.0,2562511.0
2019-08-22,GMFBS,0.0,540.0,519.0,527.0,2160.0,1134380.0
2019-08-25,GMFBS,0.0,530.0,514.0,518.0,1490.0,774910.0
2019-08-26,GMFBS,0.0,528.0,515.0,515.0,1240.0,641140.0
2019-08-27,GMFBS,0.0,545.0,512.0,534.0,1314.0,688838.0
2019-08-28,GMFBS,0.0,544.0,520.0,526.0,520.0,272650.0
2019-08-29,GMFBS,0.0,525.0,518.0,518.0,450.0,234310.0
2019-09-01,GMFBS,0.0,520.0,510.0,514.0,390.0,199950.0
2019-09-02,GMFBS,0.0,515.0,487.0,500.0,1051.0,523294.0
2019-09-03,GMFBS,0.0,515.0,490.0,511.0,731.0,364465.0
2019-09-04,GMFBS,0.0,525.0,503.0,525.0,1081.0,559179.0
2019-09-05,GMFBS,0.0,529.0,511.0,512.0,1065.0,550370.0
