business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-07-04,GWFD83,1050.0,1155.0,1050.0,1155.0,656.0,720472.0
2021-07-05,GWFD83,1178.0,1220.0,1178.0,1220.0,2042.0,2456700.0
2021-07-06,GWFD83,1240.0,1242.0,1240.0,1242.0,150.0,186100.0
2021-07-07,GWFD83,1230.0,1230.0,1230.0,1230.0,10.0,12300.0
2021-07-08,GWFD83,1206.0,1206.0,1206.0,1206.0,10.0,12060.0
2021-07-11,GWFD83,1205.0,1205.0,1205.0,1205.0,10.0,12050.0
2021-07-12,GWFD83,1181.0,1190.0,1172.0,1172.0,525.0,620000.0
2021-07-13,GWFD83,1195.0,1219.0,1195.0,1196.0,855.0,1038795.0
2021-07-15,GWFD83,1200.0,1200.0,1200.0,1200.0,50.0,60000.0
2021-07-18,GWFD83,1180.0,1180.0,1152.6,1160.0,730.0,849450.0
2021-07-19,GWFD83,1150.0,1150.0,1145.0,1145.0,750.0,861875.0
2021-07-20,GWFD83,1150.0,1150.0,1135.0,1150.0,525.0,599000.0
2021-07-22,GWFD83,1150.0,1173.0,1150.0,1154.0,165.0,191470.0
2021-07-25,GWFD83,1160.0,1160.0,1154.0,1154.0,225.0,259905.0
2021-07-26,GWFD83,1150.0,1160.0,1150.0,1160.0,630.0,729300.0
2021-07-27,GWFD83,1168.0,1168.0,1145.1,1165.0,740.0,853963.0
2021-08-01,GWFD83,1165.0,1170.0,1165.0,1170.0,225.0,262750.0
2021-08-02,GWFD83,1170.0,1170.0,1170.0,1170.0,190.0,222300.0
2021-08-05,GWFD83,1160.0,1160.0,1160.0,1160.0,100.0,116000.0
2021-08-08,GWFD83,1160.0,1160.0,1160.0,1160.0,430.0,498800.0
2021-08-09,GWFD83,1175.0,1190.0,1160.0,1190.0,460.0,541810.0
2021-08-10,GWFD83,1187.0,1195.0,1171.1,1195.0,775.0,922715.0
2021-08-11,GWFD83,1212.0,1215.0,1212.0,1215.0,45.0,54580.0
2021-08-19,GWFD83,1190.7,1190.7,1190.7,1190.7,40.0,47628.0
2021-08-26,GWFD83,1166.9,1166.9,1143.7,1143.7,705.0,807541.5
2021-08-29,GWFD83,1131.0,1140.0,1130.0,1132.0,166.0,187972.0
2021-08-31,GWFD83,1130.2,1130.2,1130.2,1130.2,50.0,56510.0
2021-09-05,GWFD83,1152.0,1152.0,1152.0,1152.0,25.0,28800.0
2021-09-06,GWFD83,1171.0,1172.0,1150.0,1150.0,400.0,462150.0
2021-09-09,GWFD83,1148.0,1148.0,1145.0,1145.0,50.0,57325.0
2021-09-12,GWFD83,1135.2,1145.0,1135.0,1145.0,275.0,312636.5
2021-09-13,GWFD83,1140.0,1140.0,1140.0,1140.0,25.0,28500.0
2021-09-20,GWFD83,1125.0,1125.0,1120.0,1120.0,583.0,653965.0
2021-09-23,GWFD83,1120.0,1135.0,1120.0,1135.0,102.0,115020.0
2021-09-29,GWFD83,1130.0,1130.0,1120.2,1120.2,165.0,185813.0
2021-09-30,GWFD83,1121.0,1121.0,1121.0,1121.0,25.0,28025.0
2021-10-03,GWFD83,1120.0,1130.0,1120.0,1130.0,200.0,225000.0
2021-10-06,GWFD83,1130.0,1140.0,1130.0,1140.0,345.0,391650.0
2021-10-11,GWFD83,1140.0,1140.0,1140.0,1140.0,50.0,57000.0
2021-10-18,GWFD83,1140.0,1140.0,1125.0,1140.0,671.0,759375.0
2021-10-26,GWFD83,1140.0,1150.0,1140.0,1150.0,125.0,143500.0
2021-10-31,GWFD83,1140.0,1150.0,1140.0,1150.0,125.0,143500.0
2021-11-01,GWFD83,1150.0,1150.0,1150.0,1150.0,50.0,57500.0
2021-11-02,GWFD83,1150.0,1150.0,1150.0,1150.0,200.0,230000.0
2021-11-09,GWFD83,1127.0,1127.0,1127.0,1127.0,25.0,28175.0
2021-11-11,GWFD83,1125.0,1150.0,1125.0,1150.0,375.0,430575.0
2021-11-14,GWFD83,1127.0,1149.5,1127.0,1149.5,125.0,143125.0
2021-11-15,GWFD83,1150.0,1155.0,1150.0,1155.0,225.0,259250.0
2021-11-16,GWFD83,1155.0,1155.0,1155.0,1155.0,95.0,109725.0
2021-11-17,GWFD83,1140.0,1140.0,1140.0,1140.0,50.0,57000.0
2021-11-22,GWFD83,1140.0,1140.0,1140.0,1140.0,25.0,28500.0
2021-11-24,GWFD83,1159.9,1161.0,1159.9,1161.0,75.0,87020.0
2021-12-05,GWFD83,1137.9,1150.0,1127.0,1127.0,245.0,277780.0
2021-12-06,GWFD83,1127.0,1127.0,1127.0,1127.0,50.0,56350.0
2021-12-08,GWFD83,1127.0,1127.0,1127.0,1127.0,50.0,56350.0
2021-12-09,GWFD83,1112.0,1115.0,1111.0,1115.0,550.0,612350.0
2021-12-12,GWFD83,1130.0,1130.0,1130.0,1130.0,100.0,113000.0
2021-12-13,GWFD83,1130.0,1140.0,1130.0,1140.0,255.0,288875.0
2021-12-16,GWFD83,1120.0,1120.0,1120.0,1120.0,200.0,224000.0
2021-12-20,GWFD83,1130.0,1130.0,1130.0,1130.0,100.0,113000.0
2021-12-21,GWFD83,1152.6,1152.6,1129.6,1129.6,65.0,74689.0
2021-12-22,GWFD83,1152.1,1152.1,1152.1,1152.1,50.0,57605.0
2021-12-27,GWFD83,1159.9,1159.9,1159.9,1159.9,100.0,115990.0
2022-01-03,GWFD83,1160.0,1160.0,1160.0,1160.0,90.0,104400.0
2022-01-04,GWFD83,1160.0,1160.0,1160.0,1160.0,200.0,232000.0
2022-01-05,GWFD83,1155.0,1155.0,1150.0,1150.0,50.0,57625.0
2022-01-09,GWFD83,1150.0,1150.0,1150.0,1150.0,165.0,189750.0
2022-01-10,GWFD83,1172.0,1173.0,1172.0,1173.0,35.0,41030.0
2022-01-18,GWFD83,1149.6,1149.6,1120.0,1120.0,250.0,280431.5
2022-01-19,GWFD83,1120.0,1120.0,1097.6,1097.6,95.0,104840.0
2022-01-20,GWFD83,1082.1,1090.0,1080.2,1090.0,495.0,537020.0
2022-01-23,GWFD83,1084.0,1100.0,1084.0,1100.0,230.0,250240.0
