business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,HBL,0.0,465.0,465.0,465.0,30.0,13950.0
2012-01-02,HBL,0.0,479.0,465.0,479.0,652.0,306715.0
2012-01-03,HBL,0.0,494.0,485.0,486.0,371.0,181119.0
2012-01-04,HBL,0.0,478.0,478.0,478.0,52.0,24856.0
2012-01-05,HBL,0.0,470.0,461.0,461.0,184.0,85076.0
2012-01-08,HBL,0.0,470.0,457.0,460.0,1009.0,464326.0
2012-01-09,HBL,0.0,469.0,460.0,462.0,249.0,115233.0
2012-01-10,HBL,0.0,471.0,462.0,471.0,452.0,211229.0
2012-01-11,HBL,0.0,470.0,470.0,470.0,100.0,47000.0
2012-01-12,HBL,0.0,479.0,470.0,479.0,1125.0,530080.0
2012-01-17,HBL,0.0,470.0,470.0,470.0,155.0,72850.0
2012-01-18,HBL,0.0,470.0,460.0,460.0,589.0,271934.0
2012-01-19,HBL,0.0,465.0,460.0,460.0,875.0,406345.0
2012-01-22,HBL,0.0,475.0,464.0,475.0,144.0,67636.0
2012-01-23,HBL,0.0,466.0,452.0,461.0,1262.0,570961.0
2012-01-29,HBL,0.0,461.0,460.0,460.0,145.0,66725.0
2012-01-31,HBL,0.0,466.0,460.0,460.0,262.0,121060.0
2012-02-01,HBL,0.0,465.0,460.0,465.0,801.0,370156.0
2012-02-02,HBL,0.0,473.0,465.0,473.0,163.0,75915.0
2012-02-05,HBL,0.0,465.0,465.0,465.0,698.0,324570.0
2012-02-06,HBL,0.0,468.0,461.0,462.0,1097.0,506868.0
2012-02-07,HBL,0.0,458.0,458.0,458.0,710.0,325180.0
2012-02-12,HBL,0.0,460.0,460.0,460.0,22.0,10120.0
2012-02-13,HBL,0.0,465.0,460.0,460.0,471.0,217433.0
2012-02-14,HBL,0.0,462.0,460.0,462.0,150.0,69100.0
2012-02-15,HBL,0.0,465.0,460.0,460.0,60.0,27700.0
2012-02-16,HBL,0.0,460.0,458.0,460.0,361.0,165904.0
