business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2017-02-22,HEIP,0.0,580.0,580.0,580.0,1069.0,620020.0
2017-06-07,HEIP,0.0,580.0,580.0,580.0,22.0,12760.0
2018-03-27,HEIP,0.0,225.0,225.0,225.0,2500.0,562500.0
2022-08-30,HEIP,214.2,231.0,214.2,231.0,2445.0,564379.0
2022-08-31,HEIP,235.6,254.1,235.6,254.1,50.0,12251.0
2022-09-01,HEIP,259.1,279.5,259.1,279.5,12469.0,3477758.9
2022-09-02,HEIP,274.0,282.0,268.6,276.4,510.0,138050.0
2022-09-04,HEIP,276.0,298.0,276.0,291.4,11192.0,3181207.0
2022-09-05,HEIP,285.6,288.0,281.1,281.1,1162.0,327597.0
2022-09-06,HEIP,286.7,292.4,280.0,291.2,1898.0,539908.6
2022-09-07,HEIP,285.4,285.4,285.4,285.4,10.0,2854.0
2022-09-08,HEIP,285.4,285.4,285.4,285.4,17.0,4851.8
2022-09-11,HEIP,291.0,291.0,268.8,268.8,2040.0,571005.0
2022-09-12,HEIP,273.0,273.0,269.0,269.0,280.0,76099.0
2022-09-13,HEIP,274.0,274.0,274.0,274.0,500.0,137000.0
2022-09-14,HEIP,279.4,291.8,276.4,281.8,1435.0,408921.0
2022-09-15,HEIP,276.2,276.2,265.6,265.7,2524.0,681975.8
2022-09-16,HEIP,261.0,281.0,260.5,281.0,1051.0,278135.5
2022-09-18,HEIP,275.4,275.4,265.0,265.0,366.0,100325.0
2022-09-20,HEIP,259.7,259.7,259.7,259.7,10.0,2597.0
2022-09-21,HEIP,264.0,269.0,255.0,269.0,1471.0,378121.4
2022-09-22,HEIP,263.7,263.7,254.3,254.3,350.0,90635.0
2022-09-25,HEIP,250.1,279.7,249.3,279.7,1630.0,408893.0
2022-09-27,HEIP,279.0,285.1,279.0,285.1,55.0,15406.0
2022-09-28,HEIP,290.5,290.5,290.5,290.5,10.0,2905.0
2022-10-09,HEIP,284.7,284.7,275.0,279.0,816282.0,226981744.0
2022-10-10,HEIP,283.9,283.9,251.1,251.1,593932.0,165877414.9
2022-10-11,HEIP,247.3,256.0,247.0,256.0,5315.0,1316650.0
2022-10-12,HEIP,251.0,251.0,246.0,251.0,1740.0,428592.0
2022-10-13,HEIP,247.1,250.0,238.0,250.0,4780.0,1161896.8
2022-10-16,HEIP,250.0,250.0,236.5,247.5,1541.0,373884.4
2022-10-17,HEIP,252.4,261.9,240.0,251.4,1190.0,306340.0
2022-10-19,HEIP,256.4,256.4,241.4,249.9,60.0,15002.0
2022-10-20,HEIP,254.8,254.8,238.0,238.1,559.0,134214.9
2022-10-23,HEIP,240.1,249.9,235.5,249.9,330.0,79027.0
2022-10-31,HEIP,254.0,254.0,240.1,248.7,110.0,27197.0
2022-11-01,HEIP,252.0,260.0,240.3,242.0,4062.0,1004658.0
2022-11-02,HEIP,246.8,251.7,242.3,251.1,2935.0,730237.0
2022-11-03,HEIP,255.9,255.9,255.9,255.9,10.0,2559.0
2022-11-06,HEIP,260.9,260.9,246.1,247.0,4756.0,1206547.6
2022-11-07,HEIP,251.9,267.2,247.5,247.5,2668.0,676584.0
2022-11-08,HEIP,242.9,252.6,242.9,252.0,2070.0,507888.6
2022-11-09,HEIP,257.0,257.0,242.2,242.2,3855.0,939620.5
2022-11-10,HEIP,247.0,247.0,237.4,237.4,892.0,212156.8
2022-11-13,HEIP,232.8,233.0,232.8,233.0,197.0,45881.6
2022-11-14,HEIP,237.6,242.3,237.6,242.3,20.0,4799.0
2022-11-15,HEIP,247.0,247.0,247.0,247.0,10.0,2470.0
2022-11-16,HEIP,242.1,255.0,238.0,238.0,6867.0,1728327.7
2022-11-17,HEIP,242.7,252.4,242.7,252.4,30.0,7426.0
2022-11-22,HEIP,256.9,256.9,256.9,256.9,20.0,5138.0
2022-11-23,HEIP,251.8,251.8,242.0,242.0,860.0,211010.0
2022-11-24,HEIP,246.8,251.7,241.8,251.7,730.0,177272.0
2022-11-27,HEIP,252.8,261.8,252.8,261.8,3350.0,855091.0
2022-11-28,HEIP,264.8,264.8,244.3,244.3,514.0,129764.0
2022-11-29,HEIP,249.1,254.0,249.1,250.0,3690.0,925049.0
2022-11-30,HEIP,250.0,250.0,250.0,250.0,3000.0,750000.0
2022-12-01,HEIP,247.4,247.4,247.4,247.4,78.0,19297.2
2022-12-04,HEIP,252.3,257.0,248.0,257.0,1055.0,265363.5
2022-12-05,HEIP,251.9,251.9,251.9,251.9,110.0,27709.0
2022-12-07,HEIP,250.0,254.5,245.0,245.0,14332.0,3591794.4
2022-12-11,HEIP,241.1,241.1,241.1,241.1,300.0,72330.0
2022-12-12,HEIP,241.0,241.0,239.4,239.4,2616.0,630270.4
2022-12-13,HEIP,240.2,244.1,240.1,244.1,2510.0,602711.0
2022-12-15,HEIP,239.3,239.4,239.3,239.4,215.0,51454.0
2022-12-18,HEIP,237.4,237.4,237.4,237.4,300.0,71220.0
2022-12-19,HEIP,242.1,253.0,242.1,253.0,40.0,9920.0
2022-12-20,HEIP,248.2,248.2,240.1,240.1,12533.0,3066313.3
2022-12-26,HEIP,244.8,244.8,244.8,244.8,1000.0,244800.0
2022-12-27,HEIP,249.5,260.0,246.0,260.0,10766.0,2725439.0
2022-12-29,HEIP,265.0,286.0,265.0,265.2,4781.0,1324558.2
2023-01-01,HEIP,259.9,278.7,259.9,278.1,4846.0,1311694.8
2023-01-02,HEIP,281.0,286.6,280.9,280.9,4210.0,1194779.0
2023-01-03,HEIP,275.5,302.6,266.2,302.6,6903.0,1939754.0
2023-01-04,HEIP,307.0,307.0,300.9,300.9,110.0,33160.0
2023-01-05,HEIP,294.9,304.0,294.9,304.0,2810.0,842623.6
2023-01-08,HEIP,298.1,334.0,288.3,334.0,9466.0,2933256.4
2023-01-09,HEIP,328.0,367.4,327.5,360.0,7003.0,2376104.0
2023-01-10,HEIP,360.0,360.0,338.9,338.9,2230.0,765053.0
2023-01-12,HEIP,332.2,332.2,305.1,305.1,4968.0,1528931.4
2023-01-17,HEIP,299.0,311.2,279.0,309.0,5594.0,1595900.4
2023-01-18,HEIP,314.9,315.0,293.0,293.0,2886.0,850394.6
2023-01-19,HEIP,297.0,302.9,297.0,302.9,2510.0,747529.0
2023-01-23,HEIP,296.9,296.9,274.8,289.5,5030.0,1414955.8
2023-01-24,HEIP,283.8,307.1,268.6,307.1,6321.0,1882407.0
2023-01-25,HEIP,305.0,313.2,294.0,312.0,6585.0,2028138.0
2023-01-26,HEIP,314.9,333.9,314.9,329.9,1355.0,433745.5
2023-01-29,HEIP,323.4,326.0,310.7,319.0,10230.0,3213417.0
2023-01-30,HEIP,312.7,312.7,300.4,300.4,50.0,15265.0
2023-01-31,HEIP,294.4,306.4,289.3,306.4,1696.0,496097.0
2023-02-01,HEIP,300.3,304.9,294.3,294.3,820.0,246022.0
2023-02-02,HEIP,300.0,300.0,288.5,300.0,3938.0,1136822.7
2023-02-05,HEIP,294.0,299.8,288.4,288.5,1031.0,298767.4
2023-02-06,HEIP,294.2,299.8,293.9,299.6,70.0,20692.0
2023-02-07,HEIP,305.3,305.3,295.0,300.0,2523.0,751390.0
2023-02-08,HEIP,303.0,308.9,295.3,297.0,1012.0,302838.3
2023-02-09,HEIP,291.5,291.5,290.0,290.0,1853.0,538950.0
2023-02-14,HEIP,285.0,285.0,285.0,285.0,10.0,2850.0
2023-02-15,HEIP,280.0,296.0,279.3,288.9,624.0,175535.8
