business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-07-20,HLBSL,766.0,819.0,750.0,819.0,1704.0,1294869.3
2023-07-23,HLBSL,803.0,805.0,775.0,800.0,1779.0,1408241.9
2023-07-24,HLBSL,790.0,800.0,775.0,776.0,1777.0,1396455.7
2023-07-25,HLBSL,778.0,780.0,751.0,763.0,1911.0,1477767.0
2023-07-26,HLBSL,760.0,773.9,750.0,770.0,614.0,464539.0
2023-07-27,HLBSL,775.0,775.0,740.0,740.0,328.0,247770.9
2023-07-30,HLBSL,730.0,732.5,702.0,702.0,577.0,411274.8
2023-07-31,HLBSL,716.0,730.0,703.0,718.0,440.0,313231.0
2023-08-01,HLBSL,703.7,703.7,678.0,678.0,3290.0,2264301.6
2023-08-02,HLBSL,678.0,680.0,666.4,666.4,545.0,365517.2
2023-08-03,HLBSL,660.0,678.9,655.0,678.9,165.0,108526.5
2023-08-06,HLBSL,670.1,670.1,640.0,640.0,883.0,580665.1
2023-08-07,HLBSL,628.0,639.0,600.0,611.9,4615.0,2801063.9
2023-08-08,HLBSL,600.0,612.0,588.0,600.0,1408.0,840977.8
2023-08-09,HLBSL,595.0,660.0,595.0,659.0,309.0,190954.3
2023-08-10,HLBSL,672.1,672.1,607.0,616.0,3275.0,2033799.4
2023-08-13,HLBSL,616.0,628.0,607.9,615.0,432.0,265507.5
2023-08-14,HLBSL,619.0,665.0,600.0,638.0,1175.0,727149.5
2023-08-15,HLBSL,625.3,625.3,590.0,625.2,2114.0,1278063.4
2023-08-16,HLBSL,625.2,625.2,601.0,615.0,599.0,364698.1
2023-08-17,HLBSL,602.7,613.0,593.5,613.0,947.0,570771.6
2023-08-20,HLBSL,610.0,616.0,601.0,601.0,267.0,161812.7
2023-08-21,HLBSL,594.0,605.0,594.0,605.0,186.0,110700.0
2023-08-22,HLBSL,593.0,616.0,593.0,615.0,451.0,269484.3
2023-08-23,HLBSL,625.0,625.0,605.1,618.0,574.0,350657.3
2023-08-24,HLBSL,618.0,618.0,601.0,611.0,363.0,220683.0
2023-08-27,HLBSL,598.8,598.8,589.0,592.1,212.0,125958.3
2023-08-28,HLBSL,592.1,611.0,592.1,611.0,128.0,76965.4
2023-08-29,HLBSL,611.0,611.0,588.0,604.7,444.0,262823.1
2023-08-30,HLBSL,593.0,599.0,581.0,592.0,156.0,92033.4
2023-09-03,HLBSL,590.0,590.0,579.0,579.3,1085.0,629159.5
2023-09-04,HLBSL,567.8,622.0,567.0,619.0,1597.0,927368.9
2023-09-05,HLBSL,626.0,626.0,613.5,620.0,34.0,21075.0
2023-09-07,HLBSL,625.0,625.0,578.5,610.0,304.0,180143.4
2023-09-10,HLBSL,610.0,618.7,597.8,618.7,385.0,232616.9
2023-09-11,HLBSL,608.0,620.0,608.0,608.0,481.0,295469.0
2023-09-12,HLBSL,597.0,600.0,585.0,600.0,351.0,208544.7
2023-09-13,HLBSL,610.0,619.0,600.0,616.0,312.0,190608.0
2023-09-17,HLBSL,628.3,628.3,579.2,613.9,424.0,254740.8
2023-09-18,HLBSL,601.7,615.8,590.2,612.0,123.0,74336.0
2023-09-19,HLBSL,612.0,615.0,600.0,615.0,226.0,137760.9
2023-09-21,HLBSL,621.5,646.0,603.0,620.0,2967.0,1853219.7
2023-09-24,HLBSL,619.0,682.0,613.0,682.0,28600.0,17932490.2
2023-09-25,HLBSL,668.4,750.0,631.1,750.0,9191.0,6184953.2
2023-09-26,HLBSL,735.0,764.0,680.0,706.0,6062.0,4314706.5
2023-09-27,HLBSL,691.9,742.0,658.6,742.0,24978.0,16927777.5
2023-10-01,HLBSL,727.2,741.5,679.0,708.9,13828.0,9516992.4
2023-10-02,HLBSL,694.8,703.0,676.5,691.0,7160.0,4917396.6
2023-10-03,HLBSL,677.2,734.0,669.1,734.0,24139.0,16351340.6
2023-10-04,HLBSL,719.4,740.0,680.1,700.6,9240.0,6460897.9
2023-10-05,HLBSL,686.6,769.0,673.0,756.0,44054.0,30207799.3
2023-10-08,HLBSL,740.9,740.9,680.4,680.4,19621.0,13366417.6
2023-10-09,HLBSL,666.8,734.0,612.4,612.4,48955.0,31168993.9
2023-10-10,HLBSL,624.2,635.0,600.0,626.0,1608.0,984067.1
2023-10-11,HLBSL,613.5,625.0,613.5,623.0,360.0,222591.0
2023-10-12,HLBSL,610.6,634.0,586.6,607.0,5378.0,3216398.6
2023-10-16,HLBSL,595.0,617.9,572.0,601.0,2328.0,1399423.0
2023-10-17,HLBSL,589.0,624.0,563.5,565.0,15556.0,8910423.3
2023-10-18,HLBSL,555.0,610.0,555.0,568.0,7970.0,4646485.2
2023-10-19,HLBSL,579.0,599.0,551.0,565.0,2957.0,1683971.8
