business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-22,IGI,0.0,163.0,163.0,163.0,35.0,5705.0
2012-02-12,IGI,0.0,160.0,160.0,160.0,35.0,5600.0
2012-02-27,IGI,0.0,157.0,154.0,154.0,160.0,24670.0
2012-03-28,IGI,0.0,151.0,148.0,148.0,70.0,10465.0
2012-07-12,IGI,0.0,141.0,141.0,141.0,90.0,12690.0
2012-07-30,IGI,0.0,139.0,127.0,127.0,80.0,10680.0
2012-07-31,IGI,0.0,125.0,115.0,115.0,60.0,7200.0
2013-06-06,IGI,0.0,113.0,104.0,104.0,70.0,7620.0
2013-06-09,IGI,0.0,102.0,94.0,94.0,170.0,16220.0
2013-06-10,IGI,0.0,93.0,85.0,85.0,90.0,8010.0
2013-06-11,IGI,0.0,84.0,77.0,77.0,200.0,15720.0
2013-06-12,IGI,0.0,76.0,70.0,70.0,500.0,36850.0
2013-06-13,IGI,0.0,69.0,63.0,63.0,340.0,21870.0
2013-06-16,IGI,0.0,62.0,57.0,57.0,810.0,46480.0
2013-06-17,IGI,0.0,56.0,52.0,52.0,320.0,16840.0
2013-06-18,IGI,0.0,51.0,46.8,46.8,450.0,21286.0
2013-06-19,IGI,0.0,45.86,42.12,42.5,1350.0,57495.0
2013-06-20,IGI,0.0,42.0,41.65,42.0,2050.0,85750.0
2013-07-02,IGI,0.0,46.2,42.84,46.2,100.0,4455.0
2013-07-03,IGI,0.0,50.82,47.12,50.82,1420.0,71883.0
2013-07-04,IGI,0.0,55.0,51.0,55.0,270.0,14650.0
2013-07-07,IGI,0.0,59.0,56.0,59.0,380.0,22080.0
2013-07-08,IGI,0.0,60.0,58.0,58.0,485.0,28400.0
2013-07-09,IGI,0.0,60.0,58.0,60.0,2560.0,150410.0
2013-07-10,IGI,0.0,64.0,61.0,64.0,720.0,44560.0
2013-07-11,IGI,0.0,67.0,65.0,66.0,2340.0,154370.0
2013-07-14,IGI,0.0,67.0,67.0,67.0,60.0,4020.0
2013-07-15,IGI,0.0,66.0,66.0,66.0,210.0,13860.0
2013-07-17,IGI,0.0,65.0,64.0,64.0,170.0,10950.0
2013-07-18,IGI,0.0,64.0,64.0,64.0,20.0,1280.0
2013-07-21,IGI,0.0,63.0,63.0,63.0,350.0,22050.0
2013-07-28,IGI,0.0,63.0,63.0,63.0,280.0,17640.0
2013-07-29,IGI,0.0,62.0,61.0,62.0,150.0,9250.0
2013-07-30,IGI,0.0,61.0,61.0,61.0,50.0,3050.0
2013-08-01,IGI,0.0,60.0,59.0,59.0,190.0,11260.0
2013-08-15,IGI,0.0,58.0,58.0,58.0,80.0,4640.0
2013-08-20,IGI,0.0,59.0,57.0,59.0,320.0,18700.0
2013-08-25,IGI,0.0,58.0,57.0,57.0,190.0,10900.0
2013-12-05,IGI,0.0,58.0,58.0,58.0,240.0,13920.0
2013-12-09,IGI,0.0,63.0,59.0,63.0,1930.0,118470.0
2013-12-10,IGI,0.0,65.0,64.0,65.0,540.0,35030.0
2013-12-11,IGI,0.0,71.0,66.0,71.0,530.0,36560.0
2013-12-12,IGI,0.0,73.0,72.0,73.0,360.0,26060.0
2013-12-15,IGI,0.0,77.0,74.0,77.0,730.0,55470.0
2013-12-16,IGI,0.0,78.0,78.0,78.0,160.0,12480.0
2013-12-18,IGI,0.0,80.0,79.0,80.0,240.0,18970.0
2013-12-19,IGI,0.0,81.0,80.0,81.0,360.0,28920.0
2013-12-24,IGI,0.0,80.0,80.0,80.0,100.0,8000.0
2016-06-16,IGI,0.0,81.6,81.6,81.6,10.0,816.0
2016-07-10,IGI,0.0,83.23,83.23,83.23,10.0,832.3
2016-07-13,IGI,0.0,87.72,84.0,87.72,40.0,3427.2
2016-07-25,IGI,0.0,91.0,89.47,91.0,30.0,2714.7
2016-08-14,IGI,0.0,92.0,92.0,92.0,10.0,920.0
2016-08-17,IGI,0.0,99.0,93.84,99.0,40.0,3861.9
2016-08-22,IGI,0.0,100.0,100.0,100.0,10.0,1000.0
2016-09-08,IGI,0.0,104.0,102.0,104.0,80.0,8300.0
2016-09-25,IGI,0.0,110.0,106.0,110.0,30.0,3240.0
2016-09-27,IGI,0.0,120.0,112.0,120.0,50.0,5800.0
2016-09-28,IGI,0.0,126.0,126.0,126.0,10.0,1260.0
2016-09-29,IGI,0.0,134.0,128.0,134.0,40.0,5240.0
2016-10-02,IGI,0.0,140.0,140.0,140.0,10.0,1400.0
2016-10-03,IGI,0.0,147.0,147.0,147.0,10.0,1470.0
2016-10-04,IGI,0.0,154.0,154.0,154.0,10.0,1540.0
2016-11-09,IGI,0.0,161.0,161.0,161.0,240.0,38640.0
2016-11-13,IGI,0.0,170.0,164.0,170.0,30.0,5010.0
2016-11-15,IGI,0.0,176.0,173.0,176.0,20.0,3490.0
2016-11-22,IGI,0.0,182.0,179.0,182.0,20.0,3610.0
2016-11-23,IGI,0.0,188.0,185.0,188.0,20.0,3730.0
2016-11-24,IGI,0.0,206.0,191.0,206.0,60.0,11920.0
2016-11-27,IGI,0.0,214.0,210.0,214.0,19010.0,4068100.0
2016-12-05,IGI,0.0,230.0,218.0,230.0,40.0,8960.0
2016-12-07,IGI,0.0,250.0,234.0,250.0,50.0,12100.0
2016-12-08,IGI,0.0,270.0,255.0,270.0,40.0,10500.0
2016-12-11,IGI,0.0,290.0,275.0,290.0,40.0,11300.0
2016-12-12,IGI,0.0,318.0,295.0,318.0,50.0,15310.0
2016-12-18,IGI,0.0,348.0,324.0,348.0,50.0,16800.0
2016-12-19,IGI,0.0,382.0,354.0,382.0,96.0,35328.0
2016-12-20,IGI,0.0,403.0,389.0,403.0,30.0,11880.0
2016-12-21,IGI,0.0,443.0,411.0,443.0,364.0,160452.0
2016-12-22,IGI,0.0,478.0,451.0,478.0,40.0,18580.0
2016-12-26,IGI,0.0,515.0,487.0,515.0,40.0,20030.0
2016-12-27,IGI,0.0,566.0,525.0,566.0,76.0,41976.0
2016-12-28,IGI,0.0,612.0,577.0,612.0,90.0,53220.0
