business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-03-14,JALPA,318.6,318.6,318.6,318.6,30.0,9574.2
2022-03-15,JALPA,318.6,318.6,318.6,318.6,18.0,5667.7
2022-03-16,JALPA,318.6,318.6,318.6,318.6,2.0,648.6
2022-03-20,JALPA,318.6,324.9,318.6,324.9,12.0,3895.6
2022-03-22,JALPA,319.7,326.0,319.7,326.0,33.0,10644.4
2022-03-23,JALPA,326.0,326.0,326.0,326.0,6.0,1917.0
2022-03-24,JALPA,332.5,332.5,332.5,332.5,10.0,3325.0
2022-03-27,JALPA,332.5,332.5,332.5,332.5,5.0,1643.9
2022-03-28,JALPA,332.5,339.1,332.5,339.1,43.0,14322.7
2022-03-29,JALPA,339.1,352.7,339.1,352.7,54.0,18636.4
2022-03-30,JALPA,352.7,359.7,352.7,359.7,16.0,5692.8
2022-03-31,JALPA,366.8,374.1,366.8,374.1,27.0,9981.0
2022-04-03,JALPA,381.5,389.1,381.5,389.1,24.0,9258.4
2022-04-04,JALPA,396.8,396.8,396.8,396.8,10.0,3968.0
2022-04-05,JALPA,404.7,420.9,404.7,420.9,66.0,26841.3
2022-04-06,JALPA,420.9,429.3,420.9,429.3,46.0,19328.9
2022-04-07,JALPA,437.8,446.5,437.8,446.5,20.0,8843.0
2022-04-11,JALPA,455.4,491.1,455.4,491.1,70.0,33074.0
2022-04-12,JALPA,491.1,491.1,491.1,491.1,30.0,14471.0
2022-04-13,JALPA,491.1,521.1,491.1,521.1,35.0,17833.0
2022-04-17,JALPA,521.1,542.1,521.1,542.1,47.0,24999.8
2022-04-18,JALPA,552.9,575.1,552.9,575.1,30.0,16919.0
2022-04-19,JALPA,586.6,586.6,586.6,586.6,10.0,5866.0
2022-04-20,JALPA,598.3,645.2,598.3,645.2,70.0,43964.2
2022-04-21,JALPA,640.2,709.7,640.2,709.7,90.0,60786.4
2022-04-24,JALPA,696.2,780.6,696.2,780.6,109.0,81610.4
2022-04-25,JALPA,780.5,858.6,780.5,858.6,77.0,62581.9
2022-04-26,JALPA,875.7,944.4,875.7,944.4,155.0,144405.2
2022-04-27,JALPA,963.2,1038.8,963.2,1038.8,180.0,184175.2
2022-04-28,JALPA,1038.7,1142.6,1038.7,1142.6,200.0,223363.0
2022-05-02,JALPA,1165.4,1256.8,1165.4,1256.8,130.0,161138.0
2022-05-04,JALPA,1257.0,1382.4,1257.0,1382.4,218.0,296298.4
2022-05-05,JALPA,1382.4,1520.6,1382.4,1520.6,4241.0,6444760.9
2022-05-08,JALPA,1551.0,1672.6,1551.0,1672.6,3434.0,5728300.4
2022-05-09,JALPA,1706.0,1839.8,1706.0,1839.8,7221.0,13268524.0
2022-05-10,JALPA,1876.5,2023.7,1876.5,2023.7,2640.0,5330126.0
2022-05-11,JALPA,2023.7,2226.0,2023.7,2226.0,1253.0,2783008.0
2022-05-12,JALPA,2270.5,2448.6,2270.5,2448.6,2971.0,7270426.6
2022-05-17,JALPA,2497.0,2693.4,2230.0,2270.0,41663.0,97909513.7
2022-05-18,JALPA,2229.0,2275.0,2151.8,2275.0,22574.0,49519634.0
2022-05-19,JALPA,2230.0,2280.0,2190.0,2230.0,7792.0,17428276.0
2022-05-20,JALPA,2220.0,2250.0,2190.0,2216.2,5214.0,11547245.0
2022-05-23,JALPA,2190.0,2200.0,2161.0,2168.1,7487.0,16260819.5
2022-05-24,JALPA,2131.1,2210.0,2131.1,2155.0,7770.0,16829784.0
2022-05-25,JALPA,2155.0,2244.0,2135.3,2244.0,9194.0,20160495.0
2022-05-26,JALPA,2207.1,2310.0,2207.1,2297.1,10095.0,22944388.4
2022-05-27,JALPA,2298.0,2330.0,2265.0,2281.0,6808.0,15645990.1
2022-05-30,JALPA,2237.0,2281.0,2200.0,2208.0,6103.0,13581068.5
2022-05-31,JALPA,2170.0,2225.0,2170.0,2195.0,3610.0,7959956.0
2022-06-01,JALPA,2170.1,2230.0,2170.1,2210.0,3360.0,7392338.0
2022-06-02,JALPA,2175.0,2235.0,2175.0,2199.9,2133.0,4696916.0
2022-06-03,JALPA,2180.0,2214.0,2180.0,2205.0,3610.0,7915430.1
2022-06-06,JALPA,2200.0,2254.2,2200.0,2232.0,3323.0,7381512.6
2022-06-07,JALPA,2200.1,2229.0,2200.0,2220.0,3981.0,8800633.4
2022-06-08,JALPA,2218.0,2324.0,2195.2,2261.0,6501.0,14690163.5
2022-06-09,JALPA,2260.0,2299.0,2207.0,2217.0,5436.0,12272551.0
2022-06-10,JALPA,2213.0,2244.5,2201.1,2239.0,3346.0,7451936.0
2022-06-13,JALPA,2210.0,2241.0,2200.0,2203.0,3185.0,7051814.0
2022-06-14,JALPA,2203.0,2210.0,2155.2,2168.0,4354.0,9502189.1
2022-06-15,JALPA,2160.0,2170.0,2133.1,2160.0,3090.0,6644817.0
2022-06-16,JALPA,2160.0,2200.0,2140.0,2163.0,1625.0,3512551.0
2022-06-17,JALPA,2163.0,2200.0,2155.3,2165.0,1087.0,2357565.0
2022-06-19,JALPA,2165.0,2165.0,2130.0,2134.0,2223.0,4763423.0
2022-06-20,JALPA,2110.0,2113.5,2073.1,2098.9,4624.0,9686560.2
2022-06-21,JALPA,2064.1,2179.9,2064.1,2148.0,2952.0,6306717.0
2022-06-22,JALPA,2148.0,2149.9,2115.2,2130.0,1304.0,2777474.5
2022-06-23,JALPA,2121.0,2121.0,2030.0,2051.0,3318.0,6839151.5
2022-06-24,JALPA,2044.0,2124.0,2011.2,2042.0,1261.0,2607691.0
2022-06-26,JALPA,2062.0,2172.6,2062.0,2166.0,3268.0,6982284.0
2022-06-27,JALPA,2180.0,2208.0,2115.0,2118.7,2725.0,5861019.5
2022-06-28,JALPA,2090.0,2124.0,2080.1,2090.0,1377.0,2885186.0
2022-06-29,JALPA,2100.0,2150.0,2100.0,2150.0,895.0,1904758.0
2022-06-30,JALPA,2120.0,2249.0,2120.0,2245.0,4475.0,9957161.0
2022-07-01,JALPA,2210.2,2252.0,2185.0,2230.0,2859.0,6342670.5
2022-07-03,JALPA,2200.0,2366.0,2200.0,2364.0,5590.0,12967860.5
2022-07-04,JALPA,2411.0,2458.0,2310.0,2325.0,9008.0,21584410.7
2022-07-05,JALPA,2315.0,2411.0,2279.0,2284.0,5481.0,12633738.8
2022-07-06,JALPA,2285.0,2370.9,2264.0,2350.0,4896.0,11346060.0
2022-07-07,JALPA,2397.0,2444.9,2323.1,2325.0,3245.0,7664594.0
2022-07-08,JALPA,2290.4,2325.0,2280.0,2299.0,1460.0,3348800.0
2022-07-11,JALPA,2254.0,2265.0,2215.0,2227.9,3191.0,7122771.5
2022-07-12,JALPA,2222.0,2266.4,2200.0,2239.7,3290.0,7310936.2
2022-07-13,JALPA,2202.0,2325.0,2202.0,2300.0,3337.0,7639570.5
2022-07-14,JALPA,2300.0,2346.0,2283.0,2288.0,4750.0,10952726.9
2022-07-15,JALPA,2260.5,2324.9,2260.5,2318.0,454.0,1041069.4
2022-07-17,JALPA,2300.0,2365.0,2290.0,2365.0,2872.0,6702414.0
2022-07-18,JALPA,2323.0,2451.9,2323.0,2441.0,6152.0,14921004.6
2022-07-19,JALPA,2485.0,2599.0,2460.0,2545.0,9011.0,22790815.9
2022-07-20,JALPA,2545.0,2579.0,2502.1,2559.0,6026.0,15306398.2
2022-07-21,JALPA,2540.0,2555.0,2511.0,2550.0,5582.0,14080990.0
2022-07-22,JALPA,2525.0,2539.0,2490.0,2510.0,4487.0,11256090.0
2022-07-24,JALPA,2549.0,2652.0,2483.0,2652.0,10158.0,26336848.6
2022-07-25,JALPA,2699.9,2732.0,2600.1,2695.0,6202.0,16725218.6
2022-07-26,JALPA,2641.1,2728.0,2619.0,2622.0,8275.0,21973252.1
2022-07-27,JALPA,2620.0,2884.2,2578.0,2880.0,19109.0,52420099.3
2022-07-28,JALPA,2850.0,3050.0,2800.0,2850.0,10628.0,31541633.4
2022-07-29,JALPA,2905.0,2964.0,2795.0,2855.0,6875.0,19504358.5
2022-07-31,JALPA,2855.0,2899.0,2800.0,2850.0,9133.0,25979228.5
2022-08-01,JALPA,2793.0,2818.9,2698.0,2750.0,20332.0,56219164.2
2022-08-02,JALPA,2700.0,2870.0,2696.0,2839.0,9628.0,26357440.7
2022-08-03,JALPA,2810.0,2843.0,2796.0,2800.0,5641.0,15901642.0
2022-08-04,JALPA,2850.0,2974.0,2745.0,2845.0,12640.0,36286953.0
2022-08-05,JALPA,2896.0,2918.0,2810.0,2887.0,9402.0,27091540.4
2022-08-07,JALPA,2919.0,2985.0,2900.0,2985.0,8065.0,23648272.4
2022-08-08,JALPA,2970.0,3131.0,2961.0,3070.0,11306.0,34983881.6
2022-08-09,JALPA,3021.0,3066.0,2971.8,2972.0,5510.0,16607637.0
2022-08-10,JALPA,2950.0,3029.8,2950.0,2981.0,5011.0,14993869.2
2022-08-11,JALPA,3000.0,3130.0,2976.0,3088.0,9168.0,28105521.9
2022-08-14,JALPA,3088.0,3211.0,3088.0,3150.0,7473.0,23542760.1
2022-08-15,JALPA,3180.0,3200.0,3137.0,3180.0,6858.0,21697760.1
2022-08-16,JALPA,3240.0,3240.0,3050.0,3070.0,6847.0,21336190.9
2022-08-17,JALPA,3120.0,3124.0,3010.0,3088.0,5071.0,15630366.9
2022-08-18,JALPA,3119.0,3150.0,3075.0,3129.0,3698.0,11570359.7
2022-08-21,JALPA,3189.0,3189.0,3090.1,3102.0,11510.0,35799226.5
2022-08-22,JALPA,3085.1,3175.0,3085.1,3103.0,8717.0,27373673.5
2022-08-23,JALPA,3164.0,3220.0,3107.1,3170.0,3289.0,10379330.2
2022-08-24,JALPA,3198.0,3198.0,3153.1,3175.0,5752.0,18263800.4
2022-08-25,JALPA,3199.0,3299.5,3168.0,3233.0,10392.0,33842933.0
2022-08-26,JALPA,3200.0,3240.0,3200.0,3214.0,2090.0,6714251.0
2022-08-28,JALPA,3270.0,3270.0,3098.0,3103.0,5900.0,18511405.2
2022-08-29,JALPA,3165.0,3165.0,3080.0,3139.0,4019.0,12487317.2
2022-08-30,JALPA,3200.0,3200.0,3082.0,3082.0,4642.0,14413141.8
2022-08-31,JALPA,3143.0,3143.0,3026.0,3028.0,3424.0,10461839.5
2022-09-01,JALPA,3000.1,3048.0,2973.5,3046.8,3461.0,10387921.0
2022-09-02,JALPA,3020.0,3100.0,3014.0,3014.0,769.0,2345141.0
2022-09-04,JALPA,2990.0,3220.0,2980.0,3145.0,4735.0,14839643.0
2022-09-05,JALPA,3200.0,3200.0,3100.0,3150.0,1869.0,5875195.6
2022-09-06,JALPA,3100.0,3140.0,3060.0,3094.0,1925.0,5964953.8
2022-09-07,JALPA,3094.0,3135.0,3020.0,3050.0,1075.0,3274210.0
2022-09-08,JALPA,3100.0,3107.0,2990.0,3032.2,2849.0,8607408.5
2022-09-11,JALPA,3092.0,3092.0,2997.0,3007.0,1395.0,4218052.0
