business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2020-09-09,KBLD86,0.0,1050.0,1050.0,1050.0,2000.0,2100000.0
2020-09-22,KBLD86,0.0,1030.0,1030.0,1030.0,125.0,128750.0
2020-09-23,KBLD86,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2020-09-28,KBLD86,0.0,1050.0,1050.0,1050.0,100.0,105000.0
2020-09-29,KBLD86,0.0,1050.0,1030.0,1050.0,40.0,41500.0
2020-10-01,KBLD86,0.0,1050.0,1050.0,1050.0,30.0,31500.0
2020-10-04,KBLD86,0.0,1050.0,1050.0,1050.0,35.0,36750.0
2020-10-05,KBLD86,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2020-10-06,KBLD86,0.0,1050.0,1040.0,1050.0,175.0,182250.0
2020-10-19,KBLD86,0.0,1035.0,1035.0,1035.0,35.0,36225.0
2020-10-29,KBLD86,0.0,1035.0,1035.0,1035.0,25.0,25875.0
2020-11-11,KBLD86,0.0,1040.0,1040.0,1040.0,55.0,57200.0
2020-11-19,KBLD86,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2020-11-22,KBLD86,0.0,1050.0,1050.0,1050.0,100.0,105000.0
2020-12-06,KBLD86,0.0,1035.0,1035.0,1035.0,200.0,207000.0
2020-12-07,KBLD86,0.0,1030.0,1030.0,1030.0,25.0,25750.0
2020-12-09,KBLD86,0.0,1050.0,1050.0,1050.0,125.0,131250.0
2020-12-10,KBLD86,0.0,1050.0,1041.0,1050.0,2025.0,2117025.0
2020-12-24,KBLD86,0.0,1041.0,1041.0,1041.0,25.0,26025.0
2020-12-29,KBLD86,0.0,1060.0,1060.0,1060.0,10.0,10600.0
2020-12-31,KBLD86,0.0,1065.0,1065.0,1065.0,1140.0,1214100.0
2021-01-03,KBLD86,0.0,1075.0,1056.0,1075.0,100.0,107025.0
2021-01-05,KBLD86,0.0,1070.0,1070.0,1070.0,925.0,989750.0
2021-01-06,KBLD86,0.0,1075.0,1070.0,1075.0,150.0,161000.0
2021-01-20,KBLD86,0.0,1070.0,1070.0,1070.0,25.0,26750.0
2021-01-21,KBLD86,0.0,1055.0,1055.0,1055.0,500.0,527500.0
2021-01-25,KBLD86,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-01-27,KBLD86,0.0,1040.0,1040.0,1040.0,65.0,67600.0
2021-01-28,KBLD86,0.0,1060.0,1060.0,1060.0,50.0,53000.0
2021-02-01,KBLD86,0.0,1100.0,1081.0,1100.0,20.0,21810.0
2021-02-16,KBLD86,0.0,1078.0,1078.0,1078.0,25.0,26950.0
