business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,KBLPO,0.0,135.0,135.0,135.0,15976.0,2156760.0
2012-01-03,KBLPO,0.0,95.0,94.0,94.0,220.0,20690.0
2012-01-04,KBLPO,0.0,93.0,92.0,92.0,50.0,4610.0
2012-01-09,KBLPO,0.0,91.0,90.0,90.0,80.0,7210.0
2012-01-11,KBLPO,0.0,89.0,88.0,88.0,110.0,9690.0
2012-01-16,KBLPO,0.0,88.0,88.0,88.0,20.0,1760.0
2012-01-23,KBLPO,0.0,88.0,88.0,88.0,280.0,24640.0
2012-01-29,KBLPO,0.0,87.0,85.0,85.0,30.0,2580.0
2012-01-31,KBLPO,0.0,84.0,77.0,77.0,1170.0,93620.0
2012-02-01,KBLPO,0.0,78.0,76.0,78.0,430.0,33230.0
2012-02-02,KBLPO,0.0,80.0,78.0,80.0,1090.0,86440.0
2012-02-05,KBLPO,0.0,81.0,80.0,81.0,250.0,20180.0
2012-02-06,KBLPO,0.0,81.0,80.0,80.0,150.0,12100.0
2012-02-07,KBLPO,0.0,81.0,81.0,81.0,270.0,21870.0
2012-02-08,KBLPO,0.0,82.0,81.0,81.0,280.0,22730.0
2012-02-09,KBLPO,0.0,80.0,77.0,77.0,370.0,29440.0
2012-02-12,KBLPO,0.0,79.0,78.0,78.0,820.0,63980.0
2012-02-13,KBLPO,0.0,80.0,78.0,80.0,190.0,14920.0
2012-02-14,KBLPO,0.0,83.0,80.0,83.0,230.0,18580.0
2012-02-15,KBLPO,0.0,85.0,83.0,85.0,290.0,24600.0
2012-02-16,KBLPO,0.0,84.0,82.0,84.0,430.0,35830.0
2012-02-21,KBLPO,0.0,84.0,83.0,84.0,40.0,3330.0
2012-02-23,KBLPO,0.0,84.0,84.0,84.0,10.0,840.0
2012-02-26,KBLPO,0.0,86.0,83.0,86.0,120.0,10170.0
2012-02-27,KBLPO,0.0,88.0,86.0,86.0,260.0,22730.0
2012-02-28,KBLPO,0.0,85.0,84.0,84.0,70.0,5890.0
2012-02-29,KBLPO,0.0,83.0,82.0,83.0,70.0,5800.0
2012-03-01,KBLPO,0.0,82.0,80.0,81.0,130.0,10500.0
2012-03-04,KBLPO,0.0,83.0,81.0,83.0,250.0,20460.0
2012-03-05,KBLPO,0.0,82.0,82.0,82.0,150.0,12300.0
2012-03-06,KBLPO,0.0,82.0,82.0,82.0,10.0,820.0
2012-03-11,KBLPO,0.0,85.0,82.0,85.0,100.0,8390.0
2012-03-12,KBLPO,0.0,87.0,86.0,86.0,150.0,12960.0
2012-03-13,KBLPO,0.0,89.0,87.0,89.0,260.0,22850.0
2012-03-14,KBLPO,0.0,93.0,90.0,92.0,2000.0,183480.0
2012-03-15,KBLPO,0.0,91.0,89.0,90.0,220.0,19820.0
2012-03-19,KBLPO,0.0,90.0,89.0,89.0,40.0,3580.0
2012-03-20,KBLPO,0.0,89.0,88.0,89.0,230.0,20250.0
2012-03-21,KBLPO,0.0,90.0,89.0,89.0,570.0,51200.0
2012-03-26,KBLPO,0.0,90.0,88.0,90.0,40.0,3550.0
2012-03-29,KBLPO,0.0,89.0,88.0,89.0,150.0,13290.0
2012-04-01,KBLPO,0.0,93.0,90.0,90.0,2980.0,273650.0
2012-04-02,KBLPO,0.0,91.0,91.0,91.0,90.0,8190.0
2012-04-03,KBLPO,0.0,90.0,90.0,90.0,10.0,900.0
2012-04-04,KBLPO,0.0,92.0,91.0,91.0,30.0,2740.0
2012-04-05,KBLPO,0.0,92.0,92.0,92.0,40.0,3680.0
2012-04-08,KBLPO,0.0,93.0,93.0,93.0,40.0,3720.0
2012-04-10,KBLPO,0.0,94.0,93.0,94.0,610.0,57330.0
2012-04-11,KBLPO,0.0,96.0,95.0,96.0,50.0,4790.0
2012-04-12,KBLPO,0.0,97.0,96.0,97.0,140.0,13570.0
2012-04-15,KBLPO,0.0,98.0,98.0,98.0,200.0,19600.0
2012-04-16,KBLPO,0.0,99.0,99.0,99.0,110.0,10890.0
2012-04-19,KBLPO,0.0,102.0,100.0,100.0,280.0,28200.0
