business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-03-23,KDL,134.4,139.7,134.4,139.7,207.0,28337.6
2023-03-26,KDL,137.7,148.1,137.7,148.1,123.0,17894.3
2023-03-27,KDL,148.1,162.9,148.1,162.9,94.0,14821.1
2023-03-28,KDL,166.1,166.1,166.1,166.1,20.0,3311.0
2023-03-29,KDL,169.4,182.7,169.4,182.7,60.0,10632.0
2023-03-30,KDL,182.7,193.8,182.7,193.8,52.0,9768.3
2023-04-02,KDL,193.8,213.1,193.8,213.1,161.0,33426.2
2023-04-03,KDL,213.1,234.4,213.1,234.4,200.0,45736.8
2023-04-04,KDL,230.1,257.8,230.1,257.8,110.0,27396.0
2023-04-05,KDL,257.7,283.5,257.7,283.5,180.0,50256.0
2023-04-06,KDL,289.1,311.8,289.1,311.8,290.0,89861.0
2023-04-09,KDL,318.0,342.9,318.0,342.9,531.0,181350.8
2023-04-10,KDL,349.7,377.1,349.7,377.1,523.0,196456.0
2023-04-11,KDL,384.6,414.8,384.6,414.8,837.0,346121.8
2023-04-12,KDL,414.7,456.2,414.7,456.2,800.0,363295.8
2023-04-13,KDL,456.2,501.8,456.2,501.8,1004.0,501068.9
2023-04-16,KDL,511.8,551.9,511.8,551.9,1135.0,624722.5
2023-04-17,KDL,562.9,607.0,562.9,607.0,1152.0,698157.0
2023-04-18,KDL,619.1,667.7,619.1,667.7,926.0,616677.7
2023-04-20,KDL,749.0,807.8,749.0,807.8,930.0,749808.0
2023-04-23,KDL,823.9,888.5,823.9,888.5,5264.0,4675479.0
2023-04-24,KDL,906.2,970.0,801.5,803.0,105636.0,88178221.3
2023-04-25,KDL,787.0,803.0,760.0,788.0,38487.0,30116648.8
2023-04-26,KDL,778.0,806.0,775.0,797.0,11752.0,9347452.1
2023-04-27,KDL,785.0,799.0,781.1,792.8,11680.0,9218974.0
2023-04-30,KDL,780.0,798.0,770.0,770.1,12357.0,9639248.2
2023-05-02,KDL,770.0,777.0,760.0,764.0,9070.0,6937644.5
2023-05-03,KDL,760.0,760.1,745.0,750.0,8778.0,6579056.6
2023-05-04,KDL,737.5,750.0,733.0,740.0,11644.0,8621921.0
2023-05-07,KDL,740.0,740.0,712.6,713.0,6248.0,4510535.0
2023-05-08,KDL,708.1,720.0,687.0,688.0,15068.0,10476269.0
2023-05-09,KDL,675.0,730.3,675.0,720.0,12141.0,8691753.4
2023-05-10,KDL,720.0,734.4,706.0,717.0,6461.0,4626093.8
2023-05-11,KDL,710.0,715.0,700.0,705.0,5943.0,4190363.0
2023-05-14,KDL,718.1,729.0,701.0,704.0,10259.0,7265991.3
2023-05-15,KDL,701.0,716.0,697.0,709.0,6026.0,4268004.8
2023-05-16,KDL,710.0,729.0,708.5,713.0,4463.0,3203636.1
2023-05-17,KDL,713.5,731.0,708.0,725.6,6195.0,4475971.0
2023-05-18,KDL,714.0,760.0,714.0,753.0,12698.0,9479818.0
2023-05-21,KDL,764.0,782.0,740.0,757.0,17187.0,13009980.5
2023-05-22,KDL,750.0,770.0,742.4,760.0,11152.0,8446033.9
2023-05-23,KDL,760.0,790.5,760.0,778.0,12048.0,9390840.4
2023-05-24,KDL,780.0,795.0,761.2,788.0,14646.0,11397846.0
2023-05-28,KDL,780.0,803.0,765.0,774.0,22687.0,17834230.7
2023-05-30,KDL,760.3,775.0,741.7,742.0,17905.0,13528709.6
2023-05-31,KDL,745.0,760.0,722.2,730.0,17037.0,12499940.1
2023-06-01,KDL,730.0,745.0,725.1,737.0,9651.0,7108517.6
2023-06-04,KDL,740.0,774.0,740.0,772.0,15002.0,11477675.7
2023-06-05,KDL,779.0,782.0,750.0,755.0,10517.0,8033033.3
2023-06-06,KDL,750.0,783.0,746.0,775.0,11947.0,9233940.4
2023-06-07,KDL,775.0,800.7,771.0,773.5,11293.0,8841332.2
2023-06-08,KDL,768.0,790.0,768.0,768.0,12864.0,9981644.7
2023-06-11,KDL,775.0,786.0,770.1,774.0,10107.0,7880947.1
2023-06-12,KDL,772.0,851.4,772.0,851.4,57674.0,47012060.0
2023-06-13,KDL,868.4,927.0,865.0,915.0,46445.0,42081804.2
2023-06-14,KDL,900.0,931.0,878.0,899.9,34409.0,31238246.9
2023-06-15,KDL,917.8,937.0,865.3,915.0,43934.0,39189968.8
2023-06-18,KDL,920.0,971.0,911.0,969.0,31958.0,30186103.9
2023-06-19,KDL,955.0,965.0,931.1,931.3,25419.0,23976704.6
2023-06-20,KDL,920.1,955.0,916.1,927.0,14476.0,13566045.8
2023-06-21,KDL,939.9,979.0,913.0,930.0,33586.0,31698042.9
2023-06-22,KDL,930.0,1023.0,921.0,1023.0,57497.0,56505804.5
2023-06-25,KDL,1023.0,1102.0,1007.1,1070.0,36543.0,38635548.4
2023-06-26,KDL,1080.0,1080.0,1021.1,1023.0,32168.0,33447091.3
2023-06-27,KDL,1023.0,1080.0,996.0,1009.0,21023.0,21561974.2
2023-06-28,KDL,1005.0,1020.0,975.0,975.0,33937.0,33558304.0
2023-07-02,KDL,975.0,990.0,943.0,944.0,22785.0,22130920.1
2023-07-03,KDL,944.0,978.0,932.1,950.0,20862.0,20032268.1
2023-07-04,KDL,953.0,973.2,942.3,966.9,10257.0,9838627.3
2023-07-05,KDL,986.2,986.2,941.0,949.0,15539.0,14845134.0
2023-07-06,KDL,932.7,989.0,929.0,957.0,15393.0,14671947.3
2023-07-09,KDL,942.0,988.0,942.0,988.0,10413.0,10166607.0
2023-07-10,KDL,976.0,1002.0,955.0,960.0,14764.0,14385700.0
2023-07-11,KDL,959.9,978.0,951.2,958.0,9795.0,9408178.3
2023-07-12,KDL,952.0,978.0,950.0,950.0,10070.0,9664806.6
2023-07-13,KDL,951.3,970.0,935.0,938.0,9192.0,8728421.3
2023-07-16,KDL,938.0,945.0,926.3,934.0,9509.0,8872177.0
2023-07-17,KDL,915.4,975.0,915.4,962.1,9569.0,9190921.0
2023-07-18,KDL,962.0,970.0,947.0,951.0,9760.0,9356776.9
2023-07-19,KDL,936.0,966.9,936.0,948.0,4273.0,4075740.0
2023-07-20,KDL,957.0,975.0,938.4,944.0,4284.0,4046729.2
2023-07-23,KDL,930.0,1030.0,930.0,1029.9,37754.0,37637165.6
2023-07-24,KDL,1010.0,1047.0,992.0,1010.0,26856.0,27255695.5
2023-07-25,KDL,992.0,1010.0,975.1,1010.0,18658.0,18538084.1
2023-07-26,KDL,990.0,1019.0,980.0,987.0,8348.0,8286415.0
2023-07-27,KDL,982.0,990.0,960.0,979.0,10636.0,10318841.0
2023-07-30,KDL,994.0,994.0,955.0,968.0,8920.0,8605338.0
2023-07-31,KDL,968.0,980.0,953.6,955.0,5045.0,4874882.0
2023-08-01,KDL,945.0,969.0,925.0,957.0,12471.0,11736199.2
2023-08-02,KDL,942.1,955.0,927.0,948.0,5118.0,4793727.2
2023-08-03,KDL,949.0,960.0,936.3,947.0,4243.0,4009839.0
2023-08-06,KDL,930.0,957.0,920.2,926.0,4549.0,4228838.5
2023-08-07,KDL,911.0,945.0,911.0,944.7,4684.0,4348891.9
2023-08-08,KDL,945.0,945.0,912.1,915.0,4118.0,3802101.0
2023-08-09,KDL,902.0,933.0,892.0,933.0,5874.0,5339716.9
2023-08-10,KDL,949.9,960.0,918.0,938.0,8632.0,8089630.0
2023-08-13,KDL,938.0,959.0,921.0,953.9,8193.0,7718259.5
2023-08-14,KDL,935.3,950.0,932.9,939.0,3652.0,3430329.3
2023-08-15,KDL,921.0,940.0,912.0,912.0,4787.0,4430470.2
2023-08-16,KDL,930.1,947.0,905.1,915.0,10050.0,9203590.1
2023-08-17,KDL,933.0,942.9,920.0,927.0,5948.0,5544979.5
2023-08-20,KDL,911.0,935.0,911.0,926.8,6745.0,6237192.5
2023-08-21,KDL,911.0,930.0,901.0,919.0,4251.0,3883254.0
2023-08-22,KDL,919.0,920.0,905.1,919.0,3140.0,2864036.1
2023-08-23,KDL,906.1,935.0,906.1,930.0,5448.0,5045512.8
2023-08-24,KDL,912.0,947.9,905.0,906.0,6965.0,6365264.0
2023-08-27,KDL,920.0,920.0,875.0,875.0,8770.0,7771001.5
2023-08-28,KDL,875.0,885.0,858.0,873.0,4700.0,4078991.3
2023-08-29,KDL,875.0,875.0,858.0,864.0,3386.0,2928882.5
2023-08-30,KDL,864.0,875.0,851.2,865.0,4795.0,4108241.0
2023-09-03,KDL,857.0,877.0,841.0,862.9,4429.0,3765644.0
2023-09-04,KDL,860.0,879.4,838.0,865.0,4038.0,3439263.0
