business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2017-01-11,KKHC,0.0,321.0,298.0,321.0,50.0,15460.0
2017-01-12,KKHC,0.0,353.0,327.0,353.0,200.0,69900.0
2017-01-15,KKHC,0.0,373.0,350.0,353.0,1072.0,382986.0
2017-01-16,KKHC,0.0,346.0,318.0,318.0,474.0,157896.0
2017-01-17,KKHC,0.0,334.0,320.0,324.0,472.0,154902.0
2017-01-18,KKHC,0.0,330.0,292.0,292.0,507.0,153080.0
2017-01-19,KKHC,0.0,290.0,275.0,289.0,700.0,196684.0
2017-01-22,KKHC,0.0,290.0,271.0,276.0,458.0,128644.0
2017-01-23,KKHC,0.0,276.0,250.0,252.0,720.0,184706.0
2017-01-24,KKHC,0.0,250.0,227.0,228.0,1722.0,397238.0
2017-01-25,KKHC,0.0,228.0,210.0,214.0,3756.0,812256.0
2017-01-26,KKHC,0.0,222.0,202.0,220.0,2348.0,493206.0
2017-01-30,KKHC,0.0,216.0,208.0,208.0,560.0,119080.0
2017-01-31,KKHC,0.0,218.0,204.0,214.0,356.0,75098.0
2017-02-01,KKHC,0.0,227.0,210.0,223.0,1996.0,435644.0
2017-02-02,KKHC,0.0,225.0,215.0,220.0,3092.0,679446.0
2017-02-05,KKHC,0.0,220.0,213.0,214.0,1358.0,295118.0
2017-02-06,KKHC,0.0,216.0,208.0,213.0,890.0,190694.0
2017-02-07,KKHC,0.0,210.0,202.0,209.0,1627.0,335638.0
2017-02-08,KKHC,0.0,211.0,206.0,210.0,1766.0,366576.0
2017-02-09,KKHC,0.0,211.0,202.0,208.0,1154.0,240750.0
2017-02-12,KKHC,0.0,212.0,202.0,202.0,580.0,120338.0
2017-02-13,KKHC,0.0,206.0,199.0,203.0,1420.0,287460.0
2017-02-14,KKHC,0.0,206.0,200.0,200.0,1334.0,270612.0
2017-02-15,KKHC,0.0,205.0,200.0,203.0,1630.0,331084.0
2017-02-16,KKHC,0.0,223.0,200.0,209.0,2553.0,536647.0
2017-02-19,KKHC,0.0,222.0,204.0,210.0,684.0,146626.0
2017-02-20,KKHC,0.0,218.0,203.0,207.0,1308.0,279404.0
2017-02-21,KKHC,0.0,214.0,207.0,208.0,948.0,197840.0
2017-02-22,KKHC,0.0,210.0,208.0,209.0,552.0,115248.0
2017-02-23,KKHC,0.0,215.0,209.0,215.0,526.0,111504.0
2017-02-26,KKHC,0.0,217.0,211.0,212.0,694.0,148278.0
2017-02-28,KKHC,0.0,218.0,206.0,212.0,835.0,176868.0
2017-03-01,KKHC,0.0,210.0,200.0,210.0,236.0,48856.0
2017-03-02,KKHC,0.0,218.0,209.0,212.0,1527.0,325768.0
2017-03-05,KKHC,0.0,216.0,208.0,216.0,456.0,96448.0
2017-03-06,KKHC,0.0,216.0,213.0,214.0,430.0,92090.0
2017-03-07,KKHC,0.0,215.0,211.0,215.0,448.0,95190.0
2017-03-09,KKHC,0.0,216.0,211.0,215.0,886.0,189012.0
2017-03-13,KKHC,0.0,221.0,211.0,221.0,898.0,193580.0
2017-03-14,KKHC,0.0,227.0,220.0,227.0,2036.0,458298.0
2017-03-15,KKHC,0.0,238.0,221.0,238.0,1103.0,251186.0
2017-03-16,KKHC,0.0,246.0,234.0,243.0,838.0,200400.0
2017-03-19,KKHC,0.0,241.0,235.0,235.0,878.0,210396.0
2017-03-20,KKHC,0.0,236.0,232.0,233.0,182.0,42502.0
2017-03-21,KKHC,0.0,237.0,221.0,230.0,540.0,124412.0
2017-03-22,KKHC,0.0,238.0,226.0,236.0,1362.0,318898.0
2017-03-23,KKHC,0.0,235.0,228.0,234.0,696.0,161448.0
2017-03-26,KKHC,0.0,245.0,235.0,245.0,2468.0,598574.0
2017-03-28,KKHC,0.0,250.0,241.0,250.0,624.0,153804.0
2017-03-29,KKHC,0.0,260.0,240.0,240.0,1194.0,297304.0
2017-03-30,KKHC,0.0,240.0,227.0,230.0,1206.0,280804.0
2017-04-02,KKHC,0.0,230.0,226.0,230.0,50.0,11440.0
2017-04-03,KKHC,0.0,239.0,231.0,238.0,466.0,110838.0
2017-04-04,KKHC,0.0,239.0,225.0,227.0,918.0,212516.0
2017-04-06,KKHC,0.0,231.0,223.0,230.0,530.0,120614.0
2017-04-09,KKHC,0.0,234.0,226.0,228.0,736.0,169614.0
2017-04-10,KKHC,0.0,238.0,224.0,238.0,778.0,177966.0
2017-04-11,KKHC,0.0,235.0,228.0,229.0,226.0,52072.0
2017-04-12,KKHC,0.0,240.0,225.0,240.0,574.0,131782.0
2017-04-13,KKHC,0.0,240.0,232.0,236.0,846.0,198708.0
2017-04-16,KKHC,0.0,236.0,230.0,231.0,576.0,133726.0
2017-04-18,KKHC,0.0,231.0,223.0,231.0,240.0,54538.0
2017-04-19,KKHC,0.0,230.0,224.0,230.0,278.0,63566.0
2017-04-20,KKHC,0.0,235.0,226.0,230.0,1598.0,372160.0
2017-04-23,KKHC,0.0,226.0,219.0,223.0,388.0,86488.0
2017-04-24,KKHC,0.0,224.0,220.0,221.0,3764.0,835314.0
2017-04-25,KKHC,0.0,229.0,222.0,226.0,762.0,171904.0
2017-04-26,KKHC,0.0,228.0,225.0,225.0,660.0,149332.0
2017-04-27,KKHC,0.0,229.0,215.0,229.0,872.0,191736.0
2017-04-30,KKHC,0.0,233.0,213.0,217.0,614.0,136286.0
2017-05-02,KKHC,0.0,226.0,217.0,222.0,1253.0,276938.0
2017-05-03,KKHC,0.0,226.0,223.0,223.0,352.0,78848.0
2017-05-04,KKHC,0.0,225.0,220.0,223.0,497.0,110365.0
2017-05-07,KKHC,0.0,225.0,220.0,221.0,376.0,83866.0
2017-05-08,KKHC,0.0,222.0,216.0,216.0,2604.0,573682.0
2017-05-09,KKHC,0.0,228.0,215.0,228.0,1915.0,425104.0
2017-05-11,KKHC,0.0,250.0,230.0,245.0,2867.0,687037.0
2017-05-15,KKHC,0.0,255.0,248.0,250.0,2565.0,644722.0
2017-05-16,KKHC,0.0,247.0,242.0,242.0,1630.0,399748.0
2017-05-17,KKHC,0.0,243.0,238.0,238.0,837.0,202420.0
2017-05-18,KKHC,0.0,244.0,235.0,235.0,748.0,178934.0
2017-05-21,KKHC,0.0,237.0,232.0,233.0,505.0,117929.0
2017-05-22,KKHC,0.0,233.0,221.0,228.0,314.0,70542.0
2017-05-23,KKHC,0.0,233.0,225.0,231.0,196.0,44792.0
2017-05-24,KKHC,0.0,232.0,227.0,230.0,506.0,116274.0
2017-05-28,KKHC,0.0,229.0,220.0,227.0,697.0,156237.0
2017-05-30,KKHC,0.0,230.0,220.0,220.0,746.0,166686.0
2017-05-31,KKHC,0.0,226.0,216.0,222.0,750.0,166854.0
2017-06-01,KKHC,0.0,226.0,222.0,225.0,412.0,91886.0
2017-06-04,KKHC,0.0,227.0,218.0,221.0,452.0,99592.0
2017-06-05,KKHC,0.0,225.0,218.0,225.0,526.0,116604.0
2017-06-06,KKHC,0.0,232.0,221.0,230.0,780.0,177422.0
2017-06-07,KKHC,0.0,226.0,218.0,226.0,648.0,144178.0
2017-06-08,KKHC,0.0,227.0,220.0,223.0,664.0,149032.0
2017-06-11,KKHC,0.0,224.0,214.0,223.0,944.0,206494.0
2017-06-12,KKHC,0.0,226.0,219.0,220.0,431.0,95082.0
2017-06-13,KKHC,0.0,225.0,212.0,218.0,1235.0,269360.0
2017-06-14,KKHC,0.0,222.0,214.0,216.0,720.0,155946.0
2017-06-15,KKHC,0.0,218.0,213.0,218.0,836.0,180950.0
2017-06-18,KKHC,0.0,220.0,210.0,210.0,524.0,111520.0
2017-06-19,KKHC,0.0,214.0,207.0,211.0,462.0,97588.0
2017-06-20,KKHC,0.0,212.0,209.0,212.0,90.0,18964.0
2017-06-21,KKHC,0.0,213.0,206.0,211.0,502.0,105930.0
2017-06-22,KKHC,0.0,212.0,205.0,208.0,509.0,105556.0
