business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,KNBL,0.0,90.0,89.0,89.0,50.0,4470.0
2012-01-02,KNBL,0.0,88.0,87.0,87.0,70.0,6140.0
2012-01-03,KNBL,0.0,88.0,87.0,88.0,2170.0,189790.0
2012-01-04,KNBL,0.0,88.0,86.0,86.0,230.0,19960.0
2012-01-05,KNBL,0.0,87.0,87.0,87.0,40.0,3480.0
2012-01-17,KNBL,0.0,86.0,86.0,86.0,90.0,7740.0
2012-01-18,KNBL,0.0,86.0,86.0,86.0,2280.0,196080.0
2012-01-19,KNBL,0.0,85.0,85.0,85.0,50.0,4250.0
2012-01-22,KNBL,0.0,84.0,82.0,82.0,220.0,18180.0
2012-01-23,KNBL,0.0,83.0,83.0,83.0,50.0,4150.0
2012-01-29,KNBL,0.0,82.0,81.0,81.0,110.0,8930.0
2012-01-31,KNBL,0.0,80.0,80.0,80.0,40.0,3200.0
2012-02-02,KNBL,0.0,82.0,81.0,82.0,90.0,7320.0
2012-02-06,KNBL,0.0,81.0,81.0,81.0,10.0,810.0
2012-02-07,KNBL,0.0,80.0,80.0,80.0,100.0,8000.0
2012-02-12,KNBL,0.0,80.0,80.0,80.0,140.0,11200.0
2012-02-13,KNBL,0.0,79.0,79.0,79.0,20.0,1580.0
2012-02-16,KNBL,0.0,79.0,78.0,78.0,120.0,9390.0
2012-02-21,KNBL,0.0,79.0,78.0,79.0,100.0,7890.0
2012-02-26,KNBL,0.0,78.0,78.0,78.0,30.0,2340.0
2012-02-27,KNBL,0.0,77.0,77.0,77.0,170.0,13090.0
2012-02-28,KNBL,0.0,76.0,76.0,76.0,50.0,3800.0
2012-02-29,KNBL,0.0,77.0,77.0,77.0,10.0,770.0
2012-03-01,KNBL,0.0,79.0,78.0,79.0,20.0,1570.0
2012-03-04,KNBL,0.0,80.0,80.0,80.0,10.0,800.0
2012-03-05,KNBL,0.0,82.0,80.0,82.0,60.0,4830.0
2012-03-06,KNBL,0.0,88.0,83.0,88.0,190.0,16260.0
2012-03-11,KNBL,0.0,89.0,89.0,89.0,10.0,890.0
2012-03-15,KNBL,0.0,90.0,90.0,90.0,40.0,3600.0
2012-03-18,KNBL,90.0,89.0,87.0,87.0,160.0,14030.0
2012-03-19,KNBL,0.0,89.0,88.0,89.0,20.0,1770.0
