business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2017-08-03,LEMF,0.0,10.0,10.0,10.0,1000.0,10000.0
2017-08-06,LEMF,0.0,10.0,10.0,10.0,6000.0,60000.0
2017-08-07,LEMF,0.0,10.0,10.0,10.0,1000.0,10000.0
2017-08-09,LEMF,0.0,10.0,10.0,10.0,3000.0,30000.0
2017-08-10,LEMF,0.0,10.0,10.0,10.0,5000.0,50000.0
2017-08-13,LEMF,0.0,10.0,10.0,10.0,20500.0,205000.0
2017-08-23,LEMF,0.0,10.2,10.0,10.0,9000.0,90200.0
2017-08-27,LEMF,0.0,10.15,10.15,10.15,1000.0,10150.0
2017-08-31,LEMF,0.0,10.15,10.15,10.15,4900.0,49735.0
2017-09-04,LEMF,0.0,10.2,10.2,10.2,2500.0,25500.0
2017-09-06,LEMF,0.0,10.3,10.0,10.0,5000.0,50720.0
2017-09-10,LEMF,0.0,10.05,10.05,10.05,4000.0,40200.0
2017-09-11,LEMF,0.0,10.0,10.0,10.0,1000.0,10000.0
2017-09-12,LEMF,0.0,9.87,9.86,9.87,9000.0,88790.0
2017-09-13,LEMF,0.0,10.07,10.07,10.07,500.0,5035.0
2017-09-14,LEMF,0.0,10.09,10.0,10.05,3500.0,35140.0
2017-09-17,LEMF,0.0,9.86,9.86,9.86,5000.0,49300.0
2017-09-18,LEMF,0.0,9.88,9.75,9.75,11000.0,108450.0
2017-09-20,LEMF,0.0,9.6,9.6,9.6,3500.0,33600.0
2017-09-24,LEMF,0.0,9.61,9.61,9.61,2500.0,24025.0
2017-09-25,LEMF,0.0,9.89,9.7,9.89,21000.0,206380.0
2017-09-26,LEMF,0.0,9.92,9.92,9.92,1500.0,14880.0
2017-10-04,LEMF,0.0,10.0,9.85,10.0,6000.0,59250.0
2017-10-08,LEMF,0.0,9.9,9.85,9.9,3900.0,38512.0
2017-10-09,LEMF,0.0,10.0,9.8,10.0,11000.0,109400.0
2017-10-10,LEMF,0.0,10.1,9.91,10.1,7000.0,70360.0
2017-10-11,LEMF,0.0,10.0,10.0,10.0,1500.0,15000.0
2017-10-12,LEMF,0.0,10.1,10.1,10.1,1000.0,10100.0
