business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-05-07,MAKAR,278.1,294.9,251.0,255.0,73692.0,18976103.2
2023-05-08,MAKAR,255.0,270.3,237.0,256.1,24595.0,6252181.2
2023-05-09,MAKAR,251.1,261.1,247.0,258.3,10970.0,2787323.0
2023-05-10,MAKAR,253.2,255.0,246.2,253.0,9415.0,2353939.5
2023-05-11,MAKAR,253.0,253.0,243.1,249.9,7708.0,1891467.2
2023-05-14,MAKAR,245.0,246.0,235.0,238.7,13746.0,3300644.4
2023-05-15,MAKAR,234.2,249.0,230.0,240.0,14233.0,3395733.1
2023-05-16,MAKAR,236.0,244.0,232.0,243.0,8788.0,2089577.0
2023-05-17,MAKAR,239.0,250.2,239.0,249.8,10005.0,2455437.0
2023-05-18,MAKAR,250.0,263.0,244.0,258.0,14308.0,3654576.0
2023-05-21,MAKAR,252.9,260.9,245.1,251.0,15445.0,3953141.1
2023-05-22,MAKAR,246.0,255.0,243.1,250.0,6560.0,1630656.0
2023-05-23,MAKAR,250.0,263.0,250.0,261.2,10517.0,2730466.0
2023-05-24,MAKAR,261.0,265.0,254.1,258.7,10570.0,2737300.0
2023-05-28,MAKAR,258.0,263.0,247.0,254.9,17735.0,4553345.5
2023-05-30,MAKAR,249.9,252.0,241.8,249.9,6643.0,1640302.2
2023-05-31,MAKAR,245.0,249.9,238.2,240.0,6030.0,1454388.0
2023-06-01,MAKAR,240.0,246.5,235.6,241.0,7970.0,1918198.0
2023-06-04,MAKAR,241.0,259.7,241.0,255.0,7010.0,1763672.8
2023-06-05,MAKAR,250.1,265.2,250.1,261.0,18629.0,4846589.8
2023-06-06,MAKAR,256.1,273.0,256.1,272.5,13624.0,3634185.0
2023-06-07,MAKAR,271.0,291.0,271.0,282.0,27982.0,7932441.6
2023-06-08,MAKAR,282.0,291.3,274.1,290.1,29302.0,8339850.3
2023-06-11,MAKAR,285.0,316.0,285.0,314.0,24922.0,7569670.6
2023-06-12,MAKAR,313.0,333.3,307.0,323.0,31893.0,10170604.5
