business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-09-20,MBL,0.0,117.0,109.0,117.0,50.0,5650.0
2012-09-23,MBL,0.0,128.0,119.0,128.0,424.0,54022.0
2012-09-24,MBL,0.0,140.0,130.0,140.0,680.0,91900.0
2012-09-25,MBL,0.0,154.0,137.0,141.0,23525.0,3307448.0
2012-09-26,MBL,0.0,141.0,133.0,135.0,7492.0,1017387.0
2012-09-27,MBL,0.0,138.0,134.0,138.0,4606.0,624723.0
2012-09-30,MBL,0.0,138.0,134.0,138.0,6767.0,919211.0
2012-10-01,MBL,0.0,140.0,137.0,140.0,6043.0,837663.0
2012-10-02,MBL,0.0,140.0,138.0,140.0,2251.0,313238.0
2012-10-03,MBL,0.0,144.0,139.0,143.0,8229.0,1166203.0
2012-10-04,MBL,0.0,144.0,141.0,144.0,6753.0,958642.0
2012-10-07,MBL,0.0,150.0,143.0,146.0,7385.0,1078568.0
2012-10-08,MBL,0.0,159.0,145.0,156.0,16611.0,2570245.0
2012-10-09,MBL,0.0,155.0,153.0,154.0,3600.0,554674.0
2012-10-10,MBL,0.0,156.0,149.0,150.0,9473.0,1436174.0
2012-10-11,MBL,0.0,155.0,150.0,154.0,13811.0,2106052.0
2012-10-14,MBL,0.0,166.0,151.0,166.0,11944.0,1868689.0
2012-10-15,MBL,0.0,170.0,161.0,168.0,10712.0,1776107.0
2012-10-17,MBL,0.0,183.0,166.0,182.0,9818.0,1711915.0
2012-10-18,MBL,0.0,192.0,182.0,192.0,13045.0,2425759.0
2012-10-30,MBL,0.0,204.0,186.0,201.0,9489.0,1852698.0
2012-10-31,MBL,0.0,208.0,195.0,202.0,8134.0,1630570.0
2012-11-01,MBL,0.0,202.0,193.0,195.0,6371.0,1249683.0
2012-11-04,MBL,0.0,197.0,190.0,195.0,12667.0,2435222.0
2012-11-05,MBL,0.0,207.0,192.0,195.0,9272.0,1832875.0
2012-11-06,MBL,0.0,195.0,191.0,192.0,1627.0,314029.0
2012-11-07,MBL,0.0,197.0,190.0,193.0,10139.0,1941002.0
2012-11-08,MBL,0.0,205.0,188.0,196.0,16030.0,3100761.0
2012-11-11,MBL,0.0,198.0,186.0,189.0,6706.0,1296810.0
2012-11-12,MBL,0.0,199.0,185.0,199.0,14935.0,2851465.0
2012-11-18,MBL,0.0,202.0,190.0,195.0,15326.0,2990283.0
2012-11-20,MBL,0.0,205.0,193.0,195.0,14402.0,2846887.0
2012-11-21,MBL,0.0,201.0,190.0,194.0,10222.0,1986398.0
2012-11-22,MBL,0.0,194.0,190.0,193.0,3370.0,645997.0
2012-11-25,MBL,0.0,202.0,191.0,197.0,12425.0,2431023.0
2012-11-26,MBL,0.0,199.0,186.0,195.0,6582.0,1257786.0
2012-11-27,MBL,0.0,197.0,190.0,195.0,6415.0,1238028.0
2012-11-28,MBL,0.0,197.0,190.0,194.0,7881.0,1508437.0
2012-11-29,MBL,0.0,197.0,186.0,190.0,4349.0,826060.0
2012-12-02,MBL,0.0,193.0,188.0,190.0,2423.0,461456.0
2012-12-03,MBL,0.0,196.0,188.0,188.0,521.0,100189.0
2012-12-04,MBL,0.0,194.0,186.0,191.0,14709.0,2788896.0
2012-12-05,MBL,0.0,200.0,191.0,199.0,16471.0,3214435.0
2012-12-06,MBL,0.0,197.0,190.0,192.0,12374.0,2388314.0
2012-12-09,MBL,0.0,192.0,189.0,190.0,4503.0,856308.0
2012-12-10,MBL,0.0,193.0,185.0,192.0,2402.0,457275.0
2012-12-11,MBL,0.0,193.0,190.0,191.0,2159.0,411363.0
2012-12-12,MBL,0.0,197.0,191.0,193.0,5226.0,1008723.0
2012-12-13,MBL,0.0,197.0,194.0,194.0,3927.0,765581.0
2012-12-16,MBL,0.0,203.0,194.0,199.0,7142.0,1412150.0
2012-12-17,MBL,0.0,206.0,197.0,201.0,22260.0,4446370.0
2012-12-18,MBL,0.0,198.0,193.0,198.0,5219.0,1014522.0
2012-12-19,MBL,0.0,200.0,196.0,200.0,14291.0,2834891.0
2012-12-20,MBL,0.0,220.0,196.0,220.0,74290.0,15139935.0
2012-12-23,MBL,0.0,242.0,224.0,242.0,38587.0,9249997.0
2012-12-24,MBL,0.0,264.0,246.0,254.0,51895.0,13346685.0
2012-12-26,MBL,0.0,260.0,236.0,246.0,28397.0,7029229.0
2012-12-27,MBL,0.0,246.0,239.0,240.0,18373.0,4460804.0
2012-12-31,MBL,0.0,239.0,224.0,233.0,16759.0,3868898.0
2013-01-01,MBL,0.0,235.0,225.0,230.0,12473.0,2860005.0
2013-01-02,MBL,0.0,234.0,220.0,228.0,11972.0,2670162.0
2013-01-03,MBL,0.0,236.0,230.0,231.0,7399.0,1715248.0
2013-01-06,MBL,231.0,239.0,224.0,239.0,20490.0,4722545.0
2013-01-07,MBL,0.0,235.0,222.0,226.0,11976.0,2682016.0
2013-01-08,MBL,0.0,225.0,220.0,220.0,10191.0,2254692.0
2013-01-09,MBL,0.0,228.0,220.0,224.0,12510.0,2794373.0
2013-01-10,MBL,0.0,223.0,219.0,219.0,8641.0,1907031.0
2013-01-13,MBL,0.0,232.0,218.0,227.0,6180.0,1393514.0
2013-01-15,MBL,0.0,243.0,231.0,238.0,26316.0,6251088.0
2013-01-16,MBL,0.0,241.0,235.0,239.0,11977.0,2849559.0
2013-01-17,MBL,0.0,236.0,232.0,232.0,8790.0,2052904.0
2013-01-20,MBL,0.0,228.0,219.0,223.0,8339.0,1842696.0
2013-01-21,MBL,0.0,235.0,227.0,232.0,7955.0,1823257.0
