business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-09,MDB,0.0,95.0,95.0,95.0,300.0,28500.0
2012-01-11,MDB,0.0,94.0,93.0,93.0,360.0,33740.0
2012-01-12,MDB,0.0,92.0,91.0,91.0,330.0,30170.0
2012-01-16,MDB,0.0,90.0,89.0,89.0,230.0,20650.0
2012-01-17,MDB,0.0,92.0,90.0,92.0,270.0,24570.0
2012-01-18,MDB,0.0,93.0,91.0,91.0,130.0,11900.0
2012-01-19,MDB,0.0,90.0,90.0,90.0,80.0,7200.0
2012-01-22,MDB,0.0,93.0,91.0,92.0,550.0,50670.0
2012-01-23,MDB,0.0,93.0,93.0,93.0,20.0,1860.0
2012-01-25,MDB,0.0,94.0,93.0,94.0,200.0,18740.0
2012-01-26,MDB,0.0,95.0,94.0,94.0,160.0,15060.0
2012-01-29,MDB,0.0,97.0,95.0,97.0,140.0,13340.0
2012-01-31,MDB,0.0,97.0,95.0,97.0,170.0,16220.0
2012-02-01,MDB,0.0,97.0,96.0,97.0,230.0,22270.0
2012-02-02,MDB,0.0,98.0,96.0,98.0,550.0,53340.0
2012-02-05,MDB,0.0,100.0,98.0,100.0,580.0,57640.0
2012-02-06,MDB,0.0,99.0,99.0,99.0,170.0,16830.0
2012-02-07,MDB,0.0,100.0,99.0,99.0,280.0,27860.0
2012-02-08,MDB,0.0,100.0,98.0,98.0,250.0,24660.0
2012-02-09,MDB,0.0,99.0,99.0,99.0,20.0,1980.0
2012-02-12,MDB,0.0,100.0,98.0,98.0,340.0,33520.0
2012-02-13,MDB,0.0,100.0,99.0,99.0,670.0,66450.0
2012-02-14,MDB,0.0,101.0,100.0,101.0,80.0,8040.0
2012-02-15,MDB,0.0,101.0,98.0,98.0,540.0,53240.0
2012-02-16,MDB,0.0,100.0,99.0,100.0,440.0,43900.0
2012-02-21,MDB,0.0,100.0,99.0,100.0,320.0,31920.0
2012-02-26,MDB,0.0,100.0,98.0,98.0,200.0,19640.0
2012-02-27,MDB,0.0,100.0,98.0,99.0,660.0,64970.0
2012-02-28,MDB,0.0,99.0,97.0,97.0,960.0,94120.0
2012-02-29,MDB,0.0,97.0,97.0,97.0,240.0,23280.0
2012-03-01,MDB,0.0,98.0,98.0,98.0,120.0,11760.0
2012-03-04,MDB,0.0,99.0,98.0,99.0,200.0,19790.0
2012-03-05,MDB,0.0,100.0,99.0,99.0,100.0,9920.0
2012-03-06,MDB,0.0,100.0,99.0,100.0,60.0,5960.0
2012-03-11,MDB,0.0,104.0,102.0,102.0,120.0,12320.0
2012-03-12,MDB,0.0,104.0,104.0,104.0,20.0,2080.0
2012-03-13,MDB,0.0,104.0,104.0,104.0,40.0,4160.0
2012-03-14,MDB,0.0,102.0,102.0,102.0,140.0,14280.0
2012-03-15,MDB,0.0,100.0,100.0,100.0,140.0,14000.0
2012-03-18,MDB,100.0,99.0,98.0,98.0,460.0,45220.0
2012-03-27,MDB,0.0,97.0,95.0,95.0,110.0,10550.0
2012-03-28,MDB,0.0,95.0,94.0,94.0,290.0,27520.0
2012-03-29,MDB,0.0,97.0,95.0,96.0,160.0,15340.0
2012-04-01,MDB,0.0,95.0,95.0,95.0,50.0,4750.0
2012-04-02,MDB,0.0,95.0,95.0,95.0,140.0,13300.0
2012-04-03,MDB,0.0,94.0,94.0,94.0,60.0,5640.0
2012-04-04,MDB,0.0,95.0,94.0,94.0,210.0,19880.0
2012-04-08,MDB,0.0,95.0,94.0,95.0,220.0,20880.0
2012-04-11,MDB,0.0,95.0,94.0,95.0,40.0,3780.0
2012-04-17,MDB,0.0,96.0,96.0,96.0,80.0,7680.0
2012-04-19,MDB,0.0,97.0,97.0,97.0,60.0,5820.0
2012-04-30,MDB,0.0,106.0,98.0,106.0,100.0,10330.0
2012-05-02,MDB,0.0,114.0,108.0,112.0,570.0,62640.0
2012-05-03,MDB,0.0,114.0,114.0,114.0,30.0,3420.0
2012-05-07,MDB,0.0,122.0,116.0,122.0,40.0,4760.0
2012-05-08,MDB,0.0,124.0,124.0,124.0,30.0,3720.0
2012-05-09,MDB,0.0,126.0,122.0,126.0,430.0,53980.0
2012-05-10,MDB,0.0,132.0,126.0,132.0,960.0,122060.0
2012-05-13,MDB,0.0,136.0,128.0,134.0,870.0,115300.0
2012-05-15,MDB,0.0,136.0,136.0,136.0,20.0,2720.0
2012-05-17,MDB,0.0,140.0,138.0,138.0,600.0,83000.0
2012-05-20,MDB,0.0,140.0,138.0,138.0,600.0,83320.0
2012-05-21,MDB,0.0,146.0,136.0,146.0,560.0,76520.0
2012-05-22,MDB,0.0,150.0,148.0,150.0,20.0,2980.0
2012-05-27,MDB,0.0,147.0,147.0,147.0,50.0,7350.0
2012-06-11,MDB,0.0,145.0,133.0,133.0,660.0,88620.0
2012-06-12,MDB,0.0,131.0,120.0,120.0,970.0,117740.0
2012-06-13,MDB,0.0,120.0,118.0,120.0,1090.0,129670.0
2012-06-14,MDB,0.0,118.0,115.0,116.0,460.0,53400.0
2012-06-17,MDB,0.0,118.0,115.0,115.0,260.0,30100.0
2012-06-18,MDB,0.0,120.0,114.0,120.0,420.0,48700.0
2012-06-19,MDB,0.0,121.0,120.0,121.0,210.0,25260.0
2012-06-20,MDB,0.0,120.0,120.0,120.0,180.0,21600.0
2012-06-21,MDB,0.0,118.0,118.0,118.0,60.0,7080.0
2012-06-25,MDB,0.0,118.0,116.0,116.0,60.0,7000.0
2012-06-26,MDB,0.0,117.0,117.0,117.0,40.0,4680.0
2012-06-27,MDB,0.0,119.0,115.0,119.0,100.0,11620.0
2012-06-28,MDB,0.0,121.0,120.0,120.0,60.0,7230.0
2012-07-01,MDB,0.0,120.0,118.0,120.0,280.0,33080.0
2012-07-02,MDB,0.0,118.0,118.0,118.0,80.0,9440.0
2012-07-03,MDB,0.0,120.0,118.0,118.0,260.0,30840.0
2012-07-05,MDB,0.0,122.0,120.0,122.0,30.0,3620.0
2012-07-09,MDB,0.0,122.0,120.0,122.0,160.0,19480.0
2012-07-10,MDB,0.0,122.0,120.0,120.0,160.0,19440.0
2012-07-12,MDB,0.0,123.0,119.0,119.0,320.0,38720.0
2012-07-15,MDB,0.0,117.0,117.0,117.0,20.0,2340.0
2012-07-16,MDB,0.0,117.0,116.0,117.0,120.0,14020.0
2012-07-17,MDB,0.0,116.0,116.0,116.0,30.0,3480.0
2012-07-18,MDB,0.0,120.0,118.0,120.0,220.0,26000.0
2012-07-19,MDB,0.0,122.0,120.0,122.0,80.0,9680.0
2012-07-22,MDB,0.0,122.0,120.0,121.0,290.0,35110.0
2012-07-23,MDB,0.0,123.0,121.0,123.0,550.0,66570.0
2012-07-24,MDB,0.0,124.0,121.0,121.0,690.0,83820.0
2012-07-25,MDB,0.0,124.0,122.0,122.0,150.0,18400.0
2012-07-26,MDB,0.0,122.0,120.0,122.0,140.0,16940.0
2012-07-30,MDB,0.0,124.0,120.0,124.0,180.0,21920.0
2012-07-31,MDB,0.0,122.0,122.0,122.0,80.0,9760.0
2012-08-01,MDB,0.0,124.0,124.0,124.0,40.0,4960.0
2012-08-05,MDB,0.0,123.0,123.0,123.0,100.0,12300.0
2012-08-06,MDB,0.0,121.0,121.0,121.0,80.0,9680.0
2012-08-07,MDB,0.0,126.0,123.0,126.0,150.0,18720.0
2012-08-08,MDB,0.0,128.0,126.0,127.0,100.0,12720.0
2012-08-12,MDB,0.0,130.0,126.0,130.0,310.0,39440.0
2012-08-13,MDB,0.0,135.0,132.0,133.0,1030.0,137490.0
2012-08-14,MDB,0.0,134.0,133.0,133.0,270.0,36090.0
2012-08-15,MDB,0.0,131.0,131.0,131.0,40.0,5240.0
2012-08-16,MDB,0.0,133.0,131.0,132.0,260.0,34320.0
2012-08-19,MDB,0.0,134.0,132.0,132.0,50.0,6680.0
2012-08-21,MDB,0.0,130.0,124.0,125.0,620.0,77860.0
2012-08-22,MDB,0.0,126.0,121.0,124.0,2390.0,292350.0
2012-08-23,MDB,0.0,126.0,122.0,124.0,1140.0,141440.0
2012-08-26,MDB,0.0,126.0,123.0,124.0,350.0,43550.0
2012-08-27,MDB,0.0,126.0,126.0,126.0,60.0,7560.0
2012-08-28,MDB,0.0,127.0,125.0,125.0,700.0,87740.0
2012-08-29,MDB,0.0,127.0,127.0,127.0,250.0,31750.0
2012-08-30,MDB,0.0,135.0,127.0,135.0,230.0,29690.0
2012-09-02,MDB,0.0,135.0,135.0,135.0,40.0,5400.0
2012-09-03,MDB,0.0,130.0,128.0,128.0,110.0,14120.0
2012-09-04,MDB,0.0,130.0,128.0,128.0,100.0,12920.0
2012-09-05,MDB,0.0,127.0,126.0,126.0,400.0,50500.0
2012-09-06,MDB,0.0,131.0,126.0,131.0,1800.0,232800.0
2012-09-09,MDB,0.0,133.0,133.0,133.0,20.0,2660.0
2012-09-10,MDB,0.0,131.0,129.0,131.0,590.0,76970.0
2012-09-11,MDB,0.0,131.0,130.0,131.0,80.0,10440.0
2012-09-12,MDB,0.0,130.0,129.0,130.0,220.0,28440.0
2012-09-13,MDB,0.0,137.0,130.0,135.0,760.0,101390.0
2012-09-16,MDB,0.0,148.0,137.0,148.0,2870.0,416880.0
2012-09-17,MDB,0.0,148.0,144.0,144.0,170.0,24960.0
2012-09-18,MDB,0.0,150.0,144.0,144.0,900.0,132800.0
2012-09-19,MDB,0.0,144.0,141.0,141.0,920.0,131040.0
2012-09-20,MDB,0.0,142.0,140.0,142.0,250.0,35360.0
2012-09-23,MDB,0.0,140.0,140.0,140.0,210.0,29400.0
2012-09-24,MDB,0.0,139.0,139.0,139.0,180.0,25020.0
2012-09-26,MDB,0.0,137.0,135.0,135.0,180.0,24580.0
2012-09-27,MDB,0.0,137.0,136.0,137.0,500.0,68280.0
2012-09-30,MDB,0.0,135.0,135.0,135.0,220.0,29700.0
2012-10-01,MDB,0.0,137.0,136.0,137.0,100.0,13680.0
2012-10-03,MDB,0.0,139.0,137.0,139.0,140.0,19400.0
2012-10-04,MDB,0.0,139.0,139.0,139.0,50.0,6950.0
2012-10-08,MDB,0.0,137.0,135.0,135.0,100.0,13540.0
2012-10-09,MDB,0.0,134.0,132.0,134.0,200.0,26720.0
2012-10-10,MDB,0.0,135.0,133.0,135.0,340.0,45560.0
2012-10-11,MDB,0.0,133.0,133.0,133.0,40.0,5320.0
2012-10-14,MDB,0.0,137.0,135.0,137.0,220.0,30020.0
2012-10-18,MDB,0.0,138.0,135.0,135.0,270.0,36790.0
2012-10-30,MDB,0.0,133.0,133.0,133.0,190.0,25270.0
2012-10-31,MDB,0.0,135.0,135.0,135.0,190.0,25650.0
2012-11-04,MDB,0.0,139.0,137.0,139.0,240.0,33040.0
2012-11-05,MDB,0.0,140.0,138.0,138.0,90.0,12480.0
2012-11-06,MDB,0.0,138.0,137.0,138.0,660.0,91020.0
2012-11-07,MDB,0.0,140.0,140.0,140.0,30.0,4200.0
2012-11-08,MDB,0.0,153.0,142.0,153.0,770.0,116600.0
2012-11-11,MDB,0.0,153.0,150.0,150.0,510.0,76530.0
2012-11-12,MDB,0.0,147.0,147.0,147.0,220.0,32340.0
2012-11-18,MDB,0.0,149.0,148.0,148.0,160.0,23700.0
2012-11-20,MDB,0.0,152.0,147.0,152.0,2150.0,323700.0
2012-11-22,MDB,0.0,149.0,149.0,149.0,50.0,7450.0
2012-11-28,MDB,0.0,147.0,147.0,147.0,30.0,4410.0
2012-12-05,MDB,0.0,145.0,145.0,145.0,30.0,4350.0
2012-12-17,MDB,0.0,130.0,130.0,130.0,60.0,7800.0
2012-12-19,MDB,0.0,128.0,128.0,128.0,60.0,7680.0
2012-12-23,MDB,0.0,126.0,126.0,126.0,40.0,5040.0
2012-12-24,MDB,0.0,128.0,128.0,128.0,180.0,23040.0
2012-12-27,MDB,0.0,126.0,126.0,126.0,200.0,25200.0
2012-12-31,MDB,0.0,124.0,124.0,124.0,20.0,2480.0
2013-01-01,MDB,0.0,124.0,124.0,124.0,40.0,4960.0
2013-01-02,MDB,0.0,122.0,122.0,122.0,40.0,4880.0
2013-01-07,MDB,0.0,124.0,124.0,124.0,180.0,22320.0
2013-01-13,MDB,0.0,126.0,126.0,126.0,80.0,10080.0
2013-01-15,MDB,0.0,126.0,124.0,126.0,40.0,5000.0
2013-01-16,MDB,0.0,130.0,128.0,130.0,70.0,8980.0
2013-01-17,MDB,0.0,137.0,132.0,137.0,790.0,107080.0
2013-01-20,MDB,0.0,135.0,133.0,133.0,100.0,13400.0
2013-01-21,MDB,0.0,139.0,135.0,139.0,160.0,22000.0
2013-01-22,MDB,0.0,141.0,137.0,141.0,700.0,98040.0
2013-01-24,MDB,0.0,139.0,135.0,135.0,160.0,21840.0
2013-01-27,MDB,0.0,135.0,133.0,133.0,410.0,54630.0
2013-01-28,MDB,0.0,133.0,133.0,133.0,60.0,7980.0
2013-02-03,MDB,0.0,137.0,135.0,137.0,680.0,93080.0
2013-02-04,MDB,0.0,135.0,135.0,135.0,48.0,6480.0
2013-02-05,MDB,0.0,133.0,133.0,133.0,60.0,7980.0
2013-02-10,MDB,0.0,130.0,129.0,130.0,3110.0,401290.0
2013-02-13,MDB,0.0,136.0,132.0,136.0,190.0,25600.0
2013-02-14,MDB,0.0,135.0,135.0,135.0,20.0,2700.0
2013-02-20,MDB,0.0,137.0,135.0,137.0,80.0,10880.0
2013-02-27,MDB,0.0,135.0,135.0,135.0,390.0,52650.0
2013-02-28,MDB,0.0,137.0,137.0,137.0,30.0,4110.0
2013-03-03,MDB,0.0,135.0,135.0,135.0,120.0,16200.0
2013-03-04,MDB,0.0,137.0,137.0,137.0,270.0,36990.0
2013-03-05,MDB,0.0,140.0,138.0,140.0,288.0,40124.0
2013-03-07,MDB,0.0,142.0,136.0,136.0,90.0,12600.0
2013-03-11,MDB,0.0,136.0,134.0,136.0,2024.0,271264.0
2013-03-17,MDB,0.0,142.0,138.0,142.0,110.0,15430.0
2013-03-18,MDB,0.0,142.0,140.0,142.0,620.0,87340.0
2013-03-20,MDB,142.0,140.0,139.0,139.0,520.0,72780.0
2013-03-21,MDB,0.0,140.0,140.0,140.0,20.0,2800.0
2013-03-28,MDB,0.0,139.0,139.0,139.0,970.0,134830.0
2013-04-03,MDB,0.0,130.0,130.0,130.0,12.0,1560.0
2013-04-07,MDB,0.0,128.0,128.0,128.0,120.0,15360.0
