business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2020-12-16,MEN,0.0,378.0,344.0,378.0,53050.0,19983900.0
2020-12-17,MEN,0.0,415.0,396.0,415.0,82221.0,34091815.0
2020-12-20,MEN,0.0,435.0,374.0,379.0,78684.0,29829326.0
2020-12-21,MEN,0.0,390.0,343.0,387.0,60950.0,22850550.0
2020-12-22,MEN,0.0,380.0,370.0,380.0,32646.0,12225030.0
2020-12-23,MEN,0.0,387.0,365.0,373.0,16780.0,6253200.0
2020-12-24,MEN,0.0,410.0,365.0,391.0,53120.0,20524680.0
2020-12-27,MEN,0.0,409.0,387.0,387.0,72712.0,28816984.0
2020-12-28,MEN,0.0,399.0,379.0,392.0,13200.0,5144210.0
2020-12-29,MEN,0.0,410.0,382.0,386.0,20180.0,7841780.0
2020-12-30,MEN,0.0,393.0,380.0,393.0,11930.0,4598290.0
2020-12-31,MEN,0.0,390.0,381.0,383.0,10550.0,4048350.0
2021-01-03,MEN,0.0,388.0,378.0,379.0,12200.0,4652245.0
2021-01-04,MEN,0.0,385.0,374.0,377.0,11910.0,4528380.0
2021-01-05,MEN,0.0,409.0,371.0,383.0,12881.0,4943465.0
2021-01-06,MEN,0.0,390.0,380.0,383.0,11846.0,4535841.0
2021-01-07,MEN,0.0,385.0,372.0,382.0,8342.0,3179236.0
2021-01-10,MEN,0.0,382.0,375.0,378.0,8420.0,3190860.0
2021-01-11,MEN,0.0,391.0,375.0,382.0,22075.0,8444595.0
2021-01-12,MEN,0.0,383.0,374.0,378.0,11793.0,4455385.0
2021-01-13,MEN,0.0,385.0,376.0,384.0,9015.0,3430305.0
2021-01-17,MEN,0.0,405.0,379.0,396.0,24735.0,9839940.0
2021-01-18,MEN,0.0,415.0,395.0,401.0,18495.0,7420820.0
2021-01-19,MEN,0.0,405.0,393.0,400.0,18151.0,7225530.0
2021-01-20,MEN,0.0,408.0,392.0,397.0,9485.0,3792590.0
2021-01-21,MEN,0.0,436.0,396.0,436.0,40405.0,16889525.0
2021-01-24,MEN,0.0,479.0,420.0,479.0,31823.0,14993381.0
2021-01-25,MEN,0.0,526.0,461.0,526.0,47755.0,24321450.0
2021-01-26,MEN,0.0,538.0,507.0,525.0,26215.0,13655054.0
2021-01-27,MEN,0.0,545.0,499.0,537.0,25862.0,13713052.0
2021-01-28,MEN,0.0,563.0,521.0,532.0,14745.0,7842615.0
2021-01-31,MEN,0.0,535.0,514.0,535.0,23500.0,12327310.0
2021-02-01,MEN,0.0,588.0,521.0,588.0,29582.0,16588744.0
2021-02-02,MEN,0.0,646.0,578.0,646.0,37740.0,24000155.0
2021-02-03,MEN,0.0,707.0,626.0,649.0,37166.0,24125308.0
