business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2016-09-05,MERO,0.0,392.0,392.0,392.0,10.0,3920.0
2016-09-08,MERO,0.0,411.0,411.0,411.0,10.0,4110.0
2016-11-24,MERO,0.0,419.0,419.0,419.0,10.0,4190.0
2016-12-06,MERO,0.0,451.0,427.0,451.0,50.0,21990.0
2016-12-15,MERO,0.0,478.0,460.0,478.0,92.0,43427.0
2016-12-18,MERO,0.0,496.0,487.0,496.0,20.0,9830.0
2016-12-21,MERO,0.0,487.0,460.0,487.0,40.0,18940.0
2016-12-26,MERO,0.0,535.0,496.0,535.0,50.0,25760.0
2017-01-19,MERO,0.0,545.0,545.0,545.0,10.0,5450.0
2017-01-23,MERO,0.0,566.0,555.0,566.0,41.0,23096.0
2017-01-24,MERO,0.0,577.0,577.0,577.0,10.0,5770.0
2017-02-09,MERO,0.0,610.0,588.0,610.0,30.0,17970.0
2017-02-12,MERO,0.0,646.0,622.0,646.0,74.0,47120.0
2017-02-13,MERO,0.0,671.0,658.0,671.0,20.0,13290.0
2017-02-14,MERO,0.0,684.0,684.0,684.0,10.0,6840.0
2017-02-26,MERO,0.0,710.0,697.0,710.0,20.0,14070.0
2017-03-01,MERO,0.0,752.0,724.0,752.0,30.0,22140.0
2017-03-02,MERO,0.0,782.0,767.0,782.0,41.0,31897.0
2017-03-14,MERO,0.0,797.0,797.0,797.0,10.0,7970.0
2017-03-21,MERO,0.0,844.0,812.0,844.0,50.0,41672.0
2017-03-22,MERO,0.0,877.0,860.0,877.0,27.0,23509.0
2017-03-26,MERO,0.0,894.0,894.0,894.0,10.0,8940.0
2017-04-06,MERO,0.0,975.0,938.0,975.0,61.0,58545.0
2017-04-11,MERO,0.0,1033.0,994.0,1033.0,35.0,35370.0
2017-04-12,MERO,0.0,1053.0,1053.0,1053.0,20.0,21060.0
2017-04-13,MERO,0.0,1074.0,1074.0,1074.0,10.0,10740.0
2017-04-20,MERO,0.0,1160.0,1095.0,1160.0,40.0,45090.0
2017-04-24,MERO,0.0,1183.0,1183.0,1183.0,20.0,23660.0
2017-04-26,MERO,0.0,1206.0,1206.0,1206.0,10.0,12060.0
2017-04-27,MERO,0.0,1326.0,1230.0,1326.0,312.0,406508.0
2017-04-30,MERO,0.0,1379.0,1352.0,1379.0,22.0,30041.0
2017-05-04,MERO,0.0,1434.0,1406.0,1434.0,28.0,39844.0
2017-05-07,MERO,0.0,1550.0,1462.0,1550.0,43.0,64703.0
2017-05-08,MERO,0.0,1705.0,1581.0,1705.0,75.0,124208.0
2017-05-09,MERO,0.0,1844.0,1739.0,1844.0,54.0,97349.0
2017-05-11,MERO,0.0,1880.88,1880.88,1880.88,10.0,18808.8
2017-05-15,MERO,0.0,1918.0,1918.0,1918.0,10.0,19180.0
2017-05-17,MERO,0.0,2109.0,1956.0,2109.0,72.0,147850.0
2017-05-18,MERO,0.0,2319.0,2151.0,2319.0,575.0,1318840.0
2017-05-21,MERO,0.0,2550.9,2365.0,2550.0,478.0,1214162.8
2017-05-22,MERO,0.0,2805.0,2601.0,2805.0,1780.0,4978599.0
2017-05-23,MERO,0.0,3085.0,2690.0,2750.0,23569.0,67176744.0
2017-05-24,MERO,0.0,2800.0,2553.0,2723.0,9195.0,24360864.0
2017-05-28,MERO,0.0,2670.0,2598.0,2618.0,4617.0,12079486.0
2017-05-30,MERO,0.0,2610.0,2541.0,2585.0,3110.0,8041649.0
2017-05-31,MERO,0.0,2636.0,2473.0,2598.0,3194.0,8056183.0
2017-06-01,MERO,0.0,2547.0,2472.0,2512.0,3711.0,9304749.0
2017-06-04,MERO,0.0,2505.0,2382.0,2440.0,1476.0,3614703.0
2017-06-05,MERO,0.0,2487.0,2445.0,2476.0,3213.0,7928935.0
2017-06-06,MERO,0.0,2545.0,2476.0,2538.0,2535.0,6342094.0
2017-06-07,MERO,0.0,2599.0,2520.0,2525.0,5278.0,13483841.0
2017-06-08,MERO,0.0,2525.0,2480.0,2510.0,2104.0,5273791.0
2017-06-11,MERO,0.0,2475.0,2413.0,2431.0,2170.0,5313390.0
2017-06-12,MERO,0.0,2450.0,2375.0,2449.0,2655.0,6350695.0
2017-06-13,MERO,0.0,2500.0,2353.0,2397.0,936.0,2252863.0
2017-06-14,MERO,0.0,2419.0,2361.0,2419.0,900.0,2150867.0
2017-06-15,MERO,0.0,2449.0,2350.0,2400.0,2083.0,4973993.0
2017-06-18,MERO,0.0,2399.0,2338.0,2340.0,1179.0,2772015.0
2017-06-19,MERO,0.0,2369.0,2267.0,2280.0,1495.0,3422496.0
2017-06-20,MERO,0.0,2331.0,2250.0,2295.0,1178.0,2697941.0
2017-06-21,MERO,0.0,2315.0,2252.0,2272.0,777.0,1770154.0
2017-06-22,MERO,0.0,2290.0,2256.0,2290.0,597.0,1361116.0
2017-06-25,MERO,0.0,2301.0,2265.0,2285.0,605.0,1386672.0
2017-06-27,MERO,0.0,2330.0,2270.0,2277.0,1125.0,2579753.0
2017-06-28,MERO,0.0,2272.0,2232.0,2250.0,1418.0,3201579.0
2017-07-02,MERO,0.0,2290.0,2216.0,2218.0,925.0,2079078.0
2017-07-03,MERO,0.0,2244.0,2200.0,2240.0,1136.0,2543567.0
2017-07-04,MERO,0.0,2245.0,2202.0,2210.0,843.0,1874544.0
2017-07-05,MERO,0.0,2280.0,2190.0,2280.0,1061.0,2356931.0
2017-07-06,MERO,0.0,2350.0,2280.0,2325.0,859.0,1985546.0
