business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-04-20,MFLD85,0.0,1020.0,1000.0,1001.0,105.0,105270.0
2021-04-21,MFLD85,0.0,1002.0,1001.0,1002.0,490.0,490640.0
2021-04-22,MFLD85,0.0,1001.0,1001.0,1001.0,105.0,105100.0
2021-04-26,MFLD85,0.0,995.0,995.0,995.0,25.0,24875.0
2021-04-27,MFLD85,0.0,1000.0,1000.0,1000.0,25.0,25000.0
2021-04-28,MFLD85,0.0,1005.0,1005.0,1005.0,125.0,125625.0
2021-04-29,MFLD85,0.0,1025.0,1005.0,1025.0,325.0,331850.0
2021-05-02,MFLD85,0.0,1040.0,1020.0,1040.0,250.0,257750.0
2021-05-03,MFLD85,0.0,1020.0,1020.0,1020.0,50.0,51000.0
2021-05-04,MFLD85,0.0,1013.0,1011.0,1012.0,75.0,75900.0
2021-05-05,MFLD85,0.0,1012.0,1012.0,1012.0,50.0,50600.0
2021-05-06,MFLD85,0.0,1015.0,1015.0,1015.0,325.0,329875.0
2021-05-09,MFLD85,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2021-05-11,MFLD85,0.0,1021.0,1020.0,1020.0,110.0,112260.0
2021-05-12,MFLD85,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2021-05-16,MFLD85,0.0,1014.0,1010.0,1014.0,125.0,126400.0
2021-05-17,MFLD85,0.0,1020.0,1020.0,1020.0,145.0,147900.0
2021-05-18,MFLD85,0.0,1029.0,1010.0,1029.0,125.0,127425.0
2021-05-19,MFLD85,0.0,1030.0,1010.0,1030.0,75.0,76625.0
2021-05-20,MFLD85,0.0,1015.0,992.0,1010.0,175.0,176335.0
2021-05-23,MFLD85,0.0,1015.0,1015.0,1015.0,530.0,537950.0
2021-05-24,MFLD85,0.0,1015.0,1011.0,1012.0,320.0,324625.0
2021-05-25,MFLD85,0.0,1035.0,1020.0,1020.0,168.0,172690.0
2021-05-27,MFLD85,0.0,1020.0,1014.0,1014.0,40.0,40710.0
2021-05-30,MFLD85,0.0,1017.0,1017.0,1017.0,50.0,50850.0
2021-05-31,MFLD85,0.0,1029.0,1015.0,1029.0,125.0,127650.0
2021-06-01,MFLD85,0.0,1030.0,1025.0,1030.0,100.0,102750.0
2021-06-02,MFLD85,0.0,1030.0,1025.0,1030.0,134.0,137751.0
2021-06-03,MFLD85,0.0,1016.0,1016.0,1016.0,25.0,25400.0
2021-06-06,MFLD85,1016.0,1055.0,1016.0,1055.0,175.0,181460.0
2021-06-07,MFLD85,1034.0,1034.0,1031.0,1031.0,50.0,51625.0
2021-06-08,MFLD85,1030.0,1030.0,1030.0,1030.0,25.0,25750.0
2021-06-09,MFLD85,1030.0,1035.0,1030.0,1030.0,89.0,91815.0
2021-06-10,MFLD85,1030.0,1025.0,1025.0,1025.0,50.0,51250.0
2021-06-13,MFLD85,1010.0,1025.0,1010.0,1020.0,125.0,127225.0
2021-06-14,MFLD85,1020.0,1030.0,1022.0,1030.0,225.0,230700.0
2021-06-15,MFLD85,1025.0,1030.0,1025.0,1030.0,150.0,154375.0
2021-06-17,MFLD85,1030.0,1030.0,1030.0,1030.0,25.0,25750.0
2021-06-20,MFLD85,1025.0,1025.0,1025.0,1025.0,25.0,25625.0
2021-06-21,MFLD85,1030.0,1030.0,1030.0,1030.0,25.0,25750.0
2021-06-22,MFLD85,1035.0,1036.0,1035.0,1036.0,100.0,103550.0
2021-06-23,MFLD85,1030.0,1031.0,1027.0,1027.0,175.0,180275.0
2021-06-24,MFLD85,1011.0,1023.0,1011.0,1022.0,610.0,617920.0
2021-06-27,MFLD85,1015.0,1035.0,1015.0,1035.0,175.0,179050.0
2021-06-28,MFLD85,1030.0,1030.0,1030.0,1030.0,25.0,25750.0
2021-06-29,MFLD85,1022.0,1035.0,1022.0,1035.0,50.0,51425.0
2021-06-30,MFLD85,1030.0,1030.0,1030.0,1030.0,25.0,25750.0
2021-07-01,MFLD85,1022.0,1025.0,1010.0,1025.0,75.0,76545.0
2021-07-04,MFLD85,1012.0,1043.0,1012.0,1043.0,149.0,152456.0
2021-07-05,MFLD85,1027.0,1027.0,1027.0,1027.0,25.0,25675.0
2021-07-07,MFLD85,1021.0,1021.0,1020.0,1020.0,25.0,25510.0
2021-07-08,MFLD85,1019.0,1019.0,1019.0,1019.0,110.0,112090.0
2021-07-11,MFLD85,1017.0,1017.0,1017.0,1017.0,27.0,27459.0
2021-07-13,MFLD85,1034.0,1037.0,1034.0,1037.0,125.0,129475.0
2021-07-15,MFLD85,1018.0,1025.0,1018.0,1025.0,75.0,76700.0
2021-07-18,MFLD85,1013.0,1013.0,1011.1,1011.1,55.0,55677.0
2021-07-19,MFLD85,1010.0,1010.0,1008.0,1008.0,50.0,50450.0
2021-07-20,MFLD85,1006.1,1007.0,1006.1,1007.0,40.0,40257.5
2021-07-22,MFLD85,1002.0,1015.8,1002.0,1011.1,194.0,195887.0
2021-07-25,MFLD85,995.0,1016.0,995.0,1012.0,230.0,232330.0
2021-07-26,MFLD85,1010.0,1010.1,1002.0,1004.0,525.0,528616.0
2021-07-27,MFLD85,1014.9,1014.9,1005.1,1011.0,735.0,740759.0
2021-07-28,MFLD85,1006.0,1022.0,1006.0,1012.0,1120.0,1136983.0
2021-07-29,MFLD85,1006.6,1007.1,1006.6,1007.1,100.0,100690.0
2021-08-01,MFLD85,1004.5,1004.7,1004.5,1004.7,100.0,100465.0
2021-08-02,MFLD85,1010.0,1015.0,1010.0,1015.0,330.0,334800.0
2021-08-03,MFLD85,1010.0,1014.0,1010.0,1014.0,500.0,506300.0
2021-08-04,MFLD85,1010.0,1010.0,1010.0,1010.0,25.0,25250.0
2021-08-05,MFLD85,1000.0,1000.0,1000.0,1000.0,25.0,25000.0
2021-08-08,MFLD85,1001.1,1005.0,1001.1,1005.0,250.0,250860.0
2021-08-10,MFLD85,1010.0,1010.0,1010.0,1010.0,95.0,95950.0
2021-08-11,MFLD85,1010.0,1010.0,1010.0,1010.0,100.0,101000.0
2021-08-12,MFLD85,1010.0,1010.0,1010.0,1010.0,200.0,202000.0
2021-08-15,MFLD85,1003.0,1010.0,1003.0,1010.0,125.0,125725.0
2021-08-16,MFLD85,1012.0,1015.0,1010.0,1015.0,310.0,314250.0
2021-08-17,MFLD85,1007.0,1007.0,1005.6,1005.6,75.0,75455.0
2021-08-18,MFLD85,1007.0,1007.0,1007.0,1007.0,25.0,25175.0
2021-08-19,MFLD85,1002.0,1007.0,1002.0,1005.0,149.0,149720.0
2021-08-24,MFLD85,1005.0,1015.0,1005.0,1015.0,35.0,35425.0
2021-08-26,MFLD85,1015.0,1015.0,1015.0,1015.0,25.0,25375.0
2021-08-29,MFLD85,1005.0,1007.1,1005.0,1005.0,300.0,301862.5
2021-08-31,MFLD85,1005.0,1005.0,1005.0,1005.0,160.0,160800.0
2021-09-01,MFLD85,1005.0,1005.0,1005.0,1005.0,50.0,50250.0
2021-09-02,MFLD85,1002.0,1002.0,999.1,999.1,50.0,50027.5
2021-09-05,MFLD85,1000.0,1000.0,1000.0,1000.0,10.0,10000.0
2021-09-09,MFLD85,1000.0,1005.0,1000.0,1005.0,250.0,251125.0
2021-09-12,MFLD85,1001.0,1005.0,1001.0,1005.0,25.0,25085.0
2021-09-15,MFLD85,1003.0,1004.9,1003.0,1004.9,75.0,75320.0
2021-09-16,MFLD85,985.0,985.0,985.0,985.0,25.0,24625.0
2021-09-21,MFLD85,999.9,1000.0,999.9,1000.0,50.0,49997.5
2021-09-22,MFLD85,985.2,985.2,985.1,985.1,150.0,147767.5
2021-09-23,MFLD85,980.0,980.0,980.0,980.0,54.0,52920.0
2021-09-27,MFLD85,995.0,995.0,995.0,995.0,30.0,29850.0
2021-09-28,MFLD85,980.0,980.0,976.5,976.5,146.0,142744.0
2021-09-29,MFLD85,978.0,978.0,978.0,978.0,75.0,73350.0
2021-10-03,MFLD85,975.0,975.0,974.0,975.0,175.0,170525.0
2021-10-04,MFLD85,980.0,980.0,980.0,980.0,100.0,98000.0
2021-10-11,MFLD85,976.0,976.0,975.0,975.0,50.0,48775.0
2021-10-31,MFLD85,976.0,976.0,976.0,976.0,50.0,48800.0
2021-11-02,MFLD85,967.0,967.0,967.0,967.0,25.0,24175.0
2021-11-11,MFLD85,971.0,973.0,971.0,972.3,75.0,72907.5
2021-11-15,MFLD85,970.0,985.0,970.0,985.0,50.0,48875.0
2021-11-16,MFLD85,995.0,995.0,995.0,995.0,25.0,24875.0
2021-11-24,MFLD85,999.0,999.0,999.0,999.0,25.0,24975.0
2021-12-07,MFLD85,979.1,979.1,979.1,979.1,25.0,24477.5
2021-12-21,MFLD85,974.9,975.0,974.9,975.0,150.0,146245.0
2021-12-23,MFLD85,975.1,975.1,975.1,975.1,100.0,97510.0
2021-12-26,MFLD85,973.1,973.1,973.1,973.1,25.0,24327.5
2021-12-29,MFLD85,970.0,970.0,969.4,969.4,50.0,48485.0
2022-01-02,MFLD85,980.0,980.0,980.0,980.0,25.0,24500.0
2022-01-04,MFLD85,981.0,993.0,981.0,993.0,45.0,44385.0
2022-01-05,MFLD85,995.0,995.0,995.0,995.0,25.0,24875.0
2022-01-09,MFLD85,1014.9,1014.9,1014.9,1014.9,50.0,50745.0
2022-01-10,MFLD85,995.0,995.0,995.0,995.0,25.0,24875.0
2022-01-11,MFLD85,995.0,1010.0,995.0,1000.0,295.0,295150.0
2022-01-12,MFLD85,989.0,989.0,989.0,989.0,50.0,49450.0
2022-01-16,MFLD85,989.0,969.3,969.3,969.3,50.0,48465.0
2022-01-17,MFLD85,950.0,950.0,950.0,950.0,25.0,23750.0
2022-01-18,MFLD85,938.2,939.0,938.1,938.1,175.0,164200.0
2022-01-24,MFLD85,938.0,938.0,938.0,938.0,25.0,23450.0
2022-01-26,MFLD85,930.0,930.0,930.0,930.0,10.0,9300.0
2022-01-30,MFLD85,931.0,949.0,900.0,900.0,515.0,470260.0
2022-02-03,MFLD85,918.0,918.0,918.0,918.0,25.0,22950.0
2022-02-06,MFLD85,936.3,936.3,936.3,936.3,50.0,46815.0
2022-02-08,MFLD85,930.0,930.0,930.0,930.0,25.0,23250.0
2022-02-10,MFLD85,913.1,913.1,911.7,911.7,100.0,91245.0
2022-02-21,MFLD85,900.0,900.0,900.0,900.0,25.0,22500.0
2022-02-28,MFLD85,905.0,905.0,905.0,905.0,25.0,22625.0
2022-03-07,MFLD85,920.0,923.0,920.0,923.0,110.0,101230.0
2022-03-09,MFLD85,904.8,904.8,904.8,904.8,15.0,13572.0
2022-03-10,MFLD85,897.6,900.0,890.0,900.0,187.0,167740.5
2022-03-13,MFLD85,900.0,900.0,900.0,900.0,110.0,99000.0
2022-03-16,MFLD85,895.6,895.6,895.5,895.5,30.0,26866.5
2022-03-30,MFLD85,890.4,890.4,890.4,890.4,25.0,22260.0
2022-04-04,MFLD85,889.7,889.7,889.6,889.6,25.0,22241.5
2022-04-11,MFLD85,889.0,889.0,889.0,889.0,50.0,44450.0
2022-04-12,MFLD85,906.7,906.7,906.7,906.7,75.0,68002.5
2022-04-19,MFLD85,900.0,900.0,895.1,895.1,25.0,22451.0
2022-05-08,MFLD85,890.0,890.0,890.0,890.0,25.0,22250.0
2022-05-09,MFLD85,895.0,895.0,895.0,895.0,20.0,17900.0
2022-05-18,MFLD85,888.0,905.0,887.7,905.0,75.0,67017.5
2022-05-24,MFLD85,890.1,890.1,890.1,890.1,25.0,22252.5
2022-05-25,MFLD85,890.0,890.0,890.0,890.0,50.0,44500.0
2022-05-31,MFLD85,890.3,890.3,890.3,890.3,25.0,22257.5
2022-06-02,MFLD85,890.5,890.5,888.1,888.1,100.0,88932.5
2022-06-07,MFLD85,889.0,889.0,888.3,888.3,150.0,133316.5
2022-06-24,MFLD85,888.6,888.6,888.5,888.5,75.0,66640.0
2022-06-27,MFLD85,880.0,880.0,880.0,880.0,135.0,118800.0
2022-06-28,MFLD85,897.2,897.5,897.2,897.5,75.0,67297.5
2022-07-03,MFLD85,915.3,915.4,915.3,915.4,50.0,45767.5
2022-07-04,MFLD85,923.9,924.0,923.9,924.0,75.0,69297.5
2022-07-06,MFLD85,906.0,906.0,906.0,906.0,50.0,45300.0
2022-07-07,MFLD85,892.0,892.0,892.0,892.0,30.0,26760.0
2022-07-12,MFLD85,909.8,909.8,909.8,909.8,10.0,9098.0
2022-07-14,MFLD85,923.0,927.9,923.0,927.9,100.0,92617.5
2022-07-15,MFLD85,940.0,940.0,940.0,940.0,10.0,9400.0
2022-07-25,MFLD85,921.2,921.2,884.8,884.8,160.0,142832.0
2022-07-26,MFLD85,870.0,870.0,868.0,868.0,50.0,43420.0
2022-07-27,MFLD85,855.0,855.0,845.0,845.0,50.0,42500.0
2022-08-01,MFLD85,830.0,846.6,830.0,846.6,40.0,33449.0
2022-08-03,MFLD85,855.0,855.0,855.0,855.0,25.0,21375.0
2022-08-05,MFLD85,854.0,854.8,854.0,854.8,60.0,51272.5
2022-08-07,MFLD85,846.0,846.0,846.0,846.0,50.0,42300.0
2022-08-08,MFLD85,846.0,846.0,846.0,846.0,125.0,105750.0
2022-08-09,MFLD85,838.0,849.5,835.0,849.5,100.0,84300.0
2022-08-10,MFLD85,847.0,848.0,847.0,848.0,50.0,42375.0
2022-08-11,MFLD85,850.0,850.0,850.0,850.0,25.0,21250.0
2022-08-23,MFLD85,850.0,850.0,845.0,845.0,75.0,63500.0
2022-08-25,MFLD85,859.9,859.9,859.9,859.9,360.0,309564.0
2022-08-28,MFLD85,843.1,843.1,843.1,843.1,35.0,29508.5
2022-08-29,MFLD85,843.0,843.0,827.3,827.3,250.0,208030.0
2022-08-30,MFLD85,833.0,833.0,833.0,833.0,25.0,20825.0
2022-08-31,MFLD85,833.1,833.1,833.0,833.0,35.0,29157.5
2022-09-01,MFLD85,842.0,843.0,842.0,843.0,50.0,42125.0
2022-09-02,MFLD85,832.0,832.0,830.0,830.0,140.0,116285.0
2022-09-05,MFLD85,840.0,840.0,840.0,840.0,50.0,42000.0
2022-09-06,MFLD85,827.1,827.1,827.0,827.0,110.0,90975.0
2022-09-13,MFLD85,828.4,829.0,828.4,829.0,200.0,165740.0
