business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-05-16,MKHL,335.0,335.0,301.5,301.5,19161.0,5796244.5
2023-05-17,MKHL,295.5,295.5,271.4,277.6,62750.0,17336272.7
2023-05-18,MKHL,276.0,302.7,274.0,290.5,18197.0,5258835.8
2023-05-21,MKHL,286.0,291.5,280.4,282.0,18536.0,5260662.6
2023-05-22,MKHL,277.0,285.0,275.3,280.0,11239.0,3140959.0
2023-05-23,MKHL,280.0,292.5,279.0,290.0,22386.0,6446054.3
2023-05-24,MKHL,290.0,290.0,281.0,286.0,14243.0,4064143.0
2023-05-28,MKHL,282.1,300.0,282.1,289.0,31924.0,9362520.0
2023-05-30,MKHL,283.3,294.0,280.0,280.0,13559.0,3877347.0
2023-05-31,MKHL,274.5,298.0,274.5,298.0,21106.0,5945474.7
2023-06-01,MKHL,293.0,294.0,278.0,286.1,8660.0,2482836.5
2023-06-04,MKHL,281.0,302.0,281.0,298.8,23880.0,6997577.8
2023-06-05,MKHL,295.0,301.0,290.0,297.0,13685.0,4048619.4
2023-06-06,MKHL,291.1,307.0,286.6,301.0,16342.0,4904069.5
2023-06-07,MKHL,300.0,315.0,299.0,302.0,22039.0,6758418.8
2023-06-08,MKHL,300.0,312.0,296.2,301.5,23283.0,7063344.5
2023-06-11,MKHL,300.0,309.0,300.0,308.0,29780.0,9048653.0
2023-06-12,MKHL,308.0,316.0,304.0,311.0,21326.0,6583936.2
2023-06-13,MKHL,316.9,322.3,305.1,318.9,35067.0,11106546.9
2023-06-14,MKHL,318.9,328.4,308.0,321.9,24239.0,7758240.0
2023-06-15,MKHL,315.6,321.8,307.1,311.0,14323.0,4477503.0
2023-06-18,MKHL,310.0,321.0,309.0,315.9,14045.0,4391612.4
2023-06-19,MKHL,310.0,318.2,306.0,306.0,16070.0,4974617.2
2023-06-20,MKHL,302.0,310.0,296.1,300.0,8614.0,2610481.8
2023-06-21,MKHL,296.0,312.0,288.0,288.0,30703.0,9018007.6
2023-06-22,MKHL,282.3,293.6,282.3,289.8,13803.0,3947873.9
2023-06-25,MKHL,289.7,306.0,281.0,304.0,25280.0,7301983.7
2023-06-26,MKHL,301.0,315.9,301.0,314.0,28071.0,8657356.8
2023-06-27,MKHL,317.29,317.29,302.5,315.0,28615.0,8827619.7
2023-06-28,MKHL,309.0,312.2,300.0,312.2,32403.0,9911185.9
2023-07-02,MKHL,306.0,306.0,296.0,305.0,11702.0,3515484.0
2023-07-03,MKHL,299.8,299.8,292.0,296.0,11590.0,3412527.0
2023-07-04,MKHL,301.9,301.9,285.6,289.9,7290.0,2112200.0
2023-07-05,MKHL,294.9,294.9,282.3,282.3,5650.0,1609949.4
2023-07-06,MKHL,282.0,287.9,277.0,280.0,7850.0,2198085.0
2023-07-09,MKHL,275.0,294.7,270.1,277.4,6625.0,1844805.6
2023-07-10,MKHL,282.9,282.9,272.2,276.0,6594.0,1808803.3
2023-07-11,MKHL,271.0,276.4,268.1,274.0,3535.0,959454.0
2023-07-12,MKHL,269.1,289.8,269.0,287.0,15456.0,4312243.0
2023-07-13,MKHL,290.0,294.0,282.4,285.4,16341.0,4703744.3
2023-07-16,MKHL,281.0,286.6,276.0,276.1,5695.0,1593222.0
2023-07-17,MKHL,271.4,287.5,271.4,287.5,7159.0,2018344.6
2023-07-18,MKHL,287.5,290.9,282.1,290.9,5850.0,1681757.0
2023-07-19,MKHL,285.1,295.9,281.0,294.9,9153.0,2605894.9
2023-07-20,MKHL,295.0,298.8,284.0,294.0,10589.0,3085627.3
2023-07-23,MKHL,288.3,305.0,283.6,302.7,11456.0,3373163.3
2023-07-24,MKHL,297.0,301.9,292.1,299.0,5711.0,1693714.0
2023-07-25,MKHL,294.0,299.6,286.0,294.0,6870.0,2002954.0
2023-07-26,MKHL,288.2,294.0,285.0,293.9,8199.0,2385086.0
2023-07-27,MKHL,288.3,288.3,279.4,279.5,2625.0,746526.0
2023-07-30,MKHL,276.2,285.0,276.0,280.0,5196.0,1455560.0
2023-07-31,MKHL,282.0,285.6,276.0,283.0,6040.0,1695355.0
2023-08-01,MKHL,278.2,285.0,266.7,274.0,8040.0,2231613.0
2023-08-02,MKHL,275.0,279.0,265.7,272.0,2290.0,615786.0
2023-08-03,MKHL,277.4,277.4,266.6,270.0,3950.0,1068962.0
2023-08-06,MKHL,264.8,268.0,256.6,268.0,7930.0,2086767.0
2023-08-07,MKHL,265.0,273.0,253.0,265.0,3974.0,1046702.4
2023-08-08,MKHL,259.7,260.0,252.4,252.5,4941.0,1261834.5
2023-08-09,MKHL,250.0,269.9,243.6,269.9,6185.0,1538649.0
2023-08-10,MKHL,264.6,276.2,260.1,274.6,6258.0,1674470.1
2023-08-13,MKHL,269.5,270.0,261.0,270.0,7700.0,2066644.0
2023-08-14,MKHL,264.6,275.4,259.6,275.4,11102.0,2956917.7
2023-08-15,MKHL,269.9,271.0,260.0,261.0,11135.0,2941691.7
2023-08-16,MKHL,255.9,258.0,251.2,257.0,3940.0,1005387.5
2023-08-17,MKHL,255.0,265.0,250.0,254.0,4403.0,1117557.9
2023-08-20,MKHL,253.0,259.0,244.5,252.0,3244.0,806040.0
2023-08-21,MKHL,255.0,262.1,236.1,246.1,4689.0,1141179.4
2023-08-22,MKHL,251.0,269.9,237.3,268.0,7650.0,1927654.0
2023-08-23,MKHL,262.7,269.9,251.2,264.0,2680.0,696161.3
2023-08-24,MKHL,269.0,269.0,245.3,253.0,6511.0,1640318.0
2023-08-27,MKHL,250.0,250.0,239.1,246.9,3700.0,903149.0
2023-08-28,MKHL,242.0,251.8,234.0,251.8,2201.0,528656.9
2023-08-29,MKHL,247.0,247.0,236.5,245.0,3260.0,784119.0
2023-08-30,MKHL,249.8,249.8,239.2,240.0,1545.0,370946.5
2023-09-03,MKHL,240.0,242.9,228.3,231.0,5630.0,1316204.0
2023-09-04,MKHL,230.0,241.0,227.0,235.0,12869.0,3032479.0
2023-09-05,MKHL,237.0,239.7,227.5,231.5,3180.0,730070.0
2023-09-07,MKHL,230.0,231.5,224.0,229.5,6456.0,1470145.5
2023-09-10,MKHL,225.1,233.0,225.1,233.0,1930.0,441808.0
2023-09-11,MKHL,228.4,248.0,224.7,248.0,4080.0,975113.0
2023-09-12,MKHL,252.0,252.0,236.0,248.0,6605.0,1612512.5
2023-09-13,MKHL,243.1,260.0,236.2,260.0,3780.0,949731.0
2023-09-17,MKHL,256.0,256.0,240.1,245.0,3900.0,960542.0
2023-09-18,MKHL,240.1,249.8,237.6,243.0,2010.0,492769.0
2023-09-19,MKHL,247.8,256.0,229.3,255.0,8530.0,2136546.6
2023-09-21,MKHL,260.0,275.4,255.0,273.0,17307.0,4571737.7
2023-09-24,MKHL,267.6,268.0,252.3,263.0,8350.0,2199321.0
2023-09-25,MKHL,257.8,289.3,255.0,289.3,33923.0,9590770.7
2023-09-26,MKHL,288.0,300.9,283.2,288.2,25642.0,7447942.6
2023-09-27,MKHL,282.5,286.0,273.6,280.0,25040.0,6981731.5
2023-10-01,MKHL,274.4,274.4,258.2,265.0,12940.0,3425982.5
2023-10-02,MKHL,259.7,275.0,255.4,268.9,10633.0,2772842.1
2023-10-03,MKHL,263.6,278.4,258.4,269.9,13518.0,3661645.4
2023-10-04,MKHL,265.0,278.9,264.6,271.0,11834.0,3211308.3
2023-10-05,MKHL,265.6,284.0,265.6,270.0,11575.0,3100575.1
2023-10-08,MKHL,265.1,267.0,255.0,260.0,11081.0,2881035.2
2023-10-09,MKHL,255.0,265.0,245.2,253.0,12362.0,3120877.0
2023-10-10,MKHL,248.1,254.0,245.1,248.0,4710.0,1181077.0
2023-10-11,MKHL,244.0,257.0,244.0,251.0,6650.0,1655353.0
2023-10-12,MKHL,246.1,250.0,246.0,246.1,8680.0,2149555.0
2023-10-16,MKHL,242.0,251.0,239.1,245.9,4840.0,1178373.5
2023-10-17,MKHL,250.8,250.8,242.3,246.0,8751.0,2136512.5
2023-10-18,MKHL,243.0,254.0,243.0,254.0,3648.0,904018.0
2023-10-19,MKHL,249.0,250.5,244.4,245.0,2600.0,643635.0
2023-10-29,MKHL,240.1,244.6,230.0,244.6,6730.0,1573235.0
2023-10-30,MKHL,240.0,242.1,230.5,242.1,1880.0,444120.0
2023-10-31,MKHL,237.3,237.3,232.6,237.0,3355.0,786771.3
2023-11-01,MKHL,232.3,239.9,232.3,239.9,4880.0,1148967.0
2023-11-02,MKHL,235.2,239.7,231.0,233.5,5560.0,1298125.4
2023-11-05,MKHL,228.9,232.0,224.6,232.0,2515.0,575130.0
2023-11-06,MKHL,228.2,245.5,228.2,245.5,5666.0,1349844.6
2023-11-07,MKHL,240.6,249.8,236.0,249.0,6424.0,1536808.5
2023-11-08,MKHL,250.0,250.0,238.5,243.0,5222.0,1262955.0
2023-11-09,MKHL,241.0,244.0,234.0,234.0,5744.0,1361698.0
2023-11-20,MKHL,238.2,246.4,234.0,246.4,4130.0,978571.0
2023-11-21,MKHL,241.6,241.6,232.1,233.1,2347.0,551152.0
2023-11-22,MKHL,232.0,246.5,232.0,246.0,1128.0,267274.0
2023-11-23,MKHL,241.1,246.8,236.3,245.8,6410.0,1553363.0
2023-11-26,MKHL,241.0,253.7,240.5,245.1,15655.0,3892135.0
2023-11-27,MKHL,245.1,262.0,245.1,258.9,22335.0,5655322.8
2023-11-28,MKHL,254.0,263.9,250.0,262.1,6555.0,1674859.5
2023-11-29,MKHL,262.1,257.0,248.1,250.1,10285.0,2594349.5
2023-11-30,MKHL,246.0,251.0,235.2,239.0,10153.0,2481879.0
2023-12-03,MKHL,239.0,255.0,239.0,254.0,7781.0,1905598.1
2023-12-04,MKHL,249.0,258.9,245.0,252.5,6876.0,1720011.0
2023-12-05,MKHL,247.5,254.0,244.6,250.0,8657.0,2149589.7
2023-12-06,MKHL,245.2,255.0,245.2,255.0,5510.0,1381943.5
