business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-03-16,MLBSL,0.0,446.0,438.0,446.0,30.0,13267.0
2021-03-17,MLBSL,0.0,446.0,446.0,446.0,4.0,1772.0
2021-03-18,MLBSL,0.0,446.0,446.0,446.0,1.0,438.0
2021-03-22,MLBSL,0.0,463.0,440.0,463.0,31.0,14007.0
2021-03-23,MLBSL,0.0,490.0,472.0,490.0,30.0,14430.0
2021-03-24,MLBSL,0.0,508.0,499.0,508.0,20.0,10070.0
2021-03-25,MLBSL,0.0,538.0,518.0,538.0,30.0,15840.0
2021-03-29,MLBSL,0.0,591.0,564.0,591.0,50.0,28760.0
2021-03-30,MLBSL,0.0,602.0,602.0,602.0,10.0,6020.0
2021-03-31,MLBSL,0.0,662.0,614.0,662.0,50.0,31900.0
2021-04-01,MLBSL,0.0,708.0,695.0,708.0,20.0,14030.0
2021-04-04,MLBSL,0.0,736.0,722.0,736.0,20.0,14580.0
2021-04-05,MLBSL,0.0,765.0,718.0,765.0,32.0,23832.0
2021-04-06,MLBSL,0.0,841.0,780.0,841.0,50.0,40520.0
2021-04-07,MLBSL,0.0,925.0,857.0,925.0,60.0,53800.0
2021-04-12,MLBSL,0.0,1017.0,943.0,1017.0,90.0,89494.0
2021-04-13,MLBSL,0.0,1099.0,1037.0,1099.0,50.0,53490.0
2021-04-15,MLBSL,0.0,1208.0,1120.0,1208.0,70.0,82370.0
2021-04-18,MLBSL,0.0,1328.0,1232.0,1328.0,80.0,103390.0
2021-04-19,MLBSL,0.0,1460.0,1354.0,1460.0,120.0,172560.0
2021-04-20,MLBSL,0.0,1606.0,1489.0,1606.0,120.0,189810.0
2021-04-21,MLBSL,0.0,1766.0,1686.0,1766.0,270.0,475420.0
2021-04-22,MLBSL,0.0,1942.0,1801.0,1942.0,370.0,715070.0
2021-04-25,MLBSL,0.0,2136.0,1980.0,2136.0,1025.0,2185405.0
2021-04-26,MLBSL,0.0,2349.0,2178.0,2349.0,1231.0,2887399.0
2021-04-27,MLBSL,0.0,2583.0,2466.0,2583.0,1390.0,3586890.0
2021-04-28,MLBSL,0.0,2841.0,2766.0,2841.0,1280.0,3632950.0
2021-04-29,MLBSL,0.0,3125.0,2979.0,3125.0,1850.0,5778640.0
2021-05-02,MLBSL,0.0,3437.0,3281.0,3437.0,1810.0,6201555.0
2021-05-03,MLBSL,0.0,3780.0,3608.0,3780.0,2420.0,9139450.0
2021-05-04,MLBSL,0.0,4158.0,3969.0,4158.0,2430.0,10096790.0
2021-05-05,MLBSL,0.0,4573.0,4365.0,4573.0,2245.0,10248945.0
2021-05-06,MLBSL,0.0,5030.0,4801.0,5030.0,12843.0,64582500.0
2021-05-09,MLBSL,0.0,5493.0,4527.0,4527.0,51088.0,236773164.0
2021-05-10,MLBSL,0.0,4845.0,4263.0,4700.0,28160.0,125312004.0
2021-05-11,MLBSL,0.0,4800.0,4650.0,4725.0,6971.0,32935938.0
2021-05-12,MLBSL,0.0,4700.0,4651.0,4670.0,6316.0,29518167.0
2021-05-13,MLBSL,0.0,4670.0,4584.0,4585.0,9166.0,42227030.0
2021-05-16,MLBSL,0.0,4660.0,4560.0,4657.0,11595.0,53522330.0
2021-05-17,MLBSL,0.0,4664.0,4605.0,4638.0,7610.0,35339630.0
2021-05-18,MLBSL,0.0,4665.0,4620.0,4645.0,8135.0,37748055.0
2021-05-19,MLBSL,0.0,4674.0,4578.0,4600.0,6930.0,32045519.0
2021-05-20,MLBSL,0.0,4650.0,4530.0,4615.0,8460.0,39013187.0
2021-05-23,MLBSL,0.0,4618.0,4525.0,4590.0,4561.0,20951809.0
2021-05-24,MLBSL,0.0,4620.0,4565.0,4583.0,5060.0,23225345.0
2021-05-25,MLBSL,0.0,4600.0,4561.0,4571.0,3725.0,17050637.0
2021-05-27,MLBSL,0.0,4504.0,4388.0,4400.0,12727.0,56644787.0
2021-05-30,MLBSL,0.0,4484.0,4303.0,4339.0,5070.0,22197084.0
2021-05-31,MLBSL,0.0,4400.0,4314.0,4322.0,4288.0,18639343.0
2021-06-01,MLBSL,0.0,4350.0,4290.0,4305.0,3375.0,14574648.0
2021-06-02,MLBSL,0.0,4350.0,4290.0,4320.0,3588.0,15408101.0
2021-06-03,MLBSL,0.0,4752.0,4320.0,4752.0,13953.0,64960892.0
2021-06-06,MLBSL,4989.0,5227.0,4989.0,5227.0,19299.0,100573063.0
2021-06-07,MLBSL,5488.0,5749.0,4999.0,5390.0,39897.0,222177513.0
2021-06-08,MLBSL,5500.0,5600.0,5250.0,5299.0,7851.0,42046732.0
2021-06-09,MLBSL,5560.0,5560.0,5050.0,5232.0,5274.0,27925821.0
2021-06-10,MLBSL,5250.0,5330.0,5150.0,5188.0,5106.0,26571331.0
2021-06-13,MLBSL,5188.0,5400.0,5101.0,5102.0,4948.0,25485265.0
2021-06-14,MLBSL,5170.0,5170.0,5050.0,5050.0,5019.0,25433879.0
2021-06-15,MLBSL,5100.0,5300.0,5002.0,5030.0,4994.0,25312697.0
2021-06-16,MLBSL,5030.0,5304.0,4875.0,5035.0,7023.0,35651030.0
2021-06-17,MLBSL,5135.0,5237.0,5000.0,5004.0,3842.0,19352095.0
2021-06-20,MLBSL,5100.0,5100.0,4750.0,4840.0,7297.0,35528752.0
2021-06-21,MLBSL,4765.0,4936.0,4704.0,4730.0,4168.0,19922822.0
2021-06-22,MLBSL,4800.0,4840.0,4705.0,4800.0,3538.0,16943480.0
2021-06-23,MLBSL,4720.0,4814.0,4635.0,4670.0,2396.0,11269137.0
2021-06-24,MLBSL,4670.0,4814.0,4640.0,4670.0,2422.0,11417707.0
2021-06-27,MLBSL,4750.0,4763.0,4585.0,4660.0,1252.0,5813735.0
2021-06-28,MLBSL,4601.0,4810.0,4601.0,4800.0,3633.0,17271655.0
2021-06-29,MLBSL,5040.0,5040.0,4721.0,4730.0,2746.0,13335134.0
2021-06-30,MLBSL,4700.0,4784.0,4660.0,4770.0,1270.0,5977236.0
2021-07-01,MLBSL,4700.0,4750.0,4650.0,4699.0,1644.0,7738796.0
2021-07-04,MLBSL,4670.0,4770.0,4650.0,4650.0,1675.0,7844670.0
2021-07-05,MLBSL,4650.0,4750.0,4626.0,4700.0,2880.0,13509530.0
2021-07-06,MLBSL,4700.0,4720.0,4630.0,4700.0,2873.0,13473879.0
2021-07-07,MLBSL,4710.0,4807.0,4710.0,4780.0,2063.0,9830490.0
2021-07-08,MLBSL,4721.0,4801.0,4721.0,4800.0,2429.0,11593815.0
