business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2013-11-28,NABBC,0.0,427.0,427.0,427.0,340.0,145180.0
2013-12-26,NABBC,0.0,443.0,435.0,443.0,510.0,223890.0
2014-01-06,NABBC,0.0,435.0,435.0,435.0,219.0,95265.0
2020-12-03,NABBC,0.0,295.0,295.0,295.0,10.0,2950.0
2020-12-06,NABBC,0.0,300.0,300.0,300.0,8390.0,2517000.0
2020-12-07,NABBC,0.0,330.0,306.0,330.0,50.0,15900.0
2020-12-08,NABBC,0.0,363.0,336.0,363.0,160.0,57340.0
2020-12-09,NABBC,0.0,399.0,370.0,399.0,60.0,23190.0
2020-12-10,NABBC,0.0,438.0,400.0,438.0,250.0,101560.0
2020-12-13,NABBC,0.0,481.0,446.0,481.0,5450.0,2604600.0
2020-12-14,NABBC,0.0,529.0,490.0,529.0,670.0,353360.0
2020-12-15,NABBC,0.0,581.0,539.0,581.0,3440.0,1997570.0
2020-12-16,NABBC,0.0,639.0,592.0,639.0,7501.0,4774521.0
2020-12-17,NABBC,0.0,686.0,580.0,591.0,4695.0,2893370.0
2020-12-20,NABBC,0.0,580.0,537.0,537.0,350.0,190810.0
2020-12-21,NABBC,0.0,527.0,484.0,484.0,5170.0,2504740.0
2020-12-22,NABBC,0.0,475.0,436.0,436.0,615.0,269960.0
2020-12-23,NABBC,0.0,428.0,393.0,393.0,3463.0,1404309.0
2020-12-24,NABBC,0.0,386.0,354.0,377.0,23660.0,8539100.0
2020-12-27,NABBC,0.0,414.0,384.0,414.0,310.0,125010.0
2020-12-28,NABBC,0.0,455.0,422.0,455.0,1785.0,807660.0
2020-12-29,NABBC,0.0,500.0,464.0,500.0,9638.0,4802135.0
2020-12-30,NABBC,0.0,520.0,450.0,450.0,5984.0,2826403.0
2020-12-31,NABBC,0.0,450.0,433.0,433.0,1778.0,787035.0
2021-01-03,NABBC,0.0,450.0,390.0,441.0,20237.0,8063524.0
2021-01-04,NABBC,0.0,485.0,435.0,476.0,2945.0,1404925.0
2021-01-05,NABBC,0.0,523.0,485.0,523.0,6655.0,3479195.0
2021-01-06,NABBC,0.0,575.0,533.0,575.0,265.0,151305.0
2021-01-07,NABBC,0.0,632.0,603.0,632.0,26188.0,16549116.0
2021-01-10,NABBC,0.0,695.0,644.0,695.0,15905.0,10957256.0
2021-01-11,NABBC,0.0,764.0,708.0,764.0,10813.0,8227794.0
2021-01-12,NABBC,0.0,840.0,720.0,829.0,28984.0,22794925.0
2021-01-13,NABBC,0.0,511.0,474.0,511.0,481.0,237091.0
2021-01-17,NABBC,0.0,562.0,521.0,562.0,7180.0,4031070.0
2021-01-18,NABBC,0.0,618.0,573.0,618.0,5430.0,3342600.0
2021-01-19,NABBC,0.0,679.0,630.0,679.0,29142.0,19517920.0
2021-01-20,NABBC,0.0,746.0,692.0,746.0,10415.0,7677602.0
2021-01-21,NABBC,0.0,783.0,672.0,696.0,11045.0,7958314.0
2021-01-24,NABBC,0.0,696.0,627.0,627.0,6893.0,4347771.0
2021-01-25,NABBC,0.0,689.0,565.0,660.0,12599.0,7619442.0
2021-01-26,NABBC,0.0,687.0,637.0,648.0,4596.0,3023827.0
2021-01-27,NABBC,0.0,655.0,625.0,640.0,6994.0,4416749.0
2021-01-28,NABBC,0.0,675.0,640.0,640.0,2890.0,1870015.0
2021-01-31,NABBC,0.0,704.0,640.0,677.0,13524.0,8969897.0
2021-02-01,NABBC,0.0,690.0,663.0,677.0,3224.0,2183933.0
2021-02-02,NABBC,0.0,690.0,657.0,661.0,1716.0,1144325.0
2021-02-03,NABBC,0.0,652.0,625.0,632.0,6577.0,4215445.0
2021-02-04,NABBC,0.0,663.0,625.0,645.0,2445.0,1567545.0
2021-02-07,NABBC,0.0,645.0,625.0,627.0,4631.0,2908804.0
2021-02-08,NABBC,0.0,625.0,616.0,618.0,4392.0,2717813.0
2021-02-09,NABBC,0.0,618.0,605.0,610.0,4060.0,2470555.0
2021-02-10,NABBC,0.0,618.0,596.0,606.0,4718.0,2854542.0
2021-02-11,NABBC,0.0,605.0,593.0,599.0,3004.0,1798032.0
2021-02-14,NABBC,0.0,595.0,568.0,580.0,2775.0,1620025.0
2021-02-15,NABBC,0.0,637.0,568.0,611.0,5285.0,3159490.0
2021-02-16,NABBC,0.0,615.0,599.0,603.0,1902.0,1157813.0
2021-02-17,NABBC,0.0,616.0,590.0,602.0,2175.0,1314210.0
2021-02-18,NABBC,0.0,622.0,590.0,593.0,1759.0,1062780.0
2021-02-21,NABBC,0.0,607.0,586.0,607.0,880.0,528970.0
2021-02-22,NABBC,0.0,605.0,595.0,604.0,1719.0,1032125.0
2021-02-23,NABBC,0.0,600.0,580.0,585.0,1200.0,707105.0
2021-02-24,NABBC,0.0,610.0,592.0,599.0,1385.0,824705.0
2021-02-25,NABBC,0.0,610.0,578.0,580.0,2166.0,1273420.0
2021-02-28,NABBC,0.0,591.0,571.0,578.0,751.0,433161.0
2021-03-01,NABBC,0.0,608.0,570.0,591.0,1190.0,688904.0
2021-03-02,NABBC,0.0,583.0,562.0,575.0,1074.0,619358.0
2021-03-03,NABBC,0.0,580.0,545.0,550.0,2197.0,1207025.0
2021-03-04,NABBC,0.0,561.0,550.0,555.0,1625.0,903335.0
2021-03-07,NABBC,0.0,566.0,544.0,549.0,776.0,426786.0
2021-03-09,NABBC,0.0,540.0,520.0,531.0,1235.0,656794.0
2021-03-10,NABBC,0.0,534.0,523.0,534.0,758.0,398677.0
2021-03-14,NABBC,0.0,540.0,501.0,503.0,1946.0,996370.0
2021-03-15,NABBC,0.0,513.0,494.0,513.0,1277.0,649103.0
2021-03-16,NABBC,0.0,532.0,522.0,528.0,1311.0,686442.0
2021-03-17,NABBC,0.0,527.0,518.0,525.0,218.0,114059.0
2021-03-18,NABBC,0.0,560.0,525.0,559.0,955.0,516755.0
2021-03-21,NABBC,0.0,569.0,538.0,558.0,1958.0,1080709.0
2021-03-22,NABBC,0.0,550.0,537.0,545.0,1402.0,755701.0
2021-03-23,NABBC,0.0,571.0,535.0,540.0,1135.0,630985.0
2021-03-24,NABBC,0.0,550.0,539.0,539.0,316.0,171189.0
2021-03-25,NABBC,0.0,549.0,529.0,538.0,913.0,487237.0
2021-03-29,NABBC,0.0,541.0,522.0,532.0,495.0,262685.0
2021-03-30,NABBC,0.0,555.0,535.0,550.0,1746.0,954940.0
2021-03-31,NABBC,0.0,545.0,539.0,545.0,170.0,91930.0
2021-04-01,NABBC,0.0,555.0,537.0,550.0,2572.0,1402442.0
2021-04-04,NABBC,0.0,540.0,535.0,536.0,213.0,114293.0
2021-04-05,NABBC,0.0,561.0,528.0,545.0,1780.0,982580.0
2021-04-06,NABBC,0.0,571.0,550.0,565.0,2615.0,1469495.0
2021-04-07,NABBC,0.0,586.0,558.0,586.0,3140.0,1800451.0
2021-04-08,NABBC,0.0,611.0,575.0,595.0,2555.0,1527921.0
2021-04-12,NABBC,0.0,615.0,580.0,585.0,2144.0,1266524.0
2021-04-13,NABBC,0.0,595.0,584.0,595.0,650.0,385050.0
2021-04-15,NABBC,0.0,603.0,576.0,595.0,1330.0,781233.0
2021-04-18,NABBC,0.0,592.0,576.0,577.0,408.0,235654.0
2021-04-19,NABBC,0.0,585.0,566.0,570.0,869.0,497714.0
2021-04-20,NABBC,0.0,592.0,563.0,592.0,1640.0,945630.0
2021-04-21,NABBC,0.0,599.0,561.0,570.0,2030.0,1176988.0
2021-04-22,NABBC,0.0,592.0,560.0,574.0,1707.0,976642.0
2021-04-25,NABBC,0.0,563.0,518.0,527.0,24805.0,13098680.0
2021-04-26,NABBC,0.0,518.0,490.0,500.0,17042.0,8544770.0
2021-04-27,NABBC,0.0,526.0,490.0,513.0,11513.0,5898416.0
2021-04-28,NABBC,0.0,553.0,513.0,538.0,9228.0,4962979.0
2021-04-29,NABBC,0.0,541.0,509.0,530.0,11449.0,6046328.0
2021-05-02,NABBC,0.0,525.0,510.0,524.0,7418.0,3841239.0
2021-05-03,NABBC,0.0,560.0,516.0,525.0,4351.0,2298639.0
2021-05-04,NABBC,0.0,525.0,518.0,522.0,2480.0,1294025.0
2021-05-05,NABBC,0.0,523.0,516.0,519.0,2152.0,1118627.0
2021-05-06,NABBC,0.0,530.0,511.0,530.0,10904.0,5641245.0
2021-05-09,NABBC,0.0,529.0,512.0,516.0,5562.0,2880472.0
2021-05-10,NABBC,0.0,530.0,514.0,524.0,7017.0,3658751.0
2021-05-11,NABBC,0.0,570.0,519.0,570.0,24143.0,13275664.0
2021-05-12,NABBC,0.0,627.0,569.0,627.0,37347.0,22979583.0
2021-05-13,NABBC,0.0,689.0,610.0,649.0,20390.0,13196841.0
2021-05-16,NABBC,0.0,657.0,610.0,624.0,27665.0,17169361.0
2021-05-17,NABBC,0.0,686.0,611.0,636.0,28291.0,18183755.0
2021-05-18,NABBC,0.0,660.0,631.0,659.0,6108.0,3956486.0
2021-05-19,NABBC,0.0,660.0,624.0,630.0,5285.0,3367129.0
2021-05-20,NABBC,0.0,637.0,616.0,630.0,7236.0,4514302.0
2021-05-23,NABBC,0.0,693.0,621.0,685.0,42750.0,28585393.0
2021-05-24,NABBC,0.0,702.0,673.0,681.0,30402.0,20746494.0
2021-05-25,NABBC,0.0,740.0,681.0,725.0,30589.0,21832196.0
2021-05-27,NABBC,0.0,765.0,687.0,746.0,23630.0,17266704.0
2021-05-30,NABBC,0.0,750.0,721.0,727.0,17160.0,12634675.0
2021-05-31,NABBC,0.0,799.0,740.0,781.0,59257.0,46377589.0
2021-06-01,NABBC,0.0,830.0,781.0,811.0,32471.0,26178425.0
2021-06-02,NABBC,0.0,851.0,781.0,805.0,12941.0,10194935.0
2021-06-03,NABBC,0.0,845.0,743.0,770.0,36472.0,27908584.0
2021-06-06,NABBC,808.0,831.0,724.0,724.0,51728.0,39920013.0
