business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-03-28,NESDO,747.7,793.3,747.7,793.3,110.0,83963.0
2022-03-29,NESDO,793.3,872.6,793.3,872.6,104.0,86540.1
2022-03-30,NESDO,872.6,959.8,872.6,959.8,112.0,103808.9
2022-03-31,NESDO,959.8,1055.7,959.8,1055.7,96.0,97194.7
2022-04-03,NESDO,1047.7,1161.2,1047.7,1161.2,148.0,164928.9
2022-04-04,NESDO,1160.7,1277.3,1160.7,1277.3,146.0,180802.5
2022-04-05,NESDO,1277.3,1405.0,1277.3,1405.0,145.0,195958.5
2022-04-06,NESDO,1400.7,1545.5,1400.7,1545.5,204.0,309356.4
2022-04-07,NESDO,1545.5,1700.0,1545.5,1700.0,353.0,590484.5
2022-04-11,NESDO,1734.0,1870.0,1734.0,1870.0,471.0,876070.1
2022-04-12,NESDO,1849.7,2057.0,1849.7,2057.0,724.0,1478069.1
2022-04-13,NESDO,2023.7,2262.7,2023.7,2262.7,765.0,1722443.8
2022-04-17,NESDO,2307.9,2488.9,2307.9,2488.9,1300.0,3230351.1
2022-04-18,NESDO,2538.6,2737.7,2538.6,2737.7,1428.0,3902563.6
2022-04-19,NESDO,2792.4,3011.4,2792.4,3011.4,3871.0,11651762.4
2022-04-20,NESDO,3071.6,3312.5,2710.3,2710.3,50565.0,141900479.3
2022-04-21,NESDO,2656.1,2850.0,2452.0,2800.0,41189.0,103627029.8
2022-04-24,NESDO,2800.0,2814.0,2695.0,2720.1,18523.0,50519167.6
2022-04-25,NESDO,2700.0,2740.0,2642.0,2651.0,18085.0,48678442.6
2022-04-26,NESDO,2620.0,2719.0,2610.1,2670.1,11409.0,30555609.5
2022-04-27,NESDO,2648.0,2700.0,2648.0,2667.1,5666.0,15105065.6
2022-04-28,NESDO,2665.0,2710.0,2650.0,2655.0,10171.0,27238320.3
2022-05-02,NESDO,2630.0,2650.0,2550.0,2561.1,8862.0,22949472.6
2022-05-04,NESDO,2522.0,2572.6,2512.0,2517.0,7040.0,17832565.8
2022-05-05,NESDO,2500.0,2516.0,2480.0,2482.1,8502.0,21236983.4
2022-05-08,NESDO,2450.0,2528.0,2450.0,2528.0,7185.0,17944876.0
2022-05-09,NESDO,2528.0,2600.0,2525.0,2530.0,7140.0,18303239.5
2022-05-10,NESDO,2538.0,2649.0,2530.1,2638.0,6983.0,18052409.0
2022-05-11,NESDO,2650.0,2689.9,2587.0,2611.0,5825.0,15213855.0
2022-05-12,NESDO,2611.0,2611.0,2560.0,2575.0,8371.0,21649428.4
2022-05-17,NESDO,2599.0,2599.0,2499.0,2500.0,5327.0,13412265.0
2022-05-18,NESDO,2550.0,2601.0,2431.0,2456.0,7601.0,18709561.0
2022-05-19,NESDO,2450.0,2498.0,2425.0,2425.0,4008.0,9763185.2
2022-05-20,NESDO,2400.1,2448.0,2400.0,2406.0,3249.0,7833879.0
2022-05-23,NESDO,2383.0,2383.0,2325.0,2335.0,8576.0,20120895.0
2022-05-24,NESDO,2302.0,2370.0,2301.0,2305.0,4027.0,9353545.0
2022-05-25,NESDO,2305.0,2367.0,2305.0,2333.0,3154.0,7361920.0
2022-05-26,NESDO,2301.2,2379.0,2301.2,2360.0,2585.0,6059533.0
