business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2019-12-26,NICAD8283,0.0,1040.0,1001.0,1020.0,60085.0,60147500.0
2019-12-29,NICAD8283,0.0,1020.0,1011.0,1011.0,115.0,116850.0
2019-12-30,NICAD8283,0.0,1025.0,1005.0,1025.0,100.0,102000.0
2019-12-31,NICAD8283,0.0,1020.0,1010.0,1010.0,50.0,50750.0
2020-01-01,NICAD8283,0.0,1010.0,1010.0,1010.0,50.0,50500.0
2020-01-05,NICAD8283,0.0,1005.0,1005.0,1005.0,25.0,25125.0
2020-01-06,NICAD8283,0.0,1010.0,1010.0,1010.0,25.0,25250.0
2020-01-07,NICAD8283,0.0,1010.0,1010.0,1010.0,50.0,50500.0
2020-01-08,NICAD8283,0.0,1011.0,1011.0,1011.0,100.0,101100.0
2020-01-09,NICAD8283,0.0,1011.0,1011.0,1011.0,25.0,25275.0
2020-01-13,NICAD8283,0.0,1020.0,1011.0,1011.0,200.0,203050.0
2020-01-14,NICAD8283,0.0,1011.0,1011.0,1011.0,100.0,101100.0
2020-01-16,NICAD8283,0.0,1011.0,1011.0,1011.0,50.0,50550.0
2020-01-19,NICAD8283,0.0,1011.0,1010.0,1010.0,125.0,126300.0
2020-01-20,NICAD8283,0.0,1009.0,990.0,1009.0,50.0,49985.0
2020-01-21,NICAD8283,0.0,1029.0,1015.0,1015.0,90.0,91910.0
2020-01-22,NICAD8283,0.0,1015.0,1002.0,1002.0,100.0,100330.0
2020-01-26,NICAD8283,0.0,1003.0,1002.0,1002.0,25.0,25065.0
2020-01-27,NICAD8283,0.0,1010.0,1003.0,1005.0,1175.0,1181725.0
2020-01-28,NICAD8283,0.0,1002.0,1002.0,1002.0,25.0,25050.0
2020-02-04,NICAD8283,0.0,1004.0,1003.0,1004.0,125.0,125475.0
2020-02-05,NICAD8283,0.0,1004.0,1004.0,1004.0,25.0,25100.0
2020-02-06,NICAD8283,0.0,1004.0,1004.0,1004.0,25.0,25100.0
2020-02-11,NICAD8283,0.0,1004.0,1004.0,1004.0,125.0,125500.0
2020-02-13,NICAD8283,0.0,1003.0,1003.0,1003.0,100.0,100300.0
2020-02-18,NICAD8283,0.0,1003.0,1003.0,1003.0,100.0,100300.0
2020-02-20,NICAD8283,0.0,1003.0,1003.0,1003.0,50.0,50150.0
2020-03-01,NICAD8283,0.0,1001.0,990.0,990.0,160.0,159500.0
2020-03-03,NICAD8283,0.0,991.0,990.0,990.0,100.0,99020.0
2020-03-10,NICAD8283,0.0,990.0,990.0,990.0,25.0,24750.0
2020-03-12,NICAD8283,0.0,991.0,980.0,980.0,125.0,123625.0
2020-07-07,NICAD8283,0.0,991.0,990.0,991.0,50.0,49525.0
2020-07-12,NICAD8283,0.0,1030.0,1010.0,1030.0,75.0,76250.0
2020-07-13,NICAD8283,0.0,1070.0,1050.0,1070.0,225.0,238250.0
2020-07-14,NICAD8283,0.0,1070.0,1070.0,1070.0,50.0,53500.0
2020-07-15,NICAD8283,0.0,1050.0,1050.0,1050.0,40.0,42000.0
2020-07-16,NICAD8283,0.0,1050.0,1050.0,1050.0,100.0,105000.0
2020-07-20,NICAD8283,0.0,1055.0,1050.0,1050.0,50.0,52625.0
