business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-02-23,NIMB,232.2,232.2,213.2,216.0,276758.0,60028868.9
2023-02-26,NIMB,212.0,212.0,204.0,207.5,129624.0,26760453.2
2023-02-27,NIMB,207.0,210.6,203.1,206.0,88701.0,18158254.8
2023-02-28,NIMB,206.0,207.0,203.2,203.7,62491.0,12738254.9
2023-03-01,NIMB,205.0,205.9,203.7,204.0,41099.0,8392332.1
2023-03-02,NIMB,207.8,207.8,200.0,200.5,57048.0,11525044.8
2023-03-05,NIMB,202.0,202.0,197.1,197.5,78195.0,15576014.8
2023-03-07,NIMB,196.1,199.8,196.1,197.0,40001.0,7914615.1
2023-03-09,NIMB,199.5,202.9,199.2,201.2,67668.0,13592062.7
2023-03-12,NIMB,204.0,204.0,196.0,198.2,58923.0,11691012.5
2023-03-13,NIMB,196.1,198.5,195.1,197.0,45952.0,9015160.3
2023-03-14,NIMB,200.9,200.9,195.0,195.0,57432.0,11243144.4
2023-03-15,NIMB,197.0,197.0,192.6,193.2,58388.0,11302234.2
2023-03-16,NIMB,192.0,193.0,190.6,192.0,55926.0,10731353.6
2023-03-19,NIMB,192.1,193.0,189.7,190.9,72137.0,13758464.9
2023-03-20,NIMB,192.0,194.0,190.2,191.4,41833.0,8025938.1
2023-03-22,NIMB,194.5,194.5,190.0,191.5,51533.0,9849554.6
2023-03-23,NIMB,191.0,193.8,188.5,192.0,55968.0,10691172.4
2023-03-26,NIMB,193.0,193.0,186.2,187.9,85585.0,16079760.1
2023-03-27,NIMB,189.0,190.7,184.3,188.3,62229.0,11668533.2
2023-03-28,NIMB,191.0,193.0,187.2,191.0,39108.0,7467494.6
2023-03-29,NIMB,190.0,191.9,186.0,191.4,74551.0,14042749.0
2023-03-30,NIMB,189.0,191.0,187.3,187.5,74624.0,14052794.5
2023-04-02,NIMB,187.5,191.2,183.0,184.9,74001.0,13755187.8
2023-04-03,NIMB,184.0,186.0,182.0,184.0,98341.0,17978397.3
2023-04-04,NIMB,181.5,184.8,179.1,181.1,78330.0,14186265.8
2023-04-05,NIMB,181.0,184.0,180.5,183.3,38531.0,7021362.9
2023-04-06,NIMB,183.9,185.0,181.0,182.8,82265.0,14949710.1
2023-04-09,NIMB,181.0,182.0,179.0,181.0,100811.0,18186103.9
2023-04-10,NIMB,180.1,182.7,179.3,180.5,61761.0,11161240.5
2023-04-11,NIMB,177.0,187.2,177.0,183.5,83463.0,15162176.4
2023-04-12,NIMB,186.0,193.2,184.6,192.9,112996.0,21507712.7
2023-04-13,NIMB,196.0,196.0,187.0,191.0,95095.0,18150614.9
2023-04-16,NIMB,193.0,193.0,186.2,186.5,66764.0,12560642.0
2023-04-17,NIMB,185.0,190.0,184.6,185.0,42409.0,7876751.6
2023-04-18,NIMB,188.0,188.7,182.5,185.0,46710.0,8588419.0
2023-04-20,NIMB,184.1,186.0,181.5,184.0,48699.0,8956758.7
2023-04-23,NIMB,187.6,187.6,180.1,181.0,80139.0,14531664.0
2023-04-24,NIMB,181.9,183.0,180.0,182.5,48384.0,8795838.4
2023-04-25,NIMB,180.2,184.7,180.2,183.8,37663.0,6887161.9
2023-04-26,NIMB,185.0,186.0,182.4,184.0,89370.0,16454727.7
2023-04-27,NIMB,187.0,187.0,182.1,183.5,34985.0,6435512.5
2023-04-30,NIMB,183.0,185.0,182.0,182.9,195178.0,35709381.6
2023-05-02,NIMB,184.0,184.0,181.0,182.0,56145.0,10189882.3
2023-05-03,NIMB,180.0,184.0,180.0,181.9,55649.0,10118270.0
2023-05-04,NIMB,182.0,182.5,180.1,181.6,74454.0,13487716.3
2023-05-07,NIMB,181.6,185.0,180.0,180.5,75910.0,13734765.4
2023-05-08,NIMB,180.0,183.0,179.5,179.6,78252.0,14067679.3
2023-05-09,NIMB,182.0,182.5,179.2,179.2,34106.0,6143627.8
2023-05-10,NIMB,180.1,182.9,180.0,180.3,21675.0,3915797.1
2023-05-11,NIMB,176.7,183.0,176.7,180.0,66954.0,12014141.0
2023-05-14,NIMB,182.0,182.6,178.4,179.2,56296.0,10089630.8
2023-05-15,NIMB,179.0,180.7,178.0,178.3,76315.0,13626259.9
2023-05-16,NIMB,180.0,180.0,178.2,179.5,31210.0,5598226.5
2023-05-17,NIMB,179.0,183.0,179.0,180.0,53613.0,9672253.7
2023-05-18,NIMB,180.5,184.0,180.0,182.0,66878.0,12211319.0
2023-05-21,NIMB,185.0,186.0,182.0,183.8,52616.0,9670782.1
2023-05-22,NIMB,182.3,183.6,180.5,181.1,44432.0,8084819.4
2023-05-23,NIMB,183.0,184.8,180.0,184.7,71436.0,13101408.8
2023-05-24,NIMB,182.5,185.0,182.0,184.5,49980.0,9194780.5
2023-05-28,NIMB,185.0,187.0,183.2,183.6,68960.0,12747372.0
2023-05-30,NIMB,183.0,183.0,179.0,179.1,75743.0,13641886.2
2023-05-31,NIMB,179.0,179.9,177.0,177.0,79091.0,14090893.1
2023-06-01,NIMB,180.0,180.1,175.5,177.0,60499.0,10738144.8
2023-06-04,NIMB,175.8,182.8,175.8,178.3,46873.0,8382248.8
2023-06-05,NIMB,181.7,181.7,176.6,176.6,64655.0,11524156.7
2023-06-06,NIMB,176.0,178.0,176.0,177.0,49549.0,8766454.9
2023-06-07,NIMB,177.0,179.9,176.0,176.1,56148.0,9942351.5
2023-06-08,NIMB,179.3,179.3,176.0,176.1,77732.0,13692570.4
2023-06-11,NIMB,176.0,179.0,176.0,176.2,56136.0,9929943.3
2023-06-12,NIMB,176.6,179.5,176.6,178.0,50104.0,8924345.3
2023-06-13,NIMB,181.5,181.5,176.5,179.5,99102.0,17766754.4
2023-06-14,NIMB,179.5,188.0,178.0,180.7,140526.0,25678144.2
2023-06-15,NIMB,179.0,184.3,179.0,182.5,63982.0,11656067.9
2023-06-18,NIMB,181.0,184.0,181.0,183.0,147609.0,26821978.5
2023-06-19,NIMB,185.0,185.0,180.5,180.5,136527.0,24805024.6
2023-06-20,NIMB,182.0,184.1,180.0,180.1,98416.0,17909409.1
2023-06-21,NIMB,183.5,183.5,178.1,178.6,175342.0,31510854.1
2023-06-22,NIMB,182.0,182.0,176.9,176.9,135570.0,24122336.9
2023-06-25,NIMB,177.1,179.0,175.0,178.0,287841.0,50886120.8
2023-06-26,NIMB,181.2,181.5,175.0,175.5,233021.0,41172892.0
2023-06-27,NIMB,177.6,187.6,176.0,187.6,255718.0,46596952.3
2023-06-28,NIMB,188.0,192.0,185.2,186.9,224285.0,42485745.3
2023-07-02,NIMB,190.0,190.0,178.0,178.1,213671.0,38523492.1
2023-07-03,NIMB,174.6,180.0,174.6,176.0,107565.0,19087700.9
2023-07-04,NIMB,172.5,182.0,172.5,175.8,102970.0,18077155.8
2023-07-05,NIMB,175.8,177.0,173.5,173.9,213753.0,37348698.1
2023-07-06,NIMB,176.9,176.9,173.1,173.5,111479.0,19386474.1
2023-07-09,NIMB,170.1,176.0,170.1,173.9,134111.0,23337762.0
2023-07-10,NIMB,175.0,176.3,171.0,171.8,129842.0,22503647.0
2023-07-11,NIMB,171.1,176.0,171.0,174.9,65177.0,11258134.6
2023-07-12,NIMB,176.0,176.0,172.6,173.8,112977.0,19669285.9
2023-07-13,NIMB,170.4,178.0,170.4,174.9,155129.0,27053841.9
2023-07-16,NIMB,175.0,177.7,172.5,173.8,139250.0,24162488.2
2023-07-17,NIMB,174.0,185.9,174.0,184.0,146645.0,26464862.7
2023-07-18,NIMB,184.0,188.0,184.0,184.9,146120.0,27147931.6
2023-07-19,NIMB,185.0,195.4,183.5,194.6,269300.0,51364645.1
2023-07-20,NIMB,198.0,199.9,195.0,198.0,228004.0,45023951.1
2023-07-23,NIMB,200.9,215.0,196.1,214.9,368391.0,76259190.0
2023-07-24,NIMB,212.0,217.0,204.0,205.0,481052.0,101390634.6
2023-07-25,NIMB,205.0,207.9,196.9,198.6,223765.0,44725694.1
2023-07-26,NIMB,201.0,202.0,195.2,196.7,122004.0,24270307.7
2023-07-27,NIMB,199.9,199.9,193.5,193.6,137172.0,26878602.4
2023-07-30,NIMB,195.0,199.0,191.0,192.0,92276.0,17837540.2
2023-07-31,NIMB,193.0,195.7,192.0,193.2,73204.0,14186897.2
2023-08-01,NIMB,193.0,196.9,190.0,190.9,87329.0,16779513.7
2023-08-02,NIMB,192.5,192.8,189.0,192.0,64014.0,12218071.4
2023-08-03,NIMB,193.0,195.5,191.0,191.9,72295.0,13921422.0
2023-08-06,NIMB,193.0,195.0,182.0,182.0,272145.0,50298742.7
2023-08-07,NIMB,181.9,181.9,174.0,176.0,166972.0,29482230.0
2023-08-08,NIMB,178.0,178.0,174.3,177.0,117105.0,20589466.0
2023-08-09,NIMB,177.0,180.0,175.1,179.9,64990.0,11540186.1
2023-08-10,NIMB,176.4,181.7,176.4,179.0,76113.0,13708379.2
2023-08-13,NIMB,179.0,181.5,177.1,180.4,93105.0,16736548.5
2023-08-14,NIMB,181.5,183.5,180.0,182.5,85893.0,15679903.6
2023-08-15,NIMB,184.0,184.0,179.5,179.6,74499.0,13446880.6
2023-08-16,NIMB,177.5,180.0,177.3,177.4,85966.0,15355798.6
2023-08-17,NIMB,180.0,180.9,178.3,179.9,61578.0,11071798.4
2023-08-20,NIMB,179.9,183.9,179.0,180.7,63348.0,11497011.6
