business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-12,NLICL,0.0,373.0,353.0,373.0,130.0,47490.0
2012-01-16,NLICL,0.0,380.0,380.0,380.0,20.0,7600.0
2012-02-02,NLICL,0.0,373.0,373.0,373.0,50.0,18650.0
2012-02-06,NLICL,0.0,366.0,336.0,336.0,444.0,152719.0
2012-02-07,NLICL,0.0,330.0,324.0,330.0,412.0,135360.0
2012-02-12,NLICL,0.0,330.0,325.0,325.0,198.0,65010.0
2012-02-14,NLICL,0.0,325.0,325.0,325.0,66.0,21450.0
2012-02-15,NLICL,0.0,330.0,330.0,330.0,571.0,188430.0
2012-02-16,NLICL,0.0,330.0,327.0,330.0,298.0,98142.0
2012-02-21,NLICL,0.0,330.0,330.0,330.0,269.0,88770.0
2012-02-26,NLICL,0.0,345.0,336.0,345.0,1261.0,433836.0
2012-02-27,NLICL,0.0,340.0,340.0,340.0,100.0,34000.0
2012-02-28,NLICL,0.0,340.0,334.0,334.0,139.0,46732.0
2012-02-29,NLICL,0.0,340.0,340.0,340.0,80.0,27200.0
2012-03-01,NLICL,0.0,345.0,345.0,345.0,50.0,17250.0
2012-03-05,NLICL,0.0,339.0,334.0,334.0,676.0,226284.0
2012-03-06,NLICL,0.0,334.0,330.0,330.0,1274.0,421090.0
2012-03-11,NLICL,0.0,330.0,330.0,330.0,620.0,204600.0
2012-03-12,NLICL,0.0,330.0,330.0,330.0,200.0,66000.0
2012-03-13,NLICL,0.0,330.0,330.0,330.0,1393.0,459690.0
2012-03-18,NLICL,330.0,332.0,318.0,318.0,665.0,218230.0
2012-03-19,NLICL,0.0,324.0,320.0,320.0,590.0,189364.0
2012-03-25,NLICL,0.0,314.0,314.0,314.0,176.0,55264.0
2012-03-27,NLICL,0.0,326.0,320.0,326.0,196.0,63836.0
2012-03-28,NLICL,0.0,330.0,330.0,330.0,1083.0,357390.0
2012-04-03,NLICL,0.0,330.0,330.0,330.0,185.0,61050.0
2012-04-04,NLICL,0.0,334.0,330.0,330.0,982.0,326060.0
2012-04-08,NLICL,0.0,324.0,324.0,324.0,54.0,17496.0
2012-04-11,NLICL,0.0,330.0,330.0,330.0,50.0,16500.0
2012-04-12,NLICL,0.0,335.0,335.0,335.0,50.0,16750.0
2012-04-18,NLICL,0.0,353.0,341.0,353.0,1545.0,533025.0
2012-04-19,NLICL,0.0,367.0,351.0,351.0,294.0,104738.0
2012-04-22,NLICL,0.0,358.0,358.0,358.0,117.0,41886.0
2012-04-24,NLICL,0.0,381.0,365.0,381.0,1707.0,637545.0
2012-04-26,NLICL,0.0,388.0,388.0,388.0,20.0,7760.0
2012-04-29,NLICL,0.0,395.0,395.0,395.0,22.0,8690.0
2012-04-30,NLICL,0.0,410.0,402.0,410.0,233.0,95266.0
2012-05-03,NLICL,0.0,438.0,430.0,438.0,22.0,9556.0
2012-05-07,NLICL,0.0,438.0,438.0,438.0,50000.0,21900000.0
2012-05-13,NLICL,0.0,463.0,446.0,463.0,300.0,136300.0
2012-05-15,NLICL,0.0,481.0,472.0,481.0,200.0,95300.0
2012-05-16,NLICL,0.0,499.0,490.0,499.0,119.0,59210.0
2012-05-17,NLICL,0.0,528.0,508.0,528.0,433.0,223294.0
2012-05-20,NLICL,0.0,558.0,537.0,537.0,625.0,339985.0
2012-05-21,NLICL,0.0,546.0,546.0,546.0,58.0,31668.0
