business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2017-01-24,NMBHF1,0.0,10.81,10.0,10.81,31623.0,327072.09
2017-01-25,NMBHF1,0.0,10.8,10.45,10.45,9825.0,103834.76
2017-01-26,NMBHF1,0.0,10.35,10.25,10.35,13729.0,140957.77
2017-01-30,NMBHF1,0.0,10.15,9.96,10.0,21978.0,220357.92
2017-01-31,NMBHF1,0.0,10.3,10.2,10.3,9983.0,102658.8
2017-02-01,NMBHF1,0.0,10.45,10.2,10.35,27924.0,289143.65
2017-02-02,NMBHF1,0.0,10.3,10.15,10.15,26449.0,270076.4
2017-02-05,NMBHF1,0.0,10.15,10.05,10.15,41610.0,421301.25
2017-02-06,NMBHF1,0.0,10.41,10.2,10.3,28294.0,290483.45
2017-02-07,NMBHF1,0.0,10.32,10.1,10.32,6599.0,67338.04
2017-02-08,NMBHF1,0.0,10.2,10.01,10.01,39322.0,397593.81
2017-02-09,NMBHF1,0.0,10.01,10.0,10.0,6310.0,63110.0
2017-02-12,NMBHF1,0.0,10.0,10.0,10.0,34127.0,341270.0
2017-02-13,NMBHF1,0.0,10.0,9.8,10.0,28644.0,285752.75
2017-02-14,NMBHF1,0.0,10.0,10.0,10.0,29127.0,291270.0
2017-02-15,NMBHF1,0.0,10.12,10.01,10.12,57073.0,577000.41
2017-02-16,NMBHF1,0.0,10.12,10.05,10.05,42631.0,430242.84
2017-02-19,NMBHF1,0.0,10.1,10.0,10.1,103905.0,1048753.65
2017-02-20,NMBHF1,0.0,10.11,10.06,10.06,114161.0,1153959.66
2017-02-21,NMBHF1,0.0,10.01,10.01,10.01,1664.0,16656.64
2017-02-22,NMBHF1,0.0,10.01,10.01,10.01,14979.0,149939.79
2017-02-23,NMBHF1,0.0,10.05,9.81,9.84,30373.0,303010.27
2017-02-26,NMBHF1,0.0,9.84,9.65,9.84,1582.0,15424.38
2017-02-28,NMBHF1,0.0,9.71,9.7,9.7,4161.0,40396.7
2017-03-01,NMBHF1,0.0,9.88,9.88,9.88,4161.0,41110.68
2017-03-02,NMBHF1,0.0,10.08,10.01,10.08,15607.0,156766.96
2017-03-05,NMBHF1,0.0,10.1,9.92,9.92,3696.0,36880.32
2017-03-06,NMBHF1,0.0,10.05,10.0,10.05,10450.0,104624.8
2017-03-07,NMBHF1,0.0,10.05,10.0,10.05,4576.0,45884.8
2017-03-09,NMBHF1,0.0,10.1,10.0,10.1,26300.0,263133.2
2017-03-14,NMBHF1,0.0,10.3,10.1,10.1,7073.0,71782.58
2017-03-15,NMBHF1,0.0,10.2,10.0,10.2,17059.0,171559.48
2017-03-16,NMBHF1,0.0,10.2,10.2,10.2,4161.0,42442.2
2017-03-19,NMBHF1,0.0,10.05,10.0,10.05,4993.0,49971.6
2017-03-20,NMBHF1,0.0,10.25,10.1,10.25,7576.0,76704.8
2017-03-21,NMBHF1,0.0,10.2,10.2,10.2,1664.0,16972.8
2017-03-22,NMBHF1,0.0,10.3,10.2,10.3,16352.0,167593.4
2017-03-23,NMBHF1,0.0,10.25,10.25,10.25,832.0,8528.0
2017-03-26,NMBHF1,0.0,10.3,10.23,10.3,26214.0,268901.55
2017-03-28,NMBHF1,0.0,10.51,10.31,10.31,21501.0,224536.22
2017-03-29,NMBHF1,0.0,10.3,9.9,10.12,25934.0,264577.33
2017-03-30,NMBHF1,0.0,10.1,10.04,10.1,14313.0,144188.69
2017-04-02,NMBHF1,0.0,10.3,10.1,10.2,13733.0,139743.8
2017-04-03,NMBHF1,0.0,10.3,10.1,10.24,15769.0,160731.84
2017-04-04,NMBHF1,0.0,10.2,9.8,10.2,15978.0,159929.96
2017-04-06,NMBHF1,0.0,10.28,10.15,10.25,130965.0,1340859.22
2017-04-09,NMBHF1,0.0,10.25,10.04,10.04,13712.0,138692.08
2017-04-10,NMBHF1,0.0,10.2,10.05,10.1,186850.0,1893708.32
2017-04-11,NMBHF1,0.0,10.15,10.0,10.0,72222.0,725099.9
2017-04-12,NMBHF1,0.0,10.2,10.08,10.12,222069.0,2253162.92
2017-04-13,NMBHF1,0.0,10.3,10.12,10.12,5658.0,57630.16
2017-04-16,NMBHF1,0.0,10.32,10.3,10.32,9122.0,94123.04
2017-04-18,NMBHF1,0.0,10.11,10.11,10.11,832.0,8411.52
2017-04-19,NMBHF1,0.0,10.21,10.01,10.21,5408.0,54508.48
2017-04-20,NMBHF1,0.0,10.25,10.03,10.03,11712.0,117883.11
2017-04-23,NMBHF1,0.0,10.14,10.1,10.11,7071.0,71522.26
2017-04-24,NMBHF1,0.0,10.2,9.9,10.0,16725.0,168702.15
2017-04-25,NMBHF1,0.0,10.2,10.0,10.0,4368.0,44027.36
2017-04-27,NMBHF1,0.0,10.18,10.0,10.1,15433.0,156164.58
2017-04-30,NMBHF1,0.0,10.1,9.95,10.0,19954.0,199976.9
2017-05-02,NMBHF1,0.0,10.15,10.0,10.15,2496.0,25272.0
2017-05-03,NMBHF1,0.0,10.19,10.0,10.19,16482.0,167296.46
2017-05-04,NMBHF1,0.0,10.09,10.01,10.02,32989.0,331309.95
2017-05-07,NMBHF1,0.0,10.0,10.0,10.0,3329.0,33290.0
2017-05-08,NMBHF1,0.0,10.1,9.91,10.1,4524.0,45244.08
2017-05-09,NMBHF1,0.0,10.1,10.0,10.1,15859.0,159574.75
2017-05-11,NMBHF1,0.0,10.05,10.01,10.05,23194.0,232735.3
2017-05-15,NMBHF1,0.0,10.1,10.04,10.04,16825.0,169733.72
2017-05-16,NMBHF1,0.0,10.1,10.0,10.1,22622.0,226842.75
2017-05-17,NMBHF1,0.0,10.01,10.0,10.0,2414.0,24162.47
2017-05-18,NMBHF1,0.0,10.03,10.0,10.0,8321.0,83359.79
2017-05-21,NMBHF1,0.0,10.05,10.0,10.0,54507.0,546339.92
2017-05-22,NMBHF1,0.0,10.01,10.0,10.0,8488.0,84955.73
2017-05-23,NMBHF1,0.0,10.0,10.0,10.0,10568.0,105680.0
2017-05-24,NMBHF1,0.0,10.1,9.99,10.0,20972.0,210118.62
2017-05-28,NMBHF1,0.0,10.1,9.85,10.05,54881.0,550721.54
2017-05-30,NMBHF1,0.0,10.2,10.0,10.0,46179.0,466138.43
2017-05-31,NMBHF1,0.0,10.05,9.9,9.9,24551.0,245656.0
2017-06-01,NMBHF1,0.0,10.0,9.98,10.0,5577.0,55738.46
2017-06-04,NMBHF1,0.0,10.0,10.0,10.0,2080.0,20800.0
2017-06-05,NMBHF1,0.0,10.01,10.0,10.0,51308.0,513148.25
2017-06-06,NMBHF1,0.0,10.05,10.0,10.05,18321.0,183501.25
2017-06-07,NMBHF1,0.0,10.05,10.0,10.0,24966.0,250334.09
2017-06-08,NMBHF1,0.0,10.0,9.93,10.0,14301.0,142183.62
2017-06-11,NMBHF1,0.0,10.0,9.95,9.95,22274.0,222615.2
2017-06-13,NMBHF1,0.0,10.0,9.95,9.95,5245.0,52262.75
2017-06-14,NMBHF1,0.0,9.98,9.9,9.9,10402.0,103146.2
2017-06-15,NMBHF1,0.0,10.0,9.9,10.0,20047.0,199570.08
2017-06-18,NMBHF1,0.0,9.8,9.8,9.8,1248.0,12230.4
