business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-08-06,NRM,250.4,275.4,250.4,275.4,62033.0,17074308.2
2023-08-07,NRM,280.8,302.9,275.0,302.9,277924.0,82519074.3
2023-08-08,NRM,308.9,333.1,308.9,333.1,61197.0,20236379.8
2023-08-09,NRM,339.7,354.7,299.8,306.7,241388.0,75599039.4
2023-08-10,NRM,307.0,310.0,295.0,297.0,133080.0,39789597.7
2023-08-13,NRM,297.0,299.0,278.6,282.0,108982.0,31093494.2
2023-08-14,NRM,276.5,305.0,276.5,296.0,82580.0,24363370.6
2023-08-15,NRM,291.0,293.0,284.0,285.0,42304.0,12174426.2
2023-08-16,NRM,280.0,285.0,277.0,278.0,45046.0,12640691.2
2023-08-17,NRM,278.0,285.6,275.0,278.0,46745.0,13090193.0
2023-08-20,NRM,273.0,278.0,267.5,267.5,40091.0,10909831.2
2023-08-21,NRM,265.0,279.7,261.0,264.8,33941.0,8983001.2
2023-08-22,NRM,261.0,270.0,261.0,267.5,37619.0,10013261.7
2023-08-23,NRM,269.7,275.0,264.5,272.8,35734.0,9662487.0
2023-08-24,NRM,270.0,274.0,259.7,263.0,57178.0,15060025.9
2023-08-27,NRM,263.0,263.0,250.5,255.0,42073.0,10695757.0
2023-08-28,NRM,260.0,265.0,249.6,251.1,36339.0,9207719.6
2023-08-29,NRM,251.0,255.0,248.8,251.5,22328.0,5610285.1
2023-08-30,NRM,251.5,252.0,245.0,245.0,28958.0,7173079.5
2023-09-03,NRM,241.0,243.0,233.7,234.0,37133.0,8862265.0
2023-09-04,NRM,230.2,244.0,227.4,237.0,40748.0,9445333.2
2023-09-05,NRM,237.0,241.5,230.7,233.0,12465.0,2900259.0
2023-09-07,NRM,237.0,237.6,225.2,230.0,22644.0,5170264.5
2023-09-10,NRM,226.1,234.0,225.3,229.5,24418.0,5593460.1
2023-09-11,NRM,227.0,243.0,227.0,241.0,27163.0,6444611.8
2023-09-12,NRM,238.0,245.0,230.7,234.9,27030.0,6364894.7
2023-09-13,NRM,238.0,244.0,231.6,240.2,26892.0,6421637.7
2023-09-17,NRM,236.2,237.0,230.6,233.0,20730.0,4843643.2
2023-09-18,NRM,228.4,244.0,228.4,234.2,11910.0,2767857.0
2023-09-19,NRM,231.0,239.8,231.0,237.4,14010.0,3294662.0
2023-09-21,NRM,242.0,255.0,240.0,249.0,83534.0,20851090.6
2023-09-24,NRM,244.5,261.5,244.2,255.0,68730.0,17596420.6
2023-09-25,NRM,252.2,257.0,248.3,248.3,30714.0,7753728.5
2023-09-26,NRM,248.0,263.4,245.0,260.0,49356.0,12750693.5
2023-09-27,NRM,255.0,265.0,250.0,255.0,38479.0,9826876.3
2023-10-01,NRM,255.0,259.6,240.2,241.3,41491.0,10146186.6
2023-10-02,NRM,237.0,249.9,237.0,244.0,33090.0,8062054.4
2023-10-03,NRM,243.0,253.0,239.1,241.2,23623.0,5754463.5
2023-10-04,NRM,238.2,250.0,238.2,247.6,22629.0,5555144.5
2023-10-05,NRM,243.0,255.0,242.1,244.0,21280.0,5242095.7
2023-10-08,NRM,246.0,246.0,237.5,237.6,24315.0,5829161.3
2023-10-09,NRM,237.6,239.0,231.2,238.9,12860.0,3018953.5
2023-10-10,NRM,239.0,243.6,231.1,233.0,14314.0,3338422.9
2023-10-11,NRM,233.0,240.0,230.0,239.7,10854.0,2549859.0
2023-10-12,NRM,239.0,244.0,231.2,234.4,19408.0,4520899.5
2023-10-16,NRM,230.0,233.0,227.9,231.7,17387.0,4011766.3
2023-10-17,NRM,228.1,241.0,226.1,229.0,24101.0,5559848.0
2023-10-18,NRM,233.5,236.0,225.2,232.0,9641.0,2243589.1
2023-10-19,NRM,228.4,236.3,228.4,229.3,15248.0,3535326.5
2023-10-29,NRM,225.0,235.0,225.0,226.2,10395.0,2349719.6
2023-10-30,NRM,221.7,230.0,218.0,226.0,8292.0,1849688.5
2023-10-31,NRM,224.0,224.1,219.7,222.0,14956.0,3301509.1
2023-11-01,NRM,222.0,226.0,218.0,221.0,10592.0,2329010.5
2023-11-02,NRM,219.0,220.0,214.0,215.0,17139.0,3704642.3
2023-11-05,NRM,211.0,213.0,206.1,207.0,19592.0,4088230.5
2023-11-06,NRM,210.0,223.3,205.9,219.0,19075.0,4118653.8
2023-11-07,NRM,223.3,229.3,216.6,220.0,16397.0,3645332.2
2023-11-08,NRM,220.0,225.9,213.3,218.2,17303.0,3804189.2
2023-11-09,NRM,215.1,226.0,210.5,213.0,11334.0,2441986.6
2023-11-20,NRM,213.0,222.5,213.0,222.5,17283.0,3754644.1
2023-11-21,NRM,218.2,223.3,214.0,215.0,6626.0,1432337.0
2023-11-22,NRM,211.0,222.0,211.0,222.0,15417.0,3362748.1
2023-11-23,NRM,217.6,236.0,215.2,228.5,33054.0,7506603.8
2023-11-26,NRM,233.0,241.0,224.1,241.0,39600.0,9367999.6
2023-11-27,NRM,236.2,240.0,230.1,232.6,32838.0,7686731.7
2023-11-28,NRM,228.7,250.0,228.7,241.5,59564.0,14361638.9
2023-11-29,NRM,241.5,249.9,233.0,238.0,43074.0,10485496.0
2023-11-30,NRM,235.0,236.0,226.0,230.0,36462.0,8416399.6
2023-12-03,NRM,226.1,238.0,223.5,231.0,17222.0,3923609.5
2023-12-04,NRM,226.5,237.0,226.5,233.9,23013.0,5372706.5
2023-12-05,NRM,230.1,240.7,229.1,230.5,25500.0,5917706.6
2023-12-06,NRM,226.0,239.0,226.0,233.9,16925.0,3911172.5
2023-12-07,NRM,230.1,245.0,230.1,241.0,44562.0,10657955.5
2023-12-10,NRM,245.8,258.0,245.8,258.0,10330.0,2623906.0
2023-12-11,NRM,260.0,266.0,241.3,261.0,118987.0,30378425.5
2023-12-12,NRM,255.8,287.1,253.0,287.1,191354.0,53078258.0
2023-12-13,NRM,287.0,303.0,284.1,287.0,110361.0,32437553.0
2023-12-14,NRM,290.0,315.7,282.1,315.7,205677.0,63286035.2
2023-12-17,NRM,315.0,347.2,304.0,340.0,209713.0,70532526.5
2023-12-18,NRM,346.0,363.0,328.0,351.0,197331.0,67776660.3
2023-12-19,NRM,355.0,386.1,350.0,386.1,146602.0,55912559.2
2023-12-20,NRM,393.8,424.7,390.0,424.7,132988.0,56083791.8
2023-12-21,NRM,433.1,467.1,418.0,467.1,264077.0,119390182.1
2023-12-24,NRM,467.1,492.5,420.4,420.4,274134.0,123243180.6
2023-12-27,NRM,420.4,430.0,378.4,389.1,319664.0,127454449.7
2023-12-28,NRM,396.8,428.0,385.1,423.2,166790.0,68853117.0
2024-01-01,NRM,431.6,435.0,400.0,409.0,175079.0,73121030.4
2024-01-02,NRM,408.0,413.0,395.1,404.0,108264.0,43621066.8
2024-01-03,NRM,410.0,438.9,401.1,437.5,164454.0,68994300.4
2024-01-04,NRM,437.5,458.0,427.3,443.8,264692.0,117675490.1
2024-01-07,NRM,443.8,443.8,413.0,415.8,147754.0,62994059.0
2024-01-08,NRM,424.1,430.0,407.5,417.0,124654.0,52414002.9
2024-01-09,NRM,425.3,430.0,402.1,404.3,166783.0,69203522.6
2024-01-10,NRM,412.0,417.0,405.2,408.0,84959.0,34887961.1
2024-01-11,NRM,401.0,416.1,401.0,402.9,75932.0,30884751.1
2024-01-14,NRM,410.0,424.0,405.2,406.1,112717.0,46682697.1
2024-01-16,NRM,412.5,438.0,410.5,429.9,177089.0,75386785.6
2024-01-17,NRM,429.9,459.0,416.0,419.9,210835.0,92171205.7
2024-01-18,NRM,420.0,436.8,412.0,419.0,124520.0,52782967.8
2024-01-21,NRM,419.1,433.5,409.0,410.5,73296.0,30732456.8
2024-01-22,NRM,407.0,419.9,398.0,399.5,89910.0,36463792.0
2024-01-23,NRM,396.5,409.0,396.5,404.0,79647.0,32069976.1
2024-01-24,NRM,412.0,413.0,396.9,397.5,53664.0,21614705.5
2024-01-25,NRM,400.0,405.0,388.5,393.0,52688.0,20765911.1
2024-01-28,NRM,388.0,410.9,388.0,396.0,40500.0,16055989.4
