business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2014-03-17,NSLB,0.0,352.0,352.0,352.0,20.0,7040.0
2014-03-18,NSLB,0.0,366.0,359.0,366.0,20.0,7250.0
2014-03-20,NSLB,0.0,366.0,366.0,366.0,10.0,3660.0
2014-03-23,NSLB,0.0,402.0,373.0,402.0,60.0,23370.0
2014-03-24,NSLB,0.0,426.0,410.0,426.0,52.0,21736.0
2014-03-25,NSLB,0.0,468.0,434.0,468.0,84.0,37558.0
2014-03-26,NSLB,0.0,477.0,477.0,477.0,10.0,4770.0
2014-03-27,NSLB,0.0,495.0,486.0,495.0,20.0,9810.0
2014-04-02,NSLB,0.0,534.0,504.0,534.0,40.0,20760.0
2014-04-06,NSLB,0.0,587.0,544.0,587.0,297.0,168998.0
2014-04-07,NSLB,0.0,587.0,587.0,587.0,30.0,17610.0
2014-04-09,NSLB,0.0,598.0,598.0,598.0,10.0,5980.0
2014-04-10,NSLB,0.0,598.0,598.0,598.0,20.0,11960.0
2014-04-13,NSLB,0.0,598.0,598.0,598.0,10.0,5980.0
2014-04-15,NSLB,0.0,633.0,609.0,633.0,30.0,18630.0
2014-04-16,NSLB,0.0,696.0,645.0,696.0,415.0,278391.0
2014-04-17,NSLB,0.0,765.0,709.0,765.0,231.0,174755.0
2014-04-20,NSLB,0.0,841.0,780.0,841.0,560.0,469280.0
2014-04-21,NSLB,0.0,908.0,779.0,891.0,4173.0,3397960.0
2014-04-22,NSLB,0.0,900.0,835.0,870.0,1792.0,1570982.0
2014-04-23,NSLB,0.0,887.0,840.0,880.0,2109.0,1794245.0
2014-04-27,NSLB,0.0,877.0,846.0,848.0,479.0,413497.0
2014-04-28,NSLB,0.0,850.0,840.0,840.0,636.0,535940.0
2014-04-29,NSLB,0.0,870.0,831.0,845.0,340.0,289253.0
2014-04-30,NSLB,0.0,869.0,840.0,840.0,732.0,623495.0
2014-05-04,NSLB,0.0,870.0,832.0,870.0,1114.0,952565.0
2014-05-05,NSLB,0.0,904.0,880.0,880.0,560.0,499320.0
2014-05-06,NSLB,0.0,950.0,897.0,915.0,1550.0,1453448.0
2014-05-07,NSLB,0.0,966.0,922.0,966.0,1541.0,1443225.0
2014-05-08,NSLB,0.0,985.0,915.0,960.0,1349.0,1290718.0
2014-05-11,NSLB,0.0,941.0,923.0,923.0,130.0,122130.0
2014-05-12,NSLB,0.0,920.0,873.0,890.0,238.0,212337.0
2014-05-13,NSLB,0.0,946.0,874.0,940.0,422.0,384015.0
2014-05-15,NSLB,0.0,922.0,922.0,922.0,30.0,27660.0
2014-05-18,NSLB,0.0,922.0,870.0,870.0,250.0,219110.0
2014-05-19,NSLB,0.0,932.0,855.0,879.0,552.0,483519.0
2014-05-20,NSLB,0.0,918.0,896.0,918.0,500.0,452880.0
2014-05-21,NSLB,0.0,900.0,870.0,885.0,151.0,132980.0
2014-05-22,NSLB,0.0,885.0,869.0,885.0,201.0,176289.0
2014-05-25,NSLB,0.0,902.0,902.0,902.0,10.0,9020.0
2014-05-26,NSLB,0.0,884.0,875.0,875.0,121.0,106235.0
2014-05-27,NSLB,0.0,875.0,861.0,861.0,192.0,165786.0
2014-05-28,NSLB,0.0,878.0,860.0,878.0,221.0,192858.0
2014-06-01,NSLB,0.0,890.0,861.0,890.0,70.0,60750.0
2014-06-02,NSLB,0.0,900.0,873.0,890.0,190.0,170430.0
2014-06-03,NSLB,0.0,907.0,907.0,907.0,10.0,9070.0
2014-06-04,NSLB,0.0,905.0,836.0,855.0,260.0,226370.0
2014-06-05,NSLB,0.0,856.0,822.0,835.0,242.0,201246.0
2014-06-08,NSLB,0.0,821.0,820.0,821.0,20.0,16410.0
2014-06-09,NSLB,0.0,851.0,834.0,835.0,60.0,50230.0
2014-06-10,NSLB,0.0,855.0,819.0,855.0,100.0,83830.0
2014-06-11,NSLB,0.0,924.0,872.0,924.0,40.0,35910.0
2014-06-12,NSLB,0.0,925.0,925.0,925.0,10.0,9250.0
2014-06-15,NSLB,0.0,907.0,907.0,907.0,100.0,90700.0
2014-06-19,NSLB,0.0,889.0,889.0,889.0,60.0,53340.0
2014-06-24,NSLB,0.0,884.0,867.0,884.0,70.0,61590.0
2014-06-29,NSLB,0.0,901.0,901.0,901.0,49.0,44149.0
2014-06-30,NSLB,0.0,884.0,884.0,884.0,162.0,143208.0
2014-07-01,NSLB,0.0,867.0,867.0,867.0,30.0,26010.0
2014-07-02,NSLB,0.0,850.0,850.0,850.0,280.0,238000.0
2014-07-03,NSLB,0.0,845.0,845.0,845.0,91.0,76895.0
2014-07-06,NSLB,0.0,898.0,860.0,898.0,109.0,94459.0
2014-07-07,NSLB,0.0,933.0,915.0,933.0,20.0,18480.0
2014-07-09,NSLB,0.0,915.0,915.0,915.0,81.0,74115.0
2014-07-20,NSLB,0.0,1006.0,897.0,1000.0,3040.0,2880839.0
2014-07-21,NSLB,0.0,1100.0,1000.0,1036.0,3155.0,3393307.0
2014-07-22,NSLB,0.0,1020.0,962.0,999.0,1605.0,1580355.0
2014-07-23,NSLB,0.0,1005.0,985.0,985.0,943.0,929055.0
2014-07-24,NSLB,0.0,966.0,932.0,935.0,447.0,424569.0
2014-07-30,NSLB,0.0,920.0,900.0,900.0,241.0,219320.0
2014-07-31,NSLB,0.0,882.0,850.0,852.0,84.0,73148.0
2014-08-03,NSLB,0.0,835.0,835.0,835.0,10.0,8350.0
