business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,NTC,0.0,430.0,425.0,427.0,450.0,191780.0
2012-01-02,NTC,0.0,436.0,420.0,436.0,1055.0,452860.0
2012-01-03,NTC,0.0,435.0,430.0,435.0,1270.0,546250.0
2012-01-04,NTC,0.0,437.0,425.0,425.0,2020.0,865940.0
2012-01-05,NTC,0.0,435.0,420.0,435.0,1040.0,440100.0
2012-01-08,NTC,0.0,434.0,427.0,427.0,1885.0,812555.0
2012-01-09,NTC,0.0,437.0,424.0,430.0,2855.0,1226265.0
2012-01-10,NTC,0.0,446.0,435.0,438.0,2310.0,1010520.0
2012-01-11,NTC,0.0,440.0,433.0,439.0,2800.0,1223400.0
2012-01-12,NTC,0.0,440.0,438.0,439.0,650.0,285300.0
2012-01-16,NTC,0.0,443.0,440.0,443.0,2205.0,973110.0
2012-01-17,NTC,0.0,448.0,448.0,448.0,100.0,44800.0
2012-01-18,NTC,0.0,450.0,440.0,440.0,1100.0,485400.0
2012-01-19,NTC,0.0,440.0,438.0,438.0,1260.0,552880.0
2012-01-22,NTC,0.0,444.0,435.0,444.0,385.0,167665.0
2012-01-23,NTC,0.0,438.0,435.0,437.0,875.0,381500.0
2012-01-25,NTC,0.0,438.0,434.0,436.0,980.0,426020.0
2012-01-26,NTC,0.0,436.0,436.0,436.0,1490.0,649640.0
2012-01-29,NTC,0.0,439.0,432.0,436.0,6345.0,2747225.0
2012-01-31,NTC,0.0,439.0,434.0,436.0,950.0,414700.0
2012-02-01,NTC,0.0,439.0,434.0,439.0,410.0,178790.0
2012-02-02,NTC,0.0,438.0,431.0,438.0,2000.0,866500.0
2012-02-05,NTC,0.0,435.0,435.0,435.0,600.0,261000.0
2012-02-06,NTC,0.0,436.0,433.0,433.0,4205.0,1825510.0
2012-02-07,NTC,0.0,438.0,433.0,433.0,2280.0,989140.0
2012-02-08,NTC,0.0,436.0,431.0,434.0,2770.0,1201770.0
2012-02-09,NTC,0.0,436.0,433.0,435.0,1090.0,473930.0
2012-02-12,NTC,0.0,435.0,433.0,433.0,2375.0,1030605.0
2012-02-13,NTC,0.0,437.0,433.0,435.0,1630.0,708720.0
2012-02-14,NTC,0.0,437.0,435.0,435.0,1965.0,855895.0
2012-02-15,NTC,0.0,437.0,435.0,436.0,4900.0,2136000.0
2012-02-16,NTC,0.0,441.0,438.0,441.0,855.0,375900.0
2012-02-21,NTC,0.0,443.0,441.0,441.0,1835.0,811785.0
2012-02-23,NTC,0.0,446.0,444.0,445.0,10500.0,4677300.0
2012-02-26,NTC,0.0,444.0,440.0,444.0,2700.0,1193450.0
2012-02-27,NTC,0.0,447.0,443.0,445.0,1260.0,559100.0
2012-02-28,NTC,0.0,453.0,445.0,447.0,3350.0,1501820.0
2012-02-29,NTC,0.0,449.0,447.0,449.0,1195.0,534590.0
2012-03-01,NTC,0.0,452.0,447.0,452.0,2660.0,1196470.0
2012-03-04,NTC,0.0,453.0,447.0,447.0,1640.0,735500.0
2012-03-05,NTC,0.0,452.0,448.0,448.0,1375.0,616500.0
2012-03-06,NTC,0.0,447.0,447.0,447.0,445.0,198915.0
2012-03-11,NTC,0.0,453.0,447.0,452.0,4930.0,2214870.0
2012-03-12,NTC,0.0,454.0,447.0,449.0,5030.0,2262120.0
2012-03-13,NTC,0.0,451.0,445.0,450.0,10610.0,4744920.0
2012-03-14,NTC,0.0,453.0,448.0,450.0,2655.0,1192385.0
2012-03-15,NTC,0.0,455.0,448.0,448.0,2280.0,1028740.0
2012-03-18,NTC,448.0,440.0,404.0,405.0,2055.0,845500.0
2012-03-19,NTC,0.0,406.0,404.0,404.0,600.0,243000.0
2012-03-20,NTC,0.0,405.0,400.0,400.0,1200.0,480500.0
2012-03-21,NTC,0.0,405.0,404.0,405.0,640.0,259060.0
2012-03-25,NTC,0.0,407.0,404.0,406.0,1070.0,433590.0
2012-03-26,NTC,0.0,405.0,401.0,405.0,800.0,323000.0
2012-03-27,NTC,0.0,406.0,401.0,406.0,1160.0,470460.0
2012-03-28,NTC,0.0,408.0,405.0,406.0,520.0,211220.0
2012-03-29,NTC,0.0,406.0,400.0,400.0,715.0,287120.0
2012-04-01,NTC,0.0,403.0,402.0,402.0,450.0,181000.0
2012-04-02,NTC,0.0,403.0,402.0,402.0,930.0,374040.0
2012-04-03,NTC,0.0,403.0,401.0,401.0,700.0,281200.0
2012-04-04,NTC,0.0,403.0,396.0,402.0,1135.0,453990.0
2012-04-05,NTC,0.0,404.0,404.0,404.0,100.0,40400.0
2012-04-08,NTC,0.0,404.0,404.0,404.0,795.0,321180.0
2012-04-09,NTC,0.0,406.0,404.0,404.0,2290.0,925560.0
2012-04-10,NTC,0.0,406.0,402.0,404.0,2710.0,1093060.0
2012-04-11,NTC,0.0,414.0,406.0,407.0,2200.0,898300.0
2012-04-12,NTC,0.0,416.0,405.0,414.0,2945.0,1201375.0
2012-04-15,NTC,0.0,430.0,415.0,430.0,2375.0,1009895.0
2012-04-16,NTC,0.0,473.0,438.0,473.0,1140.0,529010.0
2012-04-17,NTC,0.0,510.0,438.0,438.0,8720.0,4263700.0
2012-04-18,NTC,0.0,462.0,436.0,452.0,8350.0,3754760.0
2012-04-19,NTC,0.0,465.0,450.0,455.0,3590.0,1630560.0
2012-04-22,NTC,0.0,466.0,458.0,466.0,5165.0,2396230.0
2012-04-24,NTC,0.0,483.0,475.0,476.0,1125.0,536740.0
2012-04-25,NTC,0.0,494.0,485.0,486.0,1230.0,600400.0
2012-04-26,NTC,0.0,530.0,468.0,521.0,13900.0,6903700.0
2012-04-29,NTC,0.0,525.0,491.0,520.0,7160.0,3644475.0
2012-04-30,NTC,0.0,510.0,490.0,495.0,5790.0,2850400.0
2012-05-02,NTC,0.0,486.0,450.0,450.0,1435.0,676200.0
2012-05-03,NTC,0.0,459.0,459.0,459.0,30.0,13770.0
2012-05-07,NTC,0.0,499.0,481.0,499.0,310.0,153070.0
2012-05-08,NTC,0.0,520.0,500.0,508.0,15200.0,7703970.0
2012-05-09,NTC,0.0,508.0,491.0,500.0,7710.0,3850260.0
2012-05-10,NTC,0.0,505.0,476.0,495.0,3970.0,1944630.0
2012-05-13,NTC,0.0,486.0,463.0,473.0,6395.0,3024945.0
2012-05-14,NTC,0.0,470.0,457.0,464.0,4650.0,2151840.0
2012-05-15,NTC,0.0,473.0,473.0,473.0,50.0,23650.0
2012-05-16,NTC,0.0,520.0,482.0,520.0,1280.0,660750.0
2012-05-17,NTC,0.0,540.0,502.0,507.0,4810.0,2511080.0
2012-05-20,NTC,0.0,501.0,479.0,490.0,1260.0,618660.0
2012-05-21,NTC,0.0,500.0,490.0,498.0,2675.0,1318300.0
2012-05-22,NTC,0.0,500.0,485.0,485.0,1530.0,749210.0
2012-05-23,NTC,0.0,476.0,460.0,460.0,1540.0,715300.0
2012-05-24,NTC,0.0,488.0,462.0,481.0,1545.0,741790.0
2012-05-27,NTC,0.0,501.0,479.0,501.0,4270.0,2068510.0
2012-05-29,NTC,0.0,491.0,451.0,451.0,1290.0,584370.0
2012-05-30,NTC,0.0,443.0,427.0,438.0,8335.0,3629055.0
2012-05-31,NTC,0.0,472.0,435.0,451.0,3540.0,1602940.0
2012-06-03,NTC,0.0,496.0,460.0,488.0,1240.0,576930.0
2012-06-04,NTC,0.0,479.0,461.0,472.0,1900.0,895660.0
2012-06-05,NTC,0.0,470.0,460.0,465.0,805.0,372300.0
2012-06-06,NTC,0.0,462.0,456.0,457.0,2320.0,1063090.0
2012-06-07,NTC,0.0,474.0,463.0,463.0,785.0,365415.0
2012-06-10,NTC,0.0,465.0,458.0,461.0,1100.0,507200.0
2012-06-11,NTC,0.0,467.0,460.0,465.0,1450.0,671160.0
2012-06-12,NTC,0.0,474.0,465.0,468.0,450.0,210800.0
2012-06-13,NTC,0.0,467.0,459.0,464.0,1885.0,871675.0
2012-06-14,NTC,0.0,465.0,465.0,465.0,855.0,397575.0
2012-06-17,NTC,0.0,465.0,458.0,460.0,2395.0,1104510.0
2012-06-18,NTC,0.0,465.0,452.0,464.0,2060.0,953220.0
2012-06-19,NTC,0.0,464.0,455.0,463.0,5635.0,2588295.0
2012-06-20,NTC,0.0,469.0,458.0,462.0,1000.0,463200.0
2012-06-21,NTC,0.0,463.0,454.0,460.0,1810.0,831820.0
2012-06-25,NTC,0.0,474.0,455.0,472.0,4710.0,2196940.0
2012-06-26,NTC,0.0,470.0,465.0,465.0,1870.0,871770.0
2012-06-27,NTC,0.0,470.0,452.0,470.0,2460.0,1146140.0
2012-06-28,NTC,0.0,480.0,466.0,480.0,2970.0,1416280.0
2012-07-01,NTC,0.0,475.0,470.0,470.0,1630.0,769530.0
2012-07-02,NTC,0.0,472.0,470.0,472.0,1245.0,585850.0
2012-07-03,NTC,0.0,475.0,465.0,471.0,1300.0,613230.0
2012-07-04,NTC,0.0,489.0,470.0,475.0,3155.0,1507440.0
2012-07-05,NTC,0.0,481.0,475.0,475.0,345.0,163935.0
2012-07-08,NTC,0.0,486.0,475.0,480.0,6960.0,3338880.0
2012-07-09,NTC,0.0,497.0,480.0,490.0,5285.0,2564890.0
2012-07-10,NTC,0.0,501.0,491.0,498.0,6815.0,3387435.0
2012-07-11,NTC,0.0,491.0,489.0,490.0,1700.0,832000.0
2012-07-12,NTC,0.0,490.0,481.0,490.0,4260.0,2079180.0
2012-07-15,NTC,0.0,503.0,489.0,503.0,1190.0,585640.0
2012-07-16,NTC,0.0,493.0,489.0,490.0,730.0,357600.0
2012-07-17,NTC,0.0,492.0,473.0,490.0,1180.0,576340.0
2012-07-18,NTC,0.0,501.0,490.0,500.0,6145.0,3060460.0
2012-07-19,NTC,0.0,511.0,503.0,505.0,4340.0,2198030.0
2012-07-22,NTC,0.0,528.0,510.0,525.0,5625.0,2937265.0
2012-07-23,NTC,0.0,540.0,525.0,526.0,5950.0,3188980.0
2012-07-24,NTC,0.0,530.0,511.0,530.0,3320.0,1713490.0
2012-07-25,NTC,0.0,540.0,524.0,524.0,1810.0,950990.0
2012-07-26,NTC,0.0,523.0,519.0,520.0,1540.0,801480.0
2012-07-29,NTC,0.0,520.0,510.0,510.0,1170.0,597800.0
2012-07-30,NTC,0.0,525.0,511.0,525.0,2430.0,1260020.0
2012-07-31,NTC,0.0,521.0,518.0,521.0,7925.0,4120880.0
2012-08-01,NTC,0.0,525.0,515.0,525.0,3835.0,2002725.0
2012-08-05,NTC,0.0,530.0,515.0,525.0,2380.0,1250850.0
2012-08-06,NTC,0.0,525.0,520.0,523.0,3440.0,1802475.0
2012-08-07,NTC,0.0,528.0,525.0,528.0,2070.0,1087840.0
2012-08-08,NTC,0.0,530.0,525.0,530.0,2470.0,1304240.0
2012-08-12,NTC,0.0,532.0,525.0,531.0,5735.0,3031795.0
2012-08-13,NTC,0.0,535.0,527.0,535.0,8300.0,4407000.0
2012-08-14,NTC,0.0,537.0,533.0,537.0,4970.0,2659900.0
2012-08-15,NTC,0.0,535.0,530.0,534.0,7080.0,3778420.0
2012-08-16,NTC,0.0,535.0,530.0,534.0,2710.0,1447700.0
2012-08-19,NTC,0.0,538.0,530.0,530.0,3770.0,1999600.0
2012-08-21,NTC,0.0,540.0,530.0,537.0,3845.0,2055395.0
2012-08-22,NTC,0.0,541.0,535.0,541.0,7745.0,4164820.0
2012-08-23,NTC,0.0,545.0,541.0,545.0,2790.0,1517820.0
2012-08-26,NTC,0.0,559.0,540.0,559.0,6420.0,3528690.0
2012-08-27,NTC,0.0,594.0,559.0,594.0,31065.0,18211105.0
2012-08-28,NTC,0.0,612.0,588.0,593.0,28455.0,16906050.0
2012-08-29,NTC,0.0,590.0,580.0,587.0,4810.0,2807770.0
2012-08-30,NTC,0.0,596.0,581.0,586.0,1305.0,762005.0
2012-09-02,NTC,0.0,590.0,578.0,590.0,5355.0,3136610.0
2012-09-03,NTC,0.0,600.0,581.0,588.0,2770.0,1631170.0
2012-09-04,NTC,0.0,590.0,579.0,581.0,3680.0,2139550.0
2012-09-05,NTC,0.0,579.0,575.0,577.0,1920.0,1106980.0
2012-09-06,NTC,0.0,585.0,569.0,575.0,4340.0,2485040.0
2012-09-09,NTC,0.0,573.0,564.0,573.0,2320.0,1325810.0
2012-09-10,NTC,0.0,573.0,562.0,570.0,9945.0,5628685.0
2012-09-11,NTC,0.0,579.0,570.0,575.0,2660.0,1525760.0
2012-09-12,NTC,0.0,584.0,572.0,584.0,3340.0,1919460.0
2012-09-13,NTC,0.0,595.0,575.0,595.0,2630.0,1529920.0
2012-09-16,NTC,0.0,601.0,585.0,589.0,5280.0,3117900.0
2012-09-17,NTC,0.0,595.0,587.0,592.0,6100.0,3619480.0
2012-09-18,NTC,0.0,600.0,591.0,596.0,9170.0,5459510.0
2012-09-19,NTC,0.0,599.0,591.0,594.0,1810.0,1077440.0
2012-09-20,NTC,0.0,600.0,588.0,600.0,3900.0,2306120.0
2012-09-23,NTC,0.0,591.0,580.0,588.0,6225.0,3661765.0
2012-09-24,NTC,0.0,594.0,585.0,594.0,6245.0,3682675.0
2012-09-25,NTC,0.0,599.0,593.0,593.0,2695.0,1604865.0
2012-09-26,NTC,0.0,604.0,594.0,596.0,5205.0,3102500.0
2012-09-27,NTC,0.0,606.0,590.0,606.0,14700.0,8821870.0
2012-09-30,NTC,0.0,614.0,601.0,610.0,5360.0,3251255.0
2012-10-01,NTC,0.0,618.0,610.0,618.0,13400.0,8218890.0
2012-10-02,NTC,0.0,623.0,616.0,621.0,7390.0,4582615.0
2012-10-03,NTC,0.0,627.0,621.0,626.0,10770.0,6723800.0
2012-10-04,NTC,0.0,663.0,620.0,660.0,25830.0,16660960.0
2012-10-07,NTC,0.0,690.0,664.0,664.0,16030.0,10823750.0
2012-10-08,NTC,0.0,670.0,650.0,650.0,5925.0,3913015.0
2012-10-09,NTC,0.0,668.0,650.0,655.0,11280.0,7366190.0
2012-10-10,NTC,0.0,653.0,648.0,648.0,5920.0,3847880.0
2012-10-11,NTC,0.0,655.0,642.0,650.0,3555.0,2300815.0
2012-10-14,NTC,0.0,652.0,645.0,652.0,5265.0,3416130.0
2012-10-15,NTC,0.0,651.0,646.0,647.0,3380.0,2192480.0
2012-10-17,NTC,0.0,663.0,647.0,660.0,6010.0,3944620.0
2012-10-18,NTC,0.0,677.0,655.0,675.0,3520.0,2347040.0
2012-10-30,NTC,0.0,687.0,669.0,687.0,2720.0,1823070.0
2012-10-31,NTC,0.0,681.0,670.0,672.0,6185.0,4153130.0
2012-11-01,NTC,0.0,674.0,662.0,662.0,7445.0,4962730.0
2012-11-04,NTC,0.0,667.0,660.0,667.0,5765.0,3836660.0
2012-11-05,NTC,0.0,679.0,661.0,667.0,6170.0,4129330.0
2012-11-06,NTC,0.0,671.0,665.0,670.0,7770.0,5193350.0
2012-11-07,NTC,0.0,680.0,665.0,671.0,12870.0,8622580.0
2012-11-08,NTC,0.0,688.0,668.0,670.0,7090.0,4780180.0
2012-11-11,NTC,0.0,673.0,657.0,673.0,5310.0,3515500.0
2012-11-12,NTC,0.0,671.0,651.0,664.0,2730.0,1808230.0
2012-11-18,NTC,0.0,680.0,660.0,671.0,5210.0,3483550.0
2012-11-20,NTC,0.0,679.0,670.0,670.0,3360.0,2263500.0
2012-11-21,NTC,0.0,670.0,655.0,668.0,7290.0,4851300.0
2012-11-22,NTC,0.0,670.0,660.0,667.0,4625.0,3085010.0
2012-11-25,NTC,0.0,680.0,666.0,670.0,5850.0,3925370.0
