business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-11-29,NYADI,282.3,310.5,282.3,310.5,194.0,57717.7
2021-11-30,NYADI,316.7,341.5,316.7,341.5,171.0,57762.7
2021-12-01,NYADI,348.3,375.6,348.3,375.6,150.0,55348.0
2021-12-02,NYADI,375.6,413.1,375.6,413.1,390.0,159850.0
2021-12-05,NYADI,421.3,454.4,421.3,454.4,1533.0,695114.2
2021-12-06,NYADI,463.4,499.8,409.0,433.0,81212.0,35157169.3
2021-12-07,NYADI,441.0,459.0,414.0,416.0,30287.0,13054412.0
2021-12-08,NYADI,408.0,410.0,400.0,408.0,10795.0,4365534.0
2021-12-09,NYADI,399.9,404.0,385.0,393.0,12424.0,4881113.0
2021-12-12,NYADI,387.0,392.0,364.0,365.0,17386.0,6665237.8
2021-12-13,NYADI,358.0,386.0,332.0,347.0,10591.0,3666838.1
2021-12-14,NYADI,350.0,381.7,350.0,381.7,4849.0,1786201.5
2021-12-15,NYADI,389.3,412.0,363.0,372.0,17495.0,6820720.5
2021-12-16,NYADI,365.0,385.5,360.0,363.0,5854.0,2139034.1
2021-12-20,NYADI,362.0,362.0,343.0,347.0,4850.0,1693137.5
2021-12-21,NYADI,349.0,356.9,344.0,356.9,5216.0,1819310.0
2021-12-22,NYADI,357.0,378.0,357.0,378.0,7385.0,2739578.5
2021-12-23,NYADI,378.1,380.0,365.1,371.0,8049.0,2996923.7
2021-12-26,NYADI,370.1,377.0,362.6,375.0,8054.0,2981678.1
2021-12-27,NYADI,375.0,375.0,358.0,360.0,11881.0,4337568.6
2021-12-28,NYADI,355.0,362.4,351.0,358.0,4065.0,1445544.0
2021-12-29,NYADI,351.2,372.0,351.2,364.0,4050.0,1453923.0
2022-01-02,NYADI,356.8,386.1,353.0,383.0,11390.0,4225588.0
2022-01-03,NYADI,375.4,390.0,362.0,379.0,13813.0,5284335.0
2022-01-04,NYADI,371.5,388.0,367.1,384.0,7729.0,2930709.5
2022-01-05,NYADI,384.0,397.8,371.0,382.0,14924.0,5784544.6
2022-01-06,NYADI,375.0,393.0,369.1,393.0,11525.0,4478146.2
2022-01-09,NYADI,390.1,432.3,390.1,430.0,24892.0,10257910.6
2022-01-10,NYADI,430.0,439.9,420.0,439.0,20907.0,8944679.0
2022-01-11,NYADI,431.0,482.0,431.0,482.0,31728.0,14442356.7
2022-01-12,NYADI,482.0,486.0,460.0,482.0,25627.0,12149344.5
2022-01-13,NYADI,472.4,485.0,463.0,481.0,20163.0,9595904.3
2022-01-16,NYADI,481.0,489.6,469.0,470.1,32274.0,15373548.6
2022-01-17,NYADI,463.0,492.0,460.0,492.0,28599.0,13648695.9
2022-01-18,NYADI,492.0,505.0,490.0,499.0,30733.0,15266600.0
2022-01-19,NYADI,499.0,499.0,481.0,484.1,13433.0,6529765.1
2022-01-20,NYADI,475.0,529.0,474.6,527.0,34689.0,17495226.5
2022-01-23,NYADI,530.0,545.0,510.0,517.0,31446.0,16434622.2
2022-01-24,NYADI,517.0,520.0,480.0,492.0,37075.0,18122049.1
2022-01-25,NYADI,486.0,503.0,472.0,485.1,18223.0,8991627.2
2022-01-26,NYADI,477.0,485.0,463.0,473.0,11451.0,5413079.9
2022-01-27,NYADI,473.0,481.0,465.0,475.0,9620.0,4552178.8
2022-01-30,NYADI,484.5,510.0,484.5,505.0,25004.0,12395030.3
2022-01-31,NYADI,505.0,505.0,488.0,489.0,9895.0,4891869.5
2022-02-01,NYADI,495.0,524.0,481.0,509.0,21831.0,10987045.0
2022-02-03,NYADI,509.0,530.2,503.0,530.0,56373.0,29323342.0
2022-02-06,NYADI,527.0,527.0,503.0,515.0,34028.0,17348044.0
2022-02-07,NYADI,504.8,515.0,499.1,509.0,11704.0,5959093.0
2022-02-08,NYADI,509.0,529.2,495.1,498.0,18203.0,9254004.0
2022-02-09,NYADI,490.0,500.0,480.2,489.9,13550.0,6609771.0
2022-02-10,NYADI,480.2,499.8,475.0,478.0,13357.0,6438595.2
2022-02-13,NYADI,468.5,469.0,448.0,451.0,21099.0,9566710.2
2022-02-14,NYADI,451.0,459.0,444.0,445.0,7201.0,3241223.0
2022-02-15,NYADI,445.0,489.5,437.0,489.5,11328.0,5316850.0
2022-02-16,NYADI,490.0,490.0,457.7,475.0,17166.0,8091256.5
2022-02-17,NYADI,465.5,483.0,460.0,483.0,7677.0,3643993.2
2022-02-20,NYADI,473.4,507.0,464.0,491.6,30263.0,14808496.4
2022-02-21,NYADI,482.0,516.0,482.0,511.0,28319.0,14233938.0
2022-02-22,NYADI,520.0,555.0,512.0,535.0,68842.0,36891538.0
2022-02-23,NYADI,545.7,566.0,530.0,550.0,44722.0,24521558.5
2022-02-24,NYADI,550.0,550.8,518.0,520.0,37596.0,19839208.7
2022-02-27,NYADI,520.0,535.0,510.0,525.0,30184.0,15864900.0
2022-02-28,NYADI,535.0,545.0,490.0,490.0,25258.0,12905808.4
2022-03-02,NYADI,481.0,490.0,472.6,475.0,11964.0,5720681.4
2022-03-06,NYADI,484.5,488.0,470.0,488.0,16335.0,7788239.0
2022-03-07,NYADI,497.5,497.5,478.3,486.0,8970.0,4355912.5
2022-03-09,NYADI,494.7,494.7,464.0,470.0,10317.0,4842919.2
2022-03-10,NYADI,470.0,517.0,447.0,503.0,16084.0,7795460.6
2022-03-13,NYADI,513.0,517.0,491.1,505.0,27030.0,13561290.2
2022-03-14,NYADI,495.0,504.9,486.1,490.4,6148.0,3048396.5
2022-03-15,NYADI,483.2,499.7,467.0,476.0,19314.0,9256266.0
2022-03-16,NYADI,485.5,489.2,470.5,483.5,8788.0,4211278.9
2022-03-20,NYADI,475.0,493.1,475.0,484.0,6100.0,2919718.1
2022-03-21,NYADI,490.0,496.0,475.1,489.0,9304.0,4522389.2
2022-03-22,NYADI,498.6,498.6,478.0,484.0,7378.0,3577886.7
2022-03-23,NYADI,483.0,483.0,470.0,471.0,12633.0,5978453.6
2022-03-24,NYADI,471.0,475.0,467.0,469.0,7182.0,3370278.0
2022-03-27,NYADI,459.7,470.0,447.0,453.0,13798.0,6270172.1
2022-03-28,NYADI,460.0,469.1,442.0,444.0,5974.0,2678260.2
2022-03-29,NYADI,436.0,459.0,436.0,449.7,9089.0,4031648.6
2022-03-30,NYADI,440.8,464.2,440.8,463.0,7335.0,3318402.0
2022-03-31,NYADI,458.0,470.0,451.1,451.1,8375.0,3847562.4
2022-04-03,NYADI,442.2,454.9,442.0,454.9,4216.0,1879252.0
2022-04-04,NYADI,445.9,450.0,439.0,450.0,4533.0,2016615.6
2022-04-05,NYADI,441.0,441.0,425.0,438.0,10520.0,4555948.7
2022-04-06,NYADI,429.3,441.0,419.9,436.0,6185.0,2640722.0
2022-04-07,NYADI,444.0,444.0,425.0,429.1,10979.0,4747367.0
2022-04-11,NYADI,435.0,443.7,421.5,427.0,11615.0,4996935.2
2022-04-12,NYADI,420.0,422.0,397.1,401.1,9734.0,3942640.0
2022-04-13,NYADI,394.0,411.9,394.0,410.0,5670.0,2303697.3
2022-04-17,NYADI,410.0,417.0,397.0,400.0,4681.0,1882193.0
2022-04-18,NYADI,392.0,400.0,381.0,381.0,4772.0,1864591.7
2022-04-19,NYADI,380.0,390.0,361.2,387.0,7350.0,2769282.4
2022-04-20,NYADI,382.0,401.0,368.0,375.0,5304.0,2024717.5
2022-04-21,NYADI,370.0,399.8,360.0,390.0,5538.0,2035572.2
2022-04-24,NYADI,395.0,419.8,374.6,419.8,12837.0,5198653.5
2022-04-25,NYADI,412.0,424.3,398.0,400.0,11852.0,4846413.2
2022-04-26,NYADI,392.1,408.0,390.3,396.0,5881.0,2353913.0
2022-04-27,NYADI,389.0,403.9,386.1,395.0,3525.0,1394515.1
2022-04-28,NYADI,387.1,402.9,387.1,393.3,8301.0,3266910.8
2022-05-02,NYADI,386.0,393.0,374.1,375.0,5895.0,2232464.2
2022-05-04,NYADI,368.0,380.0,361.0,363.0,4666.0,1705218.6
2022-05-05,NYADI,363.0,363.0,344.2,353.0,7144.0,2503240.0
2022-05-08,NYADI,348.0,360.0,336.0,354.4,7743.0,2644723.0
2022-05-09,NYADI,349.0,362.0,349.0,351.0,4450.0,1587069.5
2022-05-10,NYADI,346.0,367.2,346.0,366.0,5366.0,1929272.8
2022-05-11,NYADI,373.1,388.0,360.0,384.0,11876.0,4494749.5
2022-05-12,NYADI,391.6,401.8,377.0,389.7,15321.0,6019153.4
2022-05-17,NYADI,382.0,382.0,365.6,369.0,5725.0,2119910.6
2022-05-18,NYADI,370.0,384.0,351.3,380.0,4429.0,1613196.2
2022-05-19,NYADI,372.5,381.0,366.1,366.1,3372.0,1256599.9
2022-05-20,NYADI,358.8,373.4,352.3,361.5,2658.0,959498.8
2022-05-23,NYADI,354.3,360.0,341.4,353.0,4555.0,1587306.9
2022-05-24,NYADI,353.0,367.2,347.1,349.0,6181.0,2203206.5
2022-05-25,NYADI,343.0,362.1,343.0,355.0,1894.0,677344.7
2022-05-26,NYADI,360.0,370.0,355.1,360.0,3079.0,1106427.9
2022-05-27,NYADI,360.0,360.0,348.0,360.0,2946.0,1036422.6
2022-05-30,NYADI,357.0,357.0,343.0,346.0,4890.0,1685835.0
2022-05-31,NYADI,340.0,347.8,336.0,336.2,2850.0,966297.2
2022-06-01,NYADI,330.0,341.0,330.0,332.0,5330.0,1774988.5
2022-06-02,NYADI,335.0,340.0,330.0,330.0,1522.0,506785.0
2022-06-03,NYADI,325.5,331.0,321.0,323.0,3295.0,1068763.2
2022-06-06,NYADI,317.0,331.5,315.1,325.0,2100.0,672187.0
2022-06-07,NYADI,318.8,322.0,313.7,314.0,2213.0,702437.6
2022-06-08,NYADI,311.0,332.4,311.0,323.1,2595.0,843550.5
2022-06-09,NYADI,323.1,340.0,317.0,318.0,3320.0,1079079.0
2022-06-10,NYADI,324.3,324.3,313.2,317.0,927.0,293527.0
