business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,ODBL,0.0,155.0,147.0,148.0,1800.0,272150.0
2012-01-03,ODBL,0.0,134.0,134.0,134.0,40.0,5360.0
2012-01-04,ODBL,0.0,132.0,132.0,132.0,50.0,6600.0
2012-01-08,ODBL,0.0,131.0,128.0,128.0,190.0,24350.0
2012-01-09,ODBL,0.0,132.0,126.0,132.0,160.0,20620.0
2012-01-11,ODBL,0.0,132.0,132.0,132.0,460.0,60720.0
2012-01-12,ODBL,0.0,131.0,131.0,131.0,160.0,20960.0
2012-01-16,ODBL,0.0,131.0,130.0,131.0,50.0,6530.0
2012-01-17,ODBL,0.0,130.0,129.0,130.0,110.0,14250.0
2012-01-18,ODBL,0.0,132.0,128.0,132.0,170.0,22280.0
2012-01-19,ODBL,0.0,130.0,130.0,130.0,30.0,3900.0
2012-01-22,ODBL,0.0,131.0,129.0,129.0,660.0,85260.0
2012-01-23,ODBL,0.0,123.0,123.0,123.0,70.0,8610.0
2012-01-25,ODBL,0.0,126.0,123.0,126.0,150.0,18680.0
2012-01-26,ODBL,0.0,133.0,128.0,133.0,560.0,73270.0
2012-01-29,ODBL,0.0,135.0,133.0,133.0,60.0,8000.0
2012-01-31,ODBL,0.0,132.0,130.0,132.0,611.0,79571.0
2012-02-01,ODBL,0.0,134.0,134.0,134.0,40.0,5360.0
2012-02-02,ODBL,0.0,136.0,132.0,132.0,130.0,17240.0
2012-02-05,ODBL,0.0,134.0,132.0,133.0,150.0,19980.0
2012-02-06,ODBL,0.0,132.0,132.0,132.0,220.0,29040.0
2012-02-07,ODBL,0.0,130.0,130.0,130.0,120.0,15600.0
2012-02-09,ODBL,0.0,130.0,128.0,130.0,530.0,68840.0
2012-02-12,ODBL,0.0,131.0,131.0,131.0,90.0,11790.0
2012-02-13,ODBL,0.0,134.0,133.0,134.0,160.0,21310.0
2012-02-14,ODBL,0.0,136.0,132.0,136.0,120.0,16140.0
2012-02-15,ODBL,0.0,134.0,134.0,134.0,200.0,26800.0
2012-02-16,ODBL,0.0,135.0,135.0,135.0,40.0,5400.0
2012-02-21,ODBL,0.0,133.0,130.0,130.0,140.0,18530.0
2012-02-23,ODBL,0.0,129.0,128.0,128.0,190.0,24420.0
2012-02-26,ODBL,0.0,128.0,126.0,126.0,100.0,12620.0
2012-02-27,ODBL,0.0,128.0,127.0,128.0,70.0,8920.0
2012-03-01,ODBL,0.0,128.0,127.0,127.0,40.0,5110.0
2012-03-04,ODBL,0.0,125.0,123.0,125.0,270.0,33310.0
2012-03-05,ODBL,0.0,125.0,125.0,125.0,60.0,7500.0
2012-03-06,ODBL,0.0,129.0,127.0,128.0,150.0,19110.0
2012-03-11,ODBL,0.0,130.0,126.0,126.0,220.0,28360.0
2012-03-12,ODBL,0.0,126.0,124.0,126.0,650.0,81230.0
2012-03-13,ODBL,0.0,124.0,123.0,123.0,40.0,4940.0
2012-03-15,ODBL,0.0,122.0,122.0,122.0,180.0,21960.0
2012-03-20,ODBL,0.0,122.0,120.0,122.0,340.0,41140.0
2012-03-25,ODBL,0.0,123.0,122.0,122.0,130.0,15940.0
2012-03-26,ODBL,0.0,121.0,121.0,121.0,20.0,2420.0
2012-03-27,ODBL,0.0,121.0,121.0,121.0,20.0,2420.0
2012-03-28,ODBL,0.0,120.0,120.0,120.0,10.0,1200.0
2012-03-29,ODBL,0.0,121.0,121.0,121.0,90.0,10890.0
2012-04-01,ODBL,0.0,123.0,121.0,123.0,162.0,19802.0
2012-04-04,ODBL,0.0,125.0,125.0,125.0,80.0,10000.0
2012-04-05,ODBL,0.0,127.0,127.0,127.0,20.0,2540.0
2012-04-08,ODBL,0.0,129.0,129.0,129.0,20.0,2580.0
2012-04-09,ODBL,0.0,131.0,131.0,131.0,20.0,2620.0
2012-04-10,ODBL,0.0,130.0,129.0,130.0,150.0,19400.0
2012-04-11,ODBL,0.0,132.0,128.0,128.0,1200.0,154280.0
2012-04-12,ODBL,0.0,139.0,129.0,139.0,300.0,40410.0
2012-04-15,ODBL,0.0,143.0,141.0,143.0,20.0,2840.0
2012-04-16,ODBL,0.0,145.0,145.0,145.0,40.0,5800.0
2012-04-17,ODBL,0.0,147.0,147.0,147.0,20.0,2940.0
2012-04-18,ODBL,0.0,145.0,143.0,145.0,90.0,13010.0
2012-04-19,ODBL,0.0,143.0,143.0,143.0,20.0,2860.0
2012-04-22,ODBL,0.0,146.0,141.0,144.0,1140.0,161740.0
