business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-09-23,PBD85,1000.0,1000.0,1000.0,1000.0,10.0,10000.0
2021-09-29,PBD85,980.0,980.0,961.1,961.1,25.0,24216.5
2021-09-30,PBD85,961.0,973.0,961.0,966.1,180.0,173855.0
2021-10-03,PBD85,964.0,964.0,962.0,962.1,175.0,168512.5
2021-10-04,PBD85,958.0,959.0,958.0,958.0,75.0,71875.0
2021-10-05,PBD85,953.0,958.0,953.0,958.0,50.0,47775.0
2021-10-06,PBD85,955.0,965.0,955.0,965.0,100.0,95825.0
2021-10-10,PBD85,960.0,960.1,960.0,960.1,55.0,52802.5
2021-10-18,PBD85,954.1,954.1,954.1,954.1,25.0,23852.5
2021-10-20,PBD85,951.0,952.0,950.0,952.0,75.0,71325.0
2021-10-24,PBD85,957.0,957.0,957.0,957.0,25.0,23925.0
2021-10-25,PBD85,960.0,960.0,960.0,960.0,25.0,24000.0
2021-10-26,PBD85,953.1,955.0,952.0,955.0,150.0,142906.0
2021-10-27,PBD85,950.0,950.0,950.0,950.0,25.0,23750.0
2021-11-01,PBD85,968.0,968.0,968.0,968.0,10.0,9680.0
2021-11-03,PBD85,960.0,968.0,960.0,968.0,50.0,48200.0
2021-11-08,PBD85,951.0,951.0,951.0,951.0,25.0,23775.0
2021-11-09,PBD85,954.1,954.1,954.1,954.1,25.0,23852.5
2021-11-11,PBD85,956.0,956.0,956.0,956.0,100.0,95600.0
2021-11-14,PBD85,951.0,951.0,951.0,951.0,25.0,23775.0
2021-11-15,PBD85,960.0,969.0,955.0,969.0,250.0,240263.5
2021-11-16,PBD85,960.0,960.0,960.0,960.0,75.0,72000.0
2021-11-18,PBD85,955.0,955.0,955.0,955.0,200.0,191000.0
2021-11-21,PBD85,955.0,960.0,955.0,960.0,50.0,47875.0
2021-11-23,PBD85,952.0,958.0,952.0,958.0,125.0,119600.0
2021-11-28,PBD85,952.8,952.8,951.4,951.4,75.0,71439.0
2021-11-29,PBD85,951.2,951.2,951.2,951.2,25.0,23780.0
2021-12-01,PBD85,951.2,951.2,951.2,951.2,25.0,23780.0
2021-12-06,PBD85,949.2,949.2,946.0,946.0,150.0,142105.0
2021-12-08,PBD85,948.3,948.3,948.3,948.3,25.0,23707.5
2021-12-09,PBD85,950.0,950.2,950.0,950.1,175.0,166275.0
2021-12-12,PBD85,948.1,948.1,948.1,948.1,50.0,47405.0
2021-12-20,PBD85,946.3,947.5,946.3,947.5,50.0,47345.0
2021-12-21,PBD85,948.3,948.3,948.3,948.3,25.0,23707.5
2021-12-28,PBD85,948.3,948.3,948.3,948.3,101.0,95778.3
2021-12-29,PBD85,960.0,960.0,960.0,960.0,25.0,24000.0
2022-01-10,PBD85,960.0,960.0,960.0,960.0,100.0,96000.0
2022-01-16,PBD85,960.0,940.8,940.8,940.8,25.0,23520.0
2022-01-17,PBD85,923.0,925.0,923.0,925.0,55.0,50815.0
2022-01-23,PBD85,910.1,910.1,903.1,903.1,150.0,136082.5
