business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2013-06-13,PCBLP,0.0,162.0,162.0,162.0,26016.0,4214592.0
2013-06-16,PCBLP,0.0,162.0,162.0,162.0,28144.0,4559328.0
2013-06-18,PCBLP,0.0,162.0,162.0,162.0,26784.0,4339008.0
2013-06-19,PCBLP,0.0,162.0,162.0,162.0,13048.0,2113776.0
2013-07-18,PCBLP,0.0,162.0,162.0,162.0,15000.0,2430000.0
2013-08-01,PCBLP,0.0,162.0,162.0,162.0,5000.0,810000.0
2013-09-12,PCBLP,0.0,159.0,153.0,153.0,25000.0,3885000.0
2013-09-15,PCBLP,0.0,153.0,153.0,153.0,20000.0,3060000.0
2013-10-27,PCBLP,0.0,153.0,153.0,153.0,24024.0,3675672.0
2013-12-08,PCBLP,0.0,150.0,150.0,150.0,46072.0,6910800.0
2013-12-09,PCBLP,0.0,147.0,147.0,147.0,37960.0,5580120.0
2013-12-10,PCBLP,0.0,145.0,145.0,145.0,24024.0,3483480.0
2013-12-12,PCBLP,0.0,145.0,145.0,145.0,37752.0,5474040.0
2013-12-18,PCBLP,0.0,146.0,146.0,146.0,28050.0,4095300.0
2013-12-19,PCBLP,0.0,145.0,145.0,145.0,22000.0,3190000.0
2013-12-23,PCBLP,0.0,145.0,143.0,145.0,58960.0,8532040.0
2013-12-24,PCBLP,0.0,145.0,144.0,145.0,19292.0,2793930.0
2013-12-26,PCBLP,0.0,148.0,145.0,148.0,80102.0,11770512.0
2014-04-09,PCBLP,0.0,150.0,150.0,150.0,113880.0,17082000.0
2014-05-13,PCBLP,0.0,153.0,153.0,153.0,25000.0,3825000.0
2014-05-15,PCBLP,0.0,153.0,153.0,153.0,100132.0,15320196.0
2014-07-13,PCBLP,0.0,153.0,153.0,153.0,108108.0,16540524.0
2014-07-15,PCBLP,0.0,160.0,153.0,160.0,147304.0,23327272.0
2014-07-16,PCBLP,0.0,160.0,160.0,160.0,60633.0,9701280.0
2014-08-25,PCBLP,0.0,160.0,160.0,160.0,3796.0,607360.0
2014-08-26,PCBLP,0.0,160.0,160.0,160.0,7592.0,1214720.0
2014-09-01,PCBLP,0.0,160.0,160.0,160.0,10810.0,1729600.0
2014-09-07,PCBLP,0.0,160.0,160.0,160.0,15004.0,2400640.0
2014-09-30,PCBLP,0.0,165.0,160.0,165.0,55651.0,9107780.0
2014-10-27,PCBLP,0.0,165.0,165.0,165.0,89633.0,14789445.0
2015-07-13,PCBLP,0.0,219.0,215.0,215.0,64378.0,13881270.0
2015-12-29,PCBLP,0.0,295.0,280.0,280.0,235899.0,66241025.0
2016-01-28,PCBLP,0.0,280.0,280.0,280.0,10000.0,2800000.0
2016-04-14,PCBLP,0.0,275.0,275.0,275.0,50000.0,13750000.0
2016-05-17,PCBLP,0.0,280.0,280.0,280.0,80440.0,22523200.0
2016-06-09,PCBLP,0.0,280.0,280.0,280.0,22980.0,6434400.0
2016-06-30,PCBLP,0.0,280.0,280.0,280.0,14550.0,4074000.0
2016-07-03,PCBLP,0.0,285.0,285.0,285.0,7316.0,2085060.0
2016-07-10,PCBLP,0.0,285.0,285.0,285.0,24000.0,6840000.0
2016-07-11,PCBLP,0.0,285.0,285.0,285.0,12583.0,3586155.0
2016-07-19,PCBLP,0.0,285.0,285.0,285.0,17200.0,4902000.0
2017-01-10,PCBLP,0.0,285.0,285.0,285.0,13000.0,3705000.0
2017-08-30,PCBLP,0.0,275.0,260.0,275.0,59498.0,15791110.0
2017-10-12,PCBLP,0.0,270.0,265.0,265.0,2000.0,535000.0
2017-10-15,PCBLP,0.0,260.0,255.0,255.0,2000.0,515000.0
2017-10-16,PCBLP,0.0,250.0,250.0,250.0,34846.0,8711500.0
2017-10-17,PCBLP,0.0,250.0,250.0,250.0,23476.0,5869000.0
2018-05-21,PCBLP,0.0,200.0,200.0,200.0,12700.0,2540000.0
2018-08-15,PCBLP,0.0,200.0,200.0,200.0,80000.0,16000000.0
2018-08-20,PCBLP,0.0,200.0,200.0,200.0,5000.0,1000000.0
2018-09-02,PCBLP,0.0,200.0,200.0,200.0,38591.0,7718200.0
