business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2019-05-05,PPCL,0.0,260.0,255.0,255.0,40.0,10250.0
2019-05-06,PPCL,0.0,243.0,239.0,239.0,40.0,9600.0
2019-05-07,PPCL,0.0,228.0,216.0,216.0,60.0,13280.0
2019-05-08,PPCL,0.0,206.0,206.0,206.0,10.0,2060.0
2019-05-20,PPCL,0.0,196.0,190.0,190.0,50.0,9710.0
2019-05-23,PPCL,0.0,181.0,181.0,181.0,20.0,3620.0
2019-05-30,PPCL,0.0,172.0,163.0,163.0,210.0,34410.0
2019-06-02,PPCL,0.0,155.0,147.0,147.0,2120.0,327750.0
2019-06-03,PPCL,0.0,140.0,133.0,133.0,460.0,62210.0
2019-06-04,PPCL,0.0,137.0,120.0,137.0,64549.0,7925935.0
2019-06-06,PPCL,0.0,131.0,124.0,130.0,13400.0,1692330.0
2019-06-10,PPCL,0.0,129.0,122.0,126.0,17740.0,2245180.0
2019-06-11,PPCL,0.0,138.0,123.0,138.0,69329.0,9316743.0
2019-06-12,PPCL,0.0,144.0,134.0,139.0,19848.0,2742026.0
2019-06-13,PPCL,0.0,141.0,133.0,139.0,16450.0,2276440.0
2019-06-16,PPCL,0.0,140.0,132.0,136.0,9209.0,1259556.0
2019-06-17,PPCL,0.0,140.0,133.0,136.0,11109.0,1504070.0
2019-06-18,PPCL,0.0,140.0,133.0,136.0,4539.0,616125.0
2019-06-19,PPCL,0.0,140.0,136.0,138.0,6140.0,850180.0
2019-06-20,PPCL,0.0,148.0,134.0,146.0,9421.0,1347096.0
2019-06-23,PPCL,0.0,144.0,136.0,139.0,3204.0,444506.0
2019-06-24,PPCL,0.0,141.0,136.0,141.0,1110.0,152570.0
2019-06-25,PPCL,0.0,141.0,136.0,139.0,2865.0,398410.0
2019-06-26,PPCL,0.0,148.0,136.0,148.0,8790.0,1258550.0
2019-06-27,PPCL,0.0,146.0,138.0,141.0,9420.0,1311410.0
2019-06-30,PPCL,0.0,148.0,135.0,142.0,2270.0,314160.0
2019-07-01,PPCL,0.0,140.0,137.0,137.0,880.0,121035.0
2019-07-02,PPCL,0.0,140.0,136.0,140.0,5050.0,693940.0
2019-07-03,PPCL,0.0,143.0,138.0,143.0,3190.0,444210.0
2019-07-04,PPCL,0.0,144.0,138.0,138.0,2150.0,300310.0
2019-07-07,PPCL,0.0,140.0,138.0,140.0,3770.0,521580.0
2019-07-08,PPCL,0.0,138.0,136.0,137.0,4150.0,569330.0
2019-07-09,PPCL,0.0,139.0,135.0,139.0,1130.0,155160.0
2019-07-10,PPCL,0.0,138.0,135.0,136.0,2269.0,309164.0
2019-07-11,PPCL,0.0,137.0,135.0,136.0,1010.0,137670.0
2019-07-14,PPCL,0.0,138.0,134.0,136.0,980.0,133220.0
2019-07-15,PPCL,0.0,137.0,134.0,137.0,1730.0,234800.0
2019-07-16,PPCL,0.0,137.0,135.0,137.0,1159.0,157863.0
2019-07-17,PPCL,0.0,139.0,135.0,139.0,1610.0,219620.0
2019-07-18,PPCL,0.0,140.0,135.0,135.0,270.0,37070.0
2019-07-21,PPCL,0.0,137.0,134.0,135.0,410.0,55560.0
2019-07-22,PPCL,0.0,138.0,134.0,136.0,1651.0,223796.0
2019-07-23,PPCL,0.0,139.0,135.0,139.0,1480.0,201010.0
2019-07-24,PPCL,0.0,140.0,134.0,140.0,1650.0,224040.0
2019-07-28,PPCL,0.0,138.0,132.0,132.0,1920.0,257050.0
2019-07-29,PPCL,0.0,136.0,130.0,133.0,1290.0,170570.0
2019-07-30,PPCL,0.0,137.0,130.0,137.0,1468.0,193986.0
2019-07-31,PPCL,0.0,135.0,132.0,135.0,876.0,116652.0
2019-08-01,PPCL,0.0,137.0,131.0,135.0,730.0,96770.0
2019-08-04,PPCL,0.0,133.0,130.0,131.0,1860.0,243710.0
2019-08-05,PPCL,0.0,132.0,129.0,132.0,970.0,126710.0
2019-08-06,PPCL,0.0,133.0,128.0,133.0,840.0,109220.0
2019-08-07,PPCL,0.0,137.0,128.0,137.0,1060.0,137440.0
2019-08-11,PPCL,0.0,135.0,126.0,126.0,870.0,110760.0
2019-08-12,PPCL,0.0,127.0,124.0,126.0,1860.0,233940.0
2019-08-13,PPCL,0.0,126.0,119.0,122.0,8400.0,1025560.0
2019-08-14,PPCL,0.0,122.0,120.0,120.0,900.0,108580.0
2019-08-15,PPCL,0.0,119.0,114.0,116.0,1220.0,142760.0
2019-08-18,PPCL,0.0,117.0,113.0,117.0,1000.0,114110.0
2019-08-19,PPCL,0.0,117.0,113.0,115.0,1165.0,133935.0
2019-08-20,PPCL,0.0,113.0,104.0,104.0,19951.0,2101114.0
2019-08-21,PPCL,0.0,109.0,97.0,109.0,6490.0,656724.0
2019-08-22,PPCL,0.0,111.0,105.0,111.0,3900.0,413090.0
2019-08-25,PPCL,0.0,109.0,101.0,103.0,1000.0,102980.0
2019-08-26,PPCL,0.0,105.0,102.0,105.0,620.0,63540.0
2019-08-27,PPCL,0.0,103.0,102.0,102.0,340.0,34810.0
2019-08-28,PPCL,0.0,103.0,100.0,102.0,2530.0,257850.0
2019-08-29,PPCL,0.0,102.0,100.0,100.0,580.0,58350.0
2019-09-01,PPCL,0.0,102.0,98.0,100.0,610.0,60940.0
2019-09-02,PPCL,0.0,100.0,98.0,98.0,1500.0,148660.0
2019-09-03,PPCL,0.0,100.0,94.0,97.0,1788.0,172984.0
2019-09-04,PPCL,0.0,106.0,95.0,106.0,420.0,41690.0
2019-09-05,PPCL,0.0,106.0,99.0,106.0,1110.0,112530.0
2019-09-08,PPCL,0.0,104.0,97.0,97.0,730.0,72830.0
2019-09-09,PPCL,0.0,99.0,96.0,99.0,380.0,36890.0
2019-09-10,PPCL,0.0,98.0,96.0,98.0,390.0,38070.0
2019-09-11,PPCL,0.0,99.0,98.0,99.0,1000.0,98640.0
2019-09-12,PPCL,0.0,99.0,94.0,95.0,1181.0,112386.0
2019-09-15,PPCL,0.0,96.0,92.0,95.0,1120.0,106410.0
2019-09-16,PPCL,0.0,95.0,93.0,93.0,1440.0,135390.0
2019-09-17,PPCL,0.0,93.0,91.0,93.0,2680.0,245270.0
2019-09-18,PPCL,0.0,96.0,92.0,95.0,760.0,72560.0
2019-09-19,PPCL,0.0,97.0,96.0,97.0,260.0,25090.0
2019-09-22,PPCL,0.0,96.0,91.0,92.0,350.0,32200.0
2019-09-23,PPCL,0.0,94.0,91.0,92.0,560.0,51660.0
2019-09-24,PPCL,0.0,93.0,92.0,93.0,310.0,28680.0
2019-09-25,PPCL,0.0,92.0,92.0,92.0,170.0,15640.0
2019-09-26,PPCL,0.0,95.0,90.0,95.0,450.0,41990.0
2019-09-29,PPCL,0.0,98.0,95.0,96.0,1430.0,138180.0
2019-09-30,PPCL,0.0,95.0,95.0,95.0,60.0,5700.0
2019-10-01,PPCL,0.0,95.0,94.0,95.0,725.0,68835.0
2019-10-02,PPCL,0.0,94.0,93.0,94.0,280.0,26240.0
2019-10-10,PPCL,0.0,93.0,93.0,93.0,70.0,6510.0
2019-10-14,PPCL,0.0,93.0,92.0,92.0,470.0,43610.0
2019-10-15,PPCL,0.0,93.0,92.0,93.0,110.0,10220.0
