business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-10-16,PPL,284.1,305.8,255.7,255.7,23578.0,6326271.5
2022-10-17,PPL,256.0,256.0,230.2,230.2,7417.0,1710688.4
2022-10-19,PPL,225.6,225.6,207.3,213.0,46633.0,9830954.5
2022-10-20,PPL,208.8,225.0,205.0,217.0,14121.0,3055821.1
2022-10-23,PPL,213.0,217.8,207.1,216.0,7780.0,1660922.5
2022-10-31,PPL,213.0,214.9,209.0,210.0,11450.0,2427566.0
2022-11-01,PPL,205.8,221.2,204.1,220.8,20105.0,4237046.9
2022-11-02,PPL,225.2,225.2,213.0,219.8,19520.0,4280323.0
2022-11-03,PPL,215.5,221.0,211.5,213.0,8393.0,1807773.0
2022-11-06,PPL,210.0,219.0,210.0,217.5,7350.0,1585612.0
2022-11-07,PPL,221.0,222.6,213.0,213.0,27195.0,5938953.0
2022-11-08,PPL,208.8,216.5,208.8,213.0,5581.0,1196512.5
2022-11-09,PPL,213.0,215.0,207.0,207.0,7623.0,1606438.6
2022-11-10,PPL,207.0,209.0,202.0,203.0,12388.0,2528795.7
2022-11-13,PPL,203.0,203.0,199.8,203.0,5337.0,1074898.8
2022-11-14,PPL,202.1,207.0,200.0,206.9,4600.0,934663.0
2022-11-15,PPL,203.0,206.5,200.0,202.0,7171.0,1459286.1
2022-11-16,PPL,202.0,209.0,200.9,203.0,8432.0,1715703.0
2022-11-17,PPL,203.0,212.8,203.0,206.0,11306.0,2364587.0
2022-11-22,PPL,202.1,211.0,202.1,204.2,6585.0,1357139.3
2022-11-23,PPL,201.3,214.5,201.3,214.4,7472.0,1526255.6
2022-11-24,PPL,211.0,215.0,205.0,211.0,7005.0,1471709.5
2022-11-27,PPL,207.0,215.2,207.0,212.0,7568.0,1584431.4
2022-11-28,PPL,208.0,216.2,208.0,211.8,6509.0,1372940.0
2022-11-29,PPL,207.8,212.0,205.2,210.0,7070.0,1478290.5
2022-11-30,PPL,210.0,214.0,206.0,208.0,6690.0,1390918.0
2022-12-01,PPL,205.0,211.0,204.8,210.9,7934.0,1653644.4
2022-12-04,PPL,210.0,218.4,209.0,209.1,8006.0,1702168.8
2022-12-05,PPL,209.0,211.1,202.4,204.0,12794.0,2615164.8
2022-12-06,PPL,201.0,210.0,201.0,204.5,6755.0,1387708.0
2022-12-07,PPL,200.8,205.0,200.8,201.5,6620.0,1339905.2
2022-12-11,PPL,201.6,201.6,198.0,198.0,6901.0,1374769.0
2022-12-12,PPL,201.9,203.5,195.0,202.0,3095.0,619057.0
2022-12-13,PPL,198.2,206.0,198.2,204.9,3333.0,673837.0
2022-12-14,PPL,208.9,208.9,199.9,204.0,4530.0,914333.0
2022-12-15,PPL,204.0,207.0,196.2,200.0,6335.0,1263801.8
2022-12-18,PPL,198.0,204.0,195.0,198.0,6260.0,1238213.6
2022-12-19,PPL,194.2,203.7,194.2,194.8,13969.0,2733486.5
2022-12-20,PPL,198.6,200.0,191.3,199.0,8085.0,1578761.5
2022-12-21,PPL,195.1,200.0,191.2,192.5,4160.0,808503.0
2022-12-22,PPL,190.0,196.0,190.0,196.0,3556.0,680676.1
2022-12-26,PPL,192.1,202.8,190.0,202.8,14025.0,2794071.0
2022-12-27,PPL,206.8,211.0,202.0,208.0,27582.0,5706989.0
2022-12-28,PPL,207.0,216.1,200.0,207.7,22102.0,4636795.4
2022-12-29,PPL,211.0,220.3,204.7,218.5,37682.0,8086387.6
2023-01-01,PPL,220.0,238.6,217.0,228.0,47259.0,10772533.2
2023-01-02,PPL,224.0,242.3,219.3,235.0,21228.0,4935750.5
2023-01-03,PPL,235.0,235.0,223.8,227.0,20579.0,4745440.1
2023-01-04,PPL,222.8,249.7,222.8,249.7,35940.0,8564883.0
