business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-02,PRVU,0.0,135.0,131.0,132.0,2225.0,296525.0
2012-01-03,PRVU,0.0,135.0,130.0,131.0,3260.0,426980.0
2012-01-09,PRVU,0.0,129.0,125.0,125.0,3400.0,436300.0
2012-01-10,PRVU,0.0,127.0,127.0,127.0,150.0,19050.0
2012-01-12,PRVU,0.0,131.0,127.0,131.0,350.0,45050.0
2012-01-16,PRVU,0.0,129.0,129.0,129.0,100.0,12900.0
2012-01-17,PRVU,0.0,130.0,130.0,130.0,200.0,26000.0
2012-01-18,PRVU,0.0,128.0,126.0,126.0,400.0,50600.0
2012-01-23,PRVU,0.0,124.0,123.0,123.0,750.0,92400.0
2012-01-25,PRVU,0.0,123.0,121.0,121.0,850.0,103650.0
2012-01-26,PRVU,0.0,123.0,119.0,123.0,460.0,55160.0
2012-01-29,PRVU,0.0,125.0,121.0,121.0,1525.0,185425.0
2012-01-31,PRVU,0.0,121.0,116.0,117.0,1900.0,223400.0
2012-02-01,PRVU,0.0,119.0,119.0,119.0,30.0,3570.0
2012-02-02,PRVU,0.0,118.0,113.0,113.0,2800.0,322670.0
2012-02-05,PRVU,0.0,114.0,111.0,111.0,4465.0,501445.0
2012-02-06,PRVU,0.0,113.0,111.0,113.0,3700.0,412600.0
2012-02-07,PRVU,0.0,117.0,114.0,114.0,500.0,57400.0
2012-02-08,PRVU,0.0,114.0,112.0,112.0,1350.0,152500.0
2012-02-12,PRVU,0.0,114.0,111.0,111.0,1330.0,148880.0
2012-02-13,PRVU,0.0,112.0,112.0,112.0,100.0,11200.0
2012-02-14,PRVU,0.0,112.0,108.0,108.0,950.0,104500.0
2012-02-15,PRVU,0.0,108.0,106.0,108.0,2925.0,311650.0
2012-02-16,PRVU,0.0,108.0,108.0,108.0,200.0,21600.0
2012-02-26,PRVU,0.0,108.0,105.0,105.0,2850.0,301650.0
2012-02-27,PRVU,0.0,107.0,106.0,106.0,1725.0,183850.0
2012-02-28,PRVU,0.0,108.0,105.0,107.0,2340.0,248320.0
2012-02-29,PRVU,0.0,107.0,106.0,106.0,1100.0,117400.0
2012-03-04,PRVU,0.0,107.0,106.0,107.0,2325.0,247850.0
2012-03-05,PRVU,0.0,109.0,106.0,109.0,450.0,48700.0
2012-03-06,PRVU,0.0,111.0,107.0,107.0,600.0,65200.0
2012-03-11,PRVU,0.0,107.0,107.0,107.0,1000.0,107000.0
2012-03-12,PRVU,0.0,107.0,107.0,107.0,825.0,88275.0
2012-03-13,PRVU,0.0,107.0,107.0,107.0,300.0,32100.0
2012-03-14,PRVU,0.0,108.0,106.0,107.0,400.0,42650.0
2012-03-15,PRVU,0.0,109.0,107.0,109.0,700.0,75400.0
2012-03-19,PRVU,0.0,108.0,105.0,105.0,1240.0,131940.0
2012-03-20,PRVU,0.0,109.0,106.0,109.0,700.0,75200.0
2012-03-21,PRVU,0.0,114.0,114.0,114.0,5150.0,587100.0
2012-03-25,PRVU,0.0,112.0,110.0,110.0,110.0,12300.0
2012-03-26,PRVU,0.0,108.0,108.0,108.0,200.0,21600.0
2012-03-27,PRVU,0.0,106.0,106.0,106.0,200.0,21200.0
2012-03-28,PRVU,0.0,107.0,105.0,107.0,1863.0,197155.0
2012-03-29,PRVU,0.0,106.0,106.0,106.0,600.0,63600.0
