business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2015-01-05,PRVUPO,0.0,0.0,0.0,100.0,126262.0,12626200.0
2015-01-08,PRVUPO,0.0,140.0,140.0,140.0,285854.0,40019560.0
2015-01-11,PRVUPO,0.0,0.0,0.0,105.0,153819.0,16150995.0
2015-01-12,PRVUPO,0.0,138.0,138.0,138.0,73958.0,10206204.0
2015-01-19,PRVUPO,0.0,136.0,132.0,132.0,6000.0,800000.0
2015-01-20,PRVUPO,0.0,126.0,122.0,122.0,23193.0,2873546.0
2015-01-22,PRVUPO,0.0,116.0,112.0,112.0,9000.0,1022000.0
2015-01-25,PRVUPO,0.0,107.0,103.0,103.0,21000.0,2209000.0
2015-01-26,PRVUPO,0.0,101.0,100.0,100.0,35686.0,3577793.0
2015-01-27,PRVUPO,0.0,100.0,100.0,100.0,2228456.0,222845600.0
2015-02-22,PRVUPO,0.0,0.0,0.0,115.0,43790.0,5035850.0
2015-02-26,PRVUPO,0.0,110.0,102.0,110.0,126774.0,13365868.0
2015-03-01,PRVUPO,0.0,118.0,112.0,118.0,22036.0,2531638.0
2015-03-02,PRVUPO,0.0,122.0,120.0,122.0,25000.0,3030000.0
2015-03-04,PRVUPO,0.0,132.0,124.0,132.0,70386.0,9039794.0
2015-03-09,PRVUPO,0.0,136.0,134.0,136.0,13000.0,1760000.0
2015-04-01,PRVUPO,0.0,140.0,138.0,140.0,100000.0,13900000.0
2015-04-09,PRVUPO,0.0,0.0,0.0,120.0,38925.0,4671000.0
2015-04-13,PRVUPO,0.0,146.0,142.0,146.0,427203.0,61595082.0
2015-05-24,PRVUPO,0.0,146.0,146.0,146.0,425741.0,62158186.0
2015-05-25,PRVUPO,0.0,148.0,148.0,148.0,17317.0,2562916.0
2015-06-08,PRVUPO,0.0,148.0,148.0,148.0,72935.0,10794380.0
2015-06-23,PRVUPO,0.0,150.0,150.0,150.0,49041.0,7356150.0
2015-06-28,PRVUPO,0.0,150.0,150.0,150.0,42234.0,6335100.0
2015-06-30,PRVUPO,0.0,150.0,150.0,150.0,114819.0,17222850.0
2015-07-08,PRVUPO,0.0,150.0,150.0,150.0,3076.0,461400.0
