business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-06-22,PSF,10.0,10.71,10.0,10.57,104690.0,1089062.05
2021-06-23,PSF,10.6,10.6,10.23,10.35,45880.0,476926.0
2021-06-24,PSF,10.15,10.5,10.15,10.32,44400.0,461505.0
2021-06-27,PSF,10.5,10.5,10.05,10.29,28320.0,289006.5
2021-06-28,PSF,10.15,10.31,10.15,10.18,38239.0,390086.83
2021-06-29,PSF,10.1,10.2,10.06,10.2,37080.0,374985.4
2021-06-30,PSF,10.0,10.25,10.0,10.25,36220.0,366139.6
2021-07-01,PSF,10.07,10.2,10.0,10.0,56550.0,568722.0
2021-07-04,PSF,10.0,10.2,10.0,10.06,47850.0,482733.0
2021-07-05,PSF,10.0,10.06,9.98,10.03,58900.0,590309.0
2021-07-06,PSF,10.03,10.3,9.99,10.3,24250.0,246251.7
2021-07-07,PSF,10.1,10.2,9.9,10.05,58060.0,581558.5
2021-07-08,PSF,10.25,10.25,9.9,10.0,9490.0,95007.0
2021-07-11,PSF,10.0,10.3,9.9,10.25,44550.0,453725.0
2021-07-12,PSF,10.45,10.45,9.85,10.1,17050.0,172264.5
2021-07-13,PSF,10.1,10.19,10.0,10.05,78820.0,791133.3
2021-07-14,PSF,9.85,10.2,9.85,10.14,59000.0,598155.0
2021-07-15,PSF,10.3,10.3,10.1,10.14,23600.0,238782.0
2021-07-18,PSF,10.1,10.22,9.99,10.06,66410.0,670485.4
2021-07-19,PSF,10.0,10.24,10.0,10.1,35350.0,358988.0
2021-07-20,PSF,10.2,10.82,10.05,10.5,326961.0,3431508.7
2021-07-22,PSF,10.5,11.22,10.5,10.97,1311461.0,14420617.71
2021-07-25,PSF,11.0,11.18,10.6,10.67,251190.0,2760296.0
2021-07-26,PSF,10.5,10.9,10.48,10.75,112900.0,1210609.5
2021-07-27,PSF,10.55,10.91,10.55,10.65,68820.0,731362.76
2021-07-28,PSF,10.6,10.7,10.57,10.61,45150.0,479090.0
2021-07-29,PSF,10.55,10.7,10.4,10.58,249100.0,2619381.5
2021-08-01,PSF,10.4,10.72,10.37,10.38,206894.0,2165130.38
2021-08-02,PSF,10.39,10.59,10.35,10.36,63500.0,662862.8
2021-08-03,PSF,10.36,10.56,10.36,10.49,51580.0,541764.4
2021-08-04,PSF,10.48,10.55,10.4,10.4,83400.0,870857.1
2021-08-05,PSF,10.4,10.58,10.3,10.41,74690.0,779468.1
2021-08-08,PSF,10.25,10.4,10.25,10.3,171700.0,1773533.5
2021-08-09,PSF,10.2,10.45,10.2,10.35,66700.0,690241.5
2021-08-10,PSF,10.33,10.6,10.22,10.6,170670.0,1776053.1
2021-08-11,PSF,10.6,10.7,10.3,10.3,38625.0,404617.5
2021-08-12,PSF,10.3,10.5,10.24,10.3,56440.0,583451.0
2021-08-15,PSF,10.15,10.35,10.15,10.25,36490.0,374443.8
2021-08-16,PSF,10.2,10.25,9.98,10.15,160966.0,1630884.08
2021-08-17,PSF,10.14,10.17,10.05,10.1,44990.0,454479.8
2021-08-18,PSF,10.08,10.32,10.05,10.18,89270.0,913221.2
2021-08-19,PSF,9.99,10.25,9.99,10.13,63900.0,647473.5
2021-08-24,PSF,10.0,10.15,10.0,10.15,73405.0,739747.05
2021-08-25,PSF,10.0,10.35,10.0,10.35,88300.0,898685.0
2021-08-26,PSF,10.15,10.29,10.1,10.2,32450.0,329675.5
2021-08-29,PSF,10.0,10.4,10.0,10.03,122855.0,1237824.8
2021-08-31,PSF,10.0,10.13,9.95,10.13,51870.0,519673.0
2021-09-01,PSF,10.1,10.15,10.05,10.05,36543.0,368157.79
2021-09-02,PSF,9.98,10.12,9.98,10.0,144740.0,1453207.6
2021-09-05,PSF,9.86,10.0,9.7,9.9,87200.0,860624.0
2021-09-06,PSF,9.9,10.1,9.85,10.1,40510.0,404619.4
