business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2014-07-13,RIDI,0.0,306.0,306.0,306.0,11.0,3366.0
2014-07-14,RIDI,0.0,324.0,312.0,324.0,40.0,12678.0
2014-07-15,RIDI,0.0,336.0,330.0,336.0,22.0,7326.0
2014-07-17,RIDI,0.0,352.0,352.0,352.0,10.0,3520.0
2014-07-20,RIDI,0.0,369.0,369.0,369.0,10.0,3690.0
2014-07-22,RIDI,0.0,404.0,376.0,404.0,50.0,19500.0
2014-07-23,RIDI,0.0,428.0,412.0,428.0,30.0,12600.0
2014-07-24,RIDI,0.0,470.0,436.0,470.0,216.0,100607.0
2014-07-30,RIDI,0.0,488.0,479.0,488.0,105.0,51141.0
2014-07-31,RIDI,0.0,497.0,497.0,497.0,19.0,9443.0
2014-08-03,RIDI,0.0,541.0,521.0,541.0,52.0,27422.0
2014-08-04,RIDI,0.0,595.0,551.0,595.0,88.0,51150.0
2014-08-05,RIDI,0.0,642.0,606.0,642.0,44.0,27456.0
2014-08-06,RIDI,0.0,706.0,654.0,706.0,1816.0,1279652.0
2014-08-07,RIDI,0.0,765.0,706.0,750.0,29164.0,21297738.0
2014-08-12,RIDI,0.0,779.0,740.0,775.0,12376.0,9437840.0
2014-08-13,RIDI,0.0,780.0,755.0,772.0,11270.0,8629110.0
2014-08-14,RIDI,0.0,764.0,745.0,751.0,7896.0,5982425.0
2014-08-18,RIDI,0.0,751.0,700.0,710.0,6394.0,4693764.0
2014-08-19,RIDI,0.0,722.0,700.0,719.0,5855.0,4176914.0
2014-08-20,RIDI,0.0,715.0,688.0,701.0,4859.0,3419529.0
2014-08-21,RIDI,0.0,689.0,645.0,689.0,4349.0,2911504.0
2014-08-24,RIDI,0.0,699.0,657.0,670.0,3226.0,2205419.0
2014-08-25,RIDI,0.0,670.0,605.0,620.0,2945.0,1839716.0
2014-08-26,RIDI,0.0,644.0,610.0,622.0,4164.0,2619518.0
2014-08-27,RIDI,0.0,670.0,632.0,660.0,3426.0,2243079.0
2014-08-28,RIDI,0.0,691.0,660.0,681.0,2421.0,1648758.0
2014-08-31,RIDI,0.0,690.0,644.0,658.0,3734.0,2512513.0
2014-09-01,RIDI,0.0,655.0,605.0,647.0,3783.0,2355721.0
2014-09-03,RIDI,0.0,655.0,598.0,635.0,2737.0,1741989.0
2014-09-04,RIDI,0.0,625.0,600.0,624.0,3897.0,2400094.0
2014-09-07,RIDI,0.0,622.0,580.0,585.0,1096.0,650191.0
2014-09-09,RIDI,0.0,615.0,574.0,606.0,2883.0,1736448.0
2014-09-10,RIDI,0.0,630.0,593.0,605.0,7050.0,4265443.0
2014-09-11,RIDI,0.0,602.0,569.0,602.0,1977.0,1162448.0
2014-09-14,RIDI,0.0,600.0,570.0,583.0,2158.0,1268510.0
2014-09-15,RIDI,0.0,600.0,565.0,575.0,1266.0,737506.0
2014-09-16,RIDI,0.0,603.0,576.0,594.0,1370.0,803797.0
2014-09-17,RIDI,0.0,594.0,580.0,582.0,2786.0,1633017.0
2014-09-18,RIDI,0.0,580.0,563.0,577.0,1181.0,672775.0
2014-09-21,RIDI,0.0,575.0,546.0,550.0,3171.0,1764970.0
2014-09-22,RIDI,0.0,605.0,544.0,560.0,2743.0,1516421.0
2014-09-23,RIDI,0.0,592.0,505.0,580.0,2286.0,1301216.0
2014-09-24,RIDI,0.0,575.0,555.0,565.0,1805.0,1019458.0
2014-09-28,RIDI,0.0,570.0,514.0,545.0,2120.0,1158557.0
2014-09-29,RIDI,0.0,595.0,546.0,586.0,2490.0,1445277.0
2014-09-30,RIDI,0.0,603.0,580.0,585.0,3547.0,2096651.0
2014-10-08,RIDI,0.0,607.0,579.0,583.0,1479.0,871952.0
2014-10-09,RIDI,0.0,594.0,574.0,580.0,2171.0,1258273.0
2014-10-12,RIDI,0.0,585.0,575.0,580.0,2731.0,1582800.0
2014-10-13,RIDI,0.0,577.0,555.0,562.0,2384.0,1352752.0
2014-10-14,RIDI,0.0,580.0,562.0,580.0,2238.0,1267357.0
2014-10-15,RIDI,0.0,590.0,571.0,583.0,10544.0,6124667.0
2014-10-16,RIDI,0.0,585.0,570.0,575.0,977.0,565738.0
2014-10-19,RIDI,0.0,584.0,580.0,584.0,64.0,37200.0
2014-10-21,RIDI,0.0,581.0,570.0,575.0,2964.0,1705666.0
2014-10-22,RIDI,0.0,590.0,567.0,579.0,3075.0,1769390.0
2014-10-26,RIDI,0.0,585.0,569.0,580.0,2762.0,1596206.0
2014-10-27,RIDI,0.0,591.0,580.0,585.0,6961.0,4084743.0
2014-10-28,RIDI,0.0,584.0,568.0,575.0,8981.0,5171062.0
2014-10-30,RIDI,0.0,577.0,555.0,560.0,15328.0,8678147.0
2014-11-02,RIDI,0.0,509.0,499.0,501.0,209.0,104726.0
2014-11-03,RIDI,0.0,491.0,482.0,485.0,92.0,44875.0
2014-11-04,RIDI,0.0,510.0,494.0,510.0,351.0,175288.0
2014-11-05,RIDI,0.0,533.0,500.0,520.0,1448.0,736573.0
2014-11-06,RIDI,0.0,529.0,517.0,520.0,942.0,489935.0
2014-11-09,RIDI,0.0,520.0,510.0,510.0,159.0,81222.0
2014-11-10,RIDI,0.0,510.0,495.0,497.0,534.0,267121.0
2014-11-11,RIDI,0.0,500.0,495.0,500.0,384.0,191370.0
2014-11-12,RIDI,0.0,505.0,486.0,486.0,904.0,453821.0
2014-11-13,RIDI,0.0,495.0,490.0,495.0,254.0,124913.0
2014-11-16,RIDI,0.0,490.0,486.0,486.0,22.0,10736.0
2014-11-17,RIDI,0.0,486.0,466.0,472.0,279.0,131479.0
2014-11-18,RIDI,0.0,470.0,456.0,456.0,240.0,110257.0
2014-11-19,RIDI,0.0,473.0,450.0,464.0,392.0,178996.0
2014-11-20,RIDI,0.0,475.0,470.0,473.0,1968.0,929580.0
2014-11-23,RIDI,0.0,488.0,460.0,460.0,1393.0,649586.0
2014-11-24,RIDI,0.0,453.0,453.0,453.0,10.0,4530.0
2014-11-25,RIDI,0.0,457.0,453.0,457.0,46.0,20956.0
2014-11-30,RIDI,0.0,456.0,455.0,455.0,20.0,9110.0
2014-12-01,RIDI,0.0,456.0,451.0,455.0,63.0,28631.0
2014-12-02,RIDI,0.0,455.0,455.0,455.0,34.0,15470.0
2014-12-03,RIDI,0.0,482.0,457.0,460.0,1378.0,647909.0
2014-12-04,RIDI,0.0,470.0,462.0,463.0,1680.0,783020.0
2014-12-07,RIDI,0.0,469.0,460.0,462.0,307.0,142318.0
2014-12-08,RIDI,0.0,479.0,461.0,470.0,1011.0,471999.0
2014-12-09,RIDI,0.0,480.0,473.0,480.0,73.0,34870.0
2014-12-10,RIDI,0.0,484.0,476.0,476.0,806.0,387669.0
2014-12-11,RIDI,0.0,473.0,470.0,470.0,142.0,66827.0
2014-12-14,RIDI,0.0,499.0,479.0,499.0,451.0,223932.0
2014-12-15,RIDI,0.0,511.0,492.0,511.0,360.0,180093.0
2014-12-16,RIDI,0.0,510.0,501.0,501.0,627.0,317324.0
2014-12-17,RIDI,0.0,492.0,490.0,490.0,75.0,36827.0
2014-12-18,RIDI,0.0,499.0,481.0,495.0,161.0,79293.0
2014-12-21,RIDI,0.0,495.0,495.0,495.0,10.0,4950.0
2014-12-22,RIDI,0.0,487.0,480.0,480.0,329.0,159432.0
2014-12-23,RIDI,0.0,486.0,480.0,484.0,1110.0,535096.0
2014-12-24,RIDI,0.0,487.0,480.0,486.0,167.0,81115.0
2014-12-28,RIDI,0.0,499.0,469.0,469.0,986.0,472181.0
2014-12-29,RIDI,0.0,479.0,469.0,479.0,152.0,71436.0
2014-12-31,RIDI,0.0,485.0,466.0,475.0,582.0,273888.0
2015-01-01,RIDI,0.0,480.0,470.0,480.0,232.0,110239.0
2015-01-04,RIDI,0.0,489.0,480.0,489.0,219.0,106155.0
2015-01-05,RIDI,0.0,487.0,471.0,471.0,208.0,100237.0
2015-01-06,RIDI,0.0,480.0,471.0,479.0,2051.0,976585.0
2015-01-07,RIDI,0.0,485.0,476.0,478.0,1821.0,871256.0
2015-01-08,RIDI,0.0,496.0,471.0,496.0,551.0,266669.0
2015-01-11,RIDI,0.0,499.0,487.0,499.0,618.0,304068.0
2015-01-12,RIDI,0.0,501.0,495.0,500.0,994.0,496228.0
2015-01-13,RIDI,0.0,495.0,495.0,495.0,116.0,57420.0
2015-01-14,RIDI,0.0,499.0,490.0,495.0,125.0,61793.0
2015-01-18,RIDI,0.0,490.0,490.0,490.0,33.0,16170.0
2015-01-19,RIDI,0.0,508.0,499.0,508.0,174.0,87672.0
2015-01-20,RIDI,0.0,502.0,500.0,502.0,219.0,109844.0
2015-01-22,RIDI,0.0,504.0,490.0,499.0,1117.0,555135.0
2015-01-25,RIDI,0.0,490.0,481.0,490.0,485.0,234671.0
2015-01-26,RIDI,0.0,500.0,498.0,498.0,269.0,134125.0
2015-01-27,RIDI,0.0,495.0,490.0,495.0,61.0,30055.0
2015-01-28,RIDI,0.0,500.0,478.0,500.0,441.0,217009.0
2015-01-29,RIDI,0.0,495.0,490.0,495.0,336.0,166170.0
2015-02-01,RIDI,0.0,490.0,490.0,490.0,70.0,34300.0
2015-02-02,RIDI,0.0,486.0,480.0,486.0,539.0,259265.0
2015-02-03,RIDI,0.0,495.0,485.0,495.0,523.0,254830.0
2015-02-04,RIDI,0.0,504.0,495.0,500.0,1391.0,692627.0
2015-02-05,RIDI,0.0,491.0,490.0,490.0,22.0,10791.0
2015-02-08,RIDI,0.0,499.0,481.0,492.0,656.0,320150.0
2015-02-09,RIDI,0.0,495.0,486.0,492.0,157.0,77007.0
2015-02-10,RIDI,0.0,490.0,485.0,490.0,752.0,367492.0
2015-02-11,RIDI,0.0,490.0,482.0,490.0,627.0,302645.0
2015-02-12,RIDI,0.0,492.0,484.0,492.0,1006.0,491867.0
2015-02-16,RIDI,0.0,490.0,481.0,485.0,560.0,272486.0
2015-02-18,RIDI,0.0,495.0,485.0,485.0,1035.0,505769.0
2015-02-22,RIDI,0.0,490.0,485.0,490.0,183.0,88965.0
2015-02-23,RIDI,0.0,494.0,488.0,491.0,332.0,162661.0
2015-02-24,RIDI,0.0,494.0,490.0,490.0,546.0,268208.0
2015-02-25,RIDI,0.0,495.0,482.0,486.0,1246.0,608284.0
2015-02-26,RIDI,0.0,495.0,490.0,490.0,603.0,295585.0
