business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2017-02-08,RSDC,0.0,346.0,334.0,346.0,30.0,10200.0
2017-02-21,RSDC,0.0,352.0,352.0,352.0,10.0,3520.0
2017-02-23,RSDC,0.0,380.0,359.0,380.0,50.0,18370.0
2017-02-26,RSDC,0.0,401.0,387.0,401.0,30.0,11820.0
2017-03-01,RSDC,0.0,441.0,409.0,441.0,72.0,30792.0
2017-03-02,RSDC,0.0,484.0,449.0,484.0,58.0,27146.0
2017-03-05,RSDC,0.0,532.0,493.0,532.0,90.0,46650.0
2017-03-06,RSDC,0.0,574.0,542.0,574.0,54.0,30412.0
2017-03-07,RSDC,0.0,631.0,585.0,631.0,236.0,147606.0
2017-03-09,RSDC,0.0,694.0,643.0,694.0,58.0,38806.0
2017-03-13,RSDC,0.0,763.0,728.0,763.0,182.0,137606.0
2017-03-21,RSDC,0.0,689.0,676.0,689.0,50.0,33982.0
2017-03-22,RSDC,0.0,702.0,702.0,702.0,14.0,9884.0
2017-03-29,RSDC,0.0,737.0,737.0,737.0,14.0,10318.0
2017-04-10,RSDC,0.0,751.0,751.0,751.0,10.0,7510.0
2017-04-13,RSDC,0.0,766.0,766.0,766.0,10.0,7660.0
2017-04-18,RSDC,0.0,796.0,781.0,796.0,20.0,15770.0
2017-04-24,RSDC,0.0,811.0,811.0,811.0,10.0,8110.0
2017-04-25,RSDC,0.0,859.0,827.0,859.0,38.0,32098.0
2017-04-26,RSDC,0.0,893.0,876.0,893.0,28.0,24766.0
2017-04-30,RSDC,0.0,910.0,910.0,910.0,20.0,18200.0
2017-05-02,RSDC,0.0,983.0,928.0,983.0,44.0,42066.0
2017-05-04,RSDC,0.0,1002.0,1002.0,1002.0,10.0,10020.0
2017-05-08,RSDC,0.0,1022.0,1022.0,1022.0,10.0,10220.0
2017-05-11,RSDC,0.0,1094.0,1073.0,1094.0,24.0,25962.0
2017-05-21,RSDC,0.0,1159.0,1115.0,1159.0,30.0,34110.0
2017-05-22,RSDC,0.0,1205.0,1182.0,1205.0,20.0,23870.0
2017-05-23,RSDC,0.0,1278.0,1229.0,1278.0,38.0,47528.0
2017-05-24,RSDC,0.0,1405.0,1303.0,1405.0,80.0,108908.0
2017-05-28,RSDC,0.0,1519.0,1433.0,1519.0,40.0,59030.0
2017-05-30,RSDC,0.0,1579.0,1549.0,1579.0,20.0,31280.0
2017-05-31,RSDC,0.0,1707.0,1610.0,1707.0,54.0,89840.0
2017-06-01,RSDC,0.0,1775.0,1741.0,1775.0,20.0,35160.0
2017-06-04,RSDC,0.0,1952.0,1810.0,1952.0,58.0,109574.0
2017-06-05,RSDC,0.0,2147.0,1991.0,2147.0,60.0,124960.0
2017-06-06,RSDC,0.0,2361.0,2189.0,2361.0,60.0,137430.0
2017-06-07,RSDC,0.0,2597.0,2408.0,2597.0,68.0,171956.0
2017-06-08,RSDC,0.0,2856.0,2648.0,2856.0,178.0,498974.0
2017-06-11,RSDC,0.0,3141.0,2913.0,3141.0,4040.0,12684335.0
2017-06-12,RSDC,0.0,3455.0,2956.0,3070.0,17573.0,54493513.0
2017-06-13,RSDC,0.0,3035.0,2950.0,3000.0,6005.0,18041242.0
2017-06-14,RSDC,0.0,2998.0,2882.0,2893.0,2670.0,7738952.0
2017-06-15,RSDC,0.0,3009.0,2840.0,2901.0,3317.0,9650718.0
2017-06-18,RSDC,0.0,2890.0,2850.0,2861.0,1279.0,3664695.0
2017-06-19,RSDC,0.0,2864.0,2830.0,2839.0,910.0,2595253.0
2017-06-20,RSDC,0.0,2880.0,2815.0,2840.0,1464.0,4146884.0
2017-06-21,RSDC,0.0,2927.0,2821.0,2856.0,702.0,2014898.0
2017-06-22,RSDC,0.0,2890.0,2821.0,2890.0,1405.0,4042099.0
2017-06-25,RSDC,0.0,2990.0,2833.0,2960.0,1034.0,3047856.0
2017-06-27,RSDC,0.0,2990.0,2900.0,2900.0,1136.0,3329363.0
2017-06-28,RSDC,0.0,2955.0,2900.0,2926.0,1203.0,3523409.0
2017-07-02,RSDC,0.0,2955.0,2900.0,2930.0,898.0,2616970.0
2017-07-03,RSDC,0.0,2920.0,2900.0,2915.0,522.0,1520788.0
