business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-03-13,RULB,502.0,502.0,502.0,502.0,42.0,21232.4
2022-03-14,RULB,502.0,532.6,502.0,532.6,62.0,32082.3
2022-03-15,RULB,536.3,557.9,536.3,557.9,40.0,21915.0
2022-03-16,RULB,557.9,569.0,557.9,569.0,21.0,11774.6
2022-03-20,RULB,580.3,625.9,580.3,625.9,70.0,42237.0
2022-03-21,RULB,625.9,638.4,625.9,638.4,30.0,18942.8
2022-03-22,RULB,651.1,677.3,651.1,677.3,31.0,20576.1
2022-03-23,RULB,690.8,745.0,690.8,745.0,101.0,73912.3
2022-03-24,RULB,745.0,819.5,745.0,819.5,62.0,49126.1
2022-03-27,RULB,835.8,901.4,835.8,901.4,110.0,97049.0
2022-03-28,RULB,919.0,991.5,919.0,991.5,139.0,133920.6
2022-03-29,RULB,1011.3,1090.6,1011.3,1090.6,131.0,140406.0
2022-03-30,RULB,1112.4,1199.6,1112.4,1199.6,90.0,105825.0
2022-03-31,RULB,1223.5,1319.5,1223.5,1319.5,130.0,169016.8
2022-04-03,RULB,1345.8,1451.4,1345.8,1451.4,240.0,345747.0
2022-04-04,RULB,1480.4,1596.5,1480.4,1596.5,220.0,347833.6
2022-04-05,RULB,1565.4,1756.1,1565.4,1756.1,3833.0,6724481.3
2022-04-06,RULB,1791.0,1931.7,1653.0,1660.0,49627.0,90489817.2
2022-04-07,RULB,1660.0,1660.0,1525.0,1532.0,23889.0,37059229.8
2022-04-11,RULB,1501.4,1506.0,1380.0,1380.1,17849.0,25382156.3
2022-04-12,RULB,1352.5,1352.5,1290.0,1306.1,11796.0,15470277.9
2022-04-13,RULB,1280.0,1435.0,1262.0,1400.0,6139.0,8263651.5
2022-04-17,RULB,1425.0,1444.0,1305.0,1315.0,8165.0,10942327.0
2022-04-18,RULB,1295.0,1310.0,1264.2,1266.0,5785.0,7419925.2
2022-04-19,RULB,1251.0,1304.0,1251.0,1270.0,4994.0,6403195.0
2022-04-20,RULB,1251.0,1285.0,1196.1,1196.2,5135.0,6348446.9
