business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-05-15,SALICO,611.1,611.1,554.0,560.5,53417.0,29875551.4
2023-05-16,SALICO,558.0,564.0,551.4,558.8,14258.0,7947486.5
2023-05-17,SALICO,560.0,584.0,560.0,584.0,19381.0,11102241.6
2023-05-18,SALICO,573.0,606.0,573.0,604.9,41447.0,24486414.3
2023-05-21,SALICO,610.0,618.0,600.0,613.7,21127.0,12896200.9
2023-05-22,SALICO,610.0,629.0,606.0,628.0,12030.0,7429584.2
2023-05-23,SALICO,625.0,665.0,625.0,651.0,28344.0,18366810.7
2023-05-24,SALICO,661.0,665.0,647.0,660.0,23153.0,15156811.0
2023-05-28,SALICO,669.0,669.0,633.0,639.0,33839.0,22093619.5
2023-05-30,SALICO,627.0,632.9,608.0,622.0,34278.0,21165690.4
2023-05-31,SALICO,609.6,640.0,597.8,606.0,49776.0,30602687.3
2023-06-01,SALICO,612.0,628.0,594.1,615.2,16560.0,10080849.6
2023-06-04,SALICO,615.2,650.0,615.2,641.0,14219.0,9030157.6
2023-06-05,SALICO,645.0,650.0,635.0,635.0,17932.0,11491173.4
2023-06-06,SALICO,625.0,666.0,624.2,665.0,29713.0,19393478.0
2023-06-07,SALICO,678.0,678.0,658.0,658.1,31512.0,20951845.0
2023-06-08,SALICO,655.0,696.9,650.0,696.9,49848.0,33885291.5
2023-06-11,SALICO,704.0,708.5,694.3,708.5,41139.0,28819649.9
2023-06-12,SALICO,718.0,718.0,700.0,704.0,48227.0,34027181.6
2023-06-13,SALICO,690.0,740.0,690.0,728.9,53143.0,38437238.3
2023-06-14,SALICO,738.8,745.0,715.0,720.0,44792.0,32914087.7
2023-06-15,SALICO,729.9,745.0,720.0,740.0,26899.0,19686562.8
2023-06-18,SALICO,753.9,784.9,740.0,780.0,54204.0,41352391.3
2023-06-19,SALICO,795.6,795.6,751.0,760.0,30787.0,23586425.5
2023-06-20,SALICO,753.1,774.0,726.3,731.1,32472.0,24324098.1
2023-06-21,SALICO,731.0,749.9,731.0,733.0,32546.0,24084132.8
2023-06-22,SALICO,745.7,759.8,735.0,752.0,27637.0,20708648.3
2023-06-25,SALICO,767.0,800.0,764.9,787.9,72656.0,57130982.0
2023-06-26,SALICO,800.0,805.0,776.0,776.0,44642.0,35150022.7
2023-06-27,SALICO,770.0,786.0,767.0,771.9,29547.0,22836929.0
2023-06-28,SALICO,757.2,785.0,747.0,765.0,35448.0,27312072.3
2023-07-02,SALICO,770.0,790.0,755.0,774.9,43506.0,33694639.2
2023-07-03,SALICO,772.0,776.0,752.0,758.0,67716.0,51962916.2
2023-07-04,SALICO,760.3,770.0,746.1,752.0,37118.0,27935125.3
2023-07-05,SALICO,739.0,750.0,739.0,739.5,34776.0,25860157.5
2023-07-06,SALICO,738.0,747.9,726.3,733.2,31245.0,22992049.5
2023-07-09,SALICO,747.8,747.8,730.0,732.1,51779.0,38078831.5
2023-07-10,SALICO,745.0,752.0,733.5,736.0,35209.0,26051130.2
2023-07-11,SALICO,727.0,750.0,727.0,746.9,32560.0,24092709.9
2023-07-12,SALICO,750.0,765.0,743.0,758.0,47558.0,35968831.8
2023-07-13,SALICO,751.0,770.0,741.4,750.0,34844.0,26400449.9
2023-07-16,SALICO,750.0,750.0,743.3,748.0,16740.0,12497135.5
2023-07-17,SALICO,760.0,770.0,741.0,765.0,20219.0,15425563.4
2023-07-18,SALICO,780.0,790.0,771.0,780.0,41317.0,32242437.6
