business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-05,SBBLJ,0.0,201.0,201.0,201.0,1800.0,361800.0
2012-02-16,SBBLJ,0.0,201.0,201.0,201.0,1200.0,241200.0
2012-03-18,SBBLJ,201.0,205.0,205.0,205.0,11500.0,2357500.0
2012-03-19,SBBLJ,0.0,205.0,205.0,205.0,5072.0,1039760.0
2012-04-18,SBBLJ,0.0,204.0,204.0,204.0,750.0,153000.0
2012-04-26,SBBLJ,0.0,204.0,204.0,204.0,1170.0,238680.0
2012-05-24,SBBLJ,0.0,208.0,204.0,208.0,145.0,29624.0
2012-06-18,SBBLJ,0.0,208.0,208.0,208.0,5072.0,1054976.0
2012-07-03,SBBLJ,0.0,204.0,200.0,200.0,1036.0,211280.0
2012-07-10,SBBLJ,0.0,200.0,200.0,200.0,488.0,97600.0
2012-07-17,SBBLJ,0.0,200.0,200.0,200.0,84.0,16800.0
2012-08-12,SBBLJ,0.0,205.0,194.0,194.0,1073.0,215753.0
2012-08-14,SBBLJ,0.0,197.0,194.0,194.0,181.0,35597.0
2012-08-15,SBBLJ,0.0,196.0,191.0,191.0,1764.0,341588.0
2012-08-16,SBBLJ,0.0,190.0,190.0,190.0,2000.0,380000.0
2012-08-19,SBBLJ,0.0,187.0,187.0,187.0,2500.0,467500.0
2012-08-21,SBBLJ,0.0,184.0,184.0,184.0,2166.0,398544.0
2012-08-22,SBBLJ,0.0,181.0,180.0,180.0,1151.0,207514.0
2012-08-23,SBBLJ,0.0,178.0,178.0,178.0,1334.0,237452.0
2012-08-27,SBBLJ,0.0,175.0,175.0,175.0,1500.0,262500.0
2012-08-28,SBBLJ,0.0,177.0,177.0,177.0,2166.0,383382.0
2012-09-13,SBBLJ,0.0,183.0,180.0,183.0,487.0,88827.0
2012-09-20,SBBLJ,0.0,189.0,186.0,189.0,923.0,171918.0
2012-10-07,SBBLJ,0.0,207.0,192.0,207.0,3311.0,671969.0
2012-10-08,SBBLJ,0.0,227.0,207.0,227.0,689.0,145631.0
2012-10-09,SBBLJ,0.0,235.0,231.0,235.0,100.0,23400.0
2012-10-10,SBBLJ,0.0,244.0,239.0,240.0,1050.0,252440.0
2012-10-11,SBBLJ,0.0,240.0,236.0,240.0,215.0,51384.0
2012-11-04,SBBLJ,0.0,243.0,243.0,243.0,150.0,36450.0
2012-11-05,SBBLJ,0.0,247.0,247.0,247.0,20.0,4940.0
2012-11-06,SBBLJ,0.0,265.0,251.0,265.0,306.0,79446.0
2012-11-07,SBBLJ,0.0,290.0,270.0,290.0,168.0,47480.0
2012-11-18,SBBLJ,0.0,285.0,285.0,285.0,55.0,15675.0
2012-11-25,SBBLJ,0.0,289.0,289.0,289.0,200.0,57800.0
2012-11-26,SBBLJ,0.0,284.0,284.0,284.0,100.0,28400.0
2012-11-27,SBBLJ,0.0,289.0,279.0,289.0,215.0,60135.0
2012-12-02,SBBLJ,0.0,285.0,285.0,285.0,544.0,155040.0
2012-12-05,SBBLJ,0.0,285.0,285.0,285.0,145.0,41325.0
2012-12-06,SBBLJ,0.0,289.0,289.0,289.0,950.0,274550.0
2012-12-09,SBBLJ,0.0,290.0,290.0,290.0,125.0,36250.0
2012-12-10,SBBLJ,0.0,285.0,285.0,285.0,100.0,28500.0
2012-12-23,SBBLJ,0.0,284.0,280.0,284.0,845.0,237980.0
2013-01-02,SBBLJ,0.0,279.0,279.0,279.0,150.0,41850.0
2013-01-03,SBBLJ,0.0,274.0,274.0,274.0,200.0,54800.0
2013-01-06,SBBLJ,274.0,270.0,270.0,270.0,200.0,54000.0
2013-01-09,SBBLJ,0.0,275.0,275.0,275.0,105.0,28875.0
2013-01-10,SBBLJ,0.0,285.0,274.0,285.0,399.0,111671.0
2013-01-13,SBBLJ,0.0,290.0,285.0,285.0,10180.0,2951300.0
2013-01-15,SBBLJ,0.0,290.0,285.0,285.0,9536.0,2763940.0
2013-01-17,SBBLJ,0.0,285.0,285.0,285.0,2048.0,583680.0
2013-01-22,SBBLJ,0.0,290.0,290.0,290.0,100.0,29000.0
2013-01-24,SBBLJ,0.0,290.0,290.0,290.0,4000.0,1160000.0
2013-01-28,SBBLJ,0.0,290.0,285.0,285.0,1286.0,366610.0
2013-02-04,SBBLJ,0.0,289.0,289.0,289.0,1939.0,560371.0
2013-02-05,SBBLJ,0.0,290.0,289.0,290.0,2749.0,794788.0
2013-02-07,SBBLJ,0.0,285.0,280.0,280.0,4237.0,1193855.0
2013-02-13,SBBLJ,0.0,285.0,285.0,285.0,985.0,280725.0
2013-02-14,SBBLJ,0.0,291.0,285.0,291.0,614.0,175654.0
2013-02-17,SBBLJ,0.0,301.0,296.0,301.0,4000.0,1199000.0
2013-02-19,SBBLJ,0.0,313.0,307.0,313.0,3000.0,924000.0
2013-02-20,SBBLJ,0.0,315.0,315.0,315.0,476.0,149940.0
2013-02-27,SBBLJ,0.0,320.0,314.0,314.0,5011.0,1603454.0
2013-03-21,SBBLJ,0.0,314.0,314.0,314.0,100.0,31400.0
2013-03-28,SBBLJ,0.0,314.0,314.0,314.0,66.0,20724.0
2013-04-03,SBBLJ,0.0,315.0,285.0,306.0,7078.0,2063650.0
2013-04-04,SBBLJ,0.0,300.0,300.0,300.0,100.0,30000.0
2013-04-07,SBBLJ,0.0,299.0,299.0,299.0,580.0,173420.0
2013-04-08,SBBLJ,0.0,299.0,299.0,299.0,200.0,59800.0
2013-05-28,SBBLJ,0.0,237.0,237.0,237.0,300.0,71100.0
2013-06-05,SBBLJ,0.0,233.0,233.0,233.0,659.0,153547.0
2013-06-06,SBBLJ,0.0,235.0,235.0,235.0,200.0,47000.0
2013-07-14,SBBLJ,0.0,239.0,239.0,239.0,636.0,152004.0
2013-07-21,SBBLJ,0.0,239.0,235.0,239.0,237.0,56095.0
2013-08-08,SBBLJ,0.0,261.0,243.0,261.0,60.0,15090.0
2013-08-11,SBBLJ,0.0,286.0,266.0,286.0,50.0,13800.0
2013-08-12,SBBLJ,0.0,314.0,291.0,314.0,660.0,206430.0
2013-08-13,SBBLJ,0.0,344.0,320.0,330.0,1666.0,554451.0
2013-08-14,SBBLJ,0.0,330.0,324.0,324.0,580.0,188520.0
2013-08-15,SBBLJ,0.0,318.0,318.0,318.0,776.0,246768.0
2013-08-20,SBBLJ,0.0,318.0,306.0,318.0,162.0,50154.0
2013-08-26,SBBLJ,0.0,324.0,324.0,324.0,50.0,16200.0
2013-08-27,SBBLJ,0.0,342.0,330.0,342.0,140.0,46800.0
2013-08-29,SBBLJ,0.0,361.0,346.0,361.0,972.0,343966.0
2013-09-02,SBBLJ,0.0,365.0,365.0,365.0,20.0,7300.0
2013-09-03,SBBLJ,0.0,364.0,364.0,364.0,4300.0,1565200.0
2013-09-04,SBBLJ,0.0,364.0,364.0,364.0,2800.0,1019200.0
2013-09-09,SBBLJ,0.0,365.0,358.0,358.0,390.0,140355.0
2013-09-10,SBBLJ,0.0,351.0,344.0,344.0,502.0,173052.0
2013-09-11,SBBLJ,0.0,340.0,340.0,340.0,81.0,27540.0
2013-09-12,SBBLJ,0.0,340.0,340.0,340.0,400.0,136000.0
2013-09-15,SBBLJ,0.0,334.0,334.0,334.0,75.0,25050.0
2013-09-25,SBBLJ,0.0,352.0,330.0,348.0,2902.0,1001946.0
2013-09-29,SBBLJ,0.0,345.0,345.0,345.0,40.0,13800.0
2013-09-30,SBBLJ,0.0,345.0,345.0,345.0,50.0,17250.0
2013-10-08,SBBLJ,0.0,339.0,327.0,327.0,606.0,200454.0
2013-10-30,SBBLJ,0.0,333.0,333.0,333.0,10.0,3330.0
2013-11-24,SBBLJ,0.0,339.0,339.0,339.0,20.0,6780.0
2013-11-25,SBBLJ,0.0,351.0,339.0,351.0,933.0,319185.0
2013-11-26,SBBLJ,0.0,365.0,358.0,365.0,36.0,12958.0
2013-11-27,SBBLJ,0.0,386.0,372.0,386.0,306.0,116506.0
2013-11-28,SBBLJ,0.0,416.0,393.0,416.0,665.0,268275.0
2013-12-01,SBBLJ,0.0,415.0,410.0,410.0,411.0,170460.0
2013-12-02,SBBLJ,0.0,423.0,415.0,423.0,940.0,393700.0
