business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-06-09,SBCF,10.0,10.16,9.75,10.12,124987.0,1245120.7
2021-06-10,SBCF,10.0,11.0,9.93,10.6,213883.0,2298305.59
2021-06-13,SBCF,10.5,10.7,10.3,10.32,70260.0,731026.1
2021-06-14,SBCF,10.18,10.35,10.18,10.34,38625.0,397303.7
2021-06-15,SBCF,10.34,10.45,10.21,10.26,66800.0,690569.9
2021-06-16,SBCF,10.18,10.4,10.18,10.35,65500.0,670669.0
2021-06-17,SBCF,10.2,10.3,10.15,10.27,50155.0,515267.85
2021-06-20,SBCF,10.3,10.45,10.1,10.14,37400.0,381588.0
2021-06-21,SBCF,10.0,10.1,10.0,10.06,68200.0,687680.0
2021-06-22,SBCF,10.07,10.1,9.99,10.08,51197.0,514393.85
2021-06-23,SBCF,9.99,10.11,9.99,10.05,27809.0,280480.54
2021-06-24,SBCF,10.06,10.08,10.0,10.03,40890.0,411276.8
2021-06-27,SBCF,10.0,10.14,9.95,10.14,22050.0,222761.5
2021-06-28,SBCF,10.12,10.12,10.02,10.05,12010.0,121026.0
2021-06-29,SBCF,10.05,10.09,9.91,10.09,9550.0,95594.5
2021-06-30,SBCF,10.1,10.1,9.99,10.0,9750.0,97713.0
2021-07-01,SBCF,10.0,10.16,9.98,10.1,53500.0,536330.0
2021-07-04,SBCF,10.0,10.13,10.0,10.03,24510.0,246739.9
2021-07-05,SBCF,10.0,10.14,10.0,10.0,16350.0,164159.0
2021-07-06,SBCF,10.0,10.19,9.91,10.0,60477.0,607877.03
2021-07-07,SBCF,10.0,10.19,9.89,10.0,43400.0,437524.47
2021-07-08,SBCF,10.1,10.1,9.95,10.0,5050.0,50486.0
2021-07-11,SBCF,10.0,10.2,10.0,10.04,22260.0,225569.0
2021-07-12,SBCF,9.9,10.19,9.9,10.0,41987.0,421195.4
2021-07-13,SBCF,9.89,10.5,9.89,10.13,21650.0,222137.5
2021-07-14,SBCF,9.97,10.16,9.97,10.16,19950.0,200518.5
2021-07-15,SBCF,10.0,10.16,10.0,10.16,69300.0,702932.0
2021-07-18,SBCF,10.16,10.16,10.01,10.1,15900.0,160223.1
2021-07-19,SBCF,10.0,10.12,10.0,10.12,8900.0,89734.0
2021-07-20,SBCF,10.15,10.56,10.15,10.53,113347.0,1174427.05
2021-07-22,SBCF,10.54,11.29,10.54,10.6,486620.0,5364332.0
2021-07-25,SBCF,10.7,10.8,10.39,10.55,137579.0,1456594.4
2021-07-26,SBCF,10.55,10.97,10.34,10.62,101561.0,1082404.88
2021-07-27,SBCF,10.5,10.62,10.44,10.62,69300.0,729018.5
2021-07-28,SBCF,10.41,10.5,10.41,10.42,32940.0,343188.2
2021-07-29,SBCF,10.42,10.6,10.23,10.58,33545.0,349711.17
2021-08-01,SBCF,10.5,10.79,10.29,10.29,135850.0,1424039.6
2021-08-02,SBCF,10.25,10.7,10.25,10.48,23300.0,243913.0
2021-08-03,SBCF,10.3,10.7,10.3,10.46,20471.0,214998.15
2021-08-04,SBCF,10.46,10.7,10.36,10.44,104979.0,1107475.3
2021-08-05,SBCF,10.3,10.6,10.3,10.42,24565.0,256886.6
2021-08-08,SBCF,10.3,10.45,10.29,10.3,51400.0,531694.46
2021-08-09,SBCF,10.1,10.55,10.1,10.45,18500.0,192756.0
2021-08-10,SBCF,10.25,10.5,10.1,10.29,57300.0,589070.35
2021-08-11,SBCF,10.2,10.36,10.2,10.3,19100.0,197034.6
2021-08-12,SBCF,10.3,10.31,10.11,10.21,39440.0,403639.02
2021-08-15,SBCF,10.21,10.3,10.01,10.21,24591.0,251061.93
2021-08-16,SBCF,10.32,10.41,10.21,10.3,19110.0,196061.2
