business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-06-02,SBLD84,0.0,1000.0,1000.0,1000.0,155.0,155325.0
2021-06-03,SBLD84,0.0,998.0,993.0,996.0,570.0,567685.0
2021-06-06,SBLD84,990.0,995.0,990.0,993.0,520.0,515685.0
2021-06-07,SBLD84,995.0,1000.0,995.0,995.0,315.0,313600.0
2021-06-08,SBLD84,993.0,996.0,990.0,995.0,625.0,622075.0
2021-06-09,SBLD84,991.0,995.0,991.0,995.0,325.0,323250.0
2021-06-10,SBLD84,995.0,1002.0,992.0,992.0,85.0,84510.0
2021-06-13,SBLD84,992.0,996.0,993.0,995.0,250.0,248825.0
2021-06-14,SBLD84,995.0,997.0,995.0,996.0,180.0,179255.0
2021-06-15,SBLD84,995.0,998.0,995.0,996.0,85.0,84685.0
2021-06-16,SBLD84,996.0,996.0,996.0,996.0,50.0,49800.0
2021-06-17,SBLD84,1000.0,1001.0,998.0,998.0,90.0,89915.0
2021-06-20,SBLD84,998.0,1003.0,998.0,1000.0,385.0,385260.0
2021-06-21,SBLD84,1000.0,1000.0,1000.0,1000.0,70.0,70000.0
2021-06-22,SBLD84,1000.0,1000.0,1000.0,1000.0,45.0,45000.0
2021-06-23,SBLD84,996.0,1000.0,996.0,1000.0,35.0,34960.0
2021-06-24,SBLD84,1020.0,1020.0,1004.0,1010.0,120.0,121300.0
2021-06-27,SBLD84,1003.0,1005.0,1003.0,1005.0,75.0,75275.0
2021-06-28,SBLD84,1005.0,1005.0,1004.0,1004.0,150.0,150700.0
2021-06-29,SBLD84,1004.0,1005.0,1004.0,1004.0,100.0,100450.0
2021-06-30,SBLD84,1004.0,1004.0,1003.0,1004.0,125.0,125475.0
2021-07-01,SBLD84,1004.0,1004.0,1000.0,1000.0,165.0,165370.0
2021-07-04,SBLD84,1001.0,1005.0,1001.0,1002.0,100.0,100250.0
2021-07-05,SBLD84,1002.0,1002.0,1002.0,1002.0,25.0,25050.0
2021-07-06,SBLD84,1007.0,1020.0,1001.0,1003.0,110.0,110695.0
2021-07-11,SBLD84,1002.0,1006.0,1002.0,1006.0,50.0,50200.0
2021-07-12,SBLD84,1005.0,1006.0,1004.0,1005.0,280.0,281445.0
2021-07-13,SBLD84,1007.0,1007.0,1007.0,1007.0,25.0,25175.0
2021-07-14,SBLD84,1007.0,1007.0,1001.0,1001.0,65.0,65215.0
2021-07-18,SBLD84,981.0,981.0,981.0,981.0,125.0,122625.0
2021-07-25,SBLD84,985.0,989.0,985.0,989.0,35.0,34575.0
2021-07-26,SBLD84,989.0,993.0,985.0,985.0,665.0,656450.0
2021-07-27,SBLD84,985.0,985.0,985.0,985.0,25.0,24625.0
2021-07-29,SBLD84,978.5,978.5,978.5,978.5,10.0,9785.0
2021-08-01,SBLD84,980.0,995.0,980.0,995.0,50.0,49300.0
2021-08-02,SBLD84,985.0,985.0,985.0,985.0,25.0,24625.0
2021-08-03,SBLD84,995.0,1003.0,985.0,985.0,85.0,84645.0
2021-08-04,SBLD84,981.6,981.6,981.3,981.3,240.0,235537.0
2021-08-05,SBLD84,985.0,985.0,985.0,985.0,60.0,59100.0
2021-08-08,SBLD84,981.1,981.1,981.1,981.1,25.0,24527.5
2021-08-09,SBLD84,982.5,982.5,982.5,982.5,25.0,24562.5
2021-08-10,SBLD84,983.1,984.1,983.1,984.1,75.0,73780.0
2021-08-11,SBLD84,980.0,980.0,980.0,980.0,25.0,24500.0
2021-08-12,SBLD84,980.0,985.2,981.0,985.2,55.0,54060.0
2021-08-15,SBLD84,985.4,985.6,985.4,985.6,85.0,83771.0
2021-08-16,SBLD84,982.3,986.0,982.3,986.0,50.0,49207.5
2021-08-18,SBLD84,985.0,985.0,985.0,985.0,75.0,73875.0
2021-08-24,SBLD84,980.0,981.0,980.0,981.0,50.0,49025.0
2021-08-25,SBLD84,980.0,980.0,980.0,980.0,25.0,24500.0
2021-08-26,SBLD84,980.0,990.4,980.0,981.0,125.0,122619.0
2021-08-29,SBLD84,981.0,982.1,981.0,982.1,250.0,245485.0
2021-08-31,SBLD84,981.0,985.0,981.0,985.0,100.0,98300.0
2021-09-01,SBLD84,985.0,985.0,985.0,985.0,140.0,137900.0
2021-09-02,SBLD84,979.0,979.0,979.0,979.0,100.0,97900.0
2021-09-06,SBLD84,980.0,980.0,980.0,980.0,25.0,24500.0
2021-09-08,SBLD84,970.1,970.1,970.1,970.1,25.0,24252.5
2021-09-09,SBLD84,975.0,975.0,971.0,971.0,50.0,48650.0
2021-09-12,SBLD84,970.0,975.0,970.0,975.0,50.0,48625.0
2021-09-13,SBLD84,975.0,975.0,974.0,974.0,75.0,73100.0
2021-09-14,SBLD84,975.0,975.0,975.0,975.0,30.0,29250.0
2021-09-21,SBLD84,965.0,965.0,965.0,965.0,25.0,24125.0
2021-09-26,SBLD84,975.0,975.0,975.0,975.0,50.0,48750.0
2021-09-27,SBLD84,970.0,972.0,970.0,972.0,60.0,58270.0
2021-09-30,SBLD84,960.0,963.0,960.0,963.0,60.0,57690.0
2021-10-03,SBLD84,961.0,961.0,960.1,960.1,125.0,120080.0
2021-10-04,SBLD84,960.0,960.0,960.0,960.0,50.0,48000.0
2021-10-10,SBLD84,957.0,957.0,957.0,957.0,50.0,47850.0
2021-10-17,SBLD84,956.0,956.0,956.0,956.0,25.0,23900.0
2021-10-20,SBLD84,956.0,956.0,956.0,956.0,25.0,23900.0
2021-10-26,SBLD84,951.0,951.0,951.0,951.0,25.0,23775.0
2021-10-28,SBLD84,950.0,950.0,948.5,948.5,50.0,47462.5
