business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-10-21,SDBD87,1000.0,1000.0,1000.0,1000.0,25.0,25000.0
2021-10-25,SDBD87,980.0,980.0,945.0,960.0,500.0,478402.0
2021-10-26,SDBD87,950.0,960.0,950.0,959.9,425.0,406992.5
2021-10-27,SDBD87,954.1,955.0,954.1,955.0,150.0,143147.5
2021-10-28,SDBD87,960.0,962.0,960.0,962.0,125.0,120075.0
2021-10-31,SDBD87,950.0,957.0,950.0,957.0,105.0,100152.5
2021-11-01,SDBD87,960.0,976.1,960.0,961.1,395.0,380872.5
2021-11-08,SDBD87,970.0,970.0,966.0,967.0,80.0,77405.0
2021-11-09,SDBD87,967.0,967.0,967.0,967.0,25.0,24175.0
2021-11-11,SDBD87,960.0,960.0,960.0,960.0,25.0,24000.0
2021-11-14,SDBD87,960.0,960.0,960.0,960.0,50.0,48000.0
2021-11-15,SDBD87,960.1,960.1,960.1,960.1,50.0,48005.0
2021-11-16,SDBD87,960.0,960.0,960.0,960.0,100.0,96000.0
2021-11-17,SDBD87,960.0,960.0,960.0,960.0,50.0,48000.0
2021-11-18,SDBD87,960.0,960.0,960.0,960.0,25.0,24000.0
2021-11-21,SDBD87,960.0,960.0,957.7,957.7,100.0,95887.5
2021-11-25,SDBD87,960.0,960.0,960.0,960.0,25.0,24000.0
2021-11-28,SDBD87,960.0,960.0,960.0,960.0,50.0,48000.0
2021-11-29,SDBD87,960.0,960.0,955.6,955.6,150.0,143780.0
2021-12-01,SDBD87,955.2,955.2,955.2,955.2,25.0,23880.0
2021-12-02,SDBD87,954.5,954.5,954.5,954.5,25.0,23862.5
2021-12-05,SDBD87,954.6,954.6,953.6,953.6,125.0,119262.5
2021-12-07,SDBD87,951.3,955.2,951.3,955.2,75.0,71447.5
2021-12-08,SDBD87,951.1,951.1,951.1,951.1,25.0,23777.5
2021-12-13,SDBD87,950.0,950.0,950.0,950.0,50.0,47500.0
2021-12-14,SDBD87,950.2,951.2,950.0,951.2,110.0,104567.5
2021-12-15,SDBD87,950.2,950.2,950.1,950.1,65.0,61759.0
2021-12-16,SDBD87,955.0,969.0,955.0,969.0,75.0,72325.0
2021-12-20,SDBD87,969.5,969.5,969.5,969.5,25.0,24237.5
2021-12-22,SDBD87,950.4,969.0,950.4,969.0,125.0,120660.0
2021-12-26,SDBD87,951.2,951.2,951.2,951.2,25.0,23780.0
2022-01-02,SDBD87,949.6,950.9,949.6,950.3,75.0,71270.0
2022-01-03,SDBD87,955.0,955.0,955.0,955.0,25.0,23875.0
2022-01-04,SDBD87,974.1,974.1,974.1,974.1,10.0,9741.0
2022-01-05,SDBD87,955.0,955.0,955.0,955.0,25.0,23875.0
2022-01-06,SDBD87,974.1,980.0,970.0,980.0,100.0,97452.5
2022-01-09,SDBD87,990.0,999.6,990.0,999.6,250.0,249360.0
2022-01-10,SDBD87,999.9,1000.0,995.0,995.0,125.0,124747.5
2022-01-11,SDBD87,1000.1,1000.1,1000.1,1000.1,1000.0,1000100.0
2022-01-12,SDBD87,985.0,985.0,985.0,985.0,25.0,24625.0
2022-01-13,SDBD87,1000.0,1000.0,980.0,980.0,125.0,123000.0
2022-01-18,SDBD87,960.4,960.4,960.4,960.4,100.0,96040.0
2022-01-23,SDBD87,941.2,941.2,923.0,923.0,85.0,79001.0
2022-01-24,SDBD87,910.0,910.0,910.0,910.0,75.0,68250.0
2022-01-25,SDBD87,903.0,903.0,895.0,899.0,175.0,157352.5
2022-01-26,SDBD87,895.0,895.0,895.0,895.0,25.0,22375.0
2022-01-30,SDBD87,895.0,895.0,895.0,895.0,50.0,44750.0
2022-01-31,SDBD87,897.0,897.0,897.0,897.0,25.0,22425.0
2022-02-01,SDBD87,895.5,899.1,895.5,899.1,50.0,44865.0
2022-02-15,SDBD87,887.0,890.0,886.0,890.0,125.0,111165.0
2022-02-16,SDBD87,887.0,890.0,886.5,890.0,40.0,35520.0
2022-02-23,SDBD87,885.5,885.5,885.0,885.0,35.0,30987.5
2022-03-07,SDBD87,880.0,880.0,878.0,878.0,125.0,109785.5
2022-03-09,SDBD87,890.0,890.0,890.0,890.0,100.0,89000.0
2022-03-15,SDBD87,874.5,874.5,874.5,874.5,25.0,21862.5
2022-03-16,SDBD87,874.6,875.0,874.0,875.0,70.0,61221.5
2022-03-20,SDBD87,872.9,872.9,866.0,866.0,50.0,43501.5
2022-03-22,SDBD87,866.1,867.0,866.0,866.5,55.0,47651.5
2022-03-27,SDBD87,861.0,865.0,860.3,865.0,75.0,64764.5
2022-03-29,SDBD87,865.0,865.0,865.0,865.0,50.0,43250.0
2022-04-11,SDBD87,882.3,885.0,882.3,885.0,75.0,66240.0
2022-04-17,SDBD87,900.0,902.5,900.0,902.5,50.0,45062.5
2022-04-27,SDBD87,884.5,884.5,884.5,884.5,50.0,44225.0
2022-04-28,SDBD87,884.5,884.5,884.5,884.5,50.0,44225.0
2022-05-17,SDBD87,868.2,868.2,867.0,867.0,100.0,86762.5
2022-05-18,SDBD87,865.0,865.0,865.0,865.0,100.0,86500.0
2022-05-19,SDBD87,865.0,865.0,863.0,863.0,100.0,86355.0
2022-05-23,SDBD87,861.7,861.7,861.7,861.7,25.0,21542.5
2022-05-25,SDBD87,862.6,862.6,862.6,862.6,25.0,21565.0
2022-05-30,SDBD87,864.1,864.1,864.1,864.1,30.0,25923.0
2022-06-01,SDBD87,863.2,863.2,863.2,863.2,25.0,21580.0
2022-06-10,SDBD87,863.1,863.1,862.0,862.0,100.0,86250.0
2022-06-13,SDBD87,862.5,862.5,862.5,862.5,20.0,17250.0
2022-06-14,SDBD87,862.5,862.5,862.5,862.5,15.0,12937.5
2022-06-15,SDBD87,862.5,862.5,862.5,862.5,25.0,21562.5
2022-06-20,SDBD87,861.7,861.7,861.7,861.7,25.0,21542.5
2022-06-29,SDBD87,861.5,875.0,861.5,875.0,75.0,65287.5
2022-07-03,SDBD87,892.4,892.5,875.0,875.0,100.0,88372.5
2022-07-15,SDBD87,892.0,892.5,892.0,892.5,50.0,44612.5
2022-07-20,SDBD87,874.7,874.7,857.3,857.3,107.0,92601.1
2022-07-21,SDBD87,857.3,857.3,857.3,857.3,25.0,21432.5
2022-07-22,SDBD87,857.0,857.0,857.0,857.0,10.0,8570.0
2022-07-24,SDBD87,856.0,856.0,856.0,856.0,25.0,21400.0
2022-07-27,SDBD87,838.9,838.9,838.9,838.9,100.0,83890.0
2022-07-29,SDBD87,822.2,822.2,822.2,822.2,60.0,49332.0
2022-08-03,SDBD87,822.5,822.5,822.5,822.5,50.0,41125.0
2022-08-10,SDBD87,822.0,822.0,822.0,822.0,25.0,20550.0
2022-08-16,SDBD87,810.0,810.0,810.0,810.0,25.0,20250.0
2022-08-18,SDBD87,806.0,807.0,800.0,800.0,225.0,180775.0
2022-08-22,SDBD87,791.3,791.3,791.3,791.3,25.0,19782.5
2022-08-30,SDBD87,791.2,791.2,791.0,791.0,50.0,39555.0
2022-08-31,SDBD87,790.0,790.0,790.0,790.0,25.0,19750.0
2022-09-01,SDBD87,790.0,790.0,782.0,782.0,1545.0,1209425.0
2022-09-08,SDBD87,771.1,771.1,771.1,771.1,25.0,19277.5
2022-09-12,SDBD87,771.0,771.0,771.0,771.0,25.0,19275.0
2022-09-15,SDBD87,768.1,768.1,768.1,768.1,25.0,19202.5
2022-09-20,SDBD87,760.1,760.1,760.1,760.1,25.0,19002.5
2022-09-22,SDBD87,761.0,761.0,761.0,761.0,25.0,19025.0
2022-10-10,SDBD87,776.2,776.2,776.2,776.2,10.0,7762.0
2022-10-11,SDBD87,775.0,791.7,775.0,791.7,75.0,58892.5
2022-10-12,SDBD87,807.4,807.4,807.4,807.4,10.0,8074.0
2022-10-20,SDBD87,791.4,791.4,791.4,791.4,25.0,19785.0
2022-11-02,SDBD87,777.5,777.5,777.5,777.5,100.0,77750.0
2022-11-06,SDBD87,762.0,762.0,762.0,762.0,25.0,19050.0
2022-11-08,SDBD87,756.0,756.0,756.0,756.0,25.0,18900.0
