business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2019-03-24,SHIVM,0.0,464.0,418.0,418.0,3920.0,1737870.0
2019-03-25,SHIVM,0.0,398.0,377.0,377.0,90.0,34350.0
2019-03-26,SHIVM,0.0,359.0,340.0,340.0,500.0,173150.0
2019-03-27,SHIVM,0.0,350.0,306.0,340.0,170472.0,55440896.0
2019-03-28,SHIVM,0.0,353.0,323.0,333.0,78450.0,26284816.0
2019-03-31,SHIVM,0.0,335.0,323.0,325.0,32407.0,10604541.0
2019-04-01,SHIVM,0.0,332.0,321.0,330.0,31990.0,10489900.0
2019-04-02,SHIVM,0.0,336.0,325.0,329.0,38720.0,12774320.0
2019-04-03,SHIVM,0.0,329.0,324.0,325.0,18011.0,5866565.0
2019-04-04,SHIVM,0.0,330.0,320.0,321.0,33290.0,10775400.0
2019-04-07,SHIVM,0.0,322.0,318.0,320.0,14305.0,4577205.0
2019-04-08,SHIVM,0.0,330.0,320.0,329.0,53402.0,17440224.0
2019-04-09,SHIVM,0.0,323.0,308.0,310.0,14819.0,4621118.0
2019-04-10,SHIVM,0.0,311.0,305.0,308.0,14774.0,4560692.0
2019-04-11,SHIVM,0.0,310.0,306.0,306.0,16100.0,4957450.0
2019-04-15,SHIVM,0.0,308.0,304.0,308.0,4335.0,1329135.0
2019-04-16,SHIVM,0.0,312.0,307.0,311.0,14905.0,4613575.0
2019-04-17,SHIVM,0.0,316.0,305.0,305.0,19531.0,5994927.0
2019-04-18,SHIVM,0.0,310.0,300.0,309.0,17750.0,5411860.0
2019-04-21,SHIVM,0.0,311.0,303.0,305.0,18065.0,5510580.0
2019-04-22,SHIVM,0.0,311.0,304.0,305.0,20035.0,6140385.0
2019-04-23,SHIVM,0.0,311.0,305.0,310.0,23310.0,7136660.0
2019-04-24,SHIVM,0.0,311.0,305.0,307.0,22930.0,7033530.0
2019-04-25,SHIVM,0.0,311.0,306.0,310.0,20838.0,6451663.0
2019-04-28,SHIVM,0.0,332.0,310.0,324.0,45502.0,14748598.0
2019-04-29,SHIVM,0.0,328.0,316.0,320.0,28956.0,9281354.0
2019-04-30,SHIVM,0.0,330.0,316.0,328.0,22059.0,7140259.0
2019-05-02,SHIVM,0.0,349.0,322.0,344.0,74542.0,25217282.0
2019-05-05,SHIVM,0.0,372.0,338.0,358.0,129045.0,46349732.0
2019-05-06,SHIVM,0.0,393.0,355.0,388.0,132126.0,49438432.0
2019-05-07,SHIVM,0.0,395.0,378.0,379.0,127407.0,49075597.0
2019-05-08,SHIVM,0.0,398.0,375.0,390.0,105925.0,41260320.0
2019-05-09,SHIVM,0.0,420.0,384.0,411.0,124569.0,50358651.0
2019-05-12,SHIVM,0.0,452.0,410.0,452.0,153906.0,67360180.0
2019-05-13,SHIVM,0.0,497.0,455.0,497.0,233289.0,114601645.0
2019-05-14,SHIVM,0.0,546.0,506.0,546.0,157535.0,84136700.0
2019-05-15,SHIVM,0.0,590.0,514.0,520.0,237479.0,130907229.0
2019-05-16,SHIVM,0.0,572.0,501.0,572.0,245337.0,134108415.0
2019-05-19,SHIVM,0.0,629.0,570.0,629.0,306224.0,187071083.0
