business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-16,SHL,0.0,168.0,168.0,168.0,100.0,16800.0
2012-01-23,SHL,0.0,171.0,171.0,171.0,113.0,19323.0
2012-01-31,SHL,0.0,171.0,171.0,171.0,762.0,130302.0
2012-02-01,SHL,0.0,188.0,174.0,188.0,1252.0,229023.0
2012-02-12,SHL,0.0,185.0,185.0,185.0,1496.0,276760.0
2012-02-27,SHL,0.0,188.0,188.0,188.0,133.0,25004.0
2012-03-06,SHL,0.0,190.0,190.0,190.0,914.0,173660.0
2012-03-21,SHL,0.0,194.0,193.0,194.0,1066.0,206652.0
2012-04-02,SHL,0.0,197.0,197.0,197.0,133.0,26201.0
2012-05-21,SHL,0.0,200.0,200.0,200.0,100.0,20000.0
2012-05-29,SHL,0.0,220.0,204.0,220.0,3348.0,717104.0
2012-05-31,SHL,0.0,236.0,224.0,236.0,1113.0,251712.0
2012-06-03,SHL,0.0,240.0,240.0,240.0,108.0,25920.0
2012-06-06,SHL,0.0,248.0,244.0,248.0,400.0,98500.0
2012-06-07,SHL,0.0,244.0,240.0,240.0,1563.0,375520.0
2012-06-10,SHL,0.0,236.0,233.0,233.0,678.0,159474.0
2012-06-11,SHL,0.0,237.0,237.0,237.0,368.0,87216.0
2012-06-12,SHL,0.0,234.0,229.0,230.0,6996.0,1611705.0
2012-06-13,SHL,0.0,226.0,226.0,226.0,647.0,146222.0
2012-06-18,SHL,0.0,226.0,222.0,226.0,467.0,105114.0
2012-06-27,SHL,0.0,227.0,223.0,223.0,6233.0,1400359.0
2012-06-28,SHL,0.0,226.0,225.0,226.0,5000.0,1128000.0
2012-07-01,SHL,0.0,229.0,225.0,229.0,2000.0,454000.0
2012-07-02,SHL,0.0,234.0,230.0,230.0,1100.0,253400.0
2012-07-04,SHL,0.0,234.0,234.0,234.0,490.0,114660.0
2012-07-05,SHL,0.0,230.0,230.0,230.0,8000.0,1840000.0
2012-07-08,SHL,0.0,230.0,230.0,230.0,512.0,117760.0
2012-07-10,SHL,0.0,234.0,234.0,234.0,304.0,71136.0
2012-07-11,SHL,0.0,230.0,230.0,230.0,5000.0,1150000.0
2012-07-15,SHL,0.0,230.0,230.0,230.0,4000.0,920000.0
2012-07-17,SHL,0.0,230.0,230.0,230.0,500.0,115000.0
2012-07-18,SHL,0.0,230.0,230.0,230.0,5600.0,1288000.0
2012-07-22,SHL,0.0,231.0,230.0,230.0,6410.0,1474584.0
2012-07-23,SHL,0.0,230.0,230.0,230.0,1533.0,352590.0
2012-07-24,SHL,0.0,234.0,230.0,234.0,11000.0,2534000.0
2012-07-25,SHL,0.0,230.0,230.0,230.0,10155.0,2335650.0
2012-07-31,SHL,0.0,238.0,234.0,238.0,2086.0,488524.0
2012-08-06,SHL,0.0,236.0,234.0,234.0,5142.0,1204512.0
2012-08-07,SHL,0.0,236.0,234.0,236.0,1100.0,257600.0
2012-08-13,SHL,0.0,236.0,236.0,236.0,1000.0,236000.0
2012-08-14,SHL,0.0,236.0,236.0,236.0,859.0,202724.0
2012-08-19,SHL,0.0,236.0,236.0,236.0,1273.0,300428.0
2012-08-22,SHL,0.0,240.0,240.0,240.0,300.0,72000.0
2012-08-30,SHL,0.0,249.0,237.0,248.0,4854.0,1178146.0
2012-09-02,SHL,0.0,252.0,252.0,252.0,600.0,151200.0
2012-09-03,SHL,0.0,257.0,252.0,257.0,466.0,117937.0
2012-09-05,SHL,0.0,261.0,257.0,261.0,1100.0,283100.0
2012-09-06,SHL,0.0,266.0,260.0,261.0,2417.0,630314.0
2012-09-09,SHL,0.0,266.0,265.0,265.0,478.0,126848.0
2012-09-10,SHL,0.0,269.0,266.0,266.0,841.0,224975.0
2012-09-11,SHL,0.0,266.0,265.0,266.0,1526.0,405516.0
2012-09-12,SHL,0.0,270.0,267.0,270.0,963.0,259245.0
2012-09-13,SHL,0.0,280.0,275.0,280.0,485.0,134780.0
2012-09-16,SHL,0.0,295.0,285.0,295.0,644.0,185315.0
2012-09-17,SHL,0.0,298.0,297.0,297.0,1385.0,411445.0
2012-09-18,SHL,0.0,292.0,292.0,292.0,200.0,58400.0
2012-09-19,SHL,0.0,295.0,295.0,295.0,156.0,46020.0
2012-09-25,SHL,0.0,294.0,290.0,290.0,402.0,116988.0
2012-09-30,SHL,0.0,285.0,281.0,281.0,320.0,90320.0
2012-10-01,SHL,0.0,276.0,276.0,276.0,1000.0,276000.0
2012-10-02,SHL,0.0,281.0,281.0,281.0,120.0,33720.0
2012-10-03,SHL,0.0,286.0,272.0,272.0,1360.0,376580.0
2012-10-04,SHL,0.0,271.0,270.0,270.0,1232.0,333372.0
2012-10-07,SHL,0.0,265.0,265.0,265.0,300.0,79500.0
2012-10-09,SHL,0.0,270.0,270.0,270.0,142.0,38340.0
2012-10-10,SHL,0.0,276.0,270.0,276.0,535.0,146615.0
2012-10-11,SHL,0.0,280.0,276.0,279.0,1523.0,422104.0
2012-10-14,SHL,0.0,274.0,274.0,274.0,1200.0,328800.0
2012-10-15,SHL,0.0,277.0,274.0,274.0,1200.0,329400.0
2012-10-18,SHL,0.0,279.0,279.0,279.0,200.0,55800.0
2012-11-01,SHL,0.0,279.0,279.0,279.0,2000.0,558000.0
2012-11-04,SHL,0.0,284.0,283.0,284.0,212.0,60096.0
2012-11-07,SHL,0.0,279.0,279.0,279.0,883.0,246357.0
2012-11-12,SHL,0.0,306.0,284.0,306.0,5700.0,1729748.0
2012-11-18,SHL,0.0,312.0,312.0,312.0,100.0,31200.0
2012-11-20,SHL,0.0,324.0,318.0,324.0,1834.0,592716.0
2012-11-21,SHL,0.0,348.0,330.0,348.0,1631.0,547788.0
2012-11-22,SHL,0.0,350.0,346.0,346.0,633.0,220650.0
2012-11-25,SHL,0.0,346.0,340.0,340.0,3158.0,1075268.0
2012-11-26,SHL,0.0,334.0,328.0,331.0,1158.0,381274.0
2012-11-27,SHL,0.0,341.0,329.0,341.0,2098.0,702038.0
2012-11-29,SHL,0.0,335.0,323.0,323.0,1463.0,477721.0
2012-12-02,SHL,0.0,320.0,311.0,318.0,4442.0,1396285.0
2012-12-03,SHL,0.0,319.0,314.0,314.0,743.0,235983.0
2012-12-04,SHL,0.0,326.0,318.0,326.0,1958.0,629453.0
2012-12-06,SHL,0.0,267.0,267.0,267.0,2720.0,726240.0
2012-12-10,SHL,0.0,262.0,262.0,262.0,3667.0,960754.0
2012-12-13,SHL,0.0,257.0,257.0,257.0,2190.0,562830.0
2012-12-17,SHL,0.0,252.0,252.0,252.0,3800.0,957600.0
2012-12-20,SHL,0.0,247.0,247.0,247.0,3943.0,973921.0
2013-01-01,SHL,0.0,247.0,247.0,247.0,730.0,180310.0
2013-01-10,SHL,0.0,271.0,251.0,271.0,931.0,247146.0
2013-01-17,SHL,0.0,298.0,276.0,298.0,1321.0,385718.0
2013-01-20,SHL,0.0,294.0,290.0,294.0,625.0,182830.0
2013-01-22,SHL,0.0,304.0,295.0,304.0,550.0,164550.0
2013-01-23,SHL,0.0,310.0,301.0,301.0,1838.0,557228.0
2013-01-24,SHL,0.0,295.0,295.0,295.0,200.0,59000.0
2013-01-27,SHL,0.0,300.0,295.0,300.0,1090.0,322050.0
2013-01-28,SHL,0.0,300.0,300.0,300.0,100.0,30000.0
2013-01-30,SHL,0.0,295.0,295.0,295.0,108.0,31860.0
2013-01-31,SHL,0.0,291.0,290.0,290.0,200.0,58100.0
2013-02-03,SHL,0.0,285.0,282.0,282.0,660.0,187269.0
2013-02-04,SHL,0.0,280.0,280.0,280.0,220.0,61600.0
2013-02-05,SHL,0.0,285.0,285.0,285.0,333.0,94905.0
2013-02-06,SHL,0.0,280.0,272.0,272.0,1648.0,452496.0
2013-02-07,SHL,0.0,270.0,270.0,270.0,100.0,27000.0
2013-02-10,SHL,0.0,275.0,275.0,275.0,273.0,75075.0
2013-02-14,SHL,0.0,281.0,280.0,281.0,400.0,112244.0
2013-02-20,SHL,0.0,286.0,286.0,286.0,332.0,94952.0
2013-02-24,SHL,0.0,291.0,286.0,291.0,525.0,151735.0
2013-02-27,SHL,0.0,286.0,286.0,286.0,194.0,55484.0
2013-02-28,SHL,0.0,281.0,276.0,276.0,300.0,83400.0
2013-03-03,SHL,0.0,276.0,270.0,270.0,748.0,203560.0
2013-03-04,SHL,0.0,275.0,275.0,275.0,131.0,36025.0
2013-03-05,SHL,0.0,275.0,275.0,275.0,144.0,39600.0
2013-03-17,SHL,0.0,288.0,278.0,283.0,592.0,167476.0
2013-03-20,SHL,283.0,288.0,288.0,288.0,420.0,120960.0
2013-03-24,SHL,0.0,283.0,278.0,278.0,432.0,120596.0
2013-04-03,SHL,0.0,266.0,261.0,261.0,1443.0,380639.0
2013-04-04,SHL,0.0,265.0,265.0,265.0,293.0,77645.0
2013-04-07,SHL,0.0,270.0,265.0,265.0,277.0,73905.0
2013-04-11,SHL,0.0,270.0,270.0,270.0,100.0,27000.0
2013-04-15,SHL,0.0,275.0,275.0,275.0,240.0,66000.0
2013-04-21,SHL,0.0,275.0,275.0,275.0,102.0,28050.0
2013-04-22,SHL,0.0,270.0,265.0,265.0,391.0,104640.0
2013-05-02,SHL,0.0,270.0,265.0,270.0,1616.0,428740.0
2013-05-06,SHL,0.0,270.0,270.0,270.0,138.0,37260.0
2013-05-15,SHL,0.0,265.0,265.0,265.0,2264.0,599960.0
2013-05-20,SHL,0.0,260.0,255.0,255.0,4392.0,1124960.0
2013-06-12,SHL,0.0,270.0,260.0,266.0,1663.0,437050.0
2013-07-01,SHL,0.0,292.0,271.0,292.0,3810.0,1090842.0
2013-07-02,SHL,0.0,294.0,290.0,290.0,549.0,160186.0
2013-07-03,SHL,0.0,291.0,291.0,291.0,133.0,38703.0
2013-07-04,SHL,0.0,286.0,280.0,280.0,874.0,248208.0
2013-07-07,SHL,0.0,280.0,280.0,280.0,2346.0,656880.0
2013-07-11,SHL,0.0,280.0,280.0,280.0,131.0,36680.0
2013-07-15,SHL,0.0,276.0,276.0,276.0,131.0,36156.0
2013-07-16,SHL,0.0,280.0,276.0,277.0,3704.0,1031687.0
2013-07-18,SHL,0.0,280.0,280.0,280.0,177.0,49560.0
2013-07-21,SHL,0.0,285.0,285.0,285.0,100.0,28500.0
2013-07-22,SHL,0.0,285.0,285.0,285.0,1500.0,427500.0
2013-07-23,SHL,0.0,282.0,282.0,282.0,6000.0,1692000.0
2013-07-24,SHL,0.0,277.0,275.0,275.0,10167.0,2796259.0
2013-07-25,SHL,0.0,276.0,271.0,276.0,482.0,131587.0
2013-07-29,SHL,0.0,277.0,273.0,273.0,2303.0,636951.0
2013-08-07,SHL,0.0,283.0,278.0,283.0,641.0,179958.0
2013-08-08,SHL,0.0,282.0,282.0,282.0,3000.0,846000.0
2013-08-14,SHL,0.0,283.0,277.0,277.0,2200.0,612000.0
2013-08-15,SHL,0.0,282.0,270.0,270.0,27325.0,7594380.0
2013-08-18,SHL,0.0,270.0,270.0,270.0,4392.0,1185840.0
2013-08-19,SHL,0.0,280.0,275.0,280.0,900.0,250045.0
2013-08-20,SHL,0.0,287.0,275.0,286.0,21662.0,5968550.0
2013-08-25,SHL,0.0,281.0,276.0,276.0,5281.0,1459658.0
2013-08-26,SHL,0.0,276.0,276.0,276.0,438.0,120888.0
2013-08-27,SHL,0.0,282.0,280.0,282.0,900.0,252600.0
2013-09-01,SHL,0.0,282.0,277.0,282.0,14864.0,4122328.0
2013-09-02,SHL,0.0,285.0,280.0,280.0,16900.0,4733400.0
2013-09-03,SHL,0.0,284.0,280.0,280.0,30183.0,8451972.0
2013-09-05,SHL,0.0,280.0,280.0,280.0,338.0,94640.0
2013-09-09,SHL,0.0,280.0,280.0,280.0,6000.0,1680000.0
2013-09-10,SHL,0.0,280.0,280.0,280.0,1865.0,522200.0
2013-09-11,SHL,0.0,280.0,275.0,275.0,8487.0,2335615.0
2013-09-16,SHL,0.0,279.0,279.0,279.0,500.0,139500.0
2013-09-17,SHL,0.0,280.0,274.0,275.0,9210.0,2536083.0
2013-09-19,SHL,0.0,279.0,279.0,279.0,138.0,38502.0
2013-09-22,SHL,0.0,280.0,280.0,280.0,288.0,80640.0
2013-09-23,SHL,0.0,295.0,285.0,295.0,564.0,163925.0
2013-09-24,SHL,0.0,300.0,286.0,286.0,76569.0,21910007.0
2013-09-25,SHL,0.0,290.0,290.0,290.0,108.0,31320.0
2013-09-26,SHL,0.0,312.0,285.0,306.0,9830.0,2872580.0
